ID;SIC2008;Periods;IndexFiguresNotAdjusted_1;IndexFiguresAdjustedForCalendar_2;IndexFiguresSeasonallyAdjusted_3;VolumeChangeNotAdjusted_4;VolumeChangeAdjustedForCalendar_5;VolumeChangeSeasonallyAdjusted_6
0;F Construction;2005 January;70.5;74.4;82.6;-3.8;4.2;3.7
1;F Construction;2005 February;79.9;81.0;81.0;1.0;3.5;3.4
2;F Construction;2005 March;88.0;89.3;80.0;-2.5;2.4;2.0
3;F Construction;2005 1st quarter;79.5;81.6;81.2;-1.7;3.3;3.1
4;F Construction;2005 April;91.7;87.9;82.4;9.7;5.4;4.3
5;F Construction;2005 May;83.7;88.0;85.7;10.1;10.8;10.8
6;F Construction;2005 June;94.7;92.2;83.0;6.8;6.9;7.2
7;F Construction;2005 2nd quarter;90.0;89.3;83.7;8.8;7.7;7.4
8;F Construction;2005 July;75.5;77.9;84.1;0.7;4.3;3.4
9;F Construction;2005 August;48.3;47.1;80.4;14.1;9.7;9.4
10;F Construction;2005 September;102.7;101.3;82.3;6.9;6.9;6.8
11;F Construction;2005 3rd quarter;75.5;75.4;82.2;6.1;6.6;6.4
12;F Construction;2005 October;93.9;96.8;84.0;2.7;2.7;3.7
13;F Construction;2005 November;96.3;94.8;84.9;3.7;3.7;4.6
14;F Construction;2005 December;68.7;67.2;88.3;3.4;6.2;7.3
15;F Construction;2005 4th quarter;86.3;86.2;85.7;3.3;4.0;5.2
16;F Construction;2005;82.8;83.1;83.2;4.1;5.3;5.5
17;F Construction;2006 January;71.7;74.3;82.1;1.7;-0.2;-0.7
18;F Construction;2006 February;82.8;83.5;83.4;3.6;3.1;2.9
19;F Construction;2006 March;95.3;92.8;83.9;8.2;3.9;4.9
20;F Construction;2006 1st quarter;83.3;83.5;83.1;4.8;2.4;2.4
21;F Construction;2006 April;86.2;87.7;81.7;-6.0;-0.2;-0.8
22;F Construction;2006 May;91.7;87.7;84.8;9.6;-0.3;-1.0
23;F Construction;2006 June;92.9;93.5;84.5;-1.9;1.4;1.8
24;F Construction;2006 2nd quarter;90.3;89.6;83.7;0.3;0.3;0.0
25;F Construction;2006 July;76.2;79.3;85.4;0.9;1.8;1.6
26;F Construction;2006 August;51.5;49.8;84.4;6.5;5.7;5.0
27;F Construction;2006 September;107.2;108.3;88.4;4.3;7.0;7.4
28;F Construction;2006 3rd quarter;78.3;79.1;86.0;3.7;4.9;4.6
29;F Construction;2006 October;97.4;97.8;85.5;3.8;1.1;1.9
30;F Construction;2006 November;99.5;98.0;88.6;3.3;3.3;4.4
31;F Construction;2006 December;69.6;69.5;91.9;1.3;3.4;4.1
32;F Construction;2006 4th quarter;88.8;88.4;88.7;2.9;2.5;3.5
33;F Construction;2006;85.2;85.2;85.4;2.8;2.4;2.6
34;F Construction;2007 January;79.3;79.0;86.4;10.5;6.4;5.2
35;F Construction;2007 February;91.2;91.8;91.4;10.2;9.9;9.5
36;F Construction;2007 March;103.0;102.3;92.8;8.1;10.2;10.6
37;F Construction;2007 1st quarter;91.2;91.0;90.2;9.5;9.0;8.5
38;F Construction;2007 April;94.9;97.2;90.1;10.1;10.8;10.2
39;F Construction;2007 May;95.4;94.3;91.2;4.0;7.5;7.5
40;F Construction;2007 June;101.5;101.4;91.8;9.2;8.5;8.6
41;F Construction;2007 2nd quarter;97.3;97.6;91.0;7.7;8.9;8.8
42;F Construction;2007 July;81.8;84.9;90.2;7.4;7.1;5.7
43;F Construction;2007 August;58.1;55.0;92.4;13.0;10.6;9.5
44;F Construction;2007 September;108.7;112.7;92.1;1.4;4.0;4.2
45;F Construction;2007 3rd quarter;82.9;84.2;91.6;5.9;6.4;6.4
46;F Construction;2007 October;105.7;103.4;90.8;8.5;5.7;6.2
47;F Construction;2007 November;103.7;102.1;93.5;4.3;4.3;5.6
48;F Construction;2007 December;68.0;69.7;92.9;-2.2;0.3;1.2
49;F Construction;2007 4th quarter;92.5;91.7;92.4;4.1;3.8;4.2
50;F Construction;2007;91.0;91.1;91.3;6.8;7.0;6.9
51;F Construction;2008 January;87.9;86.3;92.9;10.9;9.2;7.5
52;F Construction;2008 February;101.7;98.0;97.1;11.5;6.7;6.3
53;F Construction;2008 March;98.8;104.6;94.7;-4.1;2.3;2.0
54;F Construction;2008 1st quarter;96.1;96.3;94.9;5.4;5.8;5.2
55;F Construction;2008 April;108.8;105.1;96.7;14.6;8.1;7.4
56;F Construction;2008 May;96.6;98.1;94.3;1.3;4.0;3.5
57;F Construction;2008 June;103.9;103.8;94.7;2.4;2.4;3.1
58;F Construction;2008 2nd quarter;103.1;102.3;95.2;6.0;4.8;4.6
59;F Construction;2008 July;81.6;88.3;93.0;-0.2;4.0;3.1
60;F Construction;2008 August;60.2;56.7;93.8;3.6;3.1;1.5
61;F Construction;2008 September;117.1;115.5;94.9;7.7;2.5;2.9
62;F Construction;2008 3rd quarter;86.3;86.8;93.9;4.1;3.1;2.5
63;F Construction;2008 October;110.7;108.2;95.6;4.6;4.7;5.2
64;F Construction;2008 November;97.7;101.3;94.0;-5.8;-0.8;0.5
65;F Construction;2008 December;70.2;70.7;95.0;3.1;1.5;2.3
66;F Construction;2008 4th quarter;92.8;93.4;94.9;0.4;1.8;2.6
67;F Construction;2008;94.6;94.7;94.7;4.0;3.9;3.7
68;F Construction;2009 January;90.6;89.4;95.0;3.1;3.7;2.3
69;F Construction;2009 February;97.7;98.5;97.5;-3.9;0.5;0.4
70;F Construction;2009 March;105.7;105.0;95.8;7.0;0.3;1.2
71;F Construction;2009 1st quarter;98.0;97.6;96.1;1.9;1.4;1.3
72;F Construction;2009 April;104.4;104.1;95.6;-4.0;-0.9;-1.1
73;F Construction;2009 May;93.5;94.3;90.1;-3.2;-3.9;-4.5
74;F Construction;2009 June;97.2;97.7;89.9;-6.4;-5.8;-5.1
75;F Construction;2009 2nd quarter;98.4;98.7;91.9;-4.6;-3.5;-3.5
76;F Construction;2009 July;86.3;85.0;89.2;5.7;-3.8;-4.0
77;F Construction;2009 August;51.4;52.7;85.1;-14.6;-7.0;-9.3
78;F Construction;2009 September;107.6;106.0;87.2;-8.2;-8.2;-8.1
79;F Construction;2009 3rd quarter;81.8;81.2;87.2;-5.3;-6.4;-7.1
80;F Construction;2009 October;99.2;99.5;88.5;-10.4;-8.0;-7.3
81;F Construction;2009 November;89.2;90.2;84.3;-8.6;-11.0;-10.2
82;F Construction;2009 December;60.5;62.3;84.5;-13.8;-11.9;-11.1
83;F Construction;2009 4th quarter;83.0;84.0;85.8;-10.6;-10.1;-9.5
84;F Construction;2009;90.3;90.4;90.2;-4.6;-4.5;-4.7
85;F Construction;2010 January;74.1;74.8;78.7;-18.2;-16.4;-17.2
86;F Construction;2010 February;76.1;77.7;77.4;-22.1;-21.1;-20.7
87;F Construction;2010 March;91.5;88.9;80.6;-13.4;-15.3;-15.9
88;F Construction;2010 1st quarter;80.6;80.5;78.9;-17.8;-17.6;-17.9
89;F Construction;2010 April;90.2;90.0;82.4;-13.6;-13.6;-13.9
90;F Construction;2010 May;80.3;86.5;82.6;-14.1;-8.2;-8.3
91;F Construction;2010 June;89.7;87.3;80.6;-7.7;-10.7;-10.4
92;F Construction;2010 2nd quarter;86.7;87.9;81.9;-11.8;-10.9;-10.9
93;F Construction;2010 July;75.7;78.4;81.7;-12.3;-7.7;-8.5
94;F Construction;2010 August;49.2;48.0;77.9;-4.4;-8.9;-8.4
95;F Construction;2010 September;94.8;93.5;76.9;-11.9;-11.9;-11.8
96;F Construction;2010 3rd quarter;73.2;73.3;78.8;-10.4;-9.8;-9.6
97;F Construction;2010 October;86.5;89.1;79.6;-12.7;-10.4;-10.1
98;F Construction;2010 November;84.6;83.8;78.7;-5.3;-7.1;-6.7
99;F Construction;2010 December;52.3;56.6;76.7;-13.6;-9.2;-9.3
100;F Construction;2010 4th quarter;74.5;76.5;78.3;-10.3;-8.9;-8.7
101;F Construction;2010;78.7;79.6;79.5;-12.8;-12.0;-11.9
102;F Construction;2011 January;80.7;78.3;81.5;8.9;4.7;3.6
103;F Construction;2011 February;87.4;88.1;87.2;14.8;13.4;12.7
104;F Construction;2011 March;93.5;90.7;82.3;2.2;2.0;2.1
105;F Construction;2011 1st quarter;87.2;85.7;83.7;8.2;6.5;6.0
106;F Construction;2011 April;87.5;86.7;79.0;-3.0;-3.7;-4.0
107;F Construction;2011 May;89.8;84.8;80.8;11.8;-2.0;-2.2
108;F Construction;2011 June;80.5;83.9;77.9;-10.2;-3.9;-3.3
109;F Construction;2011 2nd quarter;85.9;85.1;79.2;-0.9;-3.2;-3.2
110;F Construction;2011 July;71.5;75.0;77.9;-5.6;-4.3;-4.7
111;F Construction;2011 August;49.1;47.1;77.0;-0.3;-1.9;-1.1
112;F Construction;2011 September;96.1;94.8;78.6;1.4;1.4;2.2
113;F Construction;2011 3rd quarter;72.2;72.3;77.8;-1.4;-1.4;-1.3
114;F Construction;2011 October;81.3;83.7;75.1;-6.1;-6.0;-5.8
115;F Construction;2011 November;81.4;80.2;75.4;-3.7;-4.2;-4.2
116;F Construction;2011 December;54.5;52.6;73.5;4.2;-6.9;-4.2
117;F Construction;2011 4th quarter;72.4;72.2;74.7;-2.8;-5.6;-4.7
118;F Construction;2011;79.4;78.8;78.8;0.9;-0.9;-0.8
119;F Construction;2012 January;73.9;76.0;78.2;-8.3;-3.0;-4.0
120;F Construction;2012 February;74.8;72.9;72.1;-14.3;-17.3;-17.3
121;F Construction;2012 March;83.3;82.7;74.5;-10.9;-8.8;-9.5
122;F Construction;2012 1st quarter;77.4;77.2;74.9;-11.3;-9.9;-10.4
123;F Construction;2012 April;80.1;82.0;75.1;-8.4;-5.3;-4.9
124;F Construction;2012 May;78.7;77.8;73.7;-12.4;-8.2;-8.8
125;F Construction;2012 June;79.6;79.5;73.7;-1.2;-5.3;-5.4
126;F Construction;2012 2nd quarter;79.5;79.8;74.2;-7.5;-6.3;-6.4
127;F Construction;2012 July;66.9;70.6;73.8;-6.4;-5.8;-5.2
128;F Construction;2012 August;48.7;45.1;73.8;-0.7;-4.3;-4.2
129;F Construction;2012 September;87.1;90.4;75.0;-9.4;-4.6;-4.5
130;F Construction;2012 3rd quarter;67.6;68.7;74.2;-6.4;-5.0;-4.6
131;F Construction;2012 October;77.6;75.8;68.1;-4.5;-9.5;-9.3
132;F Construction;2012 November;75.4;74.2;69.6;-7.4;-7.5;-7.8
133;F Construction;2012 December;46.3;47.2;67.0;-15.0;-10.4;-8.8
134;F Construction;2012 4th quarter;66.4;65.7;68.2;-8.2;-9.0;-8.6
135;F Construction;2012;72.7;72.9;72.9;-8.5;-7.6;-7.5
136;F Construction;2013 January;66.8;67.1;68.4;-9.6;-11.7;-12.6
137;F Construction;2013 February;66.4;67.7;66.7;-11.3;-7.2;-7.5
138;F Construction;2013 March;72.9;75.3;67.4;-12.5;-9.0;-9.5
