ID;LeeftijdReferentiepersoon;Perioden;TotaalParen_1;GeenKinderen_2;k_1Kind_3;k_2Kinderen_4;k_3OfMeerKinderen_5;TotaalEenouderhuishoudens_6;k_1Kind_7;k_2Kinderen_8;k_3OfMeerKinderen_9
0;Totaal;2016;4218971;2198422;761275;909946;349328;554296;344071;161200;49025
1;Totaal;2017;4236160;2216869;767639;906397;345255;562134;349197;163578;49359
2;Totaal;2018;4254402;2234332;774294;904037;341739;569237;353940;165699;49598
3;Totaal;2019;4269414;2248137;781047;901628;338602;575233;358012;167424;49797
4;Totaal;2020;4283145;2258954;789421;899352;335418;580160;361829;168547;49784
5;Totaal;2021;4295717;2269158;796634;897169;332756;583865;364898;169273;49694
6;Totaal;2022;4307451;2279216;802804;895041;330390;586497;367244;169688;49565
7;Totaal;2023;4318031;2288291;807846;893348;328546;588222;369057;169778;49387
8;Totaal;2024;4327445;2296479;811380;892238;327348;589276;370227;169807;49242
9;Totaal;2025;4335772;2303820;814209;891330;326413;589946;371219;169627;49100
10;Totaal;2026;4342943;2310219;815290;891353;326081;589975;371619;169395;48961
11;Totaal;2027;4348849;2315052;814733;892649;326415;589779;371665;169254;48860
12;Totaal;2028;4353401;2318222;813062;894861;327256;589400;371478;169114;48808
13;Totaal;2029;4356615;2319012;810968;898010;328625;589208;371227;169174;48807
14;Totaal;2030;4358507;2318155;808936;901316;330100;589052;370991;169211;48850
15;Totaal;2031;4359143;2315606;806808;905031;331698;589068;370812;169335;48921
16;Totaal;2032;4358589;2312151;803950;909071;333417;589101;370650;169483;48968
17;Totaal;2033;4356899;2307259;801509;913145;334986;589391;370693;169696;49002
18;Totaal;2034;4354115;2301155;798662;917643;336655;589869;370664;170082;49123
19;Totaal;2035;4350203;2293781;795763;922255;338404;590584;370733;170587;49264
20;Totaal;2036;4345330;2285338;793281;926805;339906;591545;370900;171235;49410
21;Totaal;2037;4339657;2276001;791629;930950;341077;592752;371364;171876;49512
22;Totaal;2038;4333379;2265955;790818;934608;341998;594015;371865;172558;49592
23;Totaal;2039;4326700;2255075;790945;937928;342752;595588;372623;173294;49671
24;Totaal;2040;4319886;2243828;792179;940610;343269;597402;373683;173984;49735
25;Totaal;2041;4313149;2233195;794079;942471;343404;599213;374894;174575;49744
26;Totaal;2042;4306689;2223151;796766;943544;343228;601178;376458;175004;49716
27;Totaal;2043;4300642;2214608;799454;943844;342736;602711;377708;175346;49657
28;Totaal;2044;4295053;2207100;802129;943680;342144;604119;378871;175649;49599
29;Totaal;2045;4290057;2200803;804793;943056;341405;605301;379839;175925;49537
30;Totaal;2046;4285672;2195644;807617;941968;340443;606229;380723;176075;49431
31;Totaal;2047;4281874;2191464;810563;940570;339277;606893;381430;176137;49326
32;Totaal;2048;4278691;2188216;813346;939065;338064;607287;381924;176134;49229
33;Totaal;2049;4276135;2185398;816283;937598;336856;607679;382512;176078;49089
34;Totaal;2050;4274199;2183700;818783;936035;335681;607532;382654;175917;48961
35;Totaal;2051;4272930;2182604;821260;934541;334525;607129;382685;175636;48808
36;Totaal;2052;4272292;2182076;823486;933212;333518;606554;382540;175327;48687
37;Totaal;2053;4272296;2182057;825220;932224;332795;605797;382135;175057;48605
38;Totaal;2054;4272944;2182521;826768;931443;332212;604916;381669;174737;48510
39;Totaal;2055;4274266;2183466;827875;930974;331951;603953;381091;174418;48444
40;Totaal;2056;4276262;2184891;828836;930718;331817;602924;380488;174056;48380
41;Totaal;2057;4278917;2186779;829400;930802;331936;601868;379765;173754;48349
42;Totaal;2058;4282221;2189130;829435;931311;332345;600800;378874;173559;48367
43;Totaal;2059;4286153;2191912;829267;932063;332911;599731;377983;173346;48402
44;Totaal;2060;4290680;2195113;828859;933089;333619;598717;377092;173185;48440
45;15 tot 20 jaar;2016;2440;2194;170;50;26;755;724;31;0
