ID;Uitvoerkenmerken;Perioden;GroeiUitvoer_1;BijdrageAanTotaleGroeiUitvoer_2
0;Totaal;2010;;
1;Totaal;2011;;
2;Totaal;2012;20358508.0;5.0
3;Totaal;2013;3389471.0;0.8
4;Totaal;2014;299443.0;0.1
5;Totaal;2015;;
6;Totaal;2016;4245625.0;1.0
7;Totaal;2017;44206192.0;10.4
8;Totaal;2018;30440281.0;6.5
9;Totaal;2019;17390024.0;3.5
10;Totaal;2020;-32551398.0;-6.3
11;Totaal;2021;103928826.0;21.5
12;Totaal;2022;;
13;Uitvoer Nederlands product;2010;;
14;Uitvoer Nederlands product;2011;;
15;Uitvoer Nederlands product;2012;2660338.0;0.6
16;Uitvoer Nederlands product;2013;-402254.0;-0.1
17;Uitvoer Nederlands product;2014;4630374.0;1.1
18;Uitvoer Nederlands product;2015;;
19;Uitvoer Nederlands product;2016;-4660019.0;-1.1
20;Uitvoer Nederlands product;2017;22966903.0;5.4
21;Uitvoer Nederlands product;2018;17893455.0;3.8
22;Uitvoer Nederlands product;2019;6548427.0;1.3
23;Uitvoer Nederlands product;2020;-21957615.0;-4.3
24;Uitvoer Nederlands product;2021;62772755.0;13.0
25;Uitvoer Nederlands product;2022;;
26;Wederuitvoer;2010;;
27;Wederuitvoer;2011;;
28;Wederuitvoer;2012;17698169.0;4.3
29;Wederuitvoer;2013;3791726.0;0.9
30;Wederuitvoer;2014;-4330931.0;-1.0
31;Wederuitvoer;2015;;
32;Wederuitvoer;2016;8905644.0;2.1
33;Wederuitvoer;2017;21239289.0;5.0
34;Wederuitvoer;2018;12546826.0;2.7
35;Wederuitvoer;2019;10841598.0;2.2
36;Wederuitvoer;2020;-10593783.0;-2.1
37;Wederuitvoer;2021;41156070.0;8.5
38;Wederuitvoer;2022;;
39;Australië;2010;;
40;Australië;2011;;
41;Australië;2012;485753.0;0.1
42;Australië;2013;-65663.0;0.0
43;Australië;2014;-48427.0;0.0
44;Australië;2015;;
45;Australië;2016;94534.0;0.0
46;Australië;2017;265616.0;0.1
47;Australië;2018;476128.0;0.1
48;Australië;2019;176604.0;0.0
49;Australië;2020;-182579.0;0.0
50;Australië;2021;327390.0;0.1
51;Australië;2022;;
52;België;2010;;
53;België;2011;;
54;België;2012;-159716.0;0.0
55;België;2013;-687280.0;-0.2
56;België;2014;-318672.0;-0.1
57;België;2015;;
58;België;2016;-351478.0;-0.1
59;België;2017;4574038.0;1.1
60;België;2018;2414029.0;0.5
61;België;2019;1509920.0;0.3
62;België;2020;-2624698.0;-0.5
63;België;2021;13422777.0;2.8
64;België;2022;;
65;Brazilië;2010;;
66;Brazilië;2011;;
67;Brazilië;2012;800578.0;0.2
68;Brazilië;2013;-889022.0;-0.2
69;Brazilië;2014;623689.0;0.1
70;Brazilië;2015;;
71;Brazilië;2016;587529.0;0.1
72;Brazilië;2017;-817938.0;-0.2
73;Brazilië;2018;14613.0;0.0
74;Brazilië;2019;248717.0;0.0
75;Brazilië;2020;-550016.0;-0.1
76;Brazilië;2021;769918.0;0.2
77;Brazilië;2022;;
78;Bulgarije;2010;;
79;Bulgarije;2011;;
80;Bulgarije;2012;100352.0;0.0
81;Bulgarije;2013;67316.0;0.0
82;Bulgarije;2014;107008.0;0.0
83;Bulgarije;2015;;
84;Bulgarije;2016;-51137.0;0.0
85;Bulgarije;2017;135775.0;0.0
86;Bulgarije;2018;104998.0;0.0
87;Bulgarije;2019;19032.0;0.0
88;Bulgarije;2020;-2305.0;0.0
89;Bulgarije;2021;504621.0;0.1
90;Bulgarije;2022;;
91;Canada;2010;;
92;Canada;2011;;
93;Canada;2012;198390.0;0.0
94;Canada;2013;655312.0;0.2
95;Canada;2014;-72028.0;0.0
96;Canada;2015;;
97;Canada;2016;84179.0;0.0
98;Canada;2017;302290.0;0.1
99;Canada;2018;532842.0;0.1
100;Canada;2019;431604.0;0.1
101;Canada;2020;-1076491.0;-0.2
102;Canada;2021;433262.0;0.1
103;Canada;2022;;
104;Caymaneilanden;2010;;
105;Caymaneilanden;2011;;
106;Caymaneilanden;2012;-94076.0;0.0
107;Caymaneilanden;2013;21708.0;0.0
108;Caymaneilanden;2014;-126246.0;0.0
109;Caymaneilanden;2015;;
110;Caymaneilanden;2016;994898.0;0.2
111;Caymaneilanden;2017;-559606.0;-0.1
112;Caymaneilanden;2018;514045.0;0.1
113;Caymaneilanden;2019;868460.0;0.2
114;Caymaneilanden;2020;-245350.0;0.0
115;Caymaneilanden;2021;1065554.0;0.2
116;Caymaneilanden;2022;;
117;China;2010;;
118;China;2011;;
119;China;2012;950132.0;0.2
120;China;2013;64741.0;0.0
121;China;2014;208953.0;0.0
122;China;2015;;
123;China;2016;1143197.0;0.3
124;China;2017;1651105.0;0.4
125;China;2018;414071.0;0.1
126;China;2019;1054520.0;0.2
127;China;2020;1328276.0;0.3
128;China;2021;-61731.0;0.0
129;China;2022;;
130;Denemarken;2010;;
131;Denemarken;2011;;
132;Denemarken;2012;92004.0;0.0
