ID;BedrijfstakkenBranchesSBI2008;WerkzamePersonen;Perioden;TotaalMilieuInvesteringen_1;TotaalWater_2;Waterbesparing_3;WaterOverig_4;TotaalLuchtEnEnergie_5;Energiebesparing_6;HernieuwbareEnergie_7;Lucht_8;Bodem_9;Afval_10;Geluid_11;Landschap_12;TotaalKosten_13;TotaalKapitaallasten_14;Afschrijvingen_15;Rente_16;OverigeKosten_17;TotaalKosten_18;TotaalKapitaallasten_19;Afschrijvingen_20;Rente_21;AfvoerWaterzuiveringsslib_22;TotaalKosten_23;TotaalKapitaallasten_24;Afschrijvingen_25;Rente_26;TotaalKosten_27;TotaalKapitaallasten_28;Afschrijvingen_29;Rente_30;AfvoerWaterzuiveringsslib_31;TotaalKosten_32;TotaalKapitaallasten_33;Afschrijvingen_34;Rente_35;AfvoerAfvalLuchtzuiveringsinstallaties_36;TotaalKosten_37;TotaalKapitaallasten_38;Afschrijvingen_39;Rente_40;TotaalKosten_41;TotaalKapitaallasten_42;Afschrijvingen_43;Rente_44;TotaalKosten_45;TotaalKapitaallasten_46;Afschrijvingen_47;Rente_48;AfvoerAfvalLuchtzuiveringsinstallaties_49;TotaalKosten_50;TotaalKapitaallasten_51;Afschrijvingen_52;Rente_53;Bodemsanering_54;TotaalKosten_55;TotaalKapitaallasten_56;Afschrijvingen_57;Rente_58;TotaalKosten_59;TotaalKapitaallasten_60;Afschrijvingen_61;Rente_62;TotaalKosten_63;TotaalKapitaallasten_64;Afschrijvingen_65;Rente_66;TotaalKosten_67;EigenMilieuonderzoek_68;Personeelskosten_69;ArbeidEigenPersoneel_70;TotaalBetaaldeOverdrachten_71;TotaalMilieuheffingenEnLeges_72;WVOHeffing_73;Rioolrecht_74;HeffingGrondwateronttrekking_75;LegesMilieuvergunningen_76;TotaalAfvoerVanAfvalstoffen_77;GevaarlijkAfval_78;OverigVastAfval_79;TotaalUitbestedeMilieuactiviteiten_80;WaterzuiveringDoorParticulieren_81;SchadebetalingenEnMilieuboeten_82;MilieuonderzoekDoorDerden_83;MilieucoordinatieDoorDerden_84;TotaalOntvangenOverdrachten_85;TotaalMilieucompartimenten_86;Totaal_87;Waterbesparing_88;WaterOverig_89;Totaal_90;Energiebesparing_91;HernieuwbareEnergie_92;Lucht_93;Bodem_94;Afval_95;Geluid_96;Landschap_97;Algemeen_98
13;B-E Nijverheid (geen bouw) en energie;10 tot 50 werknemers;2014;70.0;2.0;;;66.0;7.0;;;;1.0;;;106.0;84.0;63.0;21.0;21.0;15.0;13.0;10.0;3.0;2.0;;;;;;;;;2.0;52.0;51.0;38.0;13.0;1.0;16.0;16.0;12.0;4.0;;;;;;;;;1.0;;;;;1.0;6.0;6.0;4.0;1.0;;;;;;;;;18.0;10.0;8.0;133.0;56.0;14.0;10.0;4.0;0.0;0.0;33.0;4.0;29.0;9.0;5.0;0.0;1.0;3.0;37.0;125;33;1;32;17;10;-13;20;10;38;4;2;22
14;B-E Nijverheid (geen bouw) en energie;10 tot 50 werknemers;2015;51.0;3.0;;;;;;8.0;;;;;110.0;86.0;65.0;21.0;24.0;14.0;12.0;9.0;2.0;2.0;;;;;;;;;2.0;;;;;0.0;;;;;;;;;19.0;19.0;15.0;4.0;0.0;;;;;2.0;;;;;;;;;;;;;20.0;10.0;10.0;197.0;;;8.0;4.0;0.0;;39.0;5.0;35.0;14.0;5.0;0.0;1.0;9.0;;138;31;1;30;19;10;-7;17;10;43;4;1;30
15;B-E Nijverheid (geen bouw) en energie;10 tot 50 werknemers;2016;77.0;;;;67.0;12.0;;;;;;;111.0;84.0;64.0;20.0;26.0;;;;;2.0;;;;;;;;;2.0;57.0;57.0;43.0;14.0;0.0;15.0;15.0;12.0;3.0;;;;;;;;;0.0;;;;;1.0;;;;;;;;;;;;;22.0;11.0;11.0;204.0;;;8.0;5.0;0.0;;41.0;5.0;36.0;12.0;7.0;;1.0;;;139;31;1;30;20;9;-5;16;9;45;3;1;28
16;B-E Nijverheid (geen bouw) en energie;10 tot 50 werknemers;2017;37.0;;1.0;;32.0;7.0;;;;;;;;89.0;68.0;21.0;;;;;;2.0;1.0;1.0;0.0;0.0;;;;;2.0;;62.0;47.0;15.0;;15.0;15.0;12.0;3.0;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;21.0;14.0;7.0;122.0;;;;4.0;0.0;;43.0;4.0;38.0;12.0;8.0;0.0;2.0;2.0;;142;33;0;33;24;9;-1;15;8;47;4;1;25
17;B-E Nijverheid (geen bouw) en energie;10 tot 50 werknemers;2018;425.0;;0.0;;;;;6.0;1.0;1.0;;;120.0;88.0;67.0;20.0;33.0;;;;;3.0;1.0;1.0;0.0;0.0;;;;;3.0;;;;;0.0;;;;;;;;;16.0;16.0;13.0;3.0;0.0;9.0;8.0;6.0;2.0;2.0;5.0;5.0;4.0;1.0;;;;;;;;;28.0;16.0;12.0;203.0;;;8.0;5.0;;;50.0;8.0;42.0;11.0;6.0;0.0;2.0;4.0;;153;29;0;29;22;9;-1;14;9;54;3;1;34
18;B-E Nijverheid (geen bouw) en energie;10 tot 50 werknemers;2019;448.0;6.0;;;421.0;;;4.0;;;;;173.0;142.0;106.0;36.0;31.0;10.0;8.0;6.0;2.0;2.0;;;;;;;;;2.0;118.0;118.0;88.0;30.0;0.0;;;;;;;;;16.0;16.0;13.0;3.0;0.0;;;;;1.0;;;;;;;;;;;;;27.0;14.0;13.0;210.0;;;9.0;5.0;0.0;0.0;57.0;5.0;52.0;14.0;7.0;0.0;;;;210;30;0;30;72;8;51;13;8;61;4;1;34
19;B-E Nijverheid (geen bouw) en energie;10 tot 50 werknemers;2020;;4.0;1.0;3.0;;17.0;;18.0;;2.0;;;;;;;;10.0;8.0;6.0;2.0;3.0;1.0;1.0;1.0;0.0;9.0;7.0;5.0;1.0;3.0;;;;;;16.0;16.0;13.0;4.0;;;;;;14.0;11.0;3.0;;;;;;0.0;5.0;5.0;4.0;1.0;;;;;;;;;27.0;14.0;13.0;200.0;86.0;;11.0;;0.0;0.0;60.0;5.0;55.0;;5.0;0.0;1.0;;;260;30;1;30;121;10;100;11;7;64;5;1;31
20;B-E Nijverheid (geen bouw) en energie;10 tot 50 werknemers;2021;;10.0;0.0;9.0;;14.0;;5.0;;2.0;;;;;;;;11.0;7.0;5.0;2.0;4.0;1.0;1.0;1.0;0.0;9.0;6.0;4.0;1.0;4.0;;;;;;17.0;17.0;13.0;4.0;;;;;;14.0;11.0;3.0;;;;;;1.0;4.0;4.0;4.0;1.0;;;;;;;;;31.0;14.0;16.0;239.0;104.0;;12.0;;1.0;0.0;68.0;7.0;61.0;;10.0;0.0;2.0;;;502;37;1;36;339;10;318;11;8;72;5;2;39
21;B-E Nijverheid (geen bouw) en energie;10 tot 50 werknemers;2022;;3.0;1.0;2.0;;28.0;;6.0;;1.0;;;;;;;;12.0;8.0;7.0;2.0;4.0;1.0;1.0;1.0;0.0;11.0;7.0;5.0;2.0;4.0;;;;;;19.0;19.0;14.0;4.0;;;;;;15.0;12.0;3.0;;;;;;0.0;5.0;5.0;4.0;1.0;;;;;;;;;30.0;15.0;16.0;246.0;115.0;;10.0;;1.0;0.0;82.0;12.0;70.0;;6.0;0.0;2.0;;;533;33;1;32;360;11;337;12;6;86;6;1;41
22;B-E Nijverheid (geen bouw) en energie;50 tot 200 werknemers;2012;49.0;;;11.0;28.0;13.0;4.0;11.0;3.0;;;;179.0;131.0;97.0;34.0;48.0;;;;;9.0;;;;;34.0;25.0;19.0;6.0;9.0;;70.0;52.0;18.0;;25.0;25.0;18.0;7.0;4.0;4.0;3.0;1.0;;41.0;31.0;10.0;;;16.0;11.0;5.0;;;;;;;;;;;;;;35.0;16.0;19.0;264.0;152.0;35.0;28.0;7.0;1.0;0.0;97.0;38.0;59.0;20.0;11.0;;;4.0;63.0;268;80;1;79;11;18;-47;39;18;105;7;3;44
23;B-E Nijverheid (geen bouw) en energie;50 tot 200 werknemers;2013;69.0;;;;52.0;;;16.0;3.0;;;;174.0;122.0;92.0;30.0;52.0;;;;;8.0;;;;;;;;;8.0;;67.0;50.0;16.0;;;;;;;;;;;37.0;29.0;9.0;;;15.0;10.0;4.0;;;;;;;;;;;;;;35.0;15.0;20.0;275.0;146.0;37.0;30.0;6.0;1.0;0.0;88.0;33.0;56.0;21.0;11.0;0.0;6.0;4.0;68.0;252;79;1;78;7;18;-51;40;17;96;7;3;44
24;B-E Nijverheid (geen bouw) en energie;50 tot 200 werknemers;2014;87.0;10.0;;;66.0;22.0;;;;6.0;;1.0;172.0;118.0;90.0;28.0;54.0;30.0;22.0;17.0;5.0;8.0;;;;;;;;;8.0;68.0;66.0;51.0;16.0;2.0;24.0;24.0;18.0;6.0;;;;;;;;;2.0;;;;;7.0;7.0;7.0;6.0;2.0;;;;;2.0;2.0;2.0;1.0;38.0;19.0;19.0;267.0;158.0;38.0;30.0;7.0;1.0;0.0;101.0;34.0;66.0;20.0;11.0;;5.0;;72.0;258;78;1;77;-2;16;-51;33;20;107;6;3;47
25;B-E Nijverheid (geen bouw) en energie;50 tot 200 werknemers;2015;597.0;9.0;;;;;;31.0;;;6.0;;166.0;118.0;91.0;27.0;48.0;28.0;21.0;16.0;4.0;7.0;;;;;;;;;7.0;;;;;0.0;;;;;;;;;34.0;34.0;27.0;7.0;0.0;;;;;4.0;;;;;6.0;6.0;4.0;1.0;;;;;37.0;18.0;19.0;247.0;;;35.0;8.0;1.0;;103.0;35.0;68.0;80.0;14.0;;;;;319;84;1;83;-3;17;-49;30;16;109;6;4;103
26;B-E Nijverheid (geen bouw) en energie;50 tot 200 werknemers;2016;;;;10.0;;19.0;;;;;;;;;;;;;;;;9.0;;;;;26.0;17.0;13.0;4.0;9.0;;;;;;26.0;26.0;20.0;6.0;;;;;;;;;;;;;;4.0;;;;;;;;;;;;;41.0;21.0;20.0;272.0;202.0;;39.0;7.0;1.0;;;;67.0;44.0;6.0;;6.0;;;362;79;1;78;62;17;15;30;17;116;6;3;79
27;B-E Nijverheid (geen bouw) en energie;50 tot 200 werknemers;2017;179.0;13.0;;;;31.0;;14.0;2.0;;;;414.0;351.0;250.0;101.0;63.0;25.0;17.0;13.0;4.0;8.0;;;;;;;;;8.0;;;;;1.0;26.0;26.0;21.0;6.0;;;;;33.0;32.0;26.0;7.0;1.0;22.0;13.0;10.0;3.0;8.0;;;;;;;;;;;;;46.0;25.0;21.0;257.0;;;34.0;8.0;1.0;;111.0;38.0;73.0;32.0;9.0;;;5.0;;526;76;1;76;233;17;187;29;21;118;6;3;70
28;B-E Nijverheid (geen bouw) en energie;50 tot 200 werknemers;2018;128.0;19.0;;;97.0;;;28.0;3.0;6.0;;;431.0;366.0;264.0;102.0;65.0;30.0;17.0;13.0;4.0;13.0;;;;;;;;;13.0;322.0;321.0;230.0;91.0;0.0;;;;;;;;;31.0;31.0;25.0;6.0;0.0;17.0;13.0;10.0;3.0;4.0;7.0;7.0;5.0;1.0;;;;;;;;;49.0;25.0;23.0;282.0;;;33.0;8.0;;;115.0;40.0;75.0;48.0;10.0;;11.0;;;554;80;1;79;242;19;197;27;16;121;6;3;86
29;B-E Nijverheid (geen bouw) en energie;50 tot 200 werknemers;2019;189.0;8.0;;;;37.0;;24.0;3.0;;2.0;;454.0;380.0;279.0;101.0;74.0;32.0;19.0;14.0;4.0;13.0;;;;;;;;;13.0;;;;;1.0;31.0;31.0;24.0;7.0;;;;;33.0;32.0;26.0;7.0;1.0;22.0;13.0;10.0;3.0;9.0;;;;;6.0;6.0;4.0;1.0;;;;;50.0;26.0;24.0;287.0;;;36.0;9.0;1.0;0.0;121.0;33.0;88.0;104.0;24.0;;;;;633;99;1;99;246;20;198;28;22;128;6;3;131
30;B-E Nijverheid (geen bouw) en energie;50 tot 200 werknemers;2020;;12.0;;;;33.0;;17.0;;3.0;3.0;;;;;;;29.0;18.0;14.0;4.0;10.0;;;;;;;;;10.0;;;;;;34.0;34.0;26.0;8.0;;;;;;32.0;25.0;7.0;;;;;;8.0;7.0;7.0;6.0;1.0;6.0;6.0;4.0;1.0;;;;;50.0;26.0;24.0;295.0;;46.0;37.0;9.0;0.0;0.0;145.0;30.0;115.0;;26.0;;8.0;8.0;102.0;606;100;0;99;250;22;200;28;20;151;6;3;77
31;B-E Nijverheid (geen bouw) en energie;50 tot 200 werknemers;2021;;21.0;;;;30.0;;33.0;;26.0;4.0;;;;;;;33.0;18.0;14.0;4.0;15.0;;;;;;;;;15.0;;;;;;36.0;36.0;27.0;9.0;;;;;;31.0;24.0;6.0;;;;;;12.0;7.0;7.0;6.0;1.0;5.0;5.0;4.0;1.0;;;;;53.0;28.0;26.0;286.0;;43.0;33.0;9.0;1.0;0.0;135.0;41.0;94.0;;22.0;;10.0;8.0;116.0;603;97;0;96;262;23;212;27;23;141;5;3;72
32;B-E Nijverheid (geen bouw) en energie;50 tot 200 werknemers;2022;;27.0;;;;54.0;;36.0;;6.0;11.0;;;;;;;42.0;21.0;16.0;5.0;21.0;;;;;;;;;21.0;;;;;;40.0;40.0;31.0;9.0;;;;;;35.0;28.0;7.0;;;;;;11.0;11.0;11.0;8.0;2.0;5.0;5.0;4.0;1.0;;;;;54.0;26.0;28.0;301.0;;45.0;36.0;9.0;1.0;0.0;136.0;31.0;106.0;;23.0;;14.0;8.0;134.0;773;110;0;109;411;26;355;30;23;146;5;2;77
33;B-E Nijverheid (geen bouw) en energie;200 en meer werknemers;2012;378.0;;0.0;;218.0;79.0;35.0;104.0;40.0;;;;683.0;523.0;382.0;142.0;159.0;;;;;20.0;2.0;2.0;1.0;1.0;;;;;20.0;353.0;340.0;248.0;92.0;12.0;119.0;119.0;87.0;32.0;44.0;44.0;30.0;15.0;189.0;177.0;131.0;45.0;12.0;90.0;50.0;33.0;16.0;41.0;;;;;;;;;;;;;86.0;40.0;46.0;511.0;334.0;80.0;57.0;11.0;13.0;0.0;206.0;91.0;115.0;48.0;22.0;3.0;13.0;10.0;527.0;489;189;2;188;-172;87;-411;152;90;229;17;24;112
34;B-E Nijverheid (geen bouw) en energie;200 en meer werknemers;2013;219.0;;;;173.0;;;89.0;18.0;;;;678.0;521.0;384.0;136.0;158.0;;;;;23.0;;;;;;;;;23.0;353.0;339.0;251.0;88.0;14.0;;;;;;;;;184.0;169.0;126.0;43.0;14.0;89.0;50.0;35.0;16.0;39.0;;;;;;;;;;;;;82.0;37.0;45.0;487.0;345.0;79.0;54.0;11.0;14.0;0.0;204.0;75.0;128.0;62.0;20.0;;14.0;;569.0;455;184;2;182;-212;90;-449;147;89;226;18;26;124
35;B-E Nijverheid (geen bouw) en energie;200 en meer werknemers;2014;962.0;183.0;4.0;180.0;636.0;;;506.0;;87.0;29.0;;;504.0;380.0;124.0;;93.0;70.0;55.0;15.0;23.0;2.0;2.0;1.0;0.0;92.0;68.0;54.0;15.0;23.0;;335.0;254.0;81.0;;;;;;;;;;;165.0;126.0;39.0;;;;;;57.0;22.0;22.0;17.0;5.0;18.0;18.0;13.0;5.0;;;;;85.0;41.0;44.0;458.0;;;57.0;;13.0;0.0;204.0;95.0;109.0;111.0;23.0;;15.0;;;476;184;2;182;-250;84;-480;146;105;224;17;24;173
36;B-E Nijverheid (geen bouw) en energie;200 en meer werknemers;2015;1316.0;102.0;;;1090.0;;;717.0;71.0;23.0;;;;583.0;441.0;143.0;;106.0;85.0;66.0;20.0;21.0;;;;;;;;;21.0;;389.0;296.0;93.0;;;;;;;;;;;218.0;165.0;53.0;;71.0;47.0;34.0;13.0;24.0;31.0;31.0;23.0;8.0;;;;;;;;;85.0;39.0;46.0;470.0;;;56.0;;12.0;;209.0;96.0;112.0;131.0;24.0;;;;;523;197;2;195;-217;88;-492;187;71;238;19;24;192
37;B-E Nijverheid (geen bouw) en energie;200 en meer werknemers;2016;;36.0;;;;79.0;;100.0;17.0;11.0;;;;;;;127.0;110.0;87.0;66.0;21.0;23.0;;;;;;;;;23.0;;;;;3.0;152.0;152.0;118.0;34.0;;;;;295.0;292.0;219.0;73.0;3.0;69.0;51.0;37.0;14.0;18.0;32.0;32.0;24.0;8.0;;;;;;;;;83.0;39.0;44.0;447.0;;;57.0;12.0;13.0;;222.0;98.0;124.0;109.0;28.0;;19.0;;605.0;639;206;4;202;-98;118;-479;264;69;253;20;25;164
38;B-E Nijverheid (geen bouw) en energie;200 en meer werknemers;2017;328.0;;;47.0;;46.0;;;;8.0;2.0;;868.0;731.0;553.0;178.0;137.0;;;;;24.0;;;;;102.0;78.0;59.0;19.0;24.0;;;;;3.0;148.0;148.0;115.0;33.0;;;;;;;;;3.0;;;;;23.0;32.0;32.0;24.0;7.0;21.0;21.0;16.0;5.0;;;;;88.0;45.0;43.0;448.0;;;58.0;12.0;13.0;;212.0;81.0;132.0;80.0;28.0;;;11.0;;637;203;4;200;-71;121;-454;262;75;243;20;25;140
