ID;BedrijfstakkenBranchesSBI2008;WerkzamePersonen;Perioden;TotaalMilieuInvesteringen_1;TotaalWater_2;Waterbesparing_3;WaterOverig_4;TotaalLuchtEnEnergie_5;Energiebesparing_6;HernieuwbareEnergie_7;Lucht_8;Bodem_9;Afval_10;Geluid_11;Landschap_12;TotaalKosten_13;TotaalKapitaallasten_14;Afschrijvingen_15;Rente_16;OverigeKosten_17;TotaalKosten_18;TotaalKapitaallasten_19;Afschrijvingen_20;Rente_21;AfvoerWaterzuiveringsslib_22;TotaalKosten_23;TotaalKapitaallasten_24;Afschrijvingen_25;Rente_26;TotaalKosten_27;TotaalKapitaallasten_28;Afschrijvingen_29;Rente_30;AfvoerWaterzuiveringsslib_31;TotaalKosten_32;TotaalKapitaallasten_33;Afschrijvingen_34;Rente_35;AfvoerAfvalLuchtzuiveringsinstallaties_36;TotaalKosten_37;TotaalKapitaallasten_38;Afschrijvingen_39;Rente_40;TotaalKosten_41;TotaalKapitaallasten_42;Afschrijvingen_43;Rente_44;TotaalKosten_45;TotaalKapitaallasten_46;Afschrijvingen_47;Rente_48;AfvoerAfvalLuchtzuiveringsinstallaties_49;TotaalKosten_50;TotaalKapitaallasten_51;Afschrijvingen_52;Rente_53;Bodemsanering_54;TotaalKosten_55;TotaalKapitaallasten_56;Afschrijvingen_57;Rente_58;TotaalKosten_59;TotaalKapitaallasten_60;Afschrijvingen_61;Rente_62;TotaalKosten_63;TotaalKapitaallasten_64;Afschrijvingen_65;Rente_66;TotaalKosten_67;EigenMilieuonderzoek_68;Personeelskosten_69;ArbeidEigenPersoneel_70;TotaalBetaaldeOverdrachten_71;TotaalMilieuheffingenEnLeges_72;WVOHeffing_73;Rioolrecht_74;HeffingGrondwateronttrekking_75;LegesMilieuvergunningen_76;TotaalAfvoerVanAfvalstoffen_77;GevaarlijkAfval_78;OverigVastAfval_79;TotaalUitbestedeMilieuactiviteiten_80;WaterzuiveringDoorParticulieren_81;SchadebetalingenEnMilieuboeten_82;MilieuonderzoekDoorDerden_83;MilieucoordinatieDoorDerden_84;TotaalOntvangenOverdrachten_85;TotaalMilieucompartimenten_86;Totaal_87;Waterbesparing_88;WaterOverig_89;Totaal_90;Energiebesparing_91;HernieuwbareEnergie_92;Lucht_93;Bodem_94;Afval_95;Geluid_96;Landschap_97;Algemeen_98
0;B-E Nijverheid (geen bouw) en energie;10 en meer werknemers;2012;497.0;67.0;1.0;66.0;303.0;101.0;81.0;122.0;45.0;39.0;;;965.0;734.0;538.0;196.0;231.0;154.0;122.0;94.0;29.0;31.0;3.0;3.0;2.0;1.0;150.0;119.0;91.0;27.0;31.0;469.0;454.0;333.0;121.0;15.0;159.0;159.0;117.0;43.0;52.0;52.0;35.0;18.0;257.0;242.0;181.0;61.0;15.0;118.0;74.0;50.0;24.0;44.0;39.0;39.0;30.0;10.0;;;;;;;;;141.0;65.0;76.0;963.0;551.0;130.0;95.0;21.0;13.0;0.0;342.0;133.0;208.0;79.0;39.0;3.0;19.0;17.0;624.0;892;308;3;305;-148;116;-479;215;117;377;29;28;180
1;B-E Nijverheid (geen bouw) en energie;10 en meer werknemers;2013;402.0;34.0;2.0;33.0;302.0;65.0;119.0;119.0;39.0;7.0;;;953.0;723.0;536.0;187.0;230.0;147.0;114.0;88.0;26.0;33.0;3.0;3.0;2.0;1.0;144.0;111.0;86.0;25.0;33.0;473.0;452.0;336.0;116.0;21.0;163.0;163.0;123.0;41.0;60.0;60.0;41.0;19.0;250.0;228.0;172.0;56.0;21.0;116.0;73.0;50.0;23.0;43.0;39.0;39.0;29.0;10.0;;;;;;;;;133.0;59.0;74.0;930.0;558.0;130.0;94.0;21.0;15.0;0.0;331.0;116.0;215.0;96.0;39.0;;22.0;;672.0;839;300;3;297;-192;118;-519;208;115;366;29;30;190
2;B-E Nijverheid (geen bouw) en energie;10 en meer werknemers;2014;1119.0;195.0;5.0;190.0;767.0;;;525.0;18.0;94.0;;;;706.0;533.0;173.0;;138.0;105.0;82.0;23.0;33.0;3.0;3.0;2.0;1.0;135.0;102.0;80.0;22.0;33.0;;452.0;343.0;109.0;;;;;;;;;;;222.0;170.0;52.0;;135.0;71.0;50.0;21.0;64.0;35.0;35.0;27.0;8.0;;;;;;;;;140.0;69.0;71.0;858.0;;;97.0;;13.0;0.0;338.0;133.0;205.0;140.0;39.0;;22.0;;;860;295;3;291;-236;111;-545;198;135;369;27;28;241
3;B-E Nijverheid (geen bouw) en energie;10 en meer werknemers;2015;1964.0;113.0;20.0;93.0;1702.0;336.0;611.0;755.0;82.0;29.0;25.0;12.0;;787.0;596.0;191.0;;148.0;118.0;91.0;26.0;30.0;4.0;4.0;3.0;1.0;144.0;114.0;88.0;25.0;30.0;;514.0;392.0;123.0;;162.0;162.0;126.0;36.0;82.0;82.0;59.0;22.0;;271.0;207.0;64.0;;97.0;68.0;49.0;19.0;30.0;43.0;43.0;32.0;11.0;29.0;29.0;21.0;8.0;15.0;15.0;11.0;4.0;142.0;67.0;75.0;914.0;;;99.0;;14.0;;351.0;136.0;215.0;225.0;42.0;;25.0;;;980;311;4;308;-201;115;-549;233;97;390;28;29;324
4;B-E Nijverheid (geen bouw) en energie;10 en meer werknemers;2016;2149.0;48.0;;;2045.0;110.0;;;22.0;19.0;10.0;3.0;;968.0;729.0;240.0;;149.0;114.0;87.0;27.0;34.0;;;;;;;;;34.0;;693.0;522.0;171.0;;194.0;194.0;150.0;43.0;;;;;;;;;;95.0;72.0;52.0;20.0;23.0;44.0;44.0;33.0;10.0;30.0;30.0;22.0;8.0;16.0;16.0;11.0;4.0;147.0;71.0;76.0;923.0;681.0;;104.0;24.0;14.0;;;;228.0;166.0;41.0;79.0;26.0;19.0;;1140;316;5;311;-16;144;-469;310;95;414;29;30;271
5;B-E Nijverheid (geen bouw) en energie;10 en meer werknemers;2017;545.0;66.0;6.0;60.0;;84.0;;101.0;30.0;14.0;4.0;;;1171.0;871.0;300.0;;143.0;109.0;83.0;26.0;34.0;5.0;5.0;4.0;2.0;137.0;103.0;79.0;24.0;34.0;;;;;;190.0;190.0;147.0;42.0;;;;;;338.0;258.0;80.0;;105.0;73.0;54.0;19.0;31.0;44.0;44.0;34.0;10.0;30.0;30.0;23.0;7.0;;;;;155.0;84.0;71.0;826.0;;;;25.0;14.0;;366.0;123.0;243.0;125.0;45.0;36.0;26.0;18.0;;1305;313;5;308;185;147;-268;306;104;408;30;30;235
6;B-E Nijverheid (geen bouw) en energie;10 en meer werknemers;2018;1136.0;;;57.0;;129.0;;152.0;29.0;13.0;7.0;5.0;;1197.0;900.0;296.0;;;;;;46.0;;;;;149.0;104.0;79.0;24.0;46.0;;;;;;190.0;190.0;149.0;41.0;;;;;;333.0;257.0;76.0;;115.0;74.0;54.0;19.0;41.0;42.0;42.0;33.0;9.0;29.0;29.0;22.0;7.0;16.0;16.0;12.0;4.0;172.0;89.0;83.0;974.0;702.0;;105.0;25.0;;;;132.0;;153.0;39.0;56.0;36.0;21.0;;1392;323;5;318;166;147;-284;302;114;444;29;30;286
7;B-E Nijverheid (geen bouw) en energie;10 en meer werknemers;2019;1209.0;;;59.0;;170.0;;165.0;65.0;12.0;24.0;;1570.0;1298.0;978.0;320.0;272.0;;;;;48.0;;;;;154.0;106.0;81.0;25.0;48.0;;;;;6.0;177.0;177.0;135.0;42.0;;;;;349.0;343.0;268.0;75.0;6.0;117.0;76.0;57.0;19.0;41.0;41.0;41.0;32.0;9.0;29.0;29.0;22.0;7.0;;;;;177.0;88.0;89.0;1016.0;;;113.0;26.0;14.0;0.0;429.0;126.0;303.0;280.0;57.0;;27.0;;;1578;354;5;349;183;129;-264;318;116;466;29;30;400
8;B-E Nijverheid (geen bouw) en energie;10 en meer werknemers;2020;2876.0;89.0;;;2714.0;180.0;;;47.0;11.0;10.0;3.0;;1397.0;1061.0;335.0;;164.0;115.0;89.0;26.0;49.0;;;;;;;;;49.0;;1114.0;843.0;271.0;;193.0;193.0;149.0;44.0;;;;;;;;;;116.0;79.0;60.0;20.0;37.0;41.0;41.0;33.0;8.0;30.0;30.0;24.0;7.0;17.0;17.0;14.0;3.0;173.0;91.0;83.0;945.0;;;120.0;;13.0;0.0;463.0;131.0;331.0;128.0;63.0;14.0;26.0;24.0;;1503;371;5;366;219;143;-249;325;115;500;30;30;238
9;B-E Nijverheid (geen bouw) en energie;10 en meer werknemers;2021;1972.0;78.0;;;1799.0;129.0;;;46.0;35.0;12.0;2.0;;1711.0;1295.0;416.0;;173.0;120.0;93.0;27.0;54.0;;;;;;;;;54.0;;1426.0;1074.0;352.0;;205.0;205.0;158.0;47.0;;;;;;;;;;120.0;79.0;59.0;20.0;41.0;40.0;40.0;33.0;8.0;30.0;30.0;23.0;6.0;16.0;16.0;13.0;3.0;190.0;96.0;94.0;1030.0;;;115.0;;15.0;0.0;455.0;139.0;316.0;141.0;72.0;3.0;35.0;31.0;;1735;387;6;381;418;152;-63;329;120;491;30;30;259
10;B-E Nijverheid (geen bouw) en energie;10 en meer werknemers;2022;2284.0;215.0;;;1929.0;231.0;;;27.0;82.0;23.0;7.0;;2010.0;1533.0;477.0;;197.0;132.0;104.0;28.0;65.0;;;;;;;;;65.0;;1711.0;1299.0;411.0;;222.0;222.0;173.0;49.0;;;;;;;;;;119.0;82.0;62.0;21.0;36.0;44.0;44.0;36.0;8.0;29.0;29.0;23.0;6.0;12.0;12.0;9.0;3.0;197.0;99.0;99.0;1075.0;;;121.0;;16.0;0.0;506.0;143.0;363.0;153.0;77.0;4.0;42.0;31.0;;1994;422;7;416;580;162;72;346;118;545;29;28;274
11;B-E Nijverheid (geen bouw) en energie;10 tot 50 werknemers;2012;70.0;;;;57.0;9.0;41.0;7.0;2.0;;1.0;0.0;103.0;80.0;59.0;20.0;23.0;;;;;2.0;;;;;;;;;2.0;;44.0;33.0;11.0;;16.0;16.0;11.0;4.0;4.0;4.0;3.0;1.0;;24.0;19.0;6.0;;;9.0;6.0;3.0;;;;;;5.0;5.0;3.0;1.0;1.0;1.0;1.0;0.0;19.0;9.0;10.0;189.0;64.0;15.0;10.0;4.0;0.0;0.0;38.0;4.0;34.0;11.0;6.0;;;3.0;33.0;134;39;1;38;13;11;-21;23;9;43;5;1;24
12;B-E Nijverheid (geen bouw) en energie;10 tot 50 werknemers;2013;114.0;;;;78.0;15.0;49.0;14.0;18.0;;;;101.0;80.0;60.0;20.0;21.0;;;;;3.0;;;;;;;;;3.0;;46.0;35.0;12.0;;16.0;16.0;12.0;4.0;9.0;9.0;6.0;3.0;;22.0;17.0;5.0;;;8.0;6.0;2.0;;;;;;;;;;;;;;16.0;7.0;9.0;169.0;66.0;15.0;10.0;4.0;0.0;0.0;39.0;8.0;32.0;12.0;7.0;0.0;2.0;4.0;35.0;132;38;1;37;14;11;-18;21;9;44;4;1;22
