ID;BedrijfstakkenBranchesSBI93;RegioS;Perioden;VerrichteRDUitgavenEigenPersoneel_1;ArbeidsjarenEigenRDPersoneel_2
0;1;Nederland;1996;3342;39499
1;1;Nederland;1997;3715;42409
2;1;Nederland;1998;3720;43872
3;1;Nederland;1999;4263;45181
4;1;Nederland;2000;4457;47509
5;1;Nederland;2001;4712;48368
6;1;Noord-Nederland (LD);1996;157;2149
7;1;Noord-Nederland (LD);1997;192;2755
8;1;Noord-Nederland (LD);1998;182;2224
9;1;Noord-Nederland (LD);1999;209;2270
10;1;Noord-Nederland (LD);2000;195;2586
11;1;Noord-Nederland (LD);2001;217;2889
12;1;Oost-Nederland (LD);1996;532;6572
13;1;Oost-Nederland (LD);1997;585;7235
14;1;Oost-Nederland (LD);1998;628;7712
15;1;Oost-Nederland (LD);1999;753;8128
16;1;Oost-Nederland (LD);2000;647;8176
17;1;Oost-Nederland (LD);2001;752;9163
18;1;West-Nederland (LD);1996;1277;16044
19;1;West-Nederland (LD);1997;1451;16487
20;1;West-Nederland (LD);1998;1424;17690
21;1;West-Nederland (LD);1999;1551;17611
22;1;West-Nederland (LD);2000;1593;17644
23;1;West-Nederland (LD);2001;1600;17733
24;1;Zuid-Nederland (LD);1996;1375;14734
25;1;Zuid-Nederland (LD);1997;1486;15932
26;1;Zuid-Nederland (LD);1998;1485;16245
27;1;Zuid-Nederland (LD);1999;1751;17171
28;1;Zuid-Nederland (LD);2000;2023;19104
29;1;Zuid-Nederland (LD);2001;2142;18583
30;2;Nederland;1996;2645;29267
31;2;Nederland;1997;2812;30243
32;2;Nederland;1998;2786;31033
33;2;Nederland;1999;3242;32679
34;2;Nederland;2000;3385;33292
35;2;Nederland;2001;3573;33470
36;2;Noord-Nederland (LD);1996;115;1598
37;2;Noord-Nederland (LD);1997;130;1784
38;2;Noord-Nederland (LD);1998;121;1516
39;2;Noord-Nederland (LD);1999;122;1519
40;2;Noord-Nederland (LD);2000;149;1817
41;2;Noord-Nederland (LD);2001;165;2012
42;2;Oost-Nederland (LD);1996;427;5129
43;2;Oost-Nederland (LD);1997;457;5285
44;2;Oost-Nederland (LD);1998;486;5518
45;2;Oost-Nederland (LD);1999;560;5767
46;2;Oost-Nederland (LD);2000;503;5948
47;2;Oost-Nederland (LD);2001;532;6406
48;2;West-Nederland (LD);1996;816;9196
49;2;West-Nederland (LD);1997;846;9157
50;2;West-Nederland (LD);1998;829;9663
51;2;West-Nederland (LD);1999;955;10264
52;2;West-Nederland (LD);2000;925;9293
53;2;West-Nederland (LD);2001;920;8968
54;2;Zuid-Nederland (LD);1996;1286;13344
55;2;Zuid-Nederland (LD);1997;1379;14018
56;2;Zuid-Nederland (LD);1998;1350;14336
57;2;Zuid-Nederland (LD);1999;1605;15129
58;2;Zuid-Nederland (LD);2000;1808;16235
59;2;Zuid-Nederland (LD);2001;1956;16085
60;3;Nederland;1996;549;7952
61;3;Nederland;1997;688;9808
62;3;Nederland;1998;629;9272
63;3;Nederland;1999;766;9833
64;3;Nederland;2000;877;12053
65;3;Nederland;2001;922;12602
66;3;Noord-Nederland (LD);1996;30;409
67;3;Noord-Nederland (LD);1997;49;809
68;3;Noord-Nederland (LD);1998;43;530
69;3;Noord-Nederland (LD);1999;69;592
70;3;Noord-Nederland (LD);2000;31;633
71;3;Noord-Nederland (LD);2001;39;749
72;3;Oost-Nederland (LD);1996;97;1295
73;3;Oost-Nederland (LD);1997;105;1614
74;3;Oost-Nederland (LD);1998;118;1813
75;3;Oost-Nederland (LD);1999;175;2087
76;3;Oost-Nederland (LD);2000;135;2062
77;3;Oost-Nederland (LD);2001;211;2638
78;3;West-Nederland (LD);1996;348;5057
79;3;West-Nederland (LD);1997;440;5674
80;3;West-Nederland (LD);1998;387;5787
81;3;West-Nederland (LD);1999;420;5776
82;3;West-Nederland (LD);2000;522;6919
83;3;West-Nederland (LD);2001;526;7273
84;3;Zuid-Nederland (LD);1996;74;1191
85;3;Zuid-Nederland (LD);1997;94;1710
86;3;Zuid-Nederland (LD);1998;81;1141
87;3;Zuid-Nederland (LD);1999;102;1378
88;3;Zuid-Nederland (LD);2000;188;2438
89;3;Zuid-Nederland (LD);2001;146;1943
90;4;Nederland;1996;147;2280
91;4;Nederland;1997;214;2358
92;4;Nederland;1998;305;3567
93;4;Nederland;1999;255;2669
94;4;Nederland;2000;195;2164
95;4;Nederland;2001;217;2296
96;4;Noord-Nederland (LD);1996;13;142
97;4;Noord-Nederland (LD);1997;13;162
98;4;Noord-Nederland (LD);1998;18;178
99;4;Noord-Nederland (LD);1999;18;159
100;4;Noord-Nederland (LD);2000;14;135
101;4;Noord-Nederland (LD);2001;14;128
102;4;Oost-Nederland (LD);1996;8;148
103;4;Oost-Nederland (LD);1997;23;336
104;4;Oost-Nederland (LD);1998;25;381
105;4;Oost-Nederland (LD);1999;18;273
106;4;Oost-Nederland (LD);2000;9;166
107;4;Oost-Nederland (LD);2001;9;120
108;4;West-Nederland (LD);1996;113;1791
109;4;West-Nederland (LD);1997;165;1656
110;4;West-Nederland (LD);1998;208;2240
111;4;West-Nederland (LD);1999;175;1571
112;4;West-Nederland (LD);2000;146;1432
113;4;West-Nederland (LD);2001;154;1492
114;4;Zuid-Nederland (LD);1996;15;200
115;4;Zuid-Nederland (LD);1997;13;204
116;4;Zuid-Nederland (LD);1998;54;767
117;4;Zuid-Nederland (LD);1999;44;665
118;4;Zuid-Nederland (LD);2000;27;431
119;4;Zuid-Nederland (LD);2001;39;556
