ID;SoortRijksmonument;RegioS;Perioden;Rijksmonumenten_1
0;Rijksmonumenten totaal;Nederland;2013;61730
1;Rijksmonumenten totaal;Nederland;2014;61768
2;Rijksmonumenten totaal;Nederland;2015;61847
3;Rijksmonumenten totaal;Nederland;2016;61959
4;Rijksmonumenten totaal;Nederland;2017;61965
5;Rijksmonumenten totaal;Noord-Nederland (LD);2013;8009
6;Rijksmonumenten totaal;Noord-Nederland (LD);2014;8005
7;Rijksmonumenten totaal;Noord-Nederland (LD);2015;7996
8;Rijksmonumenten totaal;Noord-Nederland (LD);2016;7992
9;Rijksmonumenten totaal;Noord-Nederland (LD);2017;7992
10;Rijksmonumenten totaal;Oost-Nederland (LD);2013;10114
11;Rijksmonumenten totaal;Oost-Nederland (LD);2014;10170
12;Rijksmonumenten totaal;Oost-Nederland (LD);2015;10213
13;Rijksmonumenten totaal;Oost-Nederland (LD);2016;10215
14;Rijksmonumenten totaal;Oost-Nederland (LD);2017;10225
15;Rijksmonumenten totaal;West-Nederland (LD);2013;28763
16;Rijksmonumenten totaal;West-Nederland (LD);2014;28767
17;Rijksmonumenten totaal;West-Nederland (LD);2015;28783
18;Rijksmonumenten totaal;West-Nederland (LD);2016;28902
19;Rijksmonumenten totaal;West-Nederland (LD);2017;28899
20;Rijksmonumenten totaal;Zuid-Nederland (LD);2013;14844
21;Rijksmonumenten totaal;Zuid-Nederland (LD);2014;14826
22;Rijksmonumenten totaal;Zuid-Nederland (LD);2015;14855
23;Rijksmonumenten totaal;Zuid-Nederland (LD);2016;14850
24;Rijksmonumenten totaal;Zuid-Nederland (LD);2017;14849
25;Rijksmonumenten totaal;Groningen (PV);2013;2556
26;Rijksmonumenten totaal;Groningen (PV);2014;2556
27;Rijksmonumenten totaal;Groningen (PV);2015;2557
28;Rijksmonumenten totaal;Groningen (PV);2016;2557
29;Rijksmonumenten totaal;Groningen (PV);2017;2557
30;Rijksmonumenten totaal;Friesland (PV);2013;4169
31;Rijksmonumenten totaal;Friesland (PV);2014;4158
32;Rijksmonumenten totaal;Friesland (PV);2015;4157
33;Rijksmonumenten totaal;Friesland (PV);2016;4153
34;Rijksmonumenten totaal;Friesland (PV);2017;4153
35;Rijksmonumenten totaal;Drenthe (PV);2013;1284
36;Rijksmonumenten totaal;Drenthe (PV);2014;1291
37;Rijksmonumenten totaal;Drenthe (PV);2015;1282
38;Rijksmonumenten totaal;Drenthe (PV);2016;1282
39;Rijksmonumenten totaal;Drenthe (PV);2017;1282
40;Rijksmonumenten totaal;Overijssel (PV);2013;3945
41;Rijksmonumenten totaal;Overijssel (PV);2014;3943
42;Rijksmonumenten totaal;Overijssel (PV);2015;3943
