ID;Geslacht;Diplomasoort;Studierichting;Vooropleiding;Herkomstgroepering;Opleidingsvorm;Perioden;TotaalGediplomeerden_1;StudieduurInMaanden_2
0;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Totaal opleidingsvorm;1995/'96;49220;53.0
1;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Totaal opleidingsvorm;1996/'97;48532;52.0
2;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Totaal opleidingsvorm;1997/'98;48102;52.0
3;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Totaal opleidingsvorm;1998/'99;48059;52.0
4;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Totaal opleidingsvorm;1999/'00;49847;51.0
5;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Totaal opleidingsvorm;2000/'01;50656;51.0
6;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Totaal opleidingsvorm;2001/'02;53628;51.0
7;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Totaal opleidingsvorm;2002/'03;55930;51.0
8;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Totaal opleidingsvorm;2003/'04;57708;51.0
9;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Totaal opleidingsvorm;2004/'05;57640;52.0
10;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Totaal opleidingsvorm;2005/'06;58334;52.0
11;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Totaal opleidingsvorm;2006/'07;59657;53.0
12;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Totaal opleidingsvorm;2007/'08;59986;53.0
13;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Totaal opleidingsvorm;2008/'09;61813;54.0
14;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Totaal opleidingsvorm;2009/'10;62249;55.0
15;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Totaal opleidingsvorm;2010/'11;61652;55.0
16;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Totaal opleidingsvorm;2011/'12;65018;56.0
17;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Totaal opleidingsvorm;2012/'13;59246;56.0
18;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Voltijd;1995/'96;42145;54.0
19;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Voltijd;1996/'97;41882;53.0
20;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Voltijd;1997/'98;41687;52.0
21;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Voltijd;1998/'99;41681;52.0
22;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Voltijd;1999/'00;43078;51.0
23;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Voltijd;2000/'01;42955;51.0
24;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Voltijd;2001/'02;44910;50.0
25;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Voltijd;2002/'03;46394;50.0
26;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Voltijd;2003/'04;47565;51.0
27;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Voltijd;2004/'05;46884;51.0
28;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Voltijd;2005/'06;47881;51.0
29;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Voltijd;2006/'07;50048;52.0
30;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Voltijd;2007/'08;50362;52.0
31;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Voltijd;2008/'09;52149;53.0
32;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Voltijd;2009/'10;52818;54.0
33;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Voltijd;2010/'11;52219;54.0
34;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Voltijd;2011/'12;55181;55.0
35;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Voltijd;2012/'13;51092;54.0
36;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Deeltijd;1995/'96;7075;50.0
37;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Deeltijd;1996/'97;6650;51.0
38;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Deeltijd;1997/'98;6415;53.0
39;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Deeltijd;1998/'99;6378;53.0
40;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Deeltijd;1999/'00;6769;52.0
41;Totaal mannen en vrouwen;Bachelor;0;Totaal vooropleidingen;Totaal herkomstgroepering;Deeltijd;2000/'01;7701;52.0
