ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;TotaalNettoOmzet_24;VerleendeDiensten_25;Handelsgoederen_26;PersonenautoS_27;VrachtautoSAanhangwagensEnOpleggers_28;CaravansVouwwagensEnKampeerautoS_29;Containers_30;Schepen_31;Vliegtuigen_32;OverigeOmzetVerhuurEnLease_33;OntvangstenVoorUitleenEnSubsidie_34;TotaalPersoneelskosten_35;BrutoLonenEnSalarissen_36;SocialeLasten_37;Pensioenpremies_38;KostenUitzendkrachten_39;KostenIngeleendPersoneel_40;OverigePersoneelskosten_41;TotaalOverigeBedrijfslasten_42;TotaalHuisvestingskosten_43;BetaaldeHurenPachtenEDVanLeasing_44;OnroerendeZaakbelastingMilieuheffing_45;Energiekosten_46;ReparatieEnOnderhoudskosten_47;Verzekeringen_48;OverigeHuisvestingskosten_49;TotaalInventarisEnMachinekosten_50;BetaaldeHurenEnKostenVanOperLease_51;Onderhoudskosten_52;OverigeInventarisEnMachinekosten_53;TotaalAutokosten_54;BetaaldeHurenEnKostenVanOperLease_55;Brandstof_56;OverigeAutokosten_57;TotaalVerkoopkosten_58;ReclameEnAdvertentiekosten_59;ReisVerblijfsEnRepresentatiekosten_60;OverigeVerkoopkosten_61;TotaalAndereKosten_62;AccountantsEnAdviesdiensten_63;KantoorbenodigdhDrukwerkVakliteratuur_64;OverigeVerzekeringen_65;OverigeKostprijsverhogendeBelastingen_66;Communicatiekosten_67;Beheerskosten_68;OverigeAutomatiseringskosten_69;NogNietEerderGenoemdeBedrijfskosten_70;TotaalAantalWerkzamePersonen_71;WerknemersOpDeLoonlijst_72;WerknemersNietOpLoonlijst_73;OverigPersoneel_74;AantalVte_75;TotaalInvesteringen_76;TotaalMaterieleVasteActiva_77;Bedrijfsruimten_78;Vervoermiddelen_79;Computers_80;OverigeMachinesApparatenED_81;OverigeMaterieleVasteActiva_82;TotaalImmaterieleVasteActiva_83
0;Totaal SBI 712;1996;6.9;319.0;300.0;245.0;55.0;19.0;272.0;44.5;11.9;30.5;13.1;35.0;6.0;2.0;4.0;7.0;17.0;47.0;-15.0;32.0;59.7;9.5;10.1;300.0;245.0;55.0;8.7;54.0;1.9;1.3;4.9;1.6;21.1;0.5;32.0;79.0;7.5;3.9;1.2;6.2;2.7;35.0;6.0;58.2;2.2;12.4;19.0;3.5;4.7;2.0;37.6;44.0;18.4;4.0;22.8;16.6;60.6;7.0;30.6;19.2;50.3;17.0;24.2;8.0;11.5;0.1;8.8;26.1;8.7;12.6;18.0;61.8;32.7;5.5;16.0;193.0;99.5;1.6;91.5;0.3;3.9;2.3;0.5
1;Totaal SBI 712;1997;6.9;326.0;304.0;265.0;39.0;22.0;280.0;41.2;12.8;31.8;14.2;40.0;6.0;1.0;5.0;7.0;20.0;46.0;-2.0;44.0;62.0;12.1;13.4;304.0;265.0;39.0;2.7;61.4;2.4;4.7;1.9;1.9;16.4;0.6;36.0;70.8;5.5;3.6;7.3;5.9;7.5;40.0;6.0;72.9;3.3;7.8;8.8;1.9;5.3;1.0;28.5;37.9;33.6;5.0;34.6;13.9;51.5;7.0;46.0;28.9;25.1;20.0;24.0;7.3;8.9;0.4;13.4;32.1;4.7;8.7;17.0;63.2;32.5;4.4;15.0;204.0;99.7;0.4;94.5;0.4;2.5;2.0;0.3
2;Totaal SBI 712;1998;6.2;402.0;377.0;333.0;44.0;25.0;365.0;38.1;10.7;40.8;10.4;38.0;6.0;1.0;4.0;8.0;19.0;37.0;-9.0;28.0;63.1;6.4;7.1;377.0;333.0;44.0;2.9;65.4;1.1;2.4;1.9;1.0;16.5;1.5;39.0;66.7;6.6;3.3;11.5;5.2;8.3;38.0;6.0;;;;;;;1.0;;;;4.0;;;;8.0;;;;19.0;;;;;;;;;15.0;63.2;32.0;4.8;13.0;457.0;100.0;1.2;97.6;0.4;0.6;0.2;0.0
3;Totaal SBI 712;1999;5.5;501.0;473.0;409.0;65.0;28.0;449.0;42.6;10.0;36.4;11.0;50.0;9.0;1.0;5.0;8.0;26.0;52.0;-7.0;45.0;59.6;8.0;9.0;473.0;409.0;65.0;2.6;54.0;0.8;4.9;2.9;0.5;22.5;0.3;45.0;70.8;7.1;4.8;6.7;3.6;7.3;50.0;9.0;;;;;;;1.0;;;;5.0;;;;8.0;;;;26.0;;;;;;;;;15.0;62.5;32.3;5.3;14.0;451.0;99.8;1.0;94.8;0.4;2.9;0.7;0.2
4;Tot 100 000 euro;1996;3.8;11.0;11.0;10.0;1.0;0.0;10.0;29.9;2.6;31.6;36.0;4.0;1.0;0.0;1.0;0.0;2.0;1.0;0.0;1.0;72.6;7.4;9.7;11.0;10.0;1.0;10.9;35.6;13.2;3.9;4.2;22.9;3.5;0.0;0.0;43.4;5.4;0.0;7.6;43.6;0.0;4.0;1.0;59.9;0.2;11.3;23.1;4.1;1.5;0.0;3.7;63.6;32.7;1.0;12.1;26.7;61.2;0.0;59.9;5.4;34.7;2.0;20.9;12.8;3.4;0.1;3.5;15.6;0.1;43.6;5.0;21.1;73.0;5.9;5.0;7.0;99.5;2.6;51.8;1.3;1.2;42.7;0.5
5;Tot 100 000 euro;1997;4.4;18.0;17.0;16.0;1.0;1.0;16.0;31.1;5.5;30.9;32.6;5.0;1.0;0.0;1.0;1.0;2.0;2.0;-1.0;1.0;71.1;6.2;8.0;17.0;16.0;1.0;8.0;30.2;24.6;2.4;9.0;21.3;2.6;0.0;1.0;70.8;12.6;0.0;1.1;12.6;2.8;5.0;1.0;54.0;4.2;19.7;14.6;2.0;5.5;0.0;34.0;31.7;34.2;1.0;32.8;10.8;56.4;1.0;52.8;14.2;33.0;2.0;28.3;10.8;6.1;0.1;7.1;13.4;0.6;33.7;6.0;32.1;66.6;1.4;5.0;8.0;99.7;0.0;78.1;0.1;19.9;1.6;0.3
6;Tot 100 000 euro;1998;3.9;13.0;13.0;12.0;1.0;0.0;12.0;27.3;6.6;29.5;36.5;4.0;1.0;0.0;1.0;0.0;2.0;2.0;0.0;2.0;75.4;15.1;18.5;13.0;12.0;1.0;12.1;27.4;26.9;0.9;7.8;19.8;3.1;0.1;1.0;62.5;19.5;0.0;1.1;14.1;3.0;4.0;1.0;;;;;;;0.0;;;;1.0;;;;0.0;;;;2.0;;;;;;;;;5.0;28.7;70.5;0.9;5.0;6.0;100.0;0.0;86.6;0.3;9.7;3.4;0.0
7;Tot 100 000 euro;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;100 000 tot 250 000 euro;1996;1.5;29.0;28.0;23.0;5.0;1.0;23.0;35.7;6.1;40.8;17.4;4.0;1.0;1.0;1.0;0.0;1.0;6.0;-1.0;5.0;70.8;16.5;18.3;28.0;23.0;5.0;4.1;56.0;9.0;1.4;12.3;3.5;8.7;7.1;1.0;85.1;4.1;5.7;0.4;9.9;1.9;4.0;1.0;53.0;1.5;20.6;11.8;4.3;8.9;1.0;17.6;74.9;7.5;1.0;29.8;11.7;58.5;0.0;70.7;21.8;7.5;1.0;36.9;8.1;13.4;0.0;5.3;21.4;0.0;15.0;3.0;53.6;46.4;0.0;2.0;10.0;94.6;5.5;85.0;0.1;2.0;2.0;5.4
9;100 000 tot 250 000 euro;1997;1.0;20.0;20.0;18.0;2.0;0.0;15.0;39.3;3.1;38.3;19.3;3.0;0.0;0.0;1.0;1.0;1.0;6.0;-1.0;5.0;71.3;25.0;26.6;20.0;18.0;2.0;4.7;35.6;4.7;19.1;15.2;6.0;13.2;0.5;0.0;46.2;9.0;0.0;1.3;37.9;6.0;3.0;0.0;91.6;0.0;2.9;1.7;0.3;3.4;0.0;39.0;10.4;50.6;1.0;33.0;25.1;41.9;1.0;47.9;14.3;37.8;1.0;28.1;7.3;3.5;0.1;4.5;38.7;0.4;17.4;2.0;27.2;72.8;0.0;1.0;13.0;99.9;0.0;81.4;0.1;7.4;11.1;0.1
