ID;Overheidsinstellingen;Bestrijdingsmiddelen;Toepassingssectoren;Perioden;GebruikInKgWerkzameStof_1
0;Totaal overheidsinstellingen;Totaal;Totaal toepassingssectoren;1992;70650
1;Totaal overheidsinstellingen;Totaal;Totaal toepassingssectoren;1995;50372
2;Totaal overheidsinstellingen;Totaal;Totaal toepassingssectoren;2001;42142
3;Totaal overheidsinstellingen;Totaal;Totaal toepassingssectoren;2005;53594
4;Totaal overheidsinstellingen;Totaal;Totaal toepassingssectoren;2009;25379
5;Totaal overheidsinstellingen;Totaal;Totaal toepassingssectoren;2013;25832
6;Totaal overheidsinstellingen;Totaal;Totaal toepassingssectoren;2018;4730
7;Totaal overheidsinstellingen;Totaal;Waterlopen en vijvers;1992;3761
8;Totaal overheidsinstellingen;Totaal;Waterlopen en vijvers;1995;557
9;Totaal overheidsinstellingen;Totaal;Waterlopen en vijvers;2001;0
10;Totaal overheidsinstellingen;Totaal;Waterlopen en vijvers;2005;6
11;Totaal overheidsinstellingen;Totaal;Waterlopen en vijvers;2009;9
12;Totaal overheidsinstellingen;Totaal;Waterlopen en vijvers;2013;31
13;Totaal overheidsinstellingen;Totaal;Waterlopen en vijvers;2018;1
14;Totaal overheidsinstellingen;Totaal;Beplantingen binnen de bebouwde kom;1992;19075
15;Totaal overheidsinstellingen;Totaal;Beplantingen binnen de bebouwde kom;1995;11073
16;Totaal overheidsinstellingen;Totaal;Beplantingen binnen de bebouwde kom;2001;10222
17;Totaal overheidsinstellingen;Totaal;Beplantingen binnen de bebouwde kom;2005;12107
18;Totaal overheidsinstellingen;Totaal;Beplantingen binnen de bebouwde kom;2009;3574
19;Totaal overheidsinstellingen;Totaal;Beplantingen binnen de bebouwde kom;2013;3085
20;Totaal overheidsinstellingen;Totaal;Beplantingen binnen de bebouwde kom;2018;132
21;Totaal overheidsinstellingen;Totaal;Beplantingen buiten de bebouwde kom;1992;1158
22;Totaal overheidsinstellingen;Totaal;Beplantingen buiten de bebouwde kom;1995;434
23;Totaal overheidsinstellingen;Totaal;Beplantingen buiten de bebouwde kom;2001;192
24;Totaal overheidsinstellingen;Totaal;Beplantingen buiten de bebouwde kom;2005;592
25;Totaal overheidsinstellingen;Totaal;Beplantingen buiten de bebouwde kom;2009;164
26;Totaal overheidsinstellingen;Totaal;Beplantingen buiten de bebouwde kom;2013;116
27;Totaal overheidsinstellingen;Totaal;Beplantingen buiten de bebouwde kom;2018;126
28;Totaal overheidsinstellingen;Totaal;Bossen en natuurterreinen;1992;356
29;Totaal overheidsinstellingen;Totaal;Bossen en natuurterreinen;1995;242
30;Totaal overheidsinstellingen;Totaal;Bossen en natuurterreinen;2001;103
31;Totaal overheidsinstellingen;Totaal;Bossen en natuurterreinen;2005;135
32;Totaal overheidsinstellingen;Totaal;Bossen en natuurterreinen;2009;140
33;Totaal overheidsinstellingen;Totaal;Bossen en natuurterreinen;2013;61
34;Totaal overheidsinstellingen;Totaal;Bossen en natuurterreinen;2018;180
35;Totaal overheidsinstellingen;Totaal;Sportvelden;1992;5548
36;Totaal overheidsinstellingen;Totaal;Sportvelden;1995;4896
