ID;SectorBranchesSIC2008;Periods;TurnoverIndicesOnlineSales_1;TurnoverYearOnYearChange_2
0;Retail trade (incl. webshops);2014 January;106.0;9.3
1;Retail trade (incl. webshops);2014 February;91.9;9.0
2;Retail trade (incl. webshops);2014 March;104.4;12.3
3;Retail trade (incl. webshops);2014 1st quarter;100.8;10.2
4;Retail trade (incl. webshops);2014 April;109.9;21.1
5;Retail trade (incl. webshops);2014 May;110.4;11.3
6;Retail trade (incl. webshops);2014 June;110.2;11.5
7;Retail trade (incl. webshops);2014 2nd quarter;110.2;14.4
8;Retail trade (incl. webshops);2014 July;106.4;9.8
9;Retail trade (incl. webshops);2014 August;105.0;14.7
10;Retail trade (incl. webshops);2014 September;111.0;4.9
11;Retail trade (incl. webshops);2014 3rd quarter;107.5;9.5
12;Retail trade (incl. webshops);2014 October;117.3;11.3
13;Retail trade (incl. webshops);2014 November;126.2;11.9
14;Retail trade (incl. webshops);2014 December;151.4;21.6
15;Retail trade (incl. webshops);2014 4th quarter;131.6;15.2
16;Retail trade (incl. webshops);2014;112.5;12.5
17;Retail trade (incl. webshops);2015 January;125.2;18.1
18;Retail trade (incl. webshops);2015 February;106.8;16.3
19;Retail trade (incl. webshops);2015 March;124.8;19.5
20;Retail trade (incl. webshops);2015 1st quarter;118.9;18.0
21;Retail trade (incl. webshops);2015 April;128.3;16.7
22;Retail trade (incl. webshops);2015 May;124.2;12.5
23;Retail trade (incl. webshops);2015 June;141.6;28.5
24;Retail trade (incl. webshops);2015 2nd quarter;131.4;19.3
25;Retail trade (incl. webshops);2015 July;131.9;24.0
26;Retail trade (incl. webshops);2015 August;127.2;21.2
27;Retail trade (incl. webshops);2015 September;142.1;28.0
28;Retail trade (incl. webshops);2015 3rd quarter;133.8;24.5
29;Retail trade (incl. webshops);2015 October;144.6;23.2
30;Retail trade (incl. webshops);2015 November;159.8;26.7
31;Retail trade (incl. webshops);2015 December;186.9;23.5
32;Retail trade (incl. webshops);2015 4th quarter;163.8;24.4
33;Retail trade (incl. webshops);2015;137.0;21.7
34;Retail trade (incl. webshops);2016 January;154.6;23.4
35;Retail trade (incl. webshops);2016 February;134.3;25.7
36;Retail trade (incl. webshops);2016 March;150.9;20.9
37;Retail trade (incl. webshops);2016 1st quarter;146.6;23.3
38;Retail trade (incl. webshops);2016 April;148.1;15.4
39;Retail trade (incl. webshops);2016 May;159.0;28.1
40;Retail trade (incl. webshops);2016 June;168.7;19.1
41;Retail trade (incl. webshops);2016 2nd quarter;158.6;20.7
42;Retail trade (incl. webshops);2016 July;152.7;15.7
43;Retail trade (incl. webshops);2016 August;150.1;18.0
44;Retail trade (incl. webshops);2016 September;159.1;11.9
45;Retail trade (incl. webshops);2016 3rd quarter;154.0;15.1
46;Retail trade (incl. webshops);2016 October;174.5;20.7
47;Retail trade (incl. webshops);2016 November;200.6;25.5
48;Retail trade (incl. webshops);2016 December;211.5;13.1
49;Retail trade (incl. webshops);2016 4th quarter;195.5;19.4
50;Retail trade (incl. webshops);2016;163.7;19.5
51;Retail trade (incl. webshops);2017 January;182.3;17.9
52;Retail trade (incl. webshops);2017 February;152.7;13.7
53;Retail trade (incl. webshops);2017 March;170.3;12.8
54;Retail trade (incl. webshops);2017 1st quarter;168.4;14.9
55;Retail trade (incl. webshops);2017 April;174.9;18.1
56;Retail trade (incl. webshops);2017 May;194.5;22.3
57;Retail trade (incl. webshops);2017 June;198.6;17.8
58;Retail trade (incl. webshops);2017 2nd quarter;189.3;19.4
59;Retail trade (incl. webshops);2017 July;182.7;19.7
60;Retail trade (incl. webshops);2017 August;175.2;16.7
61;Retail trade (incl. webshops);2017 September;195.3;22.8
62;Retail trade (incl. webshops);2017 3rd quarter;184.4;19.8
63;Retail trade (incl. webshops);2017 October;198.6;13.8
64;Retail trade (incl. webshops);2017 November;243.3;21.3
