ID;Politieregio;Cijfersoort;Perioden;SlachtofferschapTotaal_1;GeweldsdelictenTotaal_2;SeksueleDelicten_3;Mishandeling_4;Bedreiging_5;VermogensdelictenTotaal_6;TotaalInbrakenEnPogingTotInbraak_7;Inbraken_8;PogingTotInbraak_9;Fietsdiefstal_10;DiefstalVanEnUitDeAuto18_11;TotaalZakkenrollerij_12;ZakkenrollerijZonderGeweld_13;ZakkenrollerijMetGeweld_14;OverigeDiefstal_15;VandalismedelictenTotaal_16;OverigeDelicten_17;TotaalInbrakenEnPogingTotInbraak_18;Inbraken_19;PogingTotInbraak_20;Fietsdiefstal_21;DelictenTotaal_22;GeweldsdelictenTotaal_23;SeksueleDelicten_24;Mishandeling_25;Bedreiging_26;VermogensdelictenTotaal_27;PogingTotInbraakTotaal_28;PogingTotInbraak_29;Inbraak_30;Fietsendiefstal_31;DiefstalVanEnUitDeAuto_32;ZakkenrollerijTotaal_33;ZakkenrollerijZonderGeweld_34;ZakkenrollerijMetGeweld_35;OverigeDiefstal_36;VandalismedelictenTotaal_37;OverigeDelicten_38;DaderBekendTotaal_39;ExPartnerFamilielid_40;Partner_41;ExPartner_42;AnderFamilielid_43;Buurtgenoot_44;IemandVanHetWerk_45;AndersInclOnbekend_46;EigenBuurt_47;EldersInWoongemeente_48;EldersInNederland_49;InBuitenland_50;Onbekend_51;Thuis_52;InAndereWoning_53;InCafeBarDiscoRestaurant_54;OpStraat_55;OpTreinstationBushalteMetrostation_56;InTramBusTreinMetro_57;InEenAuto_58;OpWerk_59;OpSchool_60;InWinkelWarenhuisWinkelcentrum_61;SportveldSporthalKleedruimte_62;ParkParkeerterreinStrand_63;Elders_64
0;Nederland;Waarde;2008;26.1;5.4;1.5;1.2;3.7;13.2;2.5;1.1;1.6;5.4;1.8;1.9;1.8;0.2;3.5;13.6;1.0;2.5;1.6;1.2;5.7;44.9;8.9;2.1;1.6;5.2;16.2;1.7;1.0;0.7;6.5;2.1;1.8;1.7;0.2;4.1;19.7;1.2;30.0;3.8;1.1;1.7;1.1;10.9;4.0;10.1;61.6;22.4;12.2;2.4;1.4;24.4;1.8;9.2;25.1;2.0;2.0;1.0;;;5.3;4.0;2.4;7.3
1;Nederland;Waarde;2009;26.9;5.7;1.5;1.1;3.9;13.3;2.8;1.3;1.8;5.4;1.9;1.8;1.7;0.2;3.5;14.2;1.0;2.7;1.7;1.2;5.7;47.3;9.2;2.1;1.5;5.5;16.9;1.8;1.1;0.7;6.7;2.4;1.8;1.6;0.2;4.3;21.3;1.2;27.6;3.4;0.7;1.7;1.0;11.1;3.8;10.1;63.7;21.3;12.0;2.0;1.0;25.5;2.7;12.3;28.0;2.0;1.8;1.3;10.6;3.2;6.2;3.5;2.5;8.1
2;Nederland;Waarde;2010;25.4;5.5;1.5;1.0;3.8;12.5;2.7;1.2;1.7;4.8;1.7;1.8;1.7;0.1;3.4;12.7;0.9;2.8;1.6;1.3;5.0;42.4;8.7;2.1;1.3;5.2;15.3;1.9;1.0;0.9;5.7;2.0;1.7;1.6;0.1;4.0;18.4;1.1;28.9;4.2;0.8;2.0;1.5;10.6;4.1;10.8;61.8;21.9;13.3;2.1;0.9;25.6;2.8;13.3;25.9;2.7;1.7;1.3;10.7;3.1;6.9;3.3;2.3;7.8
3;Nederland;Waarde;2011;24.9;5.2;1.4;1.0;3.5;12.9;3.1;1.5;1.9;4.8;1.7;1.7;1.6;0.2;3.5;12.3;1.0;3.2;2.0;1.5;5.1;42.8;8.6;2.1;1.3;5.1;16.0;2.3;1.3;1.0;5.8;2.1;1.7;1.5;0.2;4.2;18.2;1.3;29.8;3.7;0.8;1.7;1.3;11.9;4.4;10.4;65.5;20.3;11.4;2.1;0.7;27.4;2.8;12.0;26.8;2.2;1.6;1.2;11.4;2.7;6.1;3.2;2.0;7.2
4;Nederland;Betrouwbaarheidsmarge;2008;0.7;0.4;0.2;0.2;0.3;0.5;0.3;0.2;0.2;0.4;0.2;0.2;0.2;0.1;0.3;0.5;0.2;0.3;0.2;0.2;0.4;1.6;0.8;0.3;0.3;0.5;0.8;0.2;0.1;0.1;0.5;0.2;0.2;0.2;0.1;0.4;0.8;0.2;2.0;1.0;0.7;0.6;0.5;1.5;0.8;1.3;1.2;1.1;0.8;0.4;0.4;2.1;0.5;1.2;1.9;0.7;0.5;0.3;;;0.9;1.1;0.7;1.0
5;Nederland;Betrouwbaarheidsmarge;2009;0.4;0.2;0.1;0.1;0.2;0.3;0.1;0.1;0.1;0.2;0.1;0.1;0.1;0.0;0.2;0.3;0.1;0.2;0.1;0.1;0.2;1.0;0.5;0.2;0.2;0.3;0.5;0.1;0.1;0.1;0.3;0.2;0.1;0.1;0.0;0.2;0.6;0.1;1.2;0.5;0.2;0.4;0.3;0.8;0.5;0.8;0.7;0.6;0.5;0.2;0.2;1.2;0.5;1.1;1.2;0.3;0.3;0.3;0.9;0.5;0.6;0.6;0.4;0.8
6;Nederland;Betrouwbaarheidsmarge;2010;0.6;0.3;0.2;0.1;0.3;0.5;0.2;0.2;0.2;0.3;0.2;0.2;0.2;0.1;0.3;0.5;0.1;0.3;0.2;0.2;0.3;1.4;0.6;0.3;0.2;0.4;0.7;0.2;0.2;0.1;0.4;0.2;0.2;0.2;0.0;0.3;0.8;0.2;1.8;0.9;0.3;0.6;0.5;1.2;0.8;1.2;1.2;1.0;0.8;0.4;0.2;1.9;0.8;1.6;1.9;0.7;0.5;0.5;1.3;0.7;1.1;0.7;0.7;1.1
7;Nederland;Betrouwbaarheidsmarge;2011;0.4;0.2;0.1;0.1;0.2;0.3;0.2;0.1;0.1;0.2;0.1;0.1;0.1;0.0;0.2;0.3;0.1;0.2;0.1;0.1;0.2;0.9;0.4;0.2;0.2;0.3;0.5;0.1;0.1;0.1;0.2;0.1;0.1;0.1;0.0;0.2;0.5;0.1;1.2;0.6;0.2;0.4;0.4;0.8;0.6;0.8;0.7;0.6;0.5;0.2;0.1;1.3;0.5;1.0;1.2;0.3;0.3;0.2;1.0;0.5;0.6;0.5;0.3;0.7
8;Groningen (PO);Waarde;2008;24.1;5.6;2.7;1.2;3.1;11.0;2.5;1.0;1.8;5.3;1.0;0.9;0.9;0.0;3.4;12.3;1.5;2.8;2.3;0.7;5.7;40.1;9.6;4.0;1.3;4.3;13.3;2.0;1.4;0.6;6.1;0.9;0.5;0.5;0.0;3.7;17.2;1.5;33.9;3.4;1.6;3.4;0.0;9.9;6.7;15.6;54.8;31.6;11.5;2.2;0.0;26.9;3.8;18.5;16.4;0.0;2.6;0.0;;;6.0;4.2;3.0;6.8
9;Groningen (PO);Waarde;2009;26.8;7.3;1.8;1.4;5.7;13.4;2.9;1.7;1.9;6.9;0.6;2.1;2.0;0.2;4.0;13.8;1.2;3.2;2.0;1.8;7.1;57.5;15.2;3.2;2.6;9.4;20.5;2.9;1.8;1.2;9.2;0.6;2.3;2.0;0.3;5.6;21.8;1.9;32.8;6.3;1.5;3.8;1.0;12.2;2.1;14.5;56.9;24.1;16.8;1.7;0.4;26.5;4.2;19.1;27.0;0.8;0.4;0.0;7.7;3.3;3.4;5.1;1.6;5.0
