ID;Bouwjaar;TenaamstellingEnLeeftijdParticulier;Provincie;Perioden;VoertuigenMetBromfietskenteken_1;Snorfiets_2;Bromfiets_3;Brommobiel_4;OverigeVoertuigenMetBromfietskenteken_5
0;Totaal alle bouwjaren;Totaal;Nederland;2019;1126013.0;716917.0;387331.0;17691.0;4074.0
1;Totaal alle bouwjaren;Totaal;Nederland;2020;1138734.0;728644.0;388345.0;17590.0;4155.0
2;Totaal alle bouwjaren;Totaal;Nederland;2021;1180215.0;763342.0;393991.0;18193.0;4689.0
3;Totaal alle bouwjaren;Totaal;Nederland;2022;1209525.0;781353.0;404282.0;18877.0;5013.0
4;Totaal alle bouwjaren;Totaal;Nederland;2023;1222944.0;761219.0;436996.0;19548.0;5181.0
5;Totaal alle bouwjaren;Totaal;Nederland;2024;1188423.0;665809.0;496052.0;21395.0;5167.0
6;Totaal alle bouwjaren;Totaal;Nederland;2025;1144561.0;593364.0;522372.0;23666.0;5159.0
7;Totaal alle bouwjaren;Totaal;Groningen (PV);2019;32339.0;18807.0;12433.0;818.0;281.0
8;Totaal alle bouwjaren;Totaal;Groningen (PV);2020;33106.0;19336.0;12636.0;849.0;285.0
9;Totaal alle bouwjaren;Totaal;Groningen (PV);2021;34736.0;20484.0;13100.0;852.0;300.0
10;Totaal alle bouwjaren;Totaal;Groningen (PV);2022;36242.0;21459.0;13584.0;885.0;314.0
11;Totaal alle bouwjaren;Totaal;Groningen (PV);2023;37226.0;21187.0;14814.0;910.0;315.0
12;Totaal alle bouwjaren;Totaal;Groningen (PV);2024;36885.0;18885.0;16716.0;972.0;312.0
13;Totaal alle bouwjaren;Totaal;Groningen (PV);2025;36038.0;17239.0;17486.0;1002.0;311.0
14;Totaal alle bouwjaren;Totaal;Fryslân (PV);2019;38150.0;19025.0;17841.0;1112.0;172.0
15;Totaal alle bouwjaren;Totaal;Fryslân (PV);2020;39160.0;19810.0;18083.0;1085.0;182.0
16;Totaal alle bouwjaren;Totaal;Fryslân (PV);2021;41593.0;21701.0;18644.0;1047.0;201.0
17;Totaal alle bouwjaren;Totaal;Fryslân (PV);2022;44136.0;23452.0;19365.0;1047.0;272.0
18;Totaal alle bouwjaren;Totaal;Fryslân (PV);2023;45668.0;23726.0;20598.0;1050.0;294.0
19;Totaal alle bouwjaren;Totaal;Fryslân (PV);2024;45756.0;21648.0;22723.0;1108.0;277.0
20;Totaal alle bouwjaren;Totaal;Fryslân (PV);2025;45110.0;19798.0;23924.0;1119.0;269.0
21;Totaal alle bouwjaren;Totaal;Drenthe (PV);2019;29601.0;18122.0;10763.0;600.0;116.0
22;Totaal alle bouwjaren;Totaal;Drenthe (PV);2020;30711.0;19217.0;10766.0;610.0;118.0
23;Totaal alle bouwjaren;Totaal;Drenthe (PV);2021;32450.0;20881.0;10855.0;594.0;120.0
24;Totaal alle bouwjaren;Totaal;Drenthe (PV);2022;34061.0;22130.0;11195.0;606.0;130.0
25;Totaal alle bouwjaren;Totaal;Drenthe (PV);2023;34817.0;21991.0;12064.0;622.0;140.0
26;Totaal alle bouwjaren;Totaal;Drenthe (PV);2024;33887.0;19623.0;13448.0;669.0;147.0
27;Totaal alle bouwjaren;Totaal;Drenthe (PV);2025;33076.0;17927.0;14289.0;702.0;158.0
28;Totaal alle bouwjaren;Totaal;Overijssel (PV);2019;71750.0;46137.0;24242.0;1138.0;233.0
29;Totaal alle bouwjaren;Totaal;Overijssel (PV);2020;73335.0;47361.0;24593.0;1130.0;251.0
30;Totaal alle bouwjaren;Totaal;Overijssel (PV);2021;76166.0;49631.0;25177.0;1103.0;255.0
31;Totaal alle bouwjaren;Totaal;Overijssel (PV);2022;78215.0;50868.0;25993.0;1111.0;243.0
32;Totaal alle bouwjaren;Totaal;Overijssel (PV);2023;79557.0;50104.0;28099.0;1106.0;248.0
33;Totaal alle bouwjaren;Totaal;Overijssel (PV);2024;77576.0;44756.0;31422.0;1134.0;264.0
34;Totaal alle bouwjaren;Totaal;Overijssel (PV);2025;75768.0;40753.0;33539.0;1207.0;269.0
35;Totaal alle bouwjaren;Totaal;Flevoland (PV);2019;25590.0;18262.0;6967.0;288.0;73.0
36;Totaal alle bouwjaren;Totaal;Flevoland (PV);2020;26342.0;19266.0;6735.0;285.0;56.0
37;Totaal alle bouwjaren;Totaal;Flevoland (PV);2021;27513.0;20451.0;6695.0;304.0;63.0
38;Totaal alle bouwjaren;Totaal;Flevoland (PV);2022;28587.0;21409.0;6793.0;310.0;75.0
39;Totaal alle bouwjaren;Totaal;Flevoland (PV);2023;29291.0;21649.0;7247.0;312.0;83.0
40;Totaal alle bouwjaren;Totaal;Flevoland (PV);2024;28181.0;19876.0;7876.0;349.0;80.0
41;Totaal alle bouwjaren;Totaal;Flevoland (PV);2025;27010.0;18312.0;8221.0;379.0;98.0
42;Totaal alle bouwjaren;Totaal;Gelderland (PV);2019;133402.0;87765.0;42727.0;2437.0;473.0
43;Totaal alle bouwjaren;Totaal;Gelderland (PV);2020;136238.0;89987.0;43436.0;2343.0;472.0
44;Totaal alle bouwjaren;Totaal;Gelderland (PV);2021;144128.0;97002.0;44297.0;2323.0;506.0
45;Totaal alle bouwjaren;Totaal;Gelderland (PV);2022;150582.0;100795.0;46852.0;2418.0;517.0
46;Totaal alle bouwjaren;Totaal;Gelderland (PV);2023;153761.0;97492.0;53279.0;2472.0;518.0
47;Totaal alle bouwjaren;Totaal;Gelderland (PV);2024;139957.0;80785.0;56037.0;2615.0;520.0
48;Totaal alle bouwjaren;Totaal;Gelderland (PV);2025;134921.0;71381.0;60170.0;2838.0;532.0
49;Totaal alle bouwjaren;Totaal;Utrecht (PV);2019;73607.0;45292.0;26858.0;1128.0;329.0
50;Totaal alle bouwjaren;Totaal;Utrecht (PV);2020;74719.0;46096.0;27138.0;1149.0;336.0
51;Totaal alle bouwjaren;Totaal;Utrecht (PV);2021;77468.0;47920.0;28033.0;1179.0;336.0
52;Totaal alle bouwjaren;Totaal;Utrecht (PV);2022;78354.0;47883.0;28860.0;1277.0;334.0
