ID;SIC2008;Periods;VacancyRate_1
0;A-U All economic activities;1997 1st quarter;14.0
1;A-U All economic activities;1997 2nd quarter;15.0
2;A-U All economic activities;1997 3rd quarter;14.0
3;A-U All economic activities;1997 4th quarter;17.0
4;A-U All economic activities;1998 1st quarter;20.0
5;A-U All economic activities;1998 2nd quarter;22.0
6;A-U All economic activities;1998 3rd quarter;18.0
7;A-U All economic activities;1998 4th quarter;20.0
8;A-U All economic activities;1999 1st quarter;23.0
9;A-U All economic activities;1999 2nd quarter;27.0
10;A-U All economic activities;1999 3rd quarter;23.0
11;A-U All economic activities;1999 4th quarter;25.0
12;A-U All economic activities;2000 1st quarter;30.0
13;A-U All economic activities;2000 2nd quarter;30.0
14;A-U All economic activities;2000 3rd quarter;25.0
15;A-U All economic activities;2000 4th quarter;27.0
16;A-U All economic activities;2001 1st quarter;29.0
17;A-U All economic activities;2001 2nd quarter;29.0
18;A-U All economic activities;2001 3rd quarter;22.0
19;A-U All economic activities;2001 4th quarter;22.0
20;A-U All economic activities;2002 1st quarter;24.0
21;A-U All economic activities;2002 2nd quarter;21.0
22;A-U All economic activities;2002 3rd quarter;15.0
23;A-U All economic activities;2002 4th quarter;16.0
24;A-U All economic activities;2003 1st quarter;17.0
25;A-U All economic activities;2003 2nd quarter;17.0
26;A-U All economic activities;2003 3rd quarter;11.0
27;A-U All economic activities;2003 4th quarter;13.0
28;A-U All economic activities;2004 1st quarter;16.0
29;A-U All economic activities;2004 2nd quarter;18.0
30;A-U All economic activities;2004 3rd quarter;15.0
31;A-U All economic activities;2004 4th quarter;16.0
32;A-U All economic activities;2005 1st quarter;21.0
33;A-U All economic activities;2005 2nd quarter;21.0
34;A-U All economic activities;2005 3rd quarter;20.0
35;A-U All economic activities;2005 4th quarter;21.0
36;A-U All economic activities;2006 1st quarter;26.0
37;A-U All economic activities;2006 2nd quarter;29.0
38;A-U All economic activities;2006 3rd quarter;29.0
39;A-U All economic activities;2006 4th quarter;29.0
40;A-U All economic activities;2007 1st quarter;31.0
41;A-U All economic activities;2007 2nd quarter;32.0
42;A-U All economic activities;2007 3rd quarter;30.0
43;A-U All economic activities;2007 4th quarter;30.0
44;A-U All economic activities;2008 1st quarter;32.0
45;A-U All economic activities;2008 2nd quarter;32.0
46;A-U All economic activities;2008 3rd quarter;30.0
47;A-U All economic activities;2008 4th quarter;24.0
48;A-U All economic activities;2009 1st quarter;20.0
49;A-U All economic activities;2009 2nd quarter;17.0
50;A-U All economic activities;2009 3rd quarter;16.0
51;A-U All economic activities;2009 4th quarter;15.0
52;A-U All economic activities;2010 1st quarter;15.0
53;A-U All economic activities;2010 2nd quarter;16.0
54;A-U All economic activities;2010 3rd quarter;16.0
55;A-U All economic activities;2010 4th quarter;16.0
56;A-U All economic activities;2011 1st quarter;17.0
57;A-U All economic activities;2011 2nd quarter;18.0
58;A-U All economic activities;2011 3rd quarter;16.0
59;A-U All economic activities;2011 4th quarter;15.0
60;A-U All economic activities;2012 1st quarter;15.0
61;A-U All economic activities;2012 2nd quarter;15.0
62;A-U All economic activities;2012 3rd quarter;13.0
63;A-U All economic activities;2012 4th quarter;12.0
64;A-U All economic activities;2013 1st quarter;13.0
65;A-U All economic activities;2013 2nd quarter;12.0
66;A-U All economic activities;2013 3rd quarter;12.0
67;A-U All economic activities;2013 4th quarter;12.0
68;A-U All economic activities;2014 1st quarter;14.0
69;A-U All economic activities;2014 2nd quarter;15.0
70;A-U All economic activities;2014 3rd quarter;14.0
71;A-U All economic activities;2014 4th quarter;15.0
72;A-U All economic activities;2015 1st quarter;17.0
73;A-U All economic activities;2015 2nd quarter;17.0
74;A-U All economic activities;2015 3rd quarter;17.0
75;A-U All economic activities;2015 4th quarter;17.0
76;A-U All economic activities;2016 1st quarter;20.0
77;A-U All economic activities;2016 2nd quarter;20.0
78;A-U All economic activities;2016 3rd quarter;20.0
79;A-U All economic activities;2016 4th quarter;20.0
80;A-U All economic activities;2017 1st quarter;24.0
81;A-U All economic activities;2017 2nd quarter;26.0
82;A-U All economic activities;2017 3rd quarter;26.0
83;A-U All economic activities;2017 4th quarter;27.0
84;A-U All economic activities;2018 1st quarter;29.0
85;A-U All economic activities;2018 2nd quarter;31.0
86;A-U All economic activities;2018 3rd quarter;31.0
87;A-U All economic activities;2018 4th quarter;30.0
88;A-U All economic activities;2019 1st quarter;33.0
89;A-U All economic activities;2019 2nd quarter;34.0
90;A-U All economic activities;2019 3rd quarter;33.0
91;A-U All economic activities;2019 4th quarter;33.0
92;A-U All economic activities;2020 1st quarter;26.0
93;A-U All economic activities;2020 2nd quarter;24.0
94;A-U All economic activities;2020 3rd quarter;26.0
95;A-U All economic activities;2020 4th quarter;25.0
96;A-U All economic activities;2021 1st quarter;30.0
97;A-U All economic activities;2021 2nd quarter;39.0
98;A-U All economic activities;2021 3rd quarter;43.0
99;A-U All economic activities;2021 4th quarter;43.0
100;A-U All economic activities;2022 1st quarter;51.0
101;A-U All economic activities;2022 2nd quarter;54.0
102;A-U All economic activities;2022 3rd quarter;51.0
103;A-U All economic activities;2022 4th quarter;47.0
104;A-U All economic activities;2023 1st quarter;49.0
105;A-U All economic activities;2023 2nd quarter;49.0
106;A-U All economic activities;2023 3rd quarter;46.0
107;A-U All economic activities;2023 4th quarter;43.0
108;A-U All economic activities;2024 1st quarter;46.0
109;A-U All economic activities;2024 2nd quarter;46.0
110;A-U All economic activities;2024 3rd quarter;44.0
111;A-U All economic activities;2024 4th quarter;42.0
112;A Agriculture, forestry and fishing;1997 1st quarter;7.0
113;A Agriculture, forestry and fishing;1997 2nd quarter;13.0
114;A Agriculture, forestry and fishing;1997 3rd quarter;11.0
115;A Agriculture, forestry and fishing;1997 4th quarter;10.0
116;A Agriculture, forestry and fishing;1998 1st quarter;18.0
117;A Agriculture, forestry and fishing;1998 2nd quarter;12.0
118;A Agriculture, forestry and fishing;1998 3rd quarter;12.0
119;A Agriculture, forestry and fishing;1998 4th quarter;14.0
120;A Agriculture, forestry and fishing;1999 1st quarter;18.0
121;A Agriculture, forestry and fishing;1999 2nd quarter;20.0
122;A Agriculture, forestry and fishing;1999 3rd quarter;13.0
123;A Agriculture, forestry and fishing;1999 4th quarter;16.0
124;A Agriculture, forestry and fishing;2000 1st quarter;24.0
125;A Agriculture, forestry and fishing;2000 2nd quarter;26.0
126;A Agriculture, forestry and fishing;2000 3rd quarter;16.0
127;A Agriculture, forestry and fishing;2000 4th quarter;24.0
128;A Agriculture, forestry and fishing;2001 1st quarter;29.0
129;A Agriculture, forestry and fishing;2001 2nd quarter;20.0
130;A Agriculture, forestry and fishing;2001 3rd quarter;14.0
131;A Agriculture, forestry and fishing;2001 4th quarter;16.0
132;A Agriculture, forestry and fishing;2002 1st quarter;31.0
133;A Agriculture, forestry and fishing;2002 2nd quarter;23.0
134;A Agriculture, forestry and fishing;2002 3rd quarter;7.0
135;A Agriculture, forestry and fishing;2002 4th quarter;12.0
136;A Agriculture, forestry and fishing;2003 1st quarter;20.0
137;A Agriculture, forestry and fishing;2003 2nd quarter;17.0
138;A Agriculture, forestry and fishing;2003 3rd quarter;6.0
139;A Agriculture, forestry and fishing;2003 4th quarter;9.0
140;A Agriculture, forestry and fishing;2004 1st quarter;26.0
141;A Agriculture, forestry and fishing;2004 2nd quarter;25.0
142;A Agriculture, forestry and fishing;2004 3rd quarter;14.0
143;A Agriculture, forestry and fishing;2004 4th quarter;16.0
144;A Agriculture, forestry and fishing;2005 1st quarter;35.0
145;A Agriculture, forestry and fishing;2005 2nd quarter;27.0
146;A Agriculture, forestry and fishing;2005 3rd quarter;22.0
147;A Agriculture, forestry and fishing;2005 4th quarter;20.0
148;A Agriculture, forestry and fishing;2006 1st quarter;33.0
149;A Agriculture, forestry and fishing;2006 2nd quarter;43.0
150;A Agriculture, forestry and fishing;2006 3rd quarter;32.0
151;A Agriculture, forestry and fishing;2006 4th quarter;29.0
152;A Agriculture, forestry and fishing;2007 1st quarter;36.0
153;A Agriculture, forestry and fishing;2007 2nd quarter;39.0
154;A Agriculture, forestry and fishing;2007 3rd quarter;27.0
155;A Agriculture, forestry and fishing;2007 4th quarter;25.0
156;A Agriculture, forestry and fishing;2008 1st quarter;30.0
157;A Agriculture, forestry and fishing;2008 2nd quarter;30.0
158;A Agriculture, forestry and fishing;2008 3rd quarter;22.0
159;A Agriculture, forestry and fishing;2008 4th quarter;17.0
160;A Agriculture, forestry and fishing;2009 1st quarter;16.0
161;A Agriculture, forestry and fishing;2009 2nd quarter;16.0
162;A Agriculture, forestry and fishing;2009 3rd quarter;15.0
163;A Agriculture, forestry and fishing;2009 4th quarter;12.0
164;A Agriculture, forestry and fishing;2010 1st quarter;11.0
165;A Agriculture, forestry and fishing;2010 2nd quarter;14.0
166;A Agriculture, forestry and fishing;2010 3rd quarter;10.0
167;A Agriculture, forestry and fishing;2010 4th quarter;11.0
168;A Agriculture, forestry and fishing;2011 1st quarter;13.0
169;A Agriculture, forestry and fishing;2011 2nd quarter;14.0
170;A Agriculture, forestry and fishing;2011 3rd quarter;11.0
171;A Agriculture, forestry and fishing;2011 4th quarter;9.0
172;A Agriculture, forestry and fishing;2012 1st quarter;14.0
173;A Agriculture, forestry and fishing;2012 2nd quarter;14.0
174;A Agriculture, forestry and fishing;2012 3rd quarter;11.0
175;A Agriculture, forestry and fishing;2012 4th quarter;5.0
176;A Agriculture, forestry and fishing;2013 1st quarter;11.0
177;A Agriculture, forestry and fishing;2013 2nd quarter;12.0
178;A Agriculture, forestry and fishing;2013 3rd quarter;8.0
179;A Agriculture, forestry and fishing;2013 4th quarter;8.0
180;A Agriculture, forestry and fishing;2014 1st quarter;9.0
181;A Agriculture, forestry and fishing;2014 2nd quarter;12.0
182;A Agriculture, forestry and fishing;2014 3rd quarter;8.0
183;A Agriculture, forestry and fishing;2014 4th quarter;8.0
184;A Agriculture, forestry and fishing;2015 1st quarter;10.0
185;A Agriculture, forestry and fishing;2015 2nd quarter;13.0
186;A Agriculture, forestry and fishing;2015 3rd quarter;8.0
187;A Agriculture, forestry and fishing;2015 4th quarter;9.0
188;A Agriculture, forestry and fishing;2016 1st quarter;12.0
189;A Agriculture, forestry and fishing;2016 2nd quarter;12.0
190;A Agriculture, forestry and fishing;2016 3rd quarter;9.0
191;A Agriculture, forestry and fishing;2016 4th quarter;8.0
192;A Agriculture, forestry and fishing;2017 1st quarter;16.0
193;A Agriculture, forestry and fishing;2017 2nd quarter;16.0
194;A Agriculture, forestry and fishing;2017 3rd quarter;15.0
195;A Agriculture, forestry and fishing;2017 4th quarter;16.0
196;A Agriculture, forestry and fishing;2018 1st quarter;19.0
197;A Agriculture, forestry and fishing;2018 2nd quarter;21.0
198;A Agriculture, forestry and fishing;2018 3rd quarter;20.0
199;A Agriculture, forestry and fishing;2018 4th quarter;19.0
200;A Agriculture, forestry and fishing;2019 1st quarter;26.0
201;A Agriculture, forestry and fishing;2019 2nd quarter;25.0
202;A Agriculture, forestry and fishing;2019 3rd quarter;21.0
203;A Agriculture, forestry and fishing;2019 4th quarter;21.0
204;A Agriculture, forestry and fishing;2020 1st quarter;20.0
205;A Agriculture, forestry and fishing;2020 2nd quarter;20.0
206;A Agriculture, forestry and fishing;2020 3rd quarter;17.0
207;A Agriculture, forestry and fishing;2020 4th quarter;16.0
208;A Agriculture, forestry and fishing;2021 1st quarter;23.0
209;A Agriculture, forestry and fishing;2021 2nd quarter;23.0
210;A Agriculture, forestry and fishing;2021 3rd quarter;24.0
211;A Agriculture, forestry and fishing;2021 4th quarter;24.0
212;A Agriculture, forestry and fishing;2022 1st quarter;35.0
213;A Agriculture, forestry and fishing;2022 2nd quarter;32.0
214;A Agriculture, forestry and fishing;2022 3rd quarter;23.0
215;A Agriculture, forestry and fishing;2022 4th quarter;26.0
216;A Agriculture, forestry and fishing;2023 1st quarter;31.0
217;A Agriculture, forestry and fishing;2023 2nd quarter;30.0
218;A Agriculture, forestry and fishing;2023 3rd quarter;29.0
219;A Agriculture, forestry and fishing;2023 4th quarter;27.0
220;A Agriculture, forestry and fishing;2024 1st quarter;32.0
221;A Agriculture, forestry and fishing;2024 2nd quarter;33.0
222;A Agriculture, forestry and fishing;2024 3rd quarter;28.0
223;A Agriculture, forestry and fishing;2024 4th quarter;27.0
224;B-F Manufacturing and energy;1997 1st quarter;15.0
225;B-F Manufacturing and energy;1997 2nd quarter;18.0
226;B-F Manufacturing and energy;1997 3rd quarter;16.0
227;B-F Manufacturing and energy;1997 4th quarter;18.0
228;B-F Manufacturing and energy;1998 1st quarter;20.0
229;B-F Manufacturing and energy;1998 2nd quarter;23.0
230;B-F Manufacturing and energy;1998 3rd quarter;19.0
231;B-F Manufacturing and energy;1998 4th quarter;20.0
232;B-F Manufacturing and energy;1999 1st quarter;24.0
233;B-F Manufacturing and energy;1999 2nd quarter;30.0
