ID;Perioden;BevolkingAanHetBeginVanDePeriode_1;LevendGeborenKinderen_2;Overledenen_3;Immigratie_4;EmigratieInclusiefAdministratieveC_5;OverigeCorrecties_6;TotaleBevolkingsgroei_7;BevolkingAanHetEindVanDePeriode_8
0;1995 januari;15424122;16436;11974;8362;6768;;6056;15430178
1;1995 februari;15430178;14824;10106;6621;5341;;5998;15436176
2;1995 maart;15436176;16205;12069;7596;5988;;5744;15441920
3;1995 april;15441920;14906;11412;6288;5490;;4292;15446212
4;1995 mei;15446212;16167;11180;6672;5501;;6158;15452370
5;1995 juni;15452370;16124;10508;7195;6335;;6476;15458846
6;1995 juli;15458846;16698;11288;8628;9069;;4969;15463815
7;1995 augustus;15463815;16491;10928;10334;8177;;7720;15471535
8;1995 september;15471535;16222;10199;9083;7842;;7264;15478799
9;1995 oktober;15478799;16508;11030;9211;7579;;7110;15485909
10;1995 november;15485909;15199;11234;8868;7469;;5364;15491273
11;1995 december;15491273;14733;13747;7241;6636;1025.0;2616;15493889
12;1995;15424122;190513;135675;96099;82195;1025.0;69767;15493889
13;1996 januari;15493889;15272;13912;9296;7267;;3389;15497278
14;1996 februari;15497278;14972;12376;7617;7461;;2752;15500030
15;1996 maart;15500030;15531;12264;8162;8363;;3066;15503096
16;1996 april;15503096;15090;11675;7770;7684;;3501;15506597
17;1996 mei;15506597;15901;11271;7955;7203;;5382;15511979
18;1996 juni;15511979;15567;10672;7964;6957;;5902;15517881
19;1996 juli;15517881;16561;10933;10402;8905;;7125;15525006
20;1996 augustus;15525006;16680;10379;11502;8026;;9777;15534783
21;1996 september;15534783;16430;10187;10967;9206;;8004;15542787
22;1996 oktober;15542787;16412;10747;10690;7529;;8826;15551613
23;1996 november;15551613;15508;10970;9084;6618;;7004;15558617
24;1996 december;15558617;15597;12175;7340;6726;4454.0;8490;15567107
25;1996;15493889;189521;137561;108749;91945;4454.0;73218;15567107
26;1997 januari;15567107;16377;14200;9684;6962;;4899;15572006
27;1997 februari;15572006;15053;11676;7656;6090;;4943;15576949
28;1997 maart;15576949;15798;11258;7283;6468;;5355;15582304
29;1997 april;15582304;16215;10872;8502;6881;;6964;15589268
30;1997 mei;15589268;16483;11148;7393;5465;;7263;15596531
31;1997 juni;15596531;16019;10690;8574;6702;;7201;15603732
32;1997 juli;15603732;17211;10684;10345;8244;;8628;15612360
33;1997 augustus;15612360;16406;11658;11915;8224;;8439;15620799
34;1997 september;15620799;16552;10178;12145;7685;;10834;15631633
35;1997 oktober;15631633;15975;10981;10336;7060;;8270;15639903
36;1997 november;15639903;14774;10773;8200;5661;;6540;15646443
37;1997 december;15646443;15580;11665;7827;6531;2538.0;7749;15654192
38;1997;15567107;192443;135783;109860;81973;2538.0;87085;15654192
39;1998 januari;15654192;16398;11359;10327;6028;;9338;15663530
40;1998 februari;15663530;15179;10716;7953;5869;;6547;15670077
41;1998 maart;15670077;16508;12928;9135;7039;;5676;15675753
42;1998 april;15675753;16139;12317;8223;6556;;5489;15681242
43;1998 mei;15681242;16337;11641;8073;5679;;7090;15688332
44;1998 juni;15688332;16138;10459;9605;7874;;7410;15695742
45;1998 juli;15695742;17805;10953;11427;9232;;9047;15704789
46;1998 augustus;15704789;17543;10703;13245;6999;;13086;15717875
47;1998 september;15717875;18137;10703;13584;7025;;13993;15731868
48;1998 oktober;15731868;17222;11101;11350;5559;;11912;15743780
49;1998 november;15743780;16008;11334;10082;5207;;9549;15753329
50;1998 december;15753329;15994;13268;9403;6222;989.0;6896;15760225
51;1998;15654192;199408;137482;122407;79289;989.0;106033;15760225
52;1999 januari;15760225;16218;13145;9330;5948;;6455;15766680
53;1999 februari;15766680;15191;12334;8386;5209;;6034;15772714
54;1999 maart;15772714;16818;13153;9767;6847;;6585;15779299
55;1999 april;15779299;16880;11289;8019;5674;;7936;15787235
56;1999 mei;15787235;16379;11374;7540;5113;;7432;15794667
57;1999 juni;15794667;16941;10914;9082;6885;;8224;15802891
58;1999 juli;15802891;17638;11299;11200;8137;;9402;15812293
59;1999 augustus;15812293;17713;11284;13008;7402;;12035;15824328
60;1999 september;15824328;17566;10694;13074;7425;;12521;15836849
61;1999 oktober;15836849;16691;11077;10194;7093;;8715;15845564
62;1999 november;15845564;15983;11104;10326;6742;;8463;15854027
63;1999 december;15854027;16427;12820;9225;6304;3395.0;9923;15863950
64;1999;15760225;200445;140487;119151;78779;3395.0;103725;15863950
65;2000 januari;15863950;17068;14915;10035;6516;;5672;15869622
66;2000 februari;15869622;16606;11773;10249;5587;;9495;15879117
67;2000 maart;15879117;17445;11608;9964;6667;;9134;15888251
68;2000 april;15888251;16625;11468;8491;5685;;7963;15896214
69;2000 mei;15896214;17513;11511;9970;5654;;10318;15906532
70;2000 juni;15906532;16773;11200;10135;6455;;9253;15915785
71;2000 juli;15915785;17694;11164;12269;8214;;10585;15926370
72;2000 augustus;15926370;18315;10960;14833;7717;;14471;15940841
73;2000 september;15940841;17736;10667;14015;7414;;13670;15954511
74;2000 oktober;15954511;17155;11556;12611;6703;;11507;15966018
75;2000 november;15966018;16996;11372;11939;6443;;11120;15977138
76;2000 december;15977138;16693;12333;8339;5922;3160.0;9937;15987075
77;2000;15863950;206619;140527;132850;78977;3160.0;123125;15987075
78;2001 januari;15987075;17344;13102;11772;7920;;8094;15995169
79;2001 februari;15995169;15334;11115;10209;5773;;8655;16003824
80;2001 maart;16003824;16834;12572;10588;7217;;7633;16011457
81;2001 april;16011457;15679;11557;9724;5601;;8245;16019702
82;2001 mei;16019702;17537;12059;10669;6187;;9960;16029662
83;2001 juni;16029662;17050;11420;10096;6883;;8843;16038505
84;2001 juli;16038505;17942;11185;12166;8440;;10483;16048988
85;2001 augustus;16048988;17726;11113;14633;7970;;13276;16062264
86;2001 september;16062264;17147;10706;13109;6472;;13078;16075342
87;2001 oktober;16075342;17556;11523;12332;7226;;11139;16086481
88;2001 november;16086481;16345;11391;10536;6256;;9234;16095715
89;2001 december;16095715;16109;12634;7570;6621;5146.0;9570;16105285
90;2001;15987075;202603;140377;133404;82566;5146.0;118210;16105285
91;2002 januari;16105285;17019;13469;11366;7301;;7615;16112900
92;2002 februari;16112900;15448;11735;8950;6610;;6053;16118953
93;2002 maart;16118953;16792;13281;9508;7847;;5172;16124125
94;2002 april;16124125;15995;11968;9266;7172;;6121;16130246
95;2002 mei;16130246;16800;11623;8897;7513;;6561;16136807
96;2002 juni;16136807;16116;11084;8832;8162;;5702;16142509
97;2002 juli;16142509;18011;11509;11365;9981;;7886;16150395
98;2002 augustus;16150395;17959;11134;13462;9500;;10787;16161182
99;2002 september;16161182;17586;10438;13042;9135;;11055;16172237
100;2002 oktober;16172237;17831;11530;11594;9107;;8788;16181025
101;2002 november;16181025;16011;11491;8188;7270;;5438;16186463
102;2002 december;16186463;16515;13093;6780;7320;3227.0;6109;16192572
103;2002;16105285;202083;142355;121250;96918;3227.0;87287;16192572
104;2003 januari;16192572;17153;13106;9483;8390;;5140;16197712
105;2003 februari;16197712;15579;11305;8169;7694;;4749;16202461
106;2003 maart;16202461;16755;13113;7939;7946;;3635;16206096
107;2003 april;16206096;16585;12203;7363;7440;;4305;16210401
108;2003 mei;16210401;16572;11309;7160;6618;;5805;16216206
109;2003 juni;16216206;16325;11088;7595;8572;;4260;16220466
110;2003 juli;16220466;17913;11234;9396;12206;;3869;16224335
111;2003 augustus;16224335;17572;11619;11276;9904;;7325;16231660
