ID;BedrijfstakkenBranchesSBI2008;Perioden;Ondernemingengroep_1;BalanstotaalEindstand_2;ImmaterieleVasteActiva_3;MaterieleVasteActiva_4;DeelnemingenTotaal_5;DeelnemingenBinnenland_6;DeelnemingenBuitenland_7;LanglopendeVorderingen_8;Voorraden_9;KortlopendeVorderingen_10;Handelsdebiteuren_11;LiquideMiddelen_12;EigenVermogen_13;BelangVanDerden_14;Egalisatierekening_15;Voorzieningen_16;LanglopendeSchulden_17;KortlopendeSchulden_18;Handelscrediteuren_19;NettoOmzet_20;LoonSalarisEnSocialePremies_21;Afschrijvingen_22;KostenVanDeOmzet_23;Bedrijfsresultaat_24;Rentebaten_25;Rentelasten_26;OverigeFinancieleResultaten_27;ResultaatUitDeelnemingenTotaal_28;ResultaatUitDeelnemingenBinnenland_29;ResultaatUitDeelnemingenBuitenland_30;BuitengewoneBatenEnLastenSaldo_31;BuitengewoneBaten_32;BuitengewoneLasten_33;ResultaatVoorBelastingen_34;Vennootschapsbelasting_35;AandeelVanDerden_36;ResultaatNetto_37;Winstuitkeringen_38
0;Totaal, ex. financiële sector, vastgoed;2011;270241.0;1554081.4;93581.2;286938.5;439296.9;50336.6;388962.7;176505.9;104303.6;220326.2;115875.0;117254.0;680393.3;6940.1;3279.3;60229.9;384609.7;330386.2;88242.9;1272426.1;184800.3;39196.9;985112.2;63316.7;8478.5;23153.5;3057.4;54537.3;10918.2;43619.2;-535.4;1277.0;1812.4;105701.1;12791.4;-940.4;91969.2;55178.9
1;Totaal, ex. financiële sector, vastgoed;2012;279293.0;1577371.9;100133.3;287844.6;445365.5;57366.1;388362.1;190620.5;103956.1;213577.3;114522.4;121352.0;698694.2;8043.9;2794.6;61299.2;386293.5;332466.1;87780.4;1270076.6;187337.3;38707.3;991467.2;52564.8;9088.5;22993.0;-3171.6;51290.7;12383.9;38906.8;-228.9;1159.2;1388.2;86550.4;11728.4;-2144.6;72677.4;51548.9
2;Totaal, ex. financiële sector, vastgoed;2013;289665.0;1711057.5;101568.2;295981.8;494833.1;63541.4;431291.7;216191.7;106260.9;237249.6;119098.6;139873.7;745683.5;9005.1;2821.4;63707.8;445454.1;352611.9;91773.8;1273254.4;189047.9;38024.1;995767.7;50414.8;9316.4;23701.2;1087.2;53255.6;10088.8;43166.8;-490.7;1157.9;1648.5;89882.1;11816.5;-1049.4;77016.2;49718.5
3;Totaal, ex. financiële sector, vastgoed;2014;299504.0;1805717.5;118020.4;307363.8;539174.7;51777.0;489114.2;226254.7;107395.0;248813.7;121793.6;136901.5;791653.3;7633.4;3000.2;67321.6;480776.0;360911.7;94437.6;1308809.1;193527.7;38752.4;1014374.3;62154.8;11844.9;25404.6;1080.3;44803.2;10749.1;34054.0;-18.6;1281.8;1300.5;94459.9;13919.4;-1064.4;79476.1;66233.6
4;Totaal, ex. financiële sector, vastgoed;2015;305570.0;1950918.6;131742.8;314198.1;605939.9;60553.3;545386.6;260541.3;106776.3;263112.6;119128.0;149479.6;877662.1;13608.4;3251.0;63948.2;523133.8;375001.0;94314.3;1310480.4;197733.9;38304.2;1000218.0;74224.2;14387.2;28094.6;2826.8;47079.0;13964.8;33114.1;-475.3;1156.0;1631.3;109947.4;13673.0;-2249.2;94025.1;64295.4
5;Totaal, ex. financiële sector, vastgoed;2016;322155.0;2141642.3;137310.1;331507.4;701851.4;54763.9;647087.5;279367.3;113277.8;285596.7;128011.6;164720.1;994897.2;10101.5;3422.6;64917.0;568927.9;392570.2;106805.8;1363117.6;208727.2;42170.0;1036659.4;75560.9;13066.0;27251.0;3195.5;43581.8;13536.8;30044.9;-1314.2;1021.8;2336.0;106839.0;14449.1;-2392.2;89997.7;60909.4
6;Totaal, ex. financiële sector, vastgoed;2017;330770.0;2335288.6;158097.1;354513.6;770736.9;66090.7;704646.2;274532.8;123642.7;335971.6;136174.5;181619.1;1097189.5;10979.0;3514.4;60591.2;601915.2;445744.0;115355.2;1476500.9;222888.7;43278.9;1125624.6;84708.7;11294.1;28159.9;570.2;70261.0;17660.3;52600.8;236.7;1354.7;1118.1;138910.9;16666.0;1796.5;124041.4;90979.6
7;Totaal, ex. financiële sector, vastgoed;2018;344042.0;2577603.2;174777.1;379918.9;871095.3;71236.8;799858.5;301491.3;130143.0;399441.9;144005.0;176731.1;1219062.6;13591.4;3554.0;60879.9;654535.6;506504.6;119475.3;1575934.4;237986.8;47778.1;1201305.6;88863.9;13322.5;25662.9;1166.0;112136.8;15330.8;96805.9;-4.0;1227.0;1231.0;189822.2;18225.0;-211.9;171385.3;93254.8
8;Totaal, ex. financiële sector, vastgoed;2019;360836.0;2837039.0;238056.2;412553.8;1011700.3;115378.0;896322.3;335057.6;138798.2;371202.9;147399.2;182270.7;1416795.0;16867.7;4017.7;58454.9;732446.3;484873.8;123583.7;1632748.3;253626.0;55122.6;1232607.3;91392.4;17819.6;29778.0;2835.8;73015.9;19781.6;53234.3;-196.2;1138.8;1335.0;155089.5;19846.3;-1297.2;133946.0;116657.6
9;Totaal, ex. financiële sector, vastgoed;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Totaal, ex. financiële sector, vastgoed;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Totaal, ex. financiële sector, vastgoed;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Totaal, exclusief financiële sector;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Totaal, exclusief financiële sector;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Totaal, exclusief financiële sector;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Totaal, exclusief financiële sector;2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Totaal, exclusief financiële sector;2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Totaal, exclusief financiële sector;2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Totaal, exclusief financiële sector;2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Totaal, exclusief financiële sector;2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Totaal, exclusief financiële sector;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Totaal, exclusief financiële sector;2020;393267.0;3208193.8;218639.6;500629.2;1175090.8;149633.4;1025457.4;388625.8;134285.3;422041.1;140023.1;228858.9;1638587.6;16947.0;4226.0;62780.3;835512.4;529266.1;120874.5;1576297.6;254259.5;56682.3;1186859.8;78496.0;16756.5;31765.8;-1391.3;74634.8;25489.4;49145.4;752.3;2507.2;1754.9;137482.6;18633.0;58.8;118908.4;103766.5
