ID;Perioden;AantalInstellingen_1;TotaalWerknemers_2;Fulltime_3;Parttime_4;TotaalFTEWerknemers_5;Vrouwen_6;Mannen_7;TotaalArtsen_8;Vrouwen_9;Mannen_10;TotaalVerpleegkundigen_11;Vrouwen_12;Mannen_13;TotaalDoktersassistenten_14;Vrouwen_15;Mannen_16;TotaalLaboratoriumpersoneel_17;Vrouwen_18;Mannen_19;TotaalAdministratiefPersoneel_20;Vrouwen_21;Mannen_22;TotaalOverigPersoneel_23;Vrouwen_24;Mannen_25;TotaalGewerkteUren_26;Oproepkrachten_27;Uitzendkrachten_28;OverigPersoneel_29;AantalPatienten_30;TotaalAantalKeren_31;AanHuis_32;Poliklinisch_33;TotaalBijZiekenfondsverzekerden_34;AanHuis_35;Poliklinisch_36;TotaalBijNietZiekenfondsverzekerden_37;AanHuis_38;Poliklinisch_39
0;1985;33;453;143;310;307;280;27;19;7;12;107;105;2;72;71;1;65;61;4;37;30;7;8;6;2;;;;;116;1941;620;1322;1443.0;478.0;965.0;498.0;141.0;357.0
1;1986;33;466;131;335;305;277;28;17;6;11;107;102;5;81;80;1;59;55;4;33;28;5;9;6;3;;;;;119;1960;629;1331;1405.0;471.0;934.0;555.0;158.0;397.0
2;1987;34;476;126;350;303;275;28;16;7;9;114;111;3;78;78;0;50;45;5;37;32;5;8;3;5;;;;;126;2030;627;1403;1433.0;464.0;969.0;597.0;163.0;434.0
3;1988;34;490;112;378;303;275;28;19;7;12;114;111;3;73;73;0;56;51;5;32;27;5;9;6;3;;;;;125;2017;627;1390;1416.0;462.0;954.0;601.0;165.0;436.0
4;1989;35;504;111;393;311;286;25;20;8;12;113;111;2;81;81;0;60;57;3;29;24;5;8;4;4;;;;;121;2094;674;1420;1467.0;493.0;974.0;628.0;181.0;447.0
5;1990;36;578;96;482;321;299;22;18;8;10;112;111;1;73;73;0;74;72;2;32;28;4;12;7;5;;;;;130;2228;725;1502;1549.0;529.0;1020.0;678.0;196.0;482.0
6;1991;36;621;103;518;341;311;30;18;10;8;109;104;5;73;73;0;88;85;3;45;36;9;9;4;5;;;;;130;2333;829;1504;1622.0;595.0;1027.0;712.0;234.0;478.0
7;1992;37;602;86;516;321;290;31;20;9;11;110;106;4;75;75;0;67;65;2;39;33;6;11;3;8;;;;;123;2310;788;1522;1596.0;569.0;1027.0;714.0;218.0;496.0
8;1993;39;636;76;560;316;287;29;17;9;8;97;90;7;83;83;0;74;70;4;33;29;4;13;6;7;;;;;127;2345;881;1464;1622.0;631.0;991.0;724.0;250.0;474.0
9;1994;39;636;75;561;318;290;28;17;10;7;92;85;7;82;82;0;80;76;4;34;30;4;12;6;6;;;;;127;2357;875;1481;1649.0;634.0;1015.0;707.0;241.0;466.0
10;1995;39;636;75;561;310;284;26;15;8;7;92;84;8;80;80;0;77;75;2;33;29;4;13;9;4;27.0;;4.0;23.0;124;2345;896;1449;1699.0;674.0;1025.0;646.0;222.0;424.0
11;1996;38;676;69;607;312;285;27;16;8;8;90;83;7;79;79;0;82;80;2;34;28;6;11;7;4;35.0;20.0;5.0;10.0;128;2380;925;1455;1730.0;689.0;1041.0;650.0;236.0;414.0
12;1997;34;654;69;585;329;304;25;17;11;6;98;89;9;90;90;0;70;68;2;36;32;4;18;14;4;37.0;24.0;6.0;7.0;128;2375;987;1388;1757.0;760.0;997.0;618.0;227.0;391.0
13;1998;31;694;68;626;350;328;22;16;10;6;97;90;7;110;110;0;66;64;2;40;35;5;23;19;4;38.0;23.0;5.0;10.0;129;2422;982;1440;1813.0;764.0;1049.0;609.0;218.0;391.0
14;1999;30;743;60;683;379;351;27;19;12;7;105;99;6;119;119;0;58;53;5;46;41;5;33;28;5;26.0;16.0;1.0;9.0;132;2478;1002;1476;;;;;;
