ID;FormeleOpvang;Perioden;TotaalHuishoudensMetFormeleOpvang_1
0;Totaal kenmerken;2005;283
1;Totaal kenmerken;2007;364
2;Totaal kenmerken;2009;446
3;Totaal kenmerken;2011;463
4;Totaal kenmerken;2013;449
5;1 dag per week;2005;56
6;1 dag per week;2007;76
7;1 dag per week;2009;88
8;1 dag per week;2011;103
9;1 dag per week;2013;118
10;2 dagen per week;2005;118
11;2 dagen per week;2007;156
12;2 dagen per week;2009;180
13;2 dagen per week;2011;188
14;2 dagen per week;2013;187
15;3 dagen per week;2005;77
16;3 dagen per week;2007;90
17;3 dagen per week;2009;119
18;3 dagen per week;2011;120
19;3 dagen per week;2013;105
20;4 of meer dagen per week;2005;27
21;4 of meer dagen per week;2007;35
22;4 of meer dagen per week;2009;53
23;4 of meer dagen per week;2011;42
24;4 of meer dagen per week;2013;34
25;Onbekend;2005;5
26;Onbekend;2007;6
27;Onbekend;2009;5
28;Onbekend;2011;8
29;Onbekend;2013;5
30;1 tot 12 uur per week;2005;112
31;1 tot 12 uur per week;2007;144
32;1 tot 12 uur per week;2009;140
33;1 tot 12 uur per week;2011;161
34;1 tot 12 uur per week;2013;205
35;12 tot 20 uur per week;2005;74
36;12 tot 20 uur per week;2007;92
37;12 tot 20 uur per week;2009;104
38;12 tot 20 uur per week;2011;107
39;12 tot 20 uur per week;2013;93
40;20 tot 28 uur per week;2005;57
41;20 tot 28 uur per week;2007;76
42;20 tot 28 uur per week;2009;91
43;20 tot 28 uur per week;2011;82
44;20 tot 28 uur per week;2013;79
45;28 tot 35 uur per week;2005;25
46;28 tot 35 uur per week;2007;28
47;28 tot 35 uur per week;2009;48
48;28 tot 35 uur per week;2011;40
49;28 tot 35 uur per week;2013;33
50;35 uur of meer per week;2005;10
51;35 uur of meer per week;2007;16
52;35 uur of meer per week;2009;59
53;35 uur of meer per week;2011;65
54;35 uur of meer per week;2013;33
55;Onbekend;2005;5
56;Onbekend;2007;8
57;Onbekend;2009;5
58;Onbekend;2011;8
59;Onbekend;2013;5
