ID;GeslachtWerknemer;Dienstverband;CaoSector;KenmerkenBaan;Perioden;Banen_1;Arbeidsvolume_2;Uurloon_3;MaandloonInclusiefOverwerk_4;MaandloonExclusiefOverwerk_5;JaarloonInclusiefBijzondereBeloning_6;JaarloonExclusiefBijzondereBeloning_7;BijzondereBeloning_8;BijtellingAutoVanDeZaak_9;PerBaanPerWeekInclusiefOverwerk_10;PerBaanPerWeekExclusiefOverwerk_11;PerBaanPerJaar_12;PerArbeidsjaar_13
0;Totaal;Totaal;Totaal;Totaal;2006;7532.0;5715.0;18.39;2061.0;2027.0;28280.0;24730.0;3550.0;420.0;29.2;28.8;1322.0;1743.0
1;Totaal;Totaal;Totaal;Totaal;2007;7757.0;5904.0;18.9;2104.0;2068.0;28990.0;25250.0;3740.0;440.0;29.3;28.9;1313.0;1725.0
2;Totaal;Totaal;Totaal;Totaal;2008;7881.0;6010.0;19.5;2171.0;2136.0;29960.0;26050.0;3910.0;510.0;29.3;28.9;1314.0;1724.0
3;Totaal;Totaal;Totaal;Totaal;2009;7819.0;5923.0;20.01;2229.0;2198.0;30700.0;26750.0;3950.0;510.0;29.2;28.8;1318.0;1740.0
4;Totaal;Totaal;Totaal;601;2006;382.0;214.0;11.38;980.0;952.0;12890.0;11760.0;1130.0;10.0;22.2;21.8;1003.0;1787.0
5;Totaal;Totaal;Totaal;601;2007;417.0;243.0;11.68;1023.0;992.0;13480.0;12280.0;1210.0;10.0;22.8;22.4;1018.0;1749.0
6;Totaal;Totaal;Totaal;601;2008;438.0;260.0;12.14;1082.0;1052.0;14220.0;12980.0;1240.0;40.0;23.3;22.8;1039.0;1749.0
7;Totaal;Totaal;Totaal;601;2009;392.0;223.0;12.27;1052.0;1025.0;13910.0;12630.0;1280.0;40.0;22.3;21.9;1002.0;1761.0
8;Totaal;Totaal;Totaal;602;2006;348.0;125.0;10.79;576.0;563.0;7610.0;6910.0;700.0;10.0;13.9;13.7;626.0;1740.0
9;Totaal;Totaal;Totaal;602;2007;376.0;137.0;10.89;581.0;566.0;7710.0;6970.0;740.0;10.0;14.0;13.7;623.0;1712.0
10;Totaal;Totaal;Totaal;602;2008;394.0;143.0;11.28;595.0;585.0;7890.0;7140.0;750.0;10.0;13.9;13.7;623.0;1715.0
11;Totaal;Totaal;Totaal;602;2009;408.0;143.0;11.88;615.0;608.0;8160.0;7380.0;790.0;20.0;13.5;13.4;614.0;1755.0
