ID;SeasonalAndWorkingDayAdjustment;Periods;GrossDomesticProduct_1;GrossOperatingSurplus_2;GrossNationalIncome_3;GrossDisposableIncome_4;GrossSaving_5;NetLendingOrNetBorrowing_6;ValueAdded_7;GrossOperatingSurplus_8;GrossFixedCapitalFormation_9;CompensationOfEmployees_10;FinalConsumptionExpenditure_11;GrossFixedCapitalFormation_12;TotalRevenue_13;TotalExpenditure_14;BalanceGeneralGovernmentSectorEMU_15;CompensationOfEmployees_16;PropertyIncome_17;SocialBenefitsInCash_18;OtherCurrentTransfers_19;AdjustmChangeInPensionEntitlements_20;FinalConsumptionExpenditure_21;GrossFixedCapitalFormation_22;PropertyIncome_23;CurrentTaxesOnIncomeAndWealth_24;NetSocialContributions_25;OtherCurrentTransfers_26;AdjustmChangeInPensionEntitlements_27;GrossOperatingSurplus_28;GrossDisposableIncome_29;GrossSaving_30;ImportsOfGoodsAndServices_31;ReceivedPrimaryIncome_32;ReceivedCurrentTransfers_33;AdjustmChangeInPensionEntitlements_34;ReceivedCapitalTransfers_35;ExportsOfGoodsAndServices_36;PaidPrimaryIncome_37;PaidCurrentTransfers_38;AdjustmChangeInPensionEntitlements_39;PaidCapitalTransfers_40
0;Original, unadjusted data;1999 1st quarter;100022;41639;100648;98815;28226;5016;57570;23574;11381;34841;20023;3468;43038;43340;-302;48866;9449;16020;4754;3773;50537;8033;4095;7104;24674;4421;0;12254;51049;4285;52076;19198;3250;29;391;58413;19824;1417;0;303
1;Original, unadjusted data;1999 2nd quarter;103361;35140;104628;103249;28601;5351;58132;17615;12842;40808;22286;3808;46186;47257;-1071;57730;12166;19805;4866;3983;52331;8042;4173;7221;27845;4458;0;12082;62952;14604;55395;18489;2720;31;521;61145;19756;1341;0;262
2;Original, unadjusted data;1999 3rd quarter;101872;42077;103509;101893;28612;4070;58102;23079;11149;35405;20055;3896;43607;42739;868;49269;10710;17005;4937;4043;53199;6280;4403;7053;25021;4619;0;12896;53721;4565;57240;12565;2963;27;590;61630;14202;1347;0;273
3;Original, unadjusted data;1999 4th quarter;109583;45789;110896;109191;33739;5167;62406;26553;12794;35886;22508;4480;48835;46977;1858;52095;10028;17937;5021;3900;52912;7335;4756;7229;26799;4714;0;12963;54546;5534;63018;21452;2991;32;396;68712;22765;1286;0;290
4;Original, unadjusted data;2000 1st quarter;108320;44733;108755;106517;30051;4608;62539;25165;11479;38096;21624;3680;44955;45476;-521;53299;10626;16778;5263;4164;54819;8014;5072;7636;26238;4817;0;13407;55610;4955;62636;25501;3974;23;457;69135;25936;1736;0;393
5;Original, unadjusted data;2000 2nd quarter;111942;37510;114510;112415;32313;6453;63464;19222;12371;44225;24016;4011;51290;49658;1632;62499;13568;20742;5364;4522;56058;8378;5357;7762;30660;4892;0;12638;66140;14604;66235;27788;3804;28;612;72522;30356;1709;0;334
6;Original, unadjusted data;2000 3rd quarter;110240;46169;113790;111691;33430;8777;62862;25243;13402;38465;21664;3992;46083;42115;3968;53333;11407;17688;5385;4301;56572;7445;5541;7582;26676;4954;0;14249;57309;5038;66482;32547;3798;25;693;74176;36097;1699;0;351
7;Original, unadjusted data;2000 4th quarter;117559;48998;118200;115845;35019;6965;67637;28983;12428;38624;24268;5137;53229;49888;3341;55894;10170;18419;5417;4394;56529;7010;5661;7766;29126;5013;0;13916;56250;4115;73300;31054;4010;29;462;82096;31695;1655;0;375
8;Original, unadjusted data;2001 1st quarter;117159;48811;116095;114136;33002;5834;68656;29305;12551;40288;23516;4171;48176;48703;-527;56369;8732;17407;5504;3002;57586;8247;3648;6734;25912;5201;0;12712;59229;4645;67786;26402;3771;32;237;76623;25338;1812;0;284
9;Original, unadjusted data;2001 2nd quarter;120045;41042;119956;118112;32560;5478;68757;22400;12749;46737;26085;4418;53069;53850;-781;66132;13146;21675;5983;3465;59431;8922;3848;7940;28913;4980;0;12087;73342;17376;69021;23502;3593;36;309;76524;23413;1749;0;247
10;Original, unadjusted data;2001 3rd quarter;116192;47805;116368;114350;31161;4818;67081;27066;11568;40618;23581;4535;48732;49087;-355;56377;11089;18430;6101;3601;59572;7097;3670;7658;25521;5314;0;13530;63364;7393;67468;31399;3771;36;353;74255;31575;1753;0;257
