ID;EnergyCommodities;Sectors;Periods;TotalPrimaryEnergySupply_1;IndigenousProduction_2;ReceiptsOfEnergy_3;DeliveriesOfEnergy_4;StockChange_5;StatisticalDifferences_6;TotalEnergyConsumption_7;TotalNetEnergyTransformation_8;NetElectricityCHPTransformation_9;NetOtherTransformation_10;EnergyTransformationInput_11;ElectricityAndCHPTransformationInput_12;OtherTransformationInput_13;EnergyTransformationOutput_14;ElectricityCHPTransformationOutput_15;OtherTransformationOutput_16;OwnUse_17;DistributionLosses_18;FinalEnergyConsumption_19;NonEnergyUse_20
0;Total energy commodities;Total energy sector and final users;1990;2829.0;2542.1;12240.4;11925.7;10.1;-38.0;2867.0;439.1;346.5;92.6;3315.5;746.9;2568.6;2876.4;400.4;2476.0;199.0;14.8;1799.0;415.2
1;Total energy commodities;Total energy sector and final users;1991;2938.3;2831.7;12062.0;11911.7;-8.3;-35.5;2973.9;433.8;350.4;83.4;3469.6;770.0;2699.6;3035.8;419.6;2616.2;211.0;16.7;1902.5;409.9
2;Total energy commodities;Total energy sector and final users;1992;2915.9;2838.9;11747.0;11594.3;-35.7;-40.0;2955.9;452.5;365.2;87.4;3547.1;803.0;2744.1;3094.6;437.8;2656.8;204.2;17.1;1871.4;410.7
3;Total energy commodities;Total energy sector and final users;1993;2976.6;2892.0;13030.6;12912.2;8.2;-42.1;3018.7;465.3;370.3;95.0;3581.9;806.4;2775.4;3116.6;436.1;2680.5;211.7;18.1;1928.7;395.0
4;Total energy commodities;Total energy sector and final users;1994;2991.1;2802.5;12530.2;12266.2;-39.5;-35.9;3027.0;474.7;371.5;103.2;3655.5;830.3;2825.2;3180.7;458.8;2722.0;211.7;19.0;1892.3;429.3
5;Total energy commodities;Total energy sector and final users;1995;3084.6;2814.8;12732.6;12516.9;76.6;-22.5;3107.1;467.5;370.0;97.5;3866.4;842.9;3023.5;3398.9;472.8;2926.1;210.1;19.6;1963.4;446.5
6;Total energy commodities;Total energy sector and final users;1996;3254.5;3146.2;13713.9;13568.1;-4.8;-32.7;3287.2;479.2;375.4;103.8;3994.9;880.7;3114.1;3515.7;505.3;3010.3;213.8;21.0;2128.1;445.0
7;Total energy commodities;Total energy sector and final users;1997;3148.3;2799.6;13882.1;13480.8;-27.6;-24.9;3173.2;480.1;365.2;114.9;3963.7;871.5;3092.2;3483.6;506.4;2977.3;204.4;20.3;2001.9;466.6
8;Total energy commodities;Total energy sector and final users;1998;3167.0;2688.5;14159.6;13622.2;-43.7;-15.2;3182.2;501.3;377.8;123.5;4079.1;910.1;3169.0;3577.8;532.3;3045.5;204.9;21.6;1999.4;455.1
9;Total energy commodities;Total energy sector and final users;1999;3107.7;2515.4;13814.0;13324.1;130.9;-28.5;3136.2;472.1;354.9;117.2;3887.5;870.4;3017.1;3415.4;515.5;2899.9;189.7;21.5;1995.2;457.7
10;Total energy commodities;Total energy sector and final users;2000;3146.5;2456.7;14910.1;14101.6;-107.0;-11.6;3158.1;488.5;367.4;121.1;3928.9;893.3;3035.7;3440.4;525.9;2914.5;187.5;22.2;1989.4;470.5
11;Total energy commodities;Total energy sector and final users;2001;3231.2;2573.8;15187.5;14543.0;14.3;-1.3;3232.6;531.4;400.6;130.8;3976.1;939.2;3036.9;3444.7;538.6;2906.1;189.2;22.9;2022.7;466.4
12;Total energy commodities;Total energy sector and final users;2002;3264.5;2574.8;15538.3;14902.7;38.7;15.4;3249.1;527.1;407.1;119.9;3874.8;953.6;2921.3;3347.8;546.4;2801.4;185.3;23.3;2019.9;493.5
13;Total energy commodities;Total energy sector and final users;2003;3374.4;2477.4;15766.0;14908.3;32.2;7.1;3367.3;544.8;410.5;134.3;4000.3;959.2;3041.1;3455.5;548.7;2906.8;187.4;23.7;2051.2;560.1
14;Total energy commodities;Total energy sector and final users;2004;3410.7;2863.2;16458.6;15870.3;-45.6;4.8;3406.0;554.7;418.9;135.8;4188.4;991.5;3196.8;3633.7;572.7;3061.0;195.2;24.6;2072.9;558.6
15;Total energy commodities;Total energy sector and final users;2005;3363.8;2622.0;16425.5;15619.1;-50.1;-14.5;3378.3;538.6;406.5;132.1;4249.8;971.9;3277.8;3711.2;565.4;3145.7;201.1;24.5;2048.7;565.4
16;Total energy commodities;Total energy sector and final users;2006;3323.7;2583.6;17064.3;16284.2;-43.1;3.1;3320.6;509.7;386.2;123.5;4158.7;949.9;3208.8;3649.0;563.6;3085.3;190.6;24.7;2037.1;558.4
17;Total energy commodities;Total energy sector and final users;2007;3316.2;2532.0;16635.6;15901.6;52.5;-2.2;3318.4;533.1;400.9;132.3;4157.0;994.5;3162.5;3623.9;593.6;3030.2;204.7;23.6;1998.1;558.8
18;Total energy commodities;Total energy sector and final users;2008;3283.7;2845.5;16885.0;16346.9;-96.0;-4.0;3287.6;520.6;410.6;110.0;4135.5;1025.4;3110.1;3614.9;614.8;3000.1;196.6;23.4;2035.2;511.8
19;Total energy commodities;Total energy sector and final users;2009;3241.5;2646.1;16480.7;15877.4;4.1;-12.1;3253.6;531.8;418.9;112.9;4126.0;1043.9;3082.1;3594.2;625.1;2969.2;191.3;22.8;1969.4;538.3
20;Total energy commodities;Total energy sector and final users;2010;3472.9;2990.2;17682.9;17200.2;12.5;-12.4;3485.3;542.1;427.9;114.2;4404.5;1092.2;3312.2;3862.4;664.3;3198.1;197.5;24.4;2118.4;602.9
21;Total energy commodities;Total energy sector and final users;2011;3237.5;2794.1;17153.0;16795.7;99.2;-13.1;3250.6;509.5;391.7;117.8;4240.3;1029.0;3211.3;3730.8;637.3;3093.5;209.8;22.6;1953.5;555.2
22;Total energy commodities;Total energy sector and final users;2012;3251.5;2787.4;17540.2;16974.7;-92.8;-8.6;3260.1;500.8;372.8;128.0;4306.6;969.6;3337.0;3805.7;596.8;3208.9;201.3;21.7;1963.9;572.3
23;Total energy commodities;Total energy sector and final users;2013;3166.0;2942.2;17026.4;16797.8;14.6;-19.5;3185.5;481.6;362.5;119.1;4241.2;949.7;3291.5;3759.6;587.2;3172.3;201.7;22.6;1957.2;522.4
24;Total energy commodities;Total energy sector and final users;2014;3010.5;2553.7;17028.4;16465.7;-86.3;-19.7;3030.1;521.8;384.2;137.6;4380.7;955.1;3425.7;3858.9;570.9;3288.0;198.2;21.8;1764.6;523.6
25;Total energy commodities;Total energy sector and final users;2015;3070.1;2035.2;19821.8;18630.1;-137.8;-18.9;3089.0;542.1;413.1;128.9;4651.0;997.1;3653.9;4108.9;584.0;3525.0;210.3;27.2;1800.7;508.8
26;Total energy commodities;Total energy sector and final users;2016;3125.2;1958.5;20169.7;19118.8;124.9;-9.0;3134.2;523.8;407.2;116.7;4824.3;1000.6;3823.7;4300.4;593.4;3707.0;205.4;28.3;1843.6;533.0
27;Total energy commodities;Total energy sector and final users;2017;3148.5;1755.4;20326.4;19006.7;76.2;-2.8;3151.3;504.9;388.6;116.2;4860.2;991.4;3868.8;4355.4;602.8;3752.6;198.0;28.0;1850.3;570.1
28;Total energy commodities;Total energy sector and final users;2018;3096.6;1563.2;19959.4;18366.3;-63.9;4.2;3092.4;467.1;359.4;107.8;5130.5;942.0;4188.5;4663.3;582.6;4080.7;203.7;27.4;1862.6;531.6
