ID;AllePerioden;InNederlandEnHetBuitenland_1;VerzekerdBedragInNederland_2;PerHoofdDerBevolkingNominaal_3;PerHoofdDerBevolkingKoopkracht1975_4;PremiesEigenRekening_5;UitkeringEigenRekening_6
0;1915;628;;97.0;;;
1;1920;937;;137.0;;;
2;1925;1102;1016.0;137.0;806.0;39.0;20.0
3;1930;1571;1415.0;178.0;1189.0;52.0;24.0
4;1935;1777;1619.0;191.0;1469.0;61.0;39.0
5;1936;1837;1669.0;195.0;1501.0;63.0;38.0
6;1937;1956;1785.0;206.0;1588.0;81.0;36.0
7;1938;2118;1935.0;221.0;1703.0;84.0;39.0
8;1939;2224;2033.0;230.0;1770.0;69.0;44.0
9;1940;2246;2062.0;231.0;1540.0;65.0;48.0
10;1941;2434;2245.0;249.0;1384.0;85.0;43.0
11;1942;2790;2584.0;285.0;1497.0;109.0;43.0
12;1943;3208;2987.0;327.0;1636.0;145.0;50.0
13;1944;3586;3350.0;363.0;1817.0;161.0;56.0
14;1945;3767;3519.0;378.0;1644.0;111.0;63.0
15;1946;4178;3931.0;412.0;1648.0;128.0;64.0
16;1947;4689;4409.0;454.0;1745.0;143.0;66.0
17;1948;5276;4980.0;504.0;1865.0;170.0;79.0
18;1949;5929;5529.0;551.0;1901.0;192.0;83.0
19;1950;6503;6078.0;596.0;1862.0;211.0;84.0
20;1951;7325;6812.0;659.0;1831.0;224.0;98.0
21;1952;8041;7462.0;715.0;1987.0;244.0;98.0
22;1953;8818;8191.0;776.0;2157.0;266.0;106.0
23;1954;9710;9052.0;848.0;2291.0;290.0;113.0
24;1955;10849;10131.0;936.0;2464.0;312.0;110.0
25;1956;12082;11296.0;1031.0;2713.0;348.0;117.0
26;1957;13363;12558.0;1132.0;2760.0;367.0;130.0
27;1958;14617;13780.0;1222.0;2980.0;385.0;141.0
28;1959;15996;15110.0;1323.0;3151.0;415.0;150.0
29;1960;17659;16710.0;1446.0;3362.0;453.0;158.0
30;1961;19552;18561.0;1584.0;3599.0;492.0;175.0
31;1962;21708;20635.0;1735.0;3856.0;529.0;191.0
32;1963;24046;22880.0;1900.0;4043.0;584.0;215.0
33;1964;27037;25834.0;2116.0;4231.0;646.0;230.0
34;1965;30072;28732.0;2322.0;4464.0;699.0;243.0
35;1966;32943;30288.0;2525.0;4590.0;739.0;275.0
36;1967;36641;35054.0;2769.0;4857.0;813.0;346.0
37;1968;41216;39475.0;3084.0;5228.0;887.0;379.0
38;1969;46052;44070.0;3401.0;5314.0;950.0;349.0
39;1970;50954;48788.0;3719.0;5635.0;1089.0;388.0
40;1971;59707;57371.0;4324.0;6090.0;1217.0;428.0
41;1972;67833;65278.0;4876.0;6416.0;1349.0;464.0
42;1973;72378;69702.0;5167.0;6225.0;1508.0;498.0
43;1974;82343;79481.0;5845.0;6494.0;1732.0;542.0
44;1975;95064;92191.0;6713.0;6713.0;2624.0;586.0
45;1976;108008;105402.0;7630.0;7000.0;2271.0;672.0
46;1977;123872;121034.0;8709.0;7508.0;2403.0;787.0
47;1978;138851;135603.0;9696.0;8020.0;2508.0;815.0
48;1979;154494;150835.0;10704.0;8488.0;2794.0;906.0
49;1980;171002;166753.0;11736.0;8700.0;3072.0;1165.0
50;1981;183277;178632.0;12504.0;8677.0;3319.0;1803.0
51;1982;195582;190664.0;13296.0;8738.0;3722.0;1183.0
52;1983;207757;204337.0;14195.0;9079.0;3975.0;1286.0
53;1984;221008;217687.0;15061.0;9335.0;4233.0;1456.0
54;1985;236270;218961.0;15070.0;9135.0;4413.0;1777.0
55;1986;251530;231586.0;15846.0;9573.0;4651.0;1823.0
56;1987;270731;248899.0;16915.0;11130.0;5090.0;1777.0
57;1988;293711;274340.0;18530.0;11231.0;5782.0;1994.0
58;1989;326101;305935.0;20543.0;11351.0;6755.0;2153.0
59;1990;355443;334959.0;22315.0;11626.0;8533.0;2426.0
60;1991;401631;381765.0;25234.0;12103.0;9910.0;2728.0
61;1992;440230;;;;10322.0;3168.0
62;1993;477927;;;;9759.0;3399.0
63;1994;549288;507254.0;32887.0;16796.0;;
64;1995;558546;544422.0;35138.0;17604.0;12394.0;5221.0
65;1996;605975;589422.0;37863.0;18578.0;13646.0;6612.0
66;1997;688218;616447.0;39372.0;32689.0;15364.0;7770.0
