ID;Geslacht;Leeftijd;WoonregioS;WerkregioS;Perioden;TotaalHoofdbanenVanWerknemers_1;HoofdbaanBinnenWoongemeente_2;HoofdbaanBuitenWoongemeente_3;HoofdbaanBinnenWoonCOROP_4;HoofdbaanBuitenWoonCOROP_5;HoofdbaanBinnenWoonprovincie_6;HoofdbaanBuitenWoonprovincie_7;GemiddeldeWoonwerkafstand_8
0;Geslacht totaal;0;Nederland inclusief buitenland;Nederland totaal;31 december 1998;6514.1;2881.3;3632.8;4578.4;1935.8;5472.8;1041.3;
1;Geslacht totaal;0;Nederland inclusief buitenland;Nederland totaal;31 december 2000;6681.0;2879.5;3801.5;4757.8;1923.1;5527.1;1153.9;
2;Geslacht totaal;0;Nederland inclusief buitenland;Nederland totaal;30 september 2004;7129.5;3150.3;3979.1;5008.8;2120.6;5822.0;1307.5;
3;Geslacht totaal;0;Nederland inclusief buitenland;Nederland totaal;30 september 2005;7159.6;3157.3;4002.2;5002.7;2156.8;5820.7;1338.9;
4;Geslacht totaal;0;Nederland inclusief buitenland;Provincie onbekend;31 december 1998;0.0;;;;;;;0.0
5;Geslacht totaal;0;Nederland inclusief buitenland;Provincie onbekend;31 december 2000;0.0;;;;;;;0.0
6;Geslacht totaal;0;Nederland inclusief buitenland;Provincie onbekend;30 september 2004;51.3;;51.3;;51.3;;51.3;
7;Geslacht totaal;0;Nederland inclusief buitenland;Provincie onbekend;30 september 2005;52.7;;52.7;;52.7;;52.7;
8;Geslacht totaal;0;Nederland inclusief buitenland;Groningen (PV);31 december 1998;210.9;99.9;111.0;153.5;57.4;174.0;36.8;
9;Geslacht totaal;0;Nederland inclusief buitenland;Groningen (PV);31 december 2000;217.7;102.2;115.5;157.7;60.0;179.1;38.6;
10;Geslacht totaal;0;Nederland inclusief buitenland;Groningen (PV);30 september 2004;228.6;109.2;119.4;163.8;64.8;186.6;42.0;
11;Geslacht totaal;0;Nederland inclusief buitenland;Groningen (PV);30 september 2005;230.6;109.6;121.1;163.8;66.8;186.7;43.9;
12;Geslacht totaal;0;Nederland inclusief buitenland;Friesland (PV);31 december 1998;207.6;105.8;101.8;161.5;46.1;188.3;19.2;
13;Geslacht totaal;0;Nederland inclusief buitenland;Friesland (PV);31 december 2000;219.4;108.7;110.7;168.4;51.0;197.6;21.9;
14;Geslacht totaal;0;Nederland inclusief buitenland;Friesland (PV);30 september 2004;234.5;117.0;117.5;178.7;55.8;211.5;23.0;
15;Geslacht totaal;0;Nederland inclusief buitenland;Friesland (PV);30 september 2005;237.8;117.4;120.4;179.5;58.3;213.3;24.4;
16;Geslacht totaal;0;Nederland inclusief buitenland;Drenthe (PV);31 december 1998;160.5;87.0;73.5;112.9;47.6;127.2;33.3;
17;Geslacht totaal;0;Nederland inclusief buitenland;Drenthe (PV);31 december 2000;165.5;89.0;76.5;115.8;49.7;130.1;35.4;
18;Geslacht totaal;0;Nederland inclusief buitenland;Drenthe (PV);30 september 2004;174.4;91.9;82.5;119.1;55.3;135.3;39.1;
19;Geslacht totaal;0;Nederland inclusief buitenland;Drenthe (PV);30 september 2005;176.1;93.7;82.4;121.9;54.3;135.7;40.4;
