ID;Geslacht;Leeftijd;Perioden;TotaalZelfdoding_1;Ongehuwd_2;Gehuwd_3;Verweduwd_4;Gescheiden_5;OphangenVerwurgen_6;MedicijnenEnOfAlcohol_7;VoorTreinOfMetro_8;Verdrinken_9;SpringenVanHoogte_10;OverigeWijzeVanZelfdoding_11;OnbekendeWijzeVanZelfdoding_12;PsychischeStoornissen_13;FysiekeStoornissen_14;HuiselijkeOmstandigheden_15;OverigMotiefVanZelfdoding_16;OnbekendMotiefVanZelfdoding_17;TotaalZelfdoding_18;Ongehuwd_19;Gehuwd_20;Verweduwd_21;Gescheiden_22
0;Totaal mannen en vrouwen;Totaal alle leeftijden;1950;559;145;275;118;21;222;34;;94;18;169;22;197;50;12;75;225;5.5;2.7;6.4;27.0;27.9
1;Totaal mannen en vrouwen;Totaal alle leeftijden;1951;618;159;328;121;10;238;30;;128;14;187;21;0;0;0;0;618;6.0;3.0;7.5;27.4;13.0
2;Totaal mannen en vrouwen;Totaal alle leeftijden;1952;655;167;339;127;22;267;30;;108;18;206;26;0;0;0;0;655;6.3;3.1;7.6;28.4;28.1
3;Totaal mannen en vrouwen;Totaal alle leeftijden;1953;684;172;354;138;20;258;26;;145;14;206;35;0;0;0;0;684;6.5;3.2;7.8;30.5;25.2
4;Totaal mannen en vrouwen;Totaal alle leeftijden;1954;663;165;359;122;17;271;31;;105;12;220;24;0;0;0;0;663;6.2;3.0;7.8;26.7;21.2
5;Totaal mannen en vrouwen;Totaal alle leeftijden;1955;650;153;350;131;16;239;35;;137;20;197;22;279;63;9;61;238;6.0;2.8;7.4;28.3;19.6
6;Totaal mannen en vrouwen;Totaal alle leeftijden;1956;651;153;349;126;23;262;21;;136;16;194;22;0;0;0;0;651;6.0;2.8;7.3;26.9;27.7
7;Totaal mannen en vrouwen;Totaal alle leeftijden;1957;705;155;368;162;20;263;31;;154;19;204;34;324;76;15;76;214;6.4;2.8;7.5;34.1;23.8
8;Totaal mannen en vrouwen;Totaal alle leeftijden;1958;760;169;403;157;31;265;29;;170;22;234;40;0;0;0;0;760;6.8;3.0;8.1;32.5;36.2
9;Totaal mannen en vrouwen;Totaal alle leeftijden;1959;794;200;404;165;25;276;35;;165;23;260;35;0;0;0;0;794;7.0;3.5;8.0;33.6;28.6
10;Totaal mannen en vrouwen;Totaal alle leeftijden;1960;762;175;401;156;30;257;41;;164;18;245;37;0;0;0;0;762;6.6;3.0;7.8;31.1;35.4
11;Totaal mannen en vrouwen;Totaal alle leeftijden;1961;773;174;424;150;25;279;53;;171;29;220;21;0;0;0;0;773;6.6;3.0;8.1;29.3;30.3
12;Totaal mannen en vrouwen;Totaal alle leeftijden;1962;778;192;396;163;27;267;71;;153;17;235;35;306;94;27;84;267;6.6;3.3;7.5;31.2;31.9
13;Totaal mannen en vrouwen;Totaal alle leeftijden;1963;741;201;375;137;28;289;81;;131;24;180;36;0;0;0;0;741;6.2;3.4;6.9;25.7;32.4
14;Totaal mannen en vrouwen;Totaal alle leeftijden;1964;791;216;399;151;25;277;85;;151;26;211;41;0;0;0;0;791;6.5;3.6;7.3;27.8;28.3
15;Totaal mannen en vrouwen;Totaal alle leeftijden;1965;850;225;416;182;27;308;107;;169;30;192;44;383;87;25;66;289;6.9;3.7;7.4;32.7;29.7
16;Totaal mannen en vrouwen;Totaal alle leeftijden;1966;881;230;476;154;21;323;106;;184;28;171;69;0;0;0;0;881;7.1;3.8;8.3;27.1;22.2
17;Totaal mannen en vrouwen;Totaal alle leeftijden;1967;784;215;393;143;33;291;127;;163;44;110;49;344;79;20;64;277;6.2;3.5;6.7;24.6;33.3
18;Totaal mannen en vrouwen;Totaal alle leeftijden;1968;803;233;386;151;33;311;145;;159;33;112;43;0;0;0;0;803;6.3;3.8;6.5;25.4;31.5
19;Totaal mannen en vrouwen;Totaal alle leeftijden;1969;943;249;506;149;39;364;244;;165;50;120;0;417;104;22;93;307;7.3;4.1;8.3;24.5;35.0
20;Totaal mannen en vrouwen;Totaal alle leeftijden;1970;1049;272;541;195;41;388;266;;218;50;127;0;495;113;32;95;314;8.0;4.5;8.7;31.3;34.7
21;Totaal mannen en vrouwen;Totaal alle leeftijden;1971;1090;293;551;192;54;357;310;;215;51;157;0;536;120;31;86;317;8.3;4.8;8.7;30.1;42.9
22;Totaal mannen en vrouwen;Totaal alle leeftijden;1972;1094;286;556;185;67;352;314;;207;59;162;0;553;103;33;91;314;8.2;4.7;8.7;28.3;48.6
23;Totaal mannen en vrouwen;Totaal alle leeftijden;1973;1164;336;597;151;80;389;309;;193;86;186;1;655;51;27;72;359;8.7;5.5;9.2;22.6;51.7
24;Totaal mannen en vrouwen;Totaal alle leeftijden;1974;1247;321;654;179;93;417;325;;223;98;183;1;628;94;48;86;391;9.2;5.3;9.9;26.3;53.2
25;Totaal mannen en vrouwen;Totaal alle leeftijden;1975;1219;359;576;187;97;409;295;;214;95;206;0;572;104;51;80;412;8.9;5.9;8.6;27.0;48.7
26;Totaal mannen en vrouwen;Totaal alle leeftijden;1976;1300;363;622;195;120;472;296;;225;107;197;3;581;100;36;62;521;9.4;5.9;9.2;27.8;53.1
27;Totaal mannen en vrouwen;Totaal alle leeftijden;1977;1274;378;588;180;128;483;274;;223;93;200;1;591;98;27;64;494;9.2;6.2;8.7;25.1;51.1
28;Totaal mannen en vrouwen;Totaal alle leeftijden;1978;1346;394;617;203;132;450;274;;220;127;275;0;585;113;45;83;520;9.7;6.4;9.1;27.8;48.0
29;Totaal mannen en vrouwen;Totaal alle leeftijden;1979;1465;394;688;229;154;552;241;120.0;239;132;180;1;623;123;54;98;567;10.4;6.4;10.1;30.8;51.3
30;Totaal mannen en vrouwen;Totaal alle leeftijden;1980;1430;438;636;212;144;522;255;152.0;232;115;153;1;693;101;42;87;507;10.1;7.1;9.3;28.0;43.9
31;Totaal mannen en vrouwen;Totaal alle leeftijden;1981;1431;441;638;215;137;526;247;146.0;228;114;170;0;641;146;62;81;501;10.0;7.1;9.3;27.9;38.0
32;Totaal mannen en vrouwen;Totaal alle leeftijden;1982;1535;459;677;230;169;573;239;160.0;210;153;200;0;747;107;76;80;525;10.7;7.3;9.8;29.4;43.0
33;Totaal mannen en vrouwen;Totaal alle leeftijden;1983;1720;494;782;237;207;627;273;191.0;239;169;221;0;811;69;161;155;524;12.0;7.9;11.3;29.9;48.2
34;Totaal mannen en vrouwen;Totaal alle leeftijden;1984;1782;553;761;252;216;663;289;194.0;251;172;211;2;800;67;191;120;604;12.4;8.8;11.1;31.4;45.9
35;Totaal mannen en vrouwen;Totaal alle leeftijden;1985;1638;557;641;212;228;663;246;182.0;185;153;209;0;578;79;175;110;696;11.3;8.8;9.3;26.1;44.8
36;Totaal mannen en vrouwen;Totaal alle leeftijden;1986;1604;523;649;197;235;630;227;182.0;192;158;214;1;570;66;169;65;734;11.0;8.2;9.4;23.9;43.5
