ID;Buurtkenmerken;Cijfersoort;Perioden;OverlastDoorGroepenJongeren_1;MensenWordenOpStraatLastigGevallen_2;Drugsoverlast_3;DronkenMensenOpStraat_4;Bedreiging_5;Gewelddelicten_6;Straatroof_7;VrouwenEnMeisjesWordenNagefloten_8;Jeugdcriminaliteit_9;SocialeOverlastSchaalscore_10;DreigingSchaalscore_11;BekladdingVanMurenGebouwen_12;RommelOpStraat_13;HondenpoepOpStraat_14;VernielingVanStraatmeubilair_15;FysiekeVerloederingSchaalscore_16;Fietsendiefstal_17;DiefstalUitAutoS_18;BeschadigingAanDiefstalUitAutoS_19;InbraakInWoningen_20;OverlastVermogensdelictenSchaalscore_21;AgressiefVerkeersgedrag_22;GeluidsoverlastDoorVerkeer_23;TeHardRijden_24;Parkeeroverlast_25;VerkeersoverlastSchaalscore_26;OverlastDoorOmwonenden_27;AndereVormenVanGeluidsoverlast_28;OverlastVanZwerversDaklozen_29;OverlastDoorHoreca_30;OverigeOverlastSchaalscore_31;MensenKennenElkaarNauwelijks_32;MensenGaanPrettigMetElkaarOm_33;GezelligeBuurtMetVeelSaamhorigheid_34;VoelMijThuisBijMensenInDezeBuurt_35;VeelContactMetAndereBuurtbewoners_36;TevredenMetSamenstellingBevolking_37;SocialeCohesieSchaalscore_38;WegenPadenPleintjesGoedOnderhouden_39;PlantsoenenEnParkenGoedOnderhouden_40;BuitenGoedVerlicht_41;GoedeSpeelplekkenVoorKinderen_42;GoedeVoorzieningenVoorJongeren_43;ZelfActiefGeweestBijVerbeterenBuurt_44;VooruitGegaan_45;AchteruitGegaan_46;GelijkGebleven_47;Woonomgeving_48;Leefbaarheid_49;Veiligheid_50
0;1100;Waarde;2008;11.3;2.0;4.8;6.2;2.1;2.1;0.9;3.3;5.3;1.7;1.2;8.9;20.2;33.0;14.0;3.7;10.1;6.3;10.0;6.7;2.7;11.4;13.6;30.6;24.0;3.7;4.7;8.2;1.4;2.3;1.3;25.2;69.7;45.2;63.3;38.9;71.4;6.3;64.8;65.2;73.0;53.3;19.0;16.4;14.3;13.4;67.6;7.4;7.4;7.0
1;1100;Waarde;2009;11.9;2.1;4.9;6.8;2.2;1.9;0.8;3.3;4.9;1.7;1.1;8.1;21.3;31.9;11.8;3.6;9.8;6.3;10.2;6.8;2.7;12.2;15.1;31.7;24.4;3.8;5.1;9.4;1.5;2.4;1.4;25.8;69.5;45.0;63.8;39.7;70.9;6.3;63.6;64.2;72.9;52.8;18.9;17.5;13.8;14.8;67.1;7.4;7.3;6.9
2;1100;Betrouwbaarheidsmarge;2008;0.5;0.2;0.4;0.4;0.2;0.3;0.1;0.3;0.4;0.0;0.0;0.4;0.6;0.7;0.5;0.0;0.5;0.4;0.5;0.4;0.0;0.5;0.5;0.7;0.6;0.0;0.3;0.4;0.2;0.2;0.0;0.7;0.7;0.8;0.8;0.8;0.7;0.0;0.7;0.7;0.7;0.8;0.6;0.5;0.5;0.5;0.7;0.0;0.0;0.0
3;1100;Betrouwbaarheidsmarge;2009;0.3;0.1;0.2;0.2;0.1;0.1;0.1;0.2;0.2;0.0;0.0;0.2;0.4;0.4;0.3;0.0;0.3;0.2;0.3;0.2;0.0;0.3;0.3;0.4;0.4;0.0;0.2;0.3;0.1;0.1;0.0;0.4;0.4;0.5;0.5;0.5;0.4;0.0;0.5;0.4;0.4;0.5;0.4;0.4;0.3;0.3;0.4;0.0;0.0;0.0
4;10020;Waarde;2008;18.5;5.0;9.4;14.0;4.1;3.7;2.8;8.0;8.4;2.7;2.0;16.8;36.1;36.6;13.5;4.5;21.9;14.4;17.8;9.4;4.1;18.4;20.1;31.4;33.1;4.4;8.3;13.6;5.5;4.7;2.1;38.0;58.0;34.8;53.8;30.2;62.0;5.7;60.8;63.4;72.0;46.7;18.5;15.1;18.4;19.7;55.3;7.1;7.0;6.6
5;10020;Waarde;2009;18.5;5.3;9.1;13.6;4.3;4.4;2.6;7.9;8.4;2.7;2.0;15.6;34.8;33.4;11.8;4.3;19.7;13.4;16.9;9.8;4.0;18.2;20.1;30.4;32.0;4.3;8.7;14.5;5.0;4.3;2.2;38.3;59.1;34.7;54.4;31.5;61.7;5.7;61.4;63.4;71.8;47.1;19.1;16.0;18.9;19.6;55.5;7.1;7.0;6.6
6;10020;Betrouwbaarheidsmarge;2008;1.1;0.6;0.9;1.0;0.6;0.5;0.4;0.7;0.7;0.1;0.1;1.0;1.3;1.3;1.0;0.1;1.1;0.9;1.0;0.7;0.1;1.1;1.1;1.3;1.3;0.1;0.8;0.9;0.7;0.6;0.1;1.3;1.3;1.3;1.4;1.2;1.3;0.1;1.3;1.3;1.2;1.3;1.0;0.9;1.0;1.1;1.3;0.0;0.0;0.0
7;10020;Betrouwbaarheidsmarge;2009;0.7;0.4;0.6;0.7;0.4;0.4;0.3;0.5;0.5;0.1;0.1;0.7;0.9;0.9;0.6;0.1;0.8;0.6;0.7;0.6;0.1;0.7;0.7;0.9;0.9;0.1;0.5;0.6;0.4;0.4;0.0;0.9;0.9;0.9;0.9;0.9;0.9;0.0;0.9;0.9;0.8;0.9;0.8;0.6;0.7;0.7;0.9;0.0;0.0;0.0
8;10030;Waarde;2008;13.7;2.3;5.7;5.6;2.7;2.8;1.0;4.1;6.5;1.8;1.4;10.6;22.4;34.7;18.0;4.0;11.1;6.1;11.3;7.6;3.0;12.4;13.8;30.4;27.8;3.8;5.8;8.6;1.0;1.9;1.3;31.8;64.6;38.8;59.0;33.9;68.0;5.9;63.3;65.7;75.0;53.6;18.3;15.2;14.0;16.2;65.0;7.3;7.3;6.9
9;10030;Waarde;2009;14.7;2.3;5.5;6.9;2.9;2.1;0.9;3.9;6.3;1.9;1.3;10.4;25.5;33.8;15.1;4.0;11.4;6.7;12.8;7.6;3.1;13.6;16.2;31.8;28.9;4.0;5.8;10.3;1.4;2.4;1.5;30.3;64.8;38.7;58.9;35.0;67.1;6.0;62.1;65.2;74.1;53.1;18.6;16.2;13.1;17.7;64.7;7.3;7.2;6.8
10;10030;Betrouwbaarheidsmarge;2008;1.2;0.5;0.9;0.9;0.6;0.6;0.4;0.8;0.9;0.1;0.1;1.0;1.3;1.6;1.3;0.1;1.0;0.8;1.0;0.9;0.1;1.1;1.1;1.5;1.5;0.1;0.9;0.9;0.3;0.5;0.1;1.6;1.6;1.7;1.7;1.6;1.6;0.1;1.6;1.6;1.5;1.7;1.3;1.2;1.2;1.2;1.6;0.0;0.0;0.1
11;10030;Betrouwbaarheidsmarge;2009;0.7;0.3;0.4;0.5;0.3;0.3;0.2;0.4;0.5;0.0;0.0;0.6;0.8;0.9;0.7;0.1;0.6;0.5;0.6;0.5;0.1;0.7;0.7;0.9;0.9;0.1;0.5;0.6;0.2;0.3;0.0;0.9;0.9;0.9;0.9;0.9;0.9;0.0;0.9;0.9;0.8;1.0;0.8;0.7;0.7;0.7;0.9;0.0;0.0;0.0
12;10040;Waarde;2008;11.1;1.5;3.9;4.2;1.6;2.0;0.4;2.0;5.3;1.6;1.1;9.0;19.7;35.5;16.8;3.8;8.7;5.0;9.9;6.8;2.7;10.8;12.3;29.1;24.7;3.8;4.1;7.7;0.3;1.9;1.2;26.7;68.8;43.0;63.1;37.7;71.0;6.2;67.4;65.9;74.3;58.8;18.6;14.3;13.2;13.2;69.2;7.4;7.4;7.1
13;10040;Waarde;2009;11.8;1.5;4.3;5.3;1.4;1.5;0.3;2.3;4.4;1.5;1.1;7.0;19.0;33.4;13.9;3.6;8.0;4.6;9.7;6.8;2.6;10.9;13.9;30.9;26.2;3.8;4.7;8.8;0.4;1.9;1.2;26.8;69.2;42.5;63.4;38.6;71.6;6.2;65.4;66.2;75.0;58.8;18.2;15.8;12.6;14.7;69.1;7.4;7.4;7.0
14;10040;Betrouwbaarheidsmarge;2008;1.2;0.6;0.9;0.8;0.5;0.7;0.2;0.5;0.9;0.1;0.1;1.2;1.6;1.9;1.4;0.1;1.2;0.9;1.2;1.1;0.1;1.2;1.2;1.7;1.6;0.1;0.7;1.0;0.2;0.5;0.1;1.8;1.9;1.9;1.9;1.9;1.9;0.1;1.8;1.8;1.7;1.9;1.4;1.2;1.3;1.2;1.8;0.0;0.0;0.0
15;10040;Betrouwbaarheidsmarge;2009;0.7;0.3;0.5;0.5;0.3;0.3;0.1;0.3;0.5;0.1;0.0;0.6;0.8;1.1;0.8;0.1;0.6;0.5;0.7;0.6;0.1;0.7;0.8;1.0;1.0;0.1;0.5;0.7;0.1;0.3;0.0;1.0;1.0;1.1;1.1;1.1;1.0;0.0;1.0;1.0;1.0;1.1;0.9;0.8;0.8;0.8;1.0;0.0;0.0;0.0
16;10060;Waarde;2008;7.5;0.7;2.5;4.4;0.9;0.7;0.1;1.0;3.7;1.3;0.8;4.3;12.2;32.7;11.9;3.2;5.2;3.5;6.9;5.2;2.2;7.9;10.5;29.3;20.9;3.4;2.8;5.9;0.1;1.5;1.1;16.6;76.2;49.9;67.5;42.2;77.6;6.6;67.9;67.9;76.2;57.3;20.2;16.5;13.1;9.1;73.5;7.6;7.6;7.3
