ID;SIC2008;LegalForms;Periods;Total_1;Births_2;Deaths_3;PersonsEmployed_4;Employees_5;PersonsEmployed_6;Employees_7;PersonsEmployed_8;Employees_9
0;305700;Total legal forms all nationalities;2010;377.0;43.0;38.0;;;38.0;23.0;9.0;
1;305700;Total legal forms all nationalities;2011;377.0;35.0;28.0;8476.0;8239.0;152.0;;21.0;
2;305700;Total legal forms all nationalities;2012;398.0;56.0;26.0;8698.0;8462.0;63.0;43.0;12.0;
3;305700;Total legal forms all nationalities;2013;419.0;49.0;36.0;10366.0;10099.0;157.0;;;
4;305700;Total legal forms all nationalities;2014;437.0;42.0;20.0;11326.0;11027.0;18.0;;8.0;
5;305700;Total legal forms all nationalities;2015;464.0;47.0;48.0;11287.0;10889.0;43.0;;56.0;
6;305700;Total legal forms all nationalities;2016;467.0;48.0;30.0;10558.0;10261.0;;14.0;14.0;
7;305700;Total legal forms all nationalities;2017;480.0;55.0;33.0;8635.0;8344.0;24.0;4.0;;0.0
8;305700;Total legal forms all nationalities;2018;523.0;66.0;23.0;;;32.0;;9.0;0.0
9;305700;Total legal forms all nationalities;2019;549.0;82.0;46.0;8562.0;8251.0;76.0;;25.0;14.0
10;305700;Total legal forms all nationalities;2020;583.0;87.0;50.0;8471.0;8122.0;70.0;;;
11;305700;Total legal forms all nationalities;2021;588.0;64.0;22.0;7741.0;7505.0;33.0;5.0;7.0;
12;305700;Total legal forms all nationalities;2022;653.0;76.0;51.0;7954.0;7675.0;38.0;;16.0;
13;305700;Sole proprietorship;2010;83.0;22.0;7.0;;;10.0;0.0;;0.0
14;305700;Sole proprietorship;2011;96.0;15.0;12.0;;;;0.0;6.0;0.0
15;305700;Sole proprietorship;2012;104.0;19.0;12.0;86.0;;7.0;;;0.0
16;305700;Sole proprietorship;2013;110.0;19.0;9.0;;;;0.0;;
17;305700;Sole proprietorship;2014;117.0;17.0;3.0;124.0;;;0.0;;0.0
18;305700;Sole proprietorship;2015;133.0;15.0;13.0;132.0;;9.0;0.0;;0.0
19;305700;Sole proprietorship;2016;142.0;22.0;9.0;138.0;;11.0;0.0;;0.0
20;305700;Sole proprietorship;2017;158.0;32.0;16.0;140.0;0.0;;0.0;9.0;0.0
21;305700;Sole proprietorship;2018;186.0;48.0;12.0;;0.0;27.0;0.0;5.0;0.0
22;305700;Sole proprietorship;2019;212.0;66.0;13.0;173.0;0.0;;0.0;8.0;0.0
23;305700;Sole proprietorship;2020;273.0;76.0;24.0;228.0;;;0.0;;0.0
24;305700;Sole proprietorship;2021;290.0;51.0;14.0;191.0;;26.0;0.0;;0.0
25;305700;Sole proprietorship;2022;341.0;61.0;24.0;232.0;;33.0;;10.0;0.0
26;305700;Limited liability enterprises;2010;228.0;16.0;20.0;;;;23.0;;
27;305700;Limited liability enterprises;2011;224.0;16.0;12.0;7722.0;;;;;
28;305700;Limited liability enterprises;2012;229.0;25.0;11.0;;;35.0;;;
29;305700;Limited liability enterprises;2013;240.0;23.0;18.0;;;;;;
30;305700;Limited liability enterprises;2014;259.0;22.0;11.0;10498.0;;;;;
31;305700;Limited liability enterprises;2015;270.0;24.0;33.0;10508.0;;27.0;;47.0;
32;305700;Limited liability enterprises;2016;261.0;22.0;15.0;9836.0;;;14.0;;
33;305700;Limited liability enterprises;2017;264.0;22.0;13.0;7996.0;;;4.0;;0.0
34;305700;Limited liability enterprises;2018;268.0;17.0;7.0;;;;;;0.0
35;305700;Limited liability enterprises;2019;264.0;15.0;19.0;7648.0;;;;;
36;305700;Limited liability enterprises;2020;247.0;11.0;18.0;7633.0;;;;;0.0
37;305700;Limited liability enterprises;2021;239.0;10.0;5.0;7162.0;7133.0;;;0.0;0.0
38;305700;Limited liability enterprises;2022;252.0;13.0;18.0;7347.0;7316.0;;;;
39;305700;Partnership, etc.;2010;66.0;5.0;11.0;;481.0;;0.0;4.0;0.0
40;305700;Partnership, etc.;2011;57.0;4.0;4.0;;;;;;0.0
41;305700;Partnership, etc.;2012;65.0;12.0;3.0;;;21.0;;0.0;0.0
42;305700;Partnership, etc.;2013;69.0;7.0;9.0;;;;;;
43;305700;Partnership, etc.;2014;61.0;3.0;6.0;704.0;;;;;0.0
44;305700;Partnership, etc.;2015;61.0;8.0;2.0;647.0;;7.0;0.0;;0.0
45;305700;Partnership, etc.;2016;64.0;4.0;6.0;584.0;510.0;;0.0;4.0;0.0
46;305700;Partnership, etc.;2017;58.0;1.0;4.0;499.0;;;0.0;;0.0
47;305700;Partnership, etc.;2018;69.0;1.0;4.0;;;;0.0;;0.0
48;305700;Partnership, etc.;2019;73.0;1.0;14.0;741.0;;0.0;0.0;;
49;305700;Partnership, etc.;2020;63.0;0.0;8.0;610.0;;0.0;0.0;;
50;305700;Partnership, etc.;2021;59.0;3.0;3.0;388.0;;;;;
51;305700;Partnership, etc.;2022;60.0;2.0;9.0;375.0;;;;;
52;300002;Total legal forms all nationalities;2010;59898.0;4156.0;3243.0;765138.0;708455.0;4603.0;2813.0;3152.0;1902.0
53;300002;Total legal forms all nationalities;2011;61299.0;4891.0;3411.0;765046.0;707362.0;6234.0;3879.0;2793.0;1530.0
54;300002;Total legal forms all nationalities;2012;62562.0;4603.0;4055.0;759730.0;701591.0;5135.0;2758.0;2827.0;1162.0
55;300002;Total legal forms all nationalities;2013;63361.0;4548.0;3793.0;751425.0;692240.0;4632.0;2549.0;3670.0;2029.0
