ID;Perioden;TotaalPersonen_1;AlleenstaandePersonen_2;SamenwonendePersonen_3;ThuiswonendeKinderen_4;Eenouders_5;OverigePersonen_6;InInstitutieWonendePersonen_7;TotaalHuishoudens_8;Eenpersoonshuishouden_9;Paren_10;Eenouders_11;OverigeHuishoudens_12;GemiddeldeHuishoudensgrootte_13;TotaalAantalHuishoudens_14;Eenpersoonshuishouden_15;TotaalMeerpersoonshuishoudens_16;k_2Personen_17;k_3Personen_18;k_4Personen_19;k_5OfMeerPersonen_20;TotaalParen_21;GeenKinderen_22;k_1Kind_23;k_2Kinderen_24;k_3OfMeerKinderen_25;TotaalEenouderhuishoudens_26;k_1Kind_27;k_2Kinderen_28;k_3OfMeerKinderen_29;ReferentiepersonenMetKinderen_30;JongsteKind02Jaar_31;JongsteKind35Jaar_32;JongsteKind611Jaar_33;JongsteKind1217Jaar_34;JongsteKind18JaarEnOuder_35
0;2000;15863950;2299174;8175448;4542405;385856;238216;222852;6823273;2299162;4093872;385849;44390;2.29;6810975;2299162;4511813;2234792;893827;940721;442473;4081574;1998245;768809;908372;406148;385850;228666;115838;41346;2469177;535028;322650;539098;457537;614861
1;2001;15981758;2349856;8212415;4574905;389728;240166;214690;6890466;2349847;4106214;389727;44678;2.29;6890459;2349847;4540612;2255111;890978;948813;445710;4106207;2016049;764917;916237;409004;389730;231215;116813;41702;2479886;546146;317073;549719;461041;605906
2;2002;16097764;2396145;8248184;4608064;393220;242291;209865;6958287;2396146;4124093;393214;44834;2.28;6958289;2396146;4562143;2267474;887584;958460;448625;4124090;2026253;760644;925756;411437;393217;233599;117635;41983;2491052;551860;320344;554093;469639;595115
3;2003;16211034;2440704;8284032;4640189;396507;244508;205095;7024273;2440706;4142013;396514;45040;2.28;7024278;2440706;4583572;2279623;884068;968927;450954;4142021;2036256;756336;936150;413279;396512;235929;118366;42217;2502278;555647;325986;550815;484218;585611
4;2004;16320079;2483584;8320368;4669329;399550;246823;200424;7088549;2483580;4160182;399539;45248;2.27;7088546;2483580;4604966;2291614;880883;979990;452479;4160181;2046205;752467;947179;414330;399539;238163;118988;42388;2513517;550799;337835;546991;497954;579934
5;2005;16424709;2525358;8357310;4694640;402317;249225;195860;7151863;2525363;4178649;402328;45523;2.27;7151863;2525363;4626500;2303673;878367;991190;453270;4178651;2056213;749367;958405;414666;402332;240350;119500;42482;2524767;543450;345589;548349;507635;579744
6;2006;16523637;2566602;8393646;4715540;404806;251702;191344;7214081;2566616;4196829;404801;45835;2.26;7214069;2566616;4647453;2315818;876676;1001712;453247;4196818;2066362;747248;969002;414206;404800;242445;119846;42509;2535259;534956;352345;548846;517183;581931
7;2007;16616780;2607561;8428922;4732137;407017;254249;186895;7275224;2607560;4214463;407017;46184;2.26;7275229;2607560;4667669;2328172;876287;1011094;452116;4214469;2076738;746562;978522;412647;407018;244492;120064;42462;2544750;526735;350872;556362;527066;583713
8;2008;16704273;2648435;8463108;4744478;408904;256817;182533;7335442;2648432;4231548;408905;46557;2.25;7335444;2648432;4687012;2340569;876617;1019626;450200;4231550;2087232;746733;987286;410299;408910;246439;120140;42331;2553226;518475;347062;568336;531286;588067
9;2009;16786706;2689440;8496550;4752513;410459;259441;178303;7395115;2689448;4248281;410456;46930;2.25;7395106;2689448;4705658;2352402;878132;1027337;447787;4248270;2097260;748271;995300;407439;410458;248292;120031;42135;2561468;511471;341888;581693;528165;598251
10;2010;16864472;2730420;8529362;4756677;411699;262064;174251;7454135;2730418;4264678;411703;47336;2.24;7454126;2730418;4723708;2364703;880714;1033716;444575;4264669;2107805;751013;1002035;403816;411704;250062;119782;41860;2568568;506046;336520;593448;523914;608642
11;2011;16938478;2771136;8561766;4757786;412677;264646;170478;7512431;2771141;4280879;412675;47736;2.23;7512434;2771141;4741293;2377517;883964;1038793;441019;4280885;2118983;754526;1007482;399894;412674;251710;119433;41531;2574578;502791;330439;599012;524916;617420
12;2012;17009194;2811441;8593562;4756671;413331;267146;167045;7569674;2811438;4296785;413321;48130;2.22;7569675;2811438;4758237;2390847;887205;1042992;437193;4296788;2130814;758156;1012057;395761;413324;253212;118958;41154;2579296;500897;324953;602231;525030;626184
13;2013;17076949;2851039;8624808;4753821;413751;269535;164003;7625674;2851040;4312400;413759;48475;2.22;7625674;2851040;4774634;2405092;889992;1046189;433361;4312401;2143694;761430;1015629;391648;413762;254614;118394;40754;2582466;499909;320403;596843;531830;633477
14;2014;17142059;2889736;8655140;4750059;413942;271794;161410;7680057;2889747;4327569;413936;48805;2.21;7680049;2889747;4790302;2419959;892498;1048628;429217;4327565;2157351;764513;1018448;387253;413940;255860;117743;40337;2584149;499784;317500;588089;544114;634662
15;2015;17204906;2927504;8684374;4745892;413873;273925;159341;7732661;2927499;4342186;413873;49103;2.2;7732662;2927499;4805163;2434651;894643;1050731;425138;4342188;2171024;767310;1020923;382931;413872;256925;117024;39923;2585038;500381;315515;578319;558137;632686
16;2016;17265765;2964408;8712320;4741511;413660;276004;157865;7783628;2964407;4356163;413656;49402;2.2;7783628;2964407;4819221;2448680;896572;1052786;421183;4356164;2184167;769912;1023336;378749;413656;257846;116283;39527;2585653;501852;314065;569015;570235;630484
17;2017;17324788;3000720;8738788;4736941;413261;278050;157029;7833062;3000717;4369397;413261;49687;2.19;7833060;3000717;4832343;2461185;898399;1055211;417548;4369397;2195958;772454;1026106;374879;413264;258609;115505;39150;2586700;503965;313184;560419;575810;633320
18;2018;17382133;3036492;8763558;4732357;412752;280063;156916;7880993;3036488;4381775;412749;49981;2.19;7881010;3036488;4844522;2472291;900509;1057651;414071;4381792;2206479;775277;1028859;371177;412748;259220;114724;38804;2588062;506592;312761;553103;578941;636662
19;2019;17437913;3071606;8786640;4727705;412206;282166;157601;7927406;3071597;4393314;412207;50288;2.18;7927417;3071597;4855820;2481271;903059;1060415;411075;4393322;2215016;778481;1031888;367937;412209;259697;114002;38510;2590515;509631;312979;547067;573615;647223
20;2020;17492098;3106022;8807981;4723126;411654;284153;159168;7972217;3106023;4403988;411648;50558;2.17;7972215;3106023;4866192;2489464;905860;1062545;408323;4403989;2222898;781907;1034230;364954;411649;260064;113319;38266;2592739;512910;313670;543116;564908;658133
21;2021;17544669;3139612;8827924;4718712;411132;286033;161259;8015533;3139621;4413964;411131;50817;2.17;8015529;3139621;4875908;2497429;908673;1063907;405899;4413958;2230655;785244;1035743;362316;411130;260315;112731;38084;2594439;516248;314833;540389;555212;667754
22;2022;17595453;3172143;8846521;4714739;410709;287876;163472;8057162;3172158;4423243;410709;51052;2.16;8057190;3172158;4885032;2505574;911024;1064548;403886;4423268;2238673;788028;1036481;360086;410710;260508;112247;37955;2595306;519462;316454;538717;546005;674664
23;2023;17644313;3203336;8863878;4711302;410390;289584;165837;8096918;3203340;4431936;410387;51255;2.16;8096931;3203340;4893591;2514084;912449;1064700;402358;4431951;2247138;789780;1036685;358348;410389;260640;111867;37882;2595201;522478;318424;538001;537512;678786
24;2024;17691078;3232810;8879879;4708678;410229;291124;168375;8134372;3232817;4439932;410239;51384;2.15;8134380;3232817;4901563;2522967;912605;1064637;401354;4439939;2256023;790166;1036641;357109;410238;260773;111597;37868;2594158;525249;320561;538142;530307;679899
25;2025;17735544;3260454;8894255;4707128;410230;292392;171098;8169297;3260455;4447133;410219;51490;2.15;8169294;3260455;4908839;2531856;911508;1064627;400848;4447131;2264917;789199;1036632;356383;410221;260884;111440;37897;2592434;527787;322685;539352;524342;678263
26;2026;17777663;3286136;8906694;4706976;410405;293450;174014;8201411;3286148;4453336;410392;51535;2.15;8201422;3286148;4915274;2540179;909402;1064880;400813;4453348;2273242;787112;1036869;356125;410395;261028;111401;37966;2590498;530082;324760;541389;520415;673848
27;2027;17817162;3309572;8916990;4708434;410740;294344;177095;8230377;3309581;4458496;410739;51561;2.14;8230373;3309581;4920792;2547415;906559;1065644;401174;4458493;2280425;784193;1037583;356292;410740;261222;111460;38058;2588805;532103;326756;544092;517651;668204
28;2028;17853945;3330762;8924864;4711696;411219;295066;180352;8255965;3330757;4462431;411217;51560;2.14;8255958;3330757;4925201;2553043;903232;1067047;401879;4462424;2285945;780736;1038916;356827;411218;261474;111580;38164;2587700;533852;328637;547298;515875;662037
29;2029;17887872;3349667;8930229;4716781;411801;295632;183775;8278123;3349670;4465114;411804;51535;2.14;8278125;3349670;4928455;2556712;899729;1069151;402863;4465114;2289471;777048;1040943;357652;411804;261755;111760;38289;2587447;535336;330331;550868;515011;655903
30;2030;17918871;3366266;8933119;4723612;412454;296100;187338;8296753;3366259;4466549;412461;51484;2.14;8296769;3366259;4930510;2558271;896232;1071963;404044;4466568;2290870;773334;1043669;358695;412461;262061;111979;38421;2588156;536570;331769;554594;514972;650253
31;2031;17946903;3380743;8933638;4731982;413152;296432;190974;8312149;3380736;4466823;413149;51441;2.14;8312141;3380736;4931405;2557723;892929;1075399;405354;4466814;2290130;769780;1047022;359882;413151;262369;112235;38547;2589836;537511;332960;558269;515986;645111
32;2032;17971841;3393148;8931959;4741561;413847;296750;194588;8324351;3393160;4465979;413838;51374;2.14;8324357;3393160;4931197;2555195;889883;1079375;406744;4465985;2287438;766476;1050922;361149;413838;262672;112495;38671;2592386;538119;333921;561771;517810;640765
