ID;InstitutionalSectors;NotConsolidatedConsolidated;Periods;Total_1;Total_2;ImportsOfGoods_3;Total_4;ImportsOfServicesExcludingFISIM_5;ImportsOfFISIM_6;Total_7;Total_8;FinancialIntermediationServiceFISIM_9;OtherMarketOutput_10;Total_11;OwnAccountCapitalFormation_12;ProductsRetainedForOwnConsumption_13;Total_14;PaymentsForNonMarketOutput_15;OtherNonMarketOutput_16;Total_17;WagesAndSalaries_18;EmployersSocialContributions_19;Total_20;Total_21;ValueAddedTaxVAT_22;TaxesDutiesOnImportsExcludingVAT_23;OtherTaxesOnProducts_24;OtherTaxesOnProduction_25;Total_26;SubsidiesOnProducts_27;OtherSubsidiesOnProduction_28;Total_29;InterestDefinitionNationalAccounts_30;CorrectionFISIM_31;InterestBeforeCorrectionForFISIM_32;Total_33;Dividends_34;WithdrawalsFromIncomeOfQuasiCorp_35;ReinvestedEarningsOnForeignInvestm_36;Total_37;InvestmIncomeAttribToPolicyHolder_38;IncomePayableOnPensionEntitlements_39;InvIncomeAttributableToShareholders_40;Rent_41;Total_42;CurrentTaxesOnIncome_43;OtherCurrentTaxes_44;Total_45;Total_46;EmployersActualSocialContributions_47;EmployersImputedSocialContributions_48;HouseholdsActualSocialContributions_49;HouseholdsSocialContribSupplements_50;TheSocialInsurSchemeServiceCharges_51;Total_52;SocialSecurityBenefitsInCash_53;OtherSocialInsuranceBenefits_54;SocialAssistanceBenefitsInCash_55;Total_56;NetNonLifeInsurancePremiums_57;NonLifeInsuranceClaims_58;CurrentTransfersWithinGenGovernment_59;CurrentInternationalCoOperation_60;MiscellaneousCurrentTransfers_61;TheVATAndGNIBasedEUOwnResource_62;AdjustmChangeInPensionEntitlements_63;Total_64;CapitalTaxes_65;InvestmentGrants_66;OtherCapitalTransfers_67;Total_68;Total_69;ExportsOfGoods_70;Total_71;ExportsOfServicesExcludingFISIM_72;ExportsOfFISIM_73;IntermediateConsumption_74;Total_75;WagesAndSalaries_76;EmployersSocialContributions_77;Total_78;TaxesOnProducts_79;OtherTaxesOnProduction_80;Total_81;SubsidiesOnProducts_82;OtherSubsidiesOnProduction_83;Total_84;InterestDefinitionNationalAccounts_85;CorrectionFISIM_86;InterestBeforeCorrectionForFISIM_87;Total_88;Dividends_89;WithdrawalsFromIncomeOfQuasiCorps_90;ReinvestedEarningsOnForeignInvestm_91;Total_92;InvestmIncomeAttribToPolicyHolder_93;IncomePayableOnPensionEntitlements_94;InvIncomeAttributableToShareholders_95;Rent_96;Total_97;CurrentTaxesOnIncome_98;OtherCurrentTaxes_99;Total_100;Total_101;EmployersActualSocialContributions_102;EmployersImputedSocialContributions_103;HouseholdsActualSocialContributions_104;HouseholdsSocialContribSupplements_105;TheSocialInsurSchemeServiceCharges_106;Total_107;SocialSecurityBenefitsInCash_108;OtherSocialInsuranceBenefits_109;SocialAssistanceBenefitsInCash_110;Total_111;NetNonLifeInsurancePremiums_112;NonLifeInsuranceClaims_113;CurrentTransfersWithinGenGovernment_114;CurrentInternationalCoOperation_115;MiscellaneousCurrentTransfers_116;TheVATAndGNIBasedEUOwnResource_117;AdjustmChangeInPensionEntitlements_118;Total_119;Total_120;Total_121;TransfersInKindNonMarketProduction_122;TransfersInKindMarketProduction_123;OtherIndividualFinalConsumption_124;ActualCollectiveFinalConsumption_125;Total_126;CapitalTaxes_127;InvestmentGrants_128;OtherCapitalTransfers_129;Total_130;Total_131;ConsumptionOfFixedCapital_132;NetFixedCapitalFormation_133;Total_134;ChangesInInventories_135;AcquisitionsLessDisposalsOfValuables_136;AcqLessDisposalsOfNonProdAssets_137;GrossDomesticProduct_138;GrossValueAdded_139;NetDomesticProduct_140;NetValueAdded_141;GrossOperatingSurplus_142;NetOperatingSurplus_143;GrossNationalIncome_144;NetNationalIncome_145;GrossDisposableIncome_146;NetDisposableIncome_147;GrossSaving_148;NetSaving_149;NetTransactionsOfGoodAndServices_150;SurplusNationOnCurrentTransactions_151;NetSavingAndCapitalTransfers_152;NetLendingOrNetBorrowing_153;TotalFinancialTransactionsInAssets_154;TotalFinancialTransactionsLiabilities_155;NetFinancialTransactions_156;StatisticalDiscrepancy_157
0;Total domestic sectors;Not consolidated;1995;1255865.0;;;;;;594268.0;514969.0;11690.0;503279.0;21168.0;7584.0;13584.0;58131.0;5510.0;52621.0;164963.0;138466.0;26497.0;34345.0;31158.0;19832.0;4349.0;6977.0;3187.0;4781.0;2466.0;2315.0;139230.0;89190.0;-2913.0;92103.0;23936.0;23371.0;565.0;738.0;21954.0;4752.0;15018.0;2184.0;3412.0;37479.0;33520.0;3959.0;150158.0;84943.0;16537.0;9827.0;47712.0;15112.0;-4245.0;65215.0;31878.0;22719.0;10618.0;76181.0;10767.0;10643.0;45511.0;252.0;9008.0;;12003.0;42457.0;781.0;4381.0;37295.0;1273447.0;;;;;;294994.0;165485.0;139141.0;26344.0;35959.0;32739.0;3220.0;2712.0;695.0;2017.0;141089.0;84719.0;-5304.0;90023.0;22061.0;21967.0;94.0;9772.0;21125.0;4801.0;15038.0;1286.0;3412.0;37318.0;33359.0;3959.0;150800.0;84955.0;16670.0;9827.0;47581.0;15092.0;-4215.0;65845.0;32348.0;22783.0;10714.0;81964.0;10567.0;10846.0;45511.0;1618.0;10862.0;2560.0;12026.0;236115.0;205530.0;45228.0;22036.0;23192.0;160302.0;30585.0;43380.0;779.0;4617.0;37984.0;71605.0;68972.0;52442.0;16530.0;2633.0;1920.0;713.0;0.0;329547.0;299274.0;277105.0;246832.0;132884.0;80442.0;327621.0;275179.0;321357.0;268915.0;85219.0;32777.0;;;31854.0;12691.0;154637.0;139738.0;14899.0;2208.0
1;Total domestic sectors;Not consolidated;1996;1280358.0;;;;;;629836.0;548585.0;11991.0;536594.0;22225.0;7565.0;14660.0;59026.0;5994.0;53032.0;171461.0;143859.0;27602.0;36826.0;33555.0;21315.0;4172.0;8068.0;3271.0;4999.0;1786.0;3213.0;140696.0;84840.0;-4422.0;89262.0;28769.0;28170.0;599.0;705.0;22627.0;5103.0;15245.0;2279.0;3755.0;40621.0;36112.0;4509.0;152888.0;86652.0;17094.0;10378.0;48199.0;15334.0;-4353.0;66236.0;32131.0;23582.0;10523.0;78862.0;11319.0;11572.0;45983.0;325.0;9663.0;;12607.0;11562.0;889.0;4576.0;6097.0;1300868.0;;;;;;318500.0;171905.0;144457.0;27448.0;38372.0;35075.0;3297.0;3268.0;503.0;2765.0;140489.0;81138.0;-6636.0;87774.0;24872.0;24809.0;63.0;8961.0;21763.0;5120.0;15266.0;1377.0;3755.0;40495.0;35986.0;4509.0;153542.0;86657.0;17224.0;10378.0;48061.0;15313.0;-4319.0;66885.0;32620.0;23661.0;10604.0;84984.0;11138.0;11756.0;45983.0;1765.0;11603.0;2739.0;12625.0;246044.0;215655.0;45341.0;22643.0;22698.0;170314.0;30389.0;12892.0;892.0;4785.0;7215.0;77752.0;74340.0;54428.0;19912.0;3412.0;3120.0;292.0;0.0;344625.0;311336.0;290197.0;256908.0;139347.0;84919.0;344573.0;290145.0;337923.0;283495.0;91861.0;37433.0;;;36103.0;12779.0;218157.0;205860.0;12297.0;-482.0
2;Total domestic sectors;Not consolidated;1997;1370862.0;;;;;;678780.0;593816.0;11885.0;581931.0;23669.0;7875.0;15794.0;61295.0;6221.0;55074.0;181018.0;153067.0;27951.0;39443.0;36168.0;22410.0;4437.0;9321.0;3275.0;5591.0;1739.0;3852.0;157486.0;93486.0;-3669.0;97155.0;36953.0;36345.0;608.0;110.0;23196.0;5397.0;15250.0;2549.0;3741.0;41475.0;37093.0;4382.0;157558.0;90606.0;17038.0;10786.0;52321.0;15303.0;-4842.0;66952.0;32137.0;24769.0;10046.0;83693.0;11965.0;12749.0;48367.0;315.0;10297.0;;12676.0;13142.0;951.0;4332.0;7859.0;1393008.0;;;;;;345849.0;181552.0;153756.0;27796.0;41149.0;37854.0;3295.0;3917.0;557.0;3360.0;158260.0;88555.0;-5823.0;94378.0;31022.0;30950.0;72.0;12499.0;22443.0;5411.0;15282.0;1750.0;3741.0;41157.0;36775.0;4382.0;158235.0;90592.0;17165.0;10786.0;52170.0;15271.0;-4800.0;67643.0;32667.0;24862.0;10114.0;90442.0;11811.0;12900.0;48367.0;1791.0;12463.0;3110.0;12700.0;261203.0;229526.0;48073.0;23397.0;24676.0;181453.0;31677.0;14250.0;945.0;4520.0;8785.0;84301.0;80015.0;56672.0;23343.0;4286.0;3746.0;540.0;-7.0;369046.0;332931.0;312374.0;276259.0;151936.0;95264.0;367706.0;311034.0;360598.0;303926.0;99371.0;42699.0;;;41591.0;13969.0;300339.0;283400.0;16939.0;2970.0
3;Total domestic sectors;Not consolidated;1998;1449171.0;;;;;;722710.0;632385.0;11746.0;620639.0;26006.0;8998.0;17008.0;64319.0;6267.0;58052.0;193840.0;154460.0;39380.0;42416.0;38990.0;24147.0;5193.0;9650.0;3426.0;6314.0;1672.0;4642.0;166121.0;101303.0;-3313.0;104616.0;39023.0;38393.0;630.0;-815.0;23617.0;5853.0;15242.0;2522.0;2993.0;43077.0;38405.0;4672.0;162942.0;94552.0;28403.0;10891.0;45599.0;15299.0;-5640.0;68390.0;31137.0;26539.0;10714.0;86820.0;12564.0;13591.0;49037.0;217.0;11411.0;;12535.0;12396.0;1126.0;4831.0;6439.0;1478372.0;;;;;;367345.0;194591.0;155329.0;39262.0;44045.0;40602.0;3443.0;4721.0;582.0;4139.0;172414.0;96873.0;-5402.0;102275.0;36200.0;36125.0;75.0;13394.0;22954.0;5884.0;15282.0;1788.0;2993.0;42596.0;37924.0;4672.0;163612.0;94499.0;28489.0;10891.0;45450.0;15259.0;-5590.0;69113.0;31696.0;26649.0;10768.0;93290.0;12421.0;13716.0;49037.0;1758.0;12916.0;3442.0;12573.0;279664.0;246662.0;51475.0;25050.0;26425.0;195187.0;33002.0;13081.0;1122.0;4864.0;7095.0;90466.0;86138.0;59572.0;26566.0;4328.0;4062.0;266.0;-26.0;394295.0;355365.0;334723.0;295793.0;161973.0;102401.0;387215.0;327643.0;380556.0;320984.0;100854.0;41282.0;;;40597.0;9729.0;333137.0;322637.0;10500.0;771.0
4;Total domestic sectors;Not consolidated;1999 1st quarter;368813.0;;;;;;185906.0;;;;;;;;;;49104.0;38690.0;10414.0;11009.0;10029.0;6036.0;1408.0;2585.0;980.0;1916.0;411.0;1505.0;40456.0;25420.0;-838.0;26258.0;7528.0;;;877.0;6025.0;;;;606.0;10455.0;9266.0;1189.0;40344.0;24410.0;;;;;;15934.0;;;;23423.0;3046.0;3448.0;13565.0;61.0;3303.0;;3254.0;2946.0;278.0;1231.0;1437.0;375538.0;;;;;;94849.0;49268.0;38880.0;10388.0;11347.0;10363.0;984.0;1565.0;155.0;1410.0;41419.0;24701.0;-1379.0;26080.0;6303.0;;;4336.0;5473.0;;;;606.0;10110.0;;;40504.0;24382.0;;;;;;16122.0;;;;25499.0;2957.0;3538.0;13565.0;468.0;3812.0;1159.0;3266.0;71913.0;64788.0;13897.0;6566.0;7331.0;50891.0;7125.0;3038.0;273.0;1221.0;1544.0;22763.0;23179.0;15824.0;7355.0;-416.0;;;-3.0;101009.0;91057.0;85185.0;75233.0;42310.0;26486.0;99895.0;84071.0;98004.0;82180.0;26079.0;10255.0;;;10163.0;3227.0;85740.0;84578.0;1162.0;-2065.0
5;Total domestic sectors;Not consolidated;1999 2nd quarter;401241.0;;;;;;192297.0;;;;;;;;;;57995.0;47238.0;10757.0;11830.0;10868.0;6645.0;1520.0;2703.0;962.0;1781.0;426.0;1355.0;50310.0;26016.0;-904.0;26920.0;15701.0;;;701.0;7437.0;;;;455.0;10776.0;9476.0;1300.0;47299.0;27751.0;;;;;;19548.0;;;;21910.0;3359.0;3540.0;12320.0;61.0;2630.0;;3802.0;3241.0;335.0;1232.0;1674.0;408304.0;;;;;;98557.0;58155.0;47428.0;10727.0;12188.0;11222.0;966.0;1441.0;178.0;1263.0;50580.0;25028.0;-1469.0;26497.0;13885.0;;;4360.0;6852.0;;;;455.0;10541.0;;;47465.0;27723.0;;;;;;19742.0;;;;23423.0;3260.0;3631.0;12320.0;468.0;3125.0;619.0;3812.0;76002.0;66686.0;13986.0;7159.0;6827.0;52700.0;9316.0;3506.0;336.0;1221.0;1949.0;22637.0;23992.0;15886.0;8106.0;-1355.0;;;-3.0;104536.0;93740.0;88650.0;77854.0;35974.0;20088.0;104088.0;88202.0;102644.0;86758.0;26632.0;10746.0;;;10481.0;3733.0;109483.0;103643.0;5840.0;2107.0
6;Total domestic sectors;Not consolidated;1999 3rd quarter;376092.0;;;;;;186416.0;;;;;;;;;;49481.0;38861.0;10620.0;11433.0;10475.0;6388.0;1437.0;2650.0;958.0;1654.0;380.0;1274.0;44477.0;26876.0;-926.0;27802.0;10601.0;;;72.0;6353.0;;;;575.0;11201.0;10068.0;1133.0;41760.0;24874.0;;;;;;16886.0;;;;22861.0;3454.0;3632.0;13033.0;60.0;2682.0;;3671.0;3138.0;327.0;1232.0;1579.0;384346.0;;;;;;94200.0;49634.0;39041.0;10593.0;12113.0;11150.0;963.0;1192.0;22.0;1170.0;44090.0;25814.0;-1496.0;27310.0;11221.0;;;574.0;5906.0;;;;575.0;10975.0;;;41918.0;24845.0;;;;;;17073.0;;;;24616.0;3357.0;3723.0;13033.0;467.0;3193.0;843.0;3686.0;74614.0;66437.0;12935.0;6171.0;6764.0;53502.0;8177.0;3459.0;328.0;1222.0;1909.0;23852.0;22567.0;15909.0;6658.0;1285.0;;;-3.0;102986.0;92216.0;87077.0;76307.0;42893.0;26984.0;103002.0;87093.0;101315.0;85406.0;26686.0;10777.0;;;10456.0;2516.0;73451.0;71291.0;2160.0;-356.0
7;Total domestic sectors;Not consolidated;1999 4th quarter;407524.0;;;;;;205546.0;;;;;;;;;;52322.0;41486.0;10836.0;13110.0;12162.0;7871.0;1554.0;2737.0;948.0;1763.0;376.0;1387.0;46955.0;28403.0;-905.0;29308.0;11823.0;;;-284.0;6353.0;;;;660.0;13067.0;11761.0;1306.0;44243.0;26388.0;;;;;;17855.0;;;;23705.0;3593.0;3739.0;13631.0;63.0;2679.0;;3227.0;3586.0;358.0;1232.0;1996.0;415898.0;;;;;;106670.0;52487.0;41680.0;10807.0;13380.0;12428.0;952.0;1357.0;67.0;1290.0;47324.0;27869.0;-1469.0;29338.0;8618.0;;;4433.0;5744.0;;;;660.0;12878.0;;;44406.0;26362.0;;;;;;18044.0;;;;25467.0;3501.0;3825.0;13631.0;467.0;3184.0;859.0;3241.0;76860.0;67008.0;13715.0;6550.0;7165.0;53293.0;9852.0;3698.0;354.0;1223.0;2121.0;28133.0;26392.0;15935.0;10457.0;1741.0;;;-3.0;110928.0;98876.0;94993.0;82941.0;46824.0;30889.0;110530.0;94595.0;108794.0;92859.0;31920.0;15985.0;;;15873.0;3678.0;105434.0;102151.0;3283.0;-395.0
8;Total domestic sectors;Not consolidated;1999;1553670.0;;;;;;770165.0;674231.0;13320.0;660911.0;28323.0;10066.0;18257.0;67611.0;6695.0;60916.0;208902.0;166275.0;42627.0;47382.0;43534.0;26940.0;5919.0;10675.0;3848.0;7114.0;1593.0;5521.0;182198.0;106715.0;-3573.0;110288.0;45653.0;44967.0;686.0;1366.0;26168.0;5843.0;15810.0;4515.0;2296.0;45499.0;40571.0;4928.0;173646.0;103423.0;30699.0;11854.0;50195.0;15885.0;-5210.0;70223.0;31790.0;28196.0;10237.0;91899.0;13452.0;14359.0;52549.0;245.0;11294.0;;13954.0;12911.0;1298.0;4927.0;6686.0;1584086.0;;;;;;394276.0;209544.0;167029.0;42515.0;49028.0;45163.0;3865.0;5555.0;422.0;5133.0;183413.0;103412.0;-5813.0;109225.0;40027.0;39933.0;94.0;13703.0;23975.0;5917.0;15861.0;2197.0;2296.0;44504.0;39576.0;4928.0;174293.0;103312.0;30773.0;11854.0;50011.0;15834.0;-5160.0;70981.0;32377.0;28325.0;10279.0;99005.0;13075.0;14717.0;52549.0;1870.0;13314.0;3480.0;14005.0;299389.0;264919.0;54533.0;26446.0;28087.0;210386.0;34470.0;13701.0;1291.0;4887.0;7523.0;97385.0;96130.0;63554.0;32576.0;1255.0;1325.0;-70.0;-12.0;419459.0;375889.0;355905.0;312335.0;168001.0;104447.0;417515.0;353961.0;410757.0;347203.0;111317.0;47763.0;;;46973.0;13154.0;374108.0;361663.0;12445.0;-709.0
9;Total domestic sectors;Not consolidated;2000 1st quarter;405538.0;;;;;;204509.0;;;;;;;;;;53532.0;41833.0;11699.0;11449.0;10399.0;5872.0;1508.0;3019.0;1050.0;1953.0;390.0;1563.0;50511.0;31094.0;-176.0;31270.0;8967.0;;;3518.0;6086.0;;;;846.0;10678.0;9404.0;1274.0;42365.0;25814.0;;;;;;16551.0;;;;23665.0;3384.0;3815.0;13254.0;51.0;3161.0;;3624.0;3252.0;281.0;1453.0;1518.0;414064.0;;;;;;105932.0;53724.0;42057.0;11667.0;12021.0;10967.0;1054.0;1575.0;128.0;1447.0;52221.0;31476.0;-828.0;32304.0;8812.0;;;5580.0;5507.0;;;;846.0;10497.0;;;42539.0;25785.0;;;;;;16754.0;;;;25964.0;3193.0;4012.0;13254.0;570.0;3896.0;1039.0;3633.0;77614.0;69923.0;15097.0;7133.0;7964.0;54826.0;7691.0;3322.0;275.0;1459.0;1588.0;25021.0;24785.0;17210.0;7575.0;236.0;;;1.0;109154.0;98577.0;91944.0;81367.0;45362.0;28152.0;107058.0;89848.0;104766.0;87556.0;27143.0;9933.0;;;9863.0;2051.0;108435.0;104986.0;3449.0;1398.0
