ID;BedrijfstakkenBranchesSBI2008;Perioden;TotaalOprichtingenVanBedrijven_1;k_1WerkzamePersoonOfMinder_2;k_2Tot10WerkzamePersonen_3;k_10Tot50WerkzamePersonen_4;k_50Tot250WerkzamePersonen_5;k_250WerkzamePersonenOfMeer_6;k_0Tot50WerkzamePersonen_7;k_0Tot250WerkzamePersonen_8;NatuurlijkePersonen_9;Rechtspersonen_10
0;A-U Alle economische activiteiten;2007 1e kwartaal;46865;38495;7735;565;70;0;46795;46865;38035;8830
1;A-U Alle economische activiteiten;2007 2e kwartaal;50110;43255;6375;425;55;0;50055;50110;43255;6855
2;A-U Alle economische activiteiten;2007 3e kwartaal;43325;33400;9290;580;55;0;43270;43325;34585;8740
3;A-U Alle economische activiteiten;2007 4e kwartaal;35945;29740;5780;370;55;0;35890;35945;29690;6255
4;A-U Alle economische activiteiten;2007;176250;144890;29180;1940;240;0;176010;176250;145565;30685
5;A-U Alle economische activiteiten;2008 1e kwartaal;33460;27395;5655;355;50;0;33405;33460;26240;7220
6;A-U Alle economische activiteiten;2008 2e kwartaal;47585;42220;4995;345;35;0;47555;47585;40725;6860
7;A-U Alle economische activiteiten;2008 3e kwartaal;40790;33290;6990;460;50;0;40740;40790;33895;6895
8;A-U Alle economische activiteiten;2008 4e kwartaal;43670;32395;10855;370;40;0;43625;43670;31945;11720
9;A-U Alle economische activiteiten;2008;165505;135300;28495;1530;175;0;165330;165505;132805;32700
10;A-U Alle economische activiteiten;2009 1e kwartaal;28810;28190;585;25;10;0;28800;28810;25440;3370
11;A-U Alle economische activiteiten;2009 2e kwartaal;56190;50735;5230;205;20;0;56165;56190;48975;7215
12;A-U Alle economische activiteiten;2009 3e kwartaal;47575;42110;5200;225;40;0;47535;47575;40555;7015
13;A-U Alle economische activiteiten;2009 4e kwartaal;55880;46430;9040;370;40;0;55840;55880;45605;10275
14;A-U Alle economische activiteiten;2009;188455;167460;20050;830;110;0;188340;188455;160575;27880
15;A-U Alle economische activiteiten;2010 1e kwartaal;24560;23095;1425;35;5;0;24550;24555;21085;3475
16;A-U Alle economische activiteiten;2010 2e kwartaal;57665;52375;5045;215;30;0;57635;57665;51255;6410
17;A-U Alle economische activiteiten;2010 3e kwartaal;42375;35840;6290;215;30;0;42345;42375;35810;6565
18;A-U Alle economische activiteiten;2010 4e kwartaal;36630;31180;5190;235;25;0;36605;36630;31025;5600
19;A-U Alle economische activiteiten;2010;161230;142485;17950;700;90;0;161135;161225;139175;22050
20;A-U Alle economische activiteiten;2011 1e kwartaal;36240;31305;4700;210;25;0;36215;36240;30485;5755
21;A-U Alle economische activiteiten;2011 2e kwartaal;48040;43820;4070;140;15;0;48030;48040;42020;6025
22;A-U Alle economische activiteiten;2011 3e kwartaal;37745;32620;4870;215;35;0;37705;37745;30695;7050
23;A-U Alle economische activiteiten;2011 4e kwartaal;44740;36920;7505;290;30;0;44710;44740;36370;8370
24;A-U Alle economische activiteiten;2011;166765;144665;21145;850;105;0;166660;166765;139570;27195
25;A-U Alle economische activiteiten;2012 1e kwartaal;35850;32500;3255;85;10;0;35835;35850;30455;5395
26;A-U Alle economische activiteiten;2012 2e kwartaal;52025;44655;7075;275;20;0;52005;52025;43025;9000
27;A-U Alle economische activiteiten;2012 3e kwartaal;37180;32855;4190;135;5;0;37175;37180;31705;5475
28;A-U Alle economische activiteiten;2012 4e kwartaal;31055;24705;6205;125;20;0;31035;31055;25530;5520
29;A-U Alle economische activiteiten;2012;156110;134715;20725;615;55;5;156055;156110;130720;25395
30;A-U Alle economische activiteiten;2013 1e kwartaal;36055;31860;4075;100;20;0;36035;36055;29340;6715
31;A-U Alle economische activiteiten;2013 2e kwartaal;44225;38505;5520;170;30;0;44195;44220;35185;9040
32;A-U Alle economische activiteiten;2013 3e kwartaal;40880;36110;4610;150;10;0;40870;40880;34245;6635
33;A-U Alle economische activiteiten;2013 4e kwartaal;34955;30805;3985;145;15;0;34935;34950;28700;6255
34;A-U Alle economische activiteiten;2013;156110;137280;18190;570;70;0;156040;156110;127470;28645
35;A-U Alle economische activiteiten;2014 1e kwartaal;38875;34640;4135;85;20;0;38860;38875;31460;7415
36;A-U Alle economische activiteiten;2014 2e kwartaal;46320;40770;5375;155;15;0;46305;46320;37345;8975
37;A-U Alle economische activiteiten;2014 3e kwartaal;40605;35800;4685;105;15;0;40590;40605;33665;6940
38;A-U Alle economische activiteiten;2014 4e kwartaal;33500;29705;3680;100;10;0;33485;33500;27010;6490
39;A-U Alle economische activiteiten;2014;159300;140910;17880;445;60;0;159240;159295;129480;29820
40;A-U Alle economische activiteiten;2015 1e kwartaal;38735;34360;4270;100;5;0;38730;38735;30905;7830
41;A-U Alle economische activiteiten;2015 2e kwartaal;46895;41610;5110;160;15;0;46880;46895;35210;11685
42;A-U Alle economische activiteiten;2015 3e kwartaal;41610;36895;4575;120;25;0;41585;41610;34600;7015
43;A-U Alle economische activiteiten;2015 4e kwartaal;35710;31885;3715;105;5;0;35705;35710;29260;6450
44;A-U Alle economische activiteiten;2015;162955;144750;17665;485;55;0;162900;162955;129975;32980
45;A-U Alle economische activiteiten;2016 1e kwartaal;39725;35690;3920;105;15;0;39710;39725;32050;7675
46;A-U Alle economische activiteiten;2016 2e kwartaal;47970;41790;5985;180;10;0;47960;47970;37905;10065
47;A-U Alle economische activiteiten;2016 3e kwartaal;42580;37680;4780;105;15;0;42565;42580;35670;6910
48;A-U Alle economische activiteiten;2016 4e kwartaal;36540;32800;3640;95;5;0;36535;36540;29115;7425
49;A-U Alle economische activiteiten;2016;166820;147960;18330;485;45;0;166770;166820;134745;32075
50;A-U Alle economische activiteiten;2017 1e kwartaal;40735;36620;4015;90;10;0;40725;40735;32185;8550
51;A-U Alle economische activiteiten;2017 2e kwartaal;44650;39335;5155;150;10;0;44640;44650;35260;9390
52;A-U Alle economische activiteiten;2017 3e kwartaal;42765;38460;4220;75;10;0;42760;42765;35395;7370
53;A-U Alle economische activiteiten;2017 4e kwartaal;40075;36330;3660;80;5;0;40070;40075;32935;7140
54;A-U Alle economische activiteiten;2017;168225;150745;17050;395;35;0;168190;168225;135775;32450
55;A-U Alle economische activiteiten;2018 1e kwartaal;42985;39220;3690;70;10;0;42975;42985;34825;8160
56;A-U Alle economische activiteiten;2018 2e kwartaal;49260;44220;4890;140;10;0;49250;49260;39845;9415
57;A-U Alle economische activiteiten;2018 3e kwartaal;48860;44485;4265;110;10;0;48855;48860;40990;7875
58;A-U Alle economische activiteiten;2018 4e kwartaal;43030;39345;3600;80;5;0;43030;43030;35895;7135
59;A-U Alle economische activiteiten;2018;184140;167270;16445;395;25;0;184110;184140;151560;32580
60;A-U Alle economische activiteiten;2019 1e kwartaal;50115;46000;4035;70;5;0;50105;50115;41820;8295
61;A-U Alle economische activiteiten;2019 2e kwartaal;55565;50400;5015;145;5;0;55560;55565;45550;10020
62;A-U Alle economische activiteiten;2019 3e kwartaal;54635;49955;4585;90;5;0;54630;54635;47225;7410
63;A-U Alle economische activiteiten;2019 4e kwartaal;47190;43290;3785;115;0;0;47190;47190;40010;7180
64;A-U Alle economische activiteiten;2019;207505;189645;17420;415;20;0;207485;207505;174600;32905
65;A-U Alle economische activiteiten;2020 1e kwartaal;56665;52325;4270;60;10;0;56655;56665;48490;8175
66;A-U Alle economische activiteiten;2020 2e kwartaal;53545;49395;4030;115;5;0;53540;53545;43440;10105
67;A-U Alle economische activiteiten;2020 3e kwartaal;45985;42155;3755;70;5;0;45980;45985;39075;6910
68;A-U Alle economische activiteiten;2020 4e kwartaal;52360;47970;4325;55;10;0;52350;52360;44170;8185
69;A-U Alle economische activiteiten;2020;208550;191845;16385;295;25;0;208525;208550;175175;33375
70;A-U Alle economische activiteiten;2021 1e kwartaal;57045;51700;5285;60;5;0;57040;57045;48060;8980
71;A-U Alle economische activiteiten;2021 2e kwartaal;61145;54885;6145;105;10;0;61135;61145;50250;10895
72;A-U Alle economische activiteiten;2021 3e kwartaal;58895;52995;5795;100;5;0;58890;58895;50350;8545
73;A-U Alle economische activiteiten;2021 4e kwartaal;54765;50170;4475;110;10;0;54755;54765;46475;8290
74;A-U Alle economische activiteiten;2021;231850;209745;21705;375;25;0;231825;231850;195140;36710
75;A-U Alle economische activiteiten;2022 1e kwartaal;58325;54105;4125;85;5;0;58320;58325;47820;10505
76;A-U Alle economische activiteiten;2022 2e kwartaal;60240;55195;4915;120;5;0;60230;60240;48620;11620
77;A-U Alle economische activiteiten;2022 3e kwartaal;61470;57030;4345;90;5;0;61465;61470;52970;8500
78;A-U Alle economische activiteiten;2022 4e kwartaal;60195;56380;3740;70;5;0;60190;60195;52410;7785
79;A-U Alle economische activiteiten;2022;240230;222710;17130;370;25;0;240205;240230;201825;38410
80;A-U Alle economische activiteiten;2023 1e kwartaal;62170;58280;3835;50;5;0;62165;62170;54190;7980
81;A-U Alle economische activiteiten;2023 2e kwartaal;66720;61655;4925;130;10;0;66710;66720;55575;11150
82;A-U Alle economische activiteiten;2023 3e kwartaal;64410;59460;4860;85;5;0;64405;64410;56475;7935
83;A-U Alle economische activiteiten;2023 4e kwartaal;61000;56475;4450;70;0;0;61000;61000;53080;7920
84;A-U Alle economische activiteiten;2023;254305;235870;18075;340;20;0;254280;254305;219315;34985
85;A-U Alle economische activiteiten;2024 1e kwartaal;57410;53140;4205;60;5;0;57405;57410;48925;8485
86;A-U Alle economische activiteiten;2024 2e kwartaal;59965;54875;4980;105;5;0;59960;59965;49600;10365
87;A-U Alle economische activiteiten;2024 3e kwartaal;59580;54930;4560;75;10;0;59570;59580;50980;8595
88;A-U Alle economische activiteiten;2024 4e kwartaal;50930;47110;3765;50;5;0;50925;50930;43100;7830
89;A-U Alle economische activiteiten;2024;227880;210055;17505;290;25;0;227855;227880;192605;35270
90;Totaal (ex. financieel of nutsbedrijven);2007 1e kwartaal;44430;36435;7375;550;70;0;44360;44430;37740;6690
91;Totaal (ex. financieel of nutsbedrijven);2007 2e kwartaal;48070;41705;5910;405;50;0;48020;48070;42950;5125
92;Totaal (ex. financieel of nutsbedrijven);2007 3e kwartaal;40685;31500;8585;545;55;0;40630;40685;34290;6395
93;Totaal (ex. financieel of nutsbedrijven);2007 4e kwartaal;34065;28370;5290;350;55;0;34010;34065;29485;4580
94;Totaal (ex. financieel of nutsbedrijven);2007;167250;138015;27155;1855;225;0;167025;167250;144460;22785
95;Totaal (ex. financieel of nutsbedrijven);2008 1e kwartaal;31215;25655;5185;330;50;0;31170;31215;25985;5235
96;Totaal (ex. financieel of nutsbedrijven);2008 2e kwartaal;45440;40545;4545;320;30;0;45410;45440;40435;5005
97;Totaal (ex. financieel of nutsbedrijven);2008 3e kwartaal;38515;31650;6375;445;50;0;38470;38515;33665;4855
98;Totaal (ex. financieel of nutsbedrijven);2008 4e kwartaal;40290;29545;10350;350;40;0;40250;40290;31665;8630
99;Totaal (ex. financieel of nutsbedrijven);2008;155465;127395;26455;1450;170;0;155295;155465;131745;23720
100;Totaal (ex. financieel of nutsbedrijven);2009 1e kwartaal;27725;27145;545;25;10;0;27715;27725;25320;2410
101;Totaal (ex. financieel of nutsbedrijven);2009 2e kwartaal;54020;48810;5000;190;20;0;54000;54020;48700;5320
