ID;PositieInHetHuishouden;Geslacht;Leeftijd;BurgerlijkeStaat;Perioden;PersonenInHuishoudens_1
0;Totaal personen in huishoudens;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2022;17593685.0
1;Totaal personen in huishoudens;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2023;17735810.0
2;Totaal personen in huishoudens;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2024;17868084.0
3;Totaal personen in huishoudens;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2025;17980424.0
4;Totaal personen in huishoudens;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2026;18088023.0
5;Totaal personen in huishoudens;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2027;18191746.0
6;Totaal personen in huishoudens;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2028;18290757.0
7;Totaal personen in huishoudens;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2029;18387190.0
8;Totaal personen in huishoudens;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2030;18479924.0
9;Totaal personen in huishoudens;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2031;18569153.0
10;Totaal personen in huishoudens;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2032;18655512.0
11;Totaal personen in huishoudens;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2033;18738178.0
12;Totaal personen in huishoudens;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2034;18817370.0
13;Totaal personen in huishoudens;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2035;18892767.0
14;Totaal personen in huishoudens;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2036;18964675.0
15;Totaal personen in huishoudens;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2037;19032641.0
16;Totaal personen in huishoudens;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2038;19096287.0
17;Totaal personen in huishoudens;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2039;19155905.0
18;Totaal personen in huishoudens;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2040;19211944.0
19;Totaal personen in huishoudens;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2041;19264561.0
20;Totaal personen in huishoudens;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2042;19313954.0
21;Totaal personen in huishoudens;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2043;19360524.0
22;Totaal personen in huishoudens;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2044;19404599.0
23;Totaal personen in huishoudens;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2045;19446389.0
24;Totaal personen in huishoudens;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2046;19486099.0
25;Totaal personen in huishoudens;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2047;19524042.0
