ID;Perioden;TotaalLasten_1;Uitkeringen_2;VoorzieningVUTVerplichtingen_3;Administratiekosten_4;OverigeLasten_5;Saldo_6;TotaalBaten_7;TotaalPremies_8;Werkgeverspremie_9;Werknemerspremie_10;PremieDoorOverigen_11;RenteEnDividend_12;OverigeBaten_13;TotaalActiva_14;GiraleGelden_15;DepositoS_16;ObligatiesEnPandbrieven_17;Aandelen_18;LeningenOpLangeTermijn_19;LeningenOpKorteTermijn_20;OverigeVorderingen_21;TotaalPassiva_22;EigenVermogenEnReserves_23;VoorzieningVUTVerplichtingen_24;OverigeVoorzieningen_25;LeningenOpKorteTermijn_26;OverigeSchulden_27
0;1997;3019;2623;203;32;22;139;3019;2919;1860;762;295;96;4;2431;23;658;528;509;94;226;392;2431;407;1238;44;507;236
1;1998;3178;2780;85;34;43;236;3178;3055;1750;1109;196;107;15;2847;49;317;833;772;106;271;498;2847;643;1323;40;536;304
2;1999;3337;2661;230;36;8;402;3337;3200;1828;1236;136;132;5;3667;64;336;1060;1171;85;357;594;3667;1045;1553;39;701;329
3;2000;3285;2597;-9;37;24;635;3285;2676;1612;996;68;114;495;3495;43;230;999;1185;74;512;454;3495;1680;1544;57;33;181
4;2001;2729;2724;-10;32;27;-44;2729;2611;1465;1146;0;93;25;3595;33;325;992;1377;86;233;548;3595;1637;1534;61;66;296
5;2002;2511;2650;-158;32;14;-27;2511;2442;1394;1045;2;60;10;3379;47;283;929;1291;53;323;452;3379;1609;1376;34;21;339
6;2003;2773;2721;80;28;46;-103;2773;2621;1455;1155;12;116;35;3412;57;378;498;1568;28;480;403;3412;1507;1457;64;14;370
7;2004;2563;2597;-155;27;24;71;2563;2408;1328;1072;8;145;11;3163;44;269;508;1752;52;193;344;3163;1577;1301;59;18;207
8;2005;2868;2861;-16;28;35;-40;2868;2711;1395;1308;8;157;0;3206;42;243;522;1921;21;135;322;3206;1538;1285;61;37;285
9;2006;2178;3008;-310;25;12;-557;2178;2086;1155;929;2;65;27;2236;38;247;318;1044;1;304;284;2236;981;975;45;34;201
10;2007;2433;2685;-168;28;13;-125;2433;2337;1308;1027;2;72;24;2717;88;238;259;849;1;1036;246;2717;856;807;39;29;986
11;2008;2627;2736;-78;29;9;-69;2627;2601;1490;1106;5;6;20;2863;64;980;287;459;1;770;302;2863;787;729;31;3;1313
12;2009;2680;2710;-51;25;34;-38;2680;2540;1457;1080;3;104;36;2166;54;548;440;412;14;463;235;2166;749;678;53;9;677
13;2010;2151;2503;-119;25;23;-281;2151;2045;1115;930;0;63;43;1716;46;223;389;416;15;432;195;1716;468;559;44;20;625
14;2011;1844;2662;-293;20;34;-579;1844;1829;1014;815;0;13;2;1105;36;81;329;148;16;299;196;1105;-111;265;36;18;897
15;2012;1525;1941;-50;18;39;-423;1525;1508;806;702;0;15;2;836;44;135;205;172;0;106;174;836;-535;216;27;13;1115
16;2013;1299;1576;-134;13;50;-206;1299;1295;666;629;0;3;1;606;41;60;111;99;0;112;183;606;-741;82;10;8;1247
17;2014;1242;1053;-59;12;34;202;1242;1209;620;589;0;8;25;429;36;60;75;77;0;17;164;429;-539;23;2;2;941
18;2015;775;141;-15;3;10;636;775;771;400;371;0;3;1;232;26;50;45;23;0;3;85;232;97;8;0;0;127
