ID;Perioden;Totaal1eEn2eGeneratie_1;k_1eGeneratie_2;k_2eGeneratie_3;Totaal1eEn2eGeneratie_4;k_1eGeneratie_5;k_2eGeneratie_6;Totaal1eEn2eGeneratie_7;k_1eGeneratie_8;k_2eGeneratie_9;MoederNietWesters_10;MoederWesters_11;NietWesterseAllochtonen_12;WesterseAllochtonen_13;NietWesterseAllochtonen_14;WesterseAllochtonen_15;NietWesterseAllochtonen_16;WesterseAllochtonen_17
0;2008;3215416;1619314;1596102;1765730;1017184;748546;1449686;602130;847556;22889.0;8358.0;45603.0;67156.0;28347.0;36200.0;17256.0;30956.0
1;2009;3281207;1658608;1622597;1802773;1030646;772127;1478443;627964;850479;22368.0;8807.0;39566.0;59513.0;29440.0;39261.0;10126.0;20252.0
2;2010;3329435;1679839;1649598;1833282;1037493;795789;1496146;642335;853811;21683.0;9137.0;38222.0;58227.0;29543.0;40617.0;8679.0;17610.0
3;2011;3374204;1696742;1677464;1862382;1042720;819662;1511823;654028;857795;21004.0;9412.0;39160.0;57091.0;29030.0;41113.0;10130.0;15979.0
4;2012;3419245;1713225;1706023;1893040;1049188;843852;1526202;664031;862171;20379.0;9637.0;40185.0;55985.0;28234.0;41134.0;11951.0;14851.0
5;2013;3463744;1730122;1733613;1924283;1057274;867009;1539467;672852;866615;19819.0;9814.0;41173.0;54837.0;27371.0;40856.0;13802.0;13981.0
6;2014;3508932;1747733;1761200;1956836;1066987;889849;1552096;680747;871349;19326.0;9952.0;42126.0;53800.0;26639.0;40349.0;15487.0;13451.0
7;2015;3554714;1766203;1788510;1990477;1078152;912325;1564243;688052;876191;18906.0;10065.0;43012.0;53384.0;26239.0;39818.0;16773.0;13566.0
8;2016;3601212;1785766;1815444;2024733;1090354;934379;1576479;695411;881068;18554.0;10163.0;43898.0;53430.0;26139.0;39464.0;17760.0;13966.0
9;2017;3648404;1806392;1842013;2059334;1103295;956039;1589076;703102;885974;18270.0;10255.0;44717.0;53472.0;26138.0;39267.0;18579.0;14205.0
10;2018;3695958;1827743;1868227;2094104;1116773;977331;1601857;710969;890888;18040.0;10337.0;45388.0;53517.0;26172.0;39096.0;19216.0;14422.0
11;2019;3743693;1849608;1894087;2128949;1130628;998321;1614755;718982;895773;17843.0;10417.0;45843.0;53557.0;26220.0;38958.0;19623.0;14599.0
12;2020;3791341;1871689;1919660;2163636;1144593;1019043;1627711;727100;900611;17674.0;10492.0;46011.0;53600.0;26269.0;38864.0;19742.0;14736.0
13;2021;3838601;1893660;1944937;2197933;1158377;1039556;1640675;735289;905386;17529.0;10568.0;46011.0;53644.0;26307.0;38799.0;19704.0;14845.0
14;2022;3885299;1915327;1969975;2231696;1171825;1059871;1653606;743508;910098;17408.0;10642.0;46019.0;53690.0;26334.0;38735.0;19685.0;14955.0
15;2023;3931461;1936682;1994775;2264968;1184934;1080034;1666488;751752;914736;17309.0;10715.0;46017.0;53734.0;26354.0;38681.0;19663.0;15053.0
16;2024;3977021;1957711;2019309;2297711;1197695;1100016;1679306;760009;919297;17234.0;10789.0;46017.0;53781.0;26372.0;38634.0;19645.0;15147.0
17;2025;4021963;1978375;2043586;2329924;1210109;1119815;1692040;768264;923776;17179.0;10866.0;46010.0;53815.0;26390.0;38588.0;19620.0;15227.0
18;2026;4066256;1998659;2067594;2361578;1222155;1139423;1704667;776502;928165;17142.0;10942.0;46017.0;53865.0;26409.0;38541.0;19608.0;15324.0
19;2027;4109921;2018578;2091343;2392691;1233845;1158846;1717228;784742;932486;17119.0;11023.0;46025.0;53905.0;26432.0;38492.0;19594.0;15413.0
20;2028;4152984;2038122;2114867;2423264;1245151;1178113;1729713;792961;936752;17110.0;11103.0;46024.0;53945.0;26452.0;38439.0;19572.0;15506.0
21;2029;4195492;2057258;2138235;2453339;1256078;1197261;1742160;801181;940979;17110.0;11184.0;46014.0;53993.0;26470.0;38383.0;19544.0;15610.0
22;2030;4237508;2076009;2161512;2482933;1266609;1216324;1754583;809393;945190;17123.0;11269.0;46016.0;54038.0;26492.0;38327.0;19524.0;15711.0
23;2031;4279083;2094361;2184725;2512078;1276746;1235332;1767004;817612;949392;17146.0;11352.0;46016.0;54078.0;26513.0;38274.0;19503.0;15804.0
24;2032;4320212;2112297;2207914;2540794;1286481;1254313;1779423;825820;953603;17176.0;11437.0;46014.0;54125.0;26537.0;38225.0;19477.0;15900.0
25;2033;4360930;2129825;2231106;2569100;1295805;1273295;1791843;834026;957817;17213.0;11525.0;46018.0;54170.0;26563.0;38183.0;19455.0;15987.0
26;2034;4401207;2146919;2254291;2596958;1304703;1292255;1804257;842220;962037;17256.0;11607.0;46012.0;54207.0;26589.0;38149.0;19423.0;16058.0
27;2035;4441037;2163563;2277470;2624385;1313178;1311207;1816654;850389;966265;17303.0;11692.0;46015.0;54255.0;26617.0;38123.0;19398.0;16132.0
