ID;Perioden;TotaalBijAdoptiesBetrokkenGezinnen_1;k_1Kind_2;k_2KinderenTegelijk_3;k_3OfMeerKinderenTegelijk_4
0;1995;906;793;90;23
1;1996;876;751;107;18
2;1997;906;798;82;26
3;1998;796;686;86;24
4;1999;863;774;69;20
5;2000;898;823;60;15
6;2001;1035;961;65;9
7;2002;1108;996;101;11
8;2003;1080;1006;67;7
9;2004;1286;1209;73;4
10;2005;1380;1319;53;8
11;2006;928;875;50;3
