ID;RegioS;Perioden;TotaalIncidenten_1;TotaalBrandincidenten_2;TotaalAutomatischGemeld_3;AfgehandeldDoorDeMeldkamer_4;AlarmeringenVanDeBrandweer_5;TotaalTelefonischGemeld_6;AfgehandeldDoorDeMeldkamer_7;AlarmeringenVanDeBrandweer_8;TotaalHulpverleningsincidenten_9;AfgehandeldDoorDeMeldkamer_10;AlarmeringenVanDeBrandweer_11
0;Nederland;2013 1e kwartaal;51360;30580;18740;5180;13560;11840;1520;10320;20780;8260;12520
1;Nederland;2013 2e kwartaal;53360;30160;18960;5580;13380;11200;1080;10120;23200;9900;13300
2;Nederland;2013 3e kwartaal;58480;32060;20980;6900;14080;11080;1300;9780;26420;11480;14940
3;Nederland;2013 4e kwartaal;71440;33720;21020;6700;14320;12680;1640;11040;37720;17180;20540
4;Nederland;2013;234640;126520;79700;24360;55340;46820;5540;41260;108120;46820;61300
5;Nederland;2014 1e kwartaal;53380;32280;19980;7880;12100;12300;1840;10460;21080;8700;12400
6;Nederland;2014 2e kwartaal;57240;31600;20840;8140;12700;10760;1140;9620;25620;10660;14960
7;Nederland;2014 3e kwartaal;61960;32100;22480;8400;14080;9620;1100;8520;29860;13140;16720
8;Nederland;2014 4e kwartaal;59940;34360;22520;8880;13640;11840;1800;10060;25580;10740;14840
9;Nederland;2014;232480;130340;85820;33300;52520;44520;5880;38640;102140;43240;58920
10;Nederland;2015 1e kwartaal;56320;30200;18880;7780;11100;11320;1740;9600;26120;9700;16420
11;Nederland;2015 2e kwartaal;52660;29680;18860;7740;11120;10820;1180;9640;22980;8020;14960
12;Nederland;2015 3e kwartaal;68320;31620;21420;9180;12240;10180;1160;9040;36700;15980;20720
13;Nederland;2015 4e kwartaal;56880;33700;21560;9560;12000;12120;1840;10300;23180;8060;15120
14;Nederland;2015;234180;125200;80720;34280;46440;44460;5900;38560;108980;41760;67220
15;Nederland;2016 1e kwartaal;52200;30700;19080;9200;9900;11620;2060;9560;21500;7420;14080
16;Nederland;2016 2e kwartaal;56080;29500;19560;9240;10320;9940;1200;8740;26600;10260;16340
17;Nederland;2016 3e kwartaal;55540;30780;19980;9260;10720;10800;1360;9440;24760;9100;15660
18;Nederland;2016 4e kwartaal;58120;33080;20080;10160;9920;13000;2040;10960;25060;8980;16060
19;Nederland;2016;221940;124040;78700;37840;40860;45340;6660;38700;97900;35760;62140
20;Nederland;2017 1e kwartaal;53420;28720;17280;8780;8500;11440;1780;9660;24720;8400;16320
21;Nederland;2017 2e kwartaal;54860;29220;16880;8440;8440;12320;1440;10900;25640;9240;16400
22;Nederland;2017 3e kwartaal;54920;27820;18260;9440;8820;9560;1240;8300;27100;9420;17680
23;Nederland;2017 4e kwartaal;55720;29600;18500;9720;8780;11100;1540;9580;26120;9540;16580
24;Nederland;2017;218920;115340;70920;36380;34540;44420;6000;38440;103580;36600;66980
25;Nederland;2018 1e kwartaal;65560;27400;15760;7780;7960;11640;1940;9700;38160;17080;21080
26;Nederland;2018 2e kwartaal;58420;27820;16400;8620;7780;11420;1600;9820;30600;13160;17440
27;Nederland;2018 3e kwartaal;63620;32660;16620;8560;8060;16040;2400;13660;30960;12460;18500
28;Nederland;2018 4e kwartaal;57020;30100;16900;8860;8040;13220;2220;11000;26900;11040;15860
29;Nederland;2018;244600;117980;65680;33840;31840;52300;8140;44180;126620;53740;72880
30;Nederland;2019 1e kwartaal;58080;27340;15480;8360;7120;11860;2300;9540;30760;13360;17380
31;Nederland;2019 2e kwartaal;61880;28140;15700;8300;7380;12440;1960;10500;33740;14520;19240
32;Nederland;2019 3e kwartaal;60080;28720;16840;8800;8040;11880;1940;9940;31360;13060;18300
33;Nederland;2019 4e kwartaal;57820;31300;17080;9220;7860;14220;2480;11760;26520;10080;16440
34;Nederland;2019;237860;115480;65080;34680;30420;50380;8660;41740;122380;51020;71360
35;Noord-Nederland (LD);2013 1e kwartaal;5400;3420;2140;1000;1140;1280;240;1040;1980;1200;800
36;Noord-Nederland (LD);2013 2e kwartaal;6260;3460;2260;1060;1200;1200;140;1060;2800;1840;960
37;Noord-Nederland (LD);2013 3e kwartaal;6120;3460;2420;1100;1340;1020;160;860;2660;1700;960
38;Noord-Nederland (LD);2013 4e kwartaal;8160;3680;2300;1020;1260;1380;360;1020;4480;3240;1260
39;Noord-Nederland (LD);2013;25960;14020;9120;4180;4940;4900;920;3980;11940;7980;3960
40;Noord-Nederland (LD);2014 1e kwartaal;5240;3140;1920;840;1080;1240;260;960;2100;1360;740
41;Noord-Nederland (LD);2014 2e kwartaal;5740;3120;2220;980;1240;900;140;760;2620;1660;960
42;Noord-Nederland (LD);2014 3e kwartaal;5900;3380;2400;1060;1320;1000;160;820;2520;1560;940
43;Noord-Nederland (LD);2014 4e kwartaal;5720;3300;2160;1020;1140;1140;240;920;2420;1540;880
44;Noord-Nederland (LD);2014;22600;12940;8680;3900;4780;4260;800;3460;9660;6140;3520
45;Noord-Nederland (LD);2015 1e kwartaal;5480;2880;1840;920;920;1040;200;840;2600;1680;920
46;Noord-Nederland (LD);2015 2e kwartaal;5620;2940;1980;1020;960;960;160;800;2660;1740;920
47;Noord-Nederland (LD);2015 3e kwartaal;6460;3160;2220;1100;1120;960;140;800;3280;2100;1180
48;Noord-Nederland (LD);2015 4e kwartaal;6020;3380;2220;1300;920;1180;320;860;2620;1740;900
49;Noord-Nederland (LD);2015;23560;12380;8260;4320;3940;4120;820;3320;11180;7260;3920
50;Noord-Nederland (LD);2016 1e kwartaal;5260;3080;1960;1280;680;1120;280;840;2180;1420;760
51;Noord-Nederland (LD);2016 2e kwartaal;5460;2820;1960;1220;740;860;140;720;2640;1600;1040
52;Noord-Nederland (LD);2016 3e kwartaal;5620;3080;2140;1340;780;940;160;780;2560;1540;1020
53;Noord-Nederland (LD);2016 4e kwartaal;5520;3140;1960;1360;620;1160;180;980;2400;1480;900
54;Noord-Nederland (LD);2016;21880;12100;8020;5200;2820;4100;760;3340;9760;6040;3740
55;Noord-Nederland (LD);2017 1e kwartaal;4580;2640;1600;1100;500;1040;180;840;1940;1160;780
56;Noord-Nederland (LD);2017 2e kwartaal;5400;2800;1680;1100;580;1120;200;920;2600;1600;1000
57;Noord-Nederland (LD);2017 3e kwartaal;5500;2740;1860;1280;580;880;180;720;2760;1740;1020
58;Noord-Nederland (LD);2017 4e kwartaal;5700;2900;1880;1320;560;1020;200;820;2800;1780;1020
59;Noord-Nederland (LD);2017;21160;11060;7000;4780;2220;4040;760;3280;10100;6280;3820
60;Noord-Nederland (LD);2018 1e kwartaal;5360;2940;1720;1180;540;1220;240;980;2420;1400;1020
61;Noord-Nederland (LD);2018 2e kwartaal;6080;2940;1800;1260;540;1140;220;920;3120;2020;1100
62;Noord-Nederland (LD);2018 3e kwartaal;6540;3700;2000;1360;640;1700;300;1380;2860;1820;1040
63;Noord-Nederland (LD);2018 4e kwartaal;5640;3260;1900;1300;600;1360;300;1060;2400;1460;940
64;Noord-Nederland (LD);2018;23620;12840;7420;5100;2320;5420;1060;4340;10780;6700;4080
65;Noord-Nederland (LD);2019 1e kwartaal;5120;2780;1700;1160;540;1060;220;840;2340;1440;920
66;Noord-Nederland (LD);2019 2e kwartaal;6220;3040;1740;1200;540;1300;280;1020;3180;2120;1060
67;Noord-Nederland (LD);2019 3e kwartaal;6440;3380;2080;1420;680;1300;300;1000;3060;2060;1000
68;Noord-Nederland (LD);2019 4e kwartaal;5760;3240;1980;1340;640;1260;300;940;2520;1600;940
69;Noord-Nederland (LD);2019;23520;12420;7520;5120;2380;4900;1120;3780;11100;7200;3920
70;Oost-Nederland (LD);2013 1e kwartaal;8840;5820;3560;700;2840;2260;280;1980;3040;1080;1960
71;Oost-Nederland (LD);2013 2e kwartaal;9240;5800;3400;660;2720;2420;300;2100;3440;1380;2060
72;Oost-Nederland (LD);2013 3e kwartaal;9880;5860;3620;700;2920;2240;340;1900;4020;1380;2640
73;Oost-Nederland (LD);2013 4e kwartaal;11880;5860;3500;640;2860;2360;340;2020;6020;2840;3160
74;Oost-Nederland (LD);2013;39840;23340;14060;2720;11360;9280;1260;8020;16500;6680;9820
75;Oost-Nederland (LD);2014 1e kwartaal;8380;5380;3040;640;2400;2340;360;1980;3000;1040;1960
76;Oost-Nederland (LD);2014 2e kwartaal;9440;5380;3240;820;2420;2140;320;1840;4060;1660;2400
77;Oost-Nederland (LD);2014 3e kwartaal;10320;5260;3520;880;2640;1740;260;1480;5060;2460;2620
78;Oost-Nederland (LD);2014 4e kwartaal;9380;5380;3400;860;2540;1980;320;1660;4000;1820;2180
79;Oost-Nederland (LD);2014;37500;21380;13180;3180;10000;8200;1240;6960;16120;6980;9140
80;Oost-Nederland (LD);2015 1e kwartaal;9300;4780;2720;760;1960;2040;320;1720;4540;1700;2840
81;Oost-Nederland (LD);2015 2e kwartaal;9280;5220;2940;1060;1880;2260;340;1920;4060;1760;2300
82;Oost-Nederland (LD);2015 3e kwartaal;12660;5240;3280;1080;2200;1940;340;1600;7420;3680;3740
83;Oost-Nederland (LD);2015 4e kwartaal;9740;5440;3220;1160;2080;2220;340;1860;4300;1940;2360
84;Oost-Nederland (LD);2015;40980;20640;12180;4060;8120;8460;1360;7120;20320;9080;11240
85;Oost-Nederland (LD);2016 1e kwartaal;9120;5140;2880;1000;1880;2260;400;1860;3980;1840;2140
86;Oost-Nederland (LD);2016 2e kwartaal;10100;4880;2820;1000;1820;2060;320;1740;5220;2620;2580
87;Oost-Nederland (LD);2016 3e kwartaal;10180;5240;3120;1020;2120;2120;340;1780;4940;2300;2640
88;Oost-Nederland (LD);2016 4e kwartaal;10080;5340;3000;1080;1920;2340;360;2000;4740;2100;2640
89;Oost-Nederland (LD);2016;39480;20600;11820;4100;7720;8780;1400;7380;18880;8880;10000
90;Oost-Nederland (LD);2017 1e kwartaal;9580;4600;2500;920;1560;2120;280;1840;4980;1960;3020
91;Oost-Nederland (LD);2017 2e kwartaal;10040;5080;2620;1000;1620;2460;300;2160;4960;2260;2720
92;Oost-Nederland (LD);2017 3e kwartaal;9720;4540;2700;1160;1540;1860;300;1540;5180;2320;2860
93;Oost-Nederland (LD);2017 4e kwartaal;10260;4780;2820;1340;1480;1980;280;1700;5460;2420;3040
94;Oost-Nederland (LD);2017;39600;19020;10620;4420;6200;8400;1160;7240;20600;8960;11640
95;Oost-Nederland (LD);2018 1e kwartaal;13080;4460;2340;1080;1240;2140;320;1820;8600;5060;3540
96;Oost-Nederland (LD);2018 2e kwartaal;11220;4760;2480;1240;1240;2280;340;1960;6460;3580;2880
97;Oost-Nederland (LD);2018 3e kwartaal;12360;6000;2580;1280;1300;3420;540;2880;6360;3200;3160
98;Oost-Nederland (LD);2018 4e kwartaal;10860;5260;2680;1280;1400;2600;400;2180;5600;3000;2580
99;Oost-Nederland (LD);2018;47500;20500;10060;4880;5160;10440;1600;8840;27000;14860;12140
100;Oost-Nederland (LD);2019 1e kwartaal;10380;4560;2460;1260;1200;2120;300;1800;5800;2900;2920
101;Oost-Nederland (LD);2019 2e kwartaal;12280;5080;2480;1180;1280;2600;420;2180;7200;3880;3320
102;Oost-Nederland (LD);2019 3e kwartaal;11380;5040;2700;1320;1380;2340;380;1960;6340;3500;2840
103;Oost-Nederland (LD);2019 4e kwartaal;10120;5160;2720;1340;1380;2440;300;2140;4960;2200;2760
104;Oost-Nederland (LD);2019;44140;19840;10360;5100;5260;9480;1400;8080;24300;12480;11820
105;West-Nederland (LD);2013 1e kwartaal;26160;15120;8900;1960;6940;6220;860;5360;11040;3100;7940
106;West-Nederland (LD);2013 2e kwartaal;26020;14200;9020;2340;6700;5180;420;4740;11820;3600;8220
107;West-Nederland (LD);2013 3e kwartaal;29740;16240;10720;3420;7300;5540;520;5020;13480;4320;9160
108;West-Nederland (LD);2013 4e kwartaal;38140;17580;10920;3500;7420;6660;800;5860;20560;7540;13020
109;West-Nederland (LD);2013;120060;63140;39560;11200;28340;23580;2580;21000;56920;18560;38360
110;West-Nederland (LD);2014 1e kwartaal;29140;17920;11480;5180;6280;6440;1020;5420;11220;3540;7680
111;West-Nederland (LD);2014 2e kwartaal;30360;17120;11680;5080;6600;5440;520;4920;13240;4020;9220
112;West-Nederland (LD);2014 3e kwartaal;32420;17200;12280;5000;7280;4920;500;4420;15220;4860;10360
113;West-Nederland (LD);2014 4e kwartaal;32820;19560;12840;5520;7320;6740;1080;5660;13260;4020;9240
114;West-Nederland (LD);2014;124740;71780;48240;20760;27480;23540;3100;20420;52940;16440;36520
115;West-Nederland (LD);2015 1e kwartaal;31040;16780;10540;4540;6000;6240;1080;5160;14260;4300;9940
116;West-Nederland (LD);2015 2e kwartaal;28200;15600;10300;4100;6200;5300;460;4840;12600;3340;9260
117;West-Nederland (LD);2015 3e kwartaal;38200;16900;11820;5220;6620;5060;460;4620;21320;8400;12900
118;West-Nederland (LD);2015 4e kwartaal;31260;18480;11860;5220;6640;6600;960;5640;12800;3260;9520
119;West-Nederland (LD);2015;128700;67760;44540;19080;25460;23220;2960;20260;60960;19320;41640
120;West-Nederland (LD);2016 1e kwartaal;28960;16860;10660;5060;5600;6200;1180;5020;12100;3080;9020
121;West-Nederland (LD);2016 2e kwartaal;28880;15960;10960;5220;5740;5000;520;4500;12920;3140;9760
122;West-Nederland (LD);2016 3e kwartaal;29300;16220;10820;5100;5740;5400;600;4800;13080;3480;9580
123;West-Nederland (LD);2016 4e kwartaal;32020;18460;11160;5760;5400;7300;1240;6060;13560;3440;10140
124;West-Nederland (LD);2016;119160;67500;43600;21120;22480;23900;3540;20360;51660;13140;38520
125;West-Nederland (LD);2017 1e kwartaal;29100;15920;9680;4980;4700;6240;1100;5140;13180;3280;9900
126;West-Nederland (LD);2017 2e kwartaal;29320;15300;9280;4660;4600;6040;600;5440;14020;3660;10360
127;West-Nederland (LD);2017 3e kwartaal;30040;14900;10140;5120;5020;4780;500;4280;15140;3780;11360
128;West-Nederland (LD);2017 4e kwartaal;30380;16300;10200;5120;5060;6120;780;5340;14060;3800;10260
129;West-Nederland (LD);2017;118840;62460;39280;19900;19380;23180;2980;20200;56380;14520;41860
130;West-Nederland (LD);2018 1e kwartaal;34880;14580;8380;3820;4560;6200;1100;5120;20280;6800;13480
131;West-Nederland (LD);2018 2e kwartaal;30640;14260;8680;4100;4600;5580;600;4980;16380;5360;11020
132;West-Nederland (LD);2018 3e kwartaal;32700;15700;8740;4000;4740;6960;800;6160;17000;5260;11760
