ID;Periods;RentIncrease_1
0;1959;0.0
1;1960;11.0
2;1961;2.9
3;1962;2.3
4;1963;6.0
5;1964;4.8
6;1965;4.7
7;1966;7.7
8;1967;4.3
9;1968;7.5
10;1969;7.0
11;1970;5.0
12;1971;8.7
13;1972;8.0
14;1973;8.8
15;1974;6.9
16;1975;6.2
17;1976;10.7
18;1977;7.7
19;1978;7.5
20;1979;5.8
21;1980;7.2
22;1981;7.8
23;1982;8.4
24;1983;6.8
25;1984;3.6
26;1985;3.4
27;1986;2.6
28;1987;3.0
29;1988;3.6
30;1989;3.2
31;1990;3.3
32;1991;5.9
33;1992;5.6
34;1993;5.4
35;1994;5.1
36;1995;4.5
37;1996;4.1
38;1997;3.8
39;1998;3.4
40;1999;3.0
41;2000;2.6
42;2001;2.7
43;2002;2.9
44;2003;3.2
45;2004;3.1
46;2005;2.0
47;2006;2.7
48;2007;1.4
49;2008;1.9
50;2009;2.8
51;2010;1.6
52;2011;1.8
53;2012;2.8
54;2013;4.7
55;2014;4.4
56;2015;2.4
57;2016;1.9
58;2017;1.6
59;2018;2.3
60;2019;2.5
61;2020;2.9
62;2021;0.8
63;2022;3.0
64;2023;2.0
65;2024;5.4
