ID;Leeftijd;Generatie;Geslacht;Perioden;Allochtonen_1;TotaalNietWesters_2;Afrika_3;Azie_4;LatijnsAmerika_5;Marokko_6;NederlandseAntillenEnAruba_7;Suriname_8;Turkije_9;TotaalWesters_10;EuropeseEconomischeRuimte_11;OverigEuropa_12;Indonesie_13;OverigBuitenEuropa_14
0;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2000;2775302;1408791;151312;226089;50568;262221;107197;302514;308890;1366511;743608;156504;405155;61244
1;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2001;2863287;1475579;163080;243725;53849;272277;116344;307929;318375;1387708;748991;171264;403719;63734
2;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2002;2950204;1540563;174433;262262;57168;282334;125286;312801;326279;1409641;754464;186846;402163;66168
3;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2003;3037077;1605176;185672;281289;60543;292376;133846;317504;333946;1431901;760061;202713;400592;68535
4;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2004;3123268;1668964;196831;300702;63954;302294;141835;321979;341369;1454304;765717;218750;399005;70832
5;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2005;3208836;1731969;207953;320558;67417;312063;149191;326244;348543;1476867;771431;234948;397396;73092
6;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2006;3293386;1794123;219084;340805;70939;321725;155846;330282;355442;1499263;777105;251122;395742;75294
7;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2007;3376738;1855337;230169;361400;74521;331248;161811;334085;362103;1521401;782694;267234;394029;77444
8;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2008;3458934;1915622;241227;382343;78134;340600;167155;337676;368487;1543312;788172;283306;392260;79574
9;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2009;3539875;1974986;252218;403599;81800;349744;171951;341034;374640;1564889;793472;299328;390419;81670
10;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2010;3619722;2033635;263163;425173;85505;358674;176397;344189;380534;1586087;798578;315293;388486;83730
11;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2011;3698513;2091751;274029;447046;89245;367377;180716;347157;386181;1606762;803465;331036;386484;85777
12;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2012;3776160;2149372;284827;469170;93033;375821;185005;349918;391598;1626788;808151;346477;384363;87797
13;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2013;3852609;2206498;295507;491533;96860;384017;189285;352505;396791;1646111;812581;361591;382145;89794
14;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2014;3927751;2263103;306070;514131;100697;391946;193535;354926;401798;1664648;816751;376318;379806;91773
15;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2015;4001644;2319206;316519;536930;104585;399632;197743;357201;406596;1682438;820691;390653;377354;93740
16;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2016;4074116;2374702;326822;559898;108482;407049;201908;359319;411224;1699414;824369;404578;374775;95692
17;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2017;4145292;2429697;336989;583041;112413;414221;206021;361324;415688;1715595;827791;418101;372084;97619
18;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2018;4215078;2484096;346997;606340;116369;421148;210062;363176;420004;1730982;830975;431213;369247;99547
19;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2019;4283562;2537950;356846;629765;120340;427844;214054;364918;424183;1745612;833912;443961;366295;101444
20;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2020;4350752;2591201;366518;653301;124320;434317;217982;366534;428229;1759551;836632;456385;363208;103326
21;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2021;4416731;2643894;376025;676932;128321;440592;221843;368038;432143;1772837;839143;468495;359990;105209
22;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2022;4481546;2695921;385400;700529;132313;446672;225651;369414;435942;1785625;841470;480420;356674;107061
23;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2023;4545254;2747358;394652;724113;136297;452581;229394;370686;439635;1797896;843621;492163;353221;108891
24;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2024;4607884;2798187;403768;747660;140286;458335;233080;371840;443218;1809697;845618;503730;349660;110689
25;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2025;4669454;2848410;412758;771151;144261;463941;236717;372884;446698;1821044;847475;515114;345981;112474
26;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2026;4729953;2898027;421597;794572;148232;469407;240309;373818;450092;1831926;849227;526320;342159;114220
27;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2027;4789418;2947025;430302;817907;152190;474760;243843;374624;453399;1842393;850865;537345;338211;115972
28;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2028;4847859;2995413;438880;841137;156142;479984;247330;375328;456612;1852446;852460;548190;334110;117686
29;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2029;4905326;3043232;447336;864258;160078;485112;250760;375934;459754;1862094;853979;558859;329867;119389
30;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2030;4961770;3090401;455636;887261;164007;490132;254137;376421;462807;1871369;855480;569366;325467;121056
31;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2031;5017303;3136965;463807;910127;167918;495057;257454;376811;465791;1880338;856988;579707;320913;122730
32;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2032;5071861;3182933;471863;932857;171820;499903;260716;377079;468695;1888928;858499;589860;316192;124377
33;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2033;5125476;3228253;479791;955426;175690;504654;263899;377265;471528;1897223;860054;599872;311293;126004
34;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2034;5178177;3272936;487579;977837;179554;509326;267031;377323;474286;1905241;861674;609717;306230;127620
35;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2035;5229946;3316967;495251;1000081;183388;513910;270091;377276;476970;1912979;863377;619397;300991;129214
36;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2036;5280815;3360371;502797;1022152;187203;518408;273087;377140;479584;1920444;865156;628927;295565;130796
37;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2037;5330797;3403113;510213;1044046;191002;522819;276026;376892;482115;1927684;867043;638307;289971;132363
38;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2038;5379878;3445160;517508;1065737;194776;527138;278900;376547;484554;1934718;869048;647534;284213;133923
39;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2039;5428061;3486527;524687;1087247;198521;531365;281701;376092;486914;1941534;871168;656623;278269;135474
40;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2040;5475426;3527217;531714;1108572;202249;535491;284460;375554;489177;1948209;873437;665579;272200;136993
41;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2041;5521954;3567169;538642;1129682;205942;539509;287151;374906;491337;1954785;875814;674416;266030;138525
42;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2042;5567681;3606447;545448;1150600;209610;543431;289799;374176;493383;1961234;878325;683125;259756;140028
43;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2043;5612550;3644949;552114;1171310;213250;547214;292392;373345;495324;1967601;880952;691718;253404;141527
44;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2044;5656626;3682752;558670;1191826;216865;550887;294934;372428;497142;1973874;883666;700195;246995;143018
45;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2045;5699935;3719819;565097;1212128;220462;554446;297431;371429;498826;1980116;886488;708571;240559;144498
46;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2046;5742436;3756150;571412;1232225;224043;557863;299881;370360;500366;1986286;889373;716836;234120;145957
47;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2047;5784084;3791697;577616;1252117;227566;561141;302281;369212;501764;1992387;892319;724985;227673;147410
48;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2048;5824988;3826500;583690;1271794;231079;564281;304636;367994;503026;1998488;895303;733044;221287;148854
49;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2049;5865110;3860593;589674;1291267;234560;567288;306951;366720;504133;2004517;898324;740988;214936;150269
50;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Totaal mannen en vrouwen;2050;5904410;3893893;595544;1310534;238011;570137;309208;365381;505078;2010517;901352;748825;208652;151688
51;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2000;1384460;727031;85342;121067;20984;140163;53067;145354;161054;657429;357720;71076;198080;30553
52;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2001;1427583;759376;91352;129913;22544;144710;57583;147885;165389;668207;361025;77995;197290;31897
53;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2002;1470258;791060;97177;139090;24119;149382;62019;150245;169028;679198;364254;85308;196455;33181
54;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2003;1512866;822536;102942;148471;25719;154063;66244;152527;172570;690330;367524;92748;195628;34430
55;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2004;1555205;853621;108650;158014;27339;158706;70203;154708;176001;701584;370778;100355;194819;35632
56;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2005;1597325;884364;114375;167755;28977;163284;73881;156781;179311;712961;374013;108130;194009;36809
57;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2006;1638889;914684;120094;177686;30647;167815;77209;158734;182499;724205;377172;115893;193185;37955
58;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2007;1679856;944539;125780;187799;32338;172287;80206;160568;185561;735317;380254;123665;192334;39064
59;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2008;1720206;973944;131444;198085;34050;176674;82890;162296;188505;746262;383214;131424;191463;40161
60;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2009;1759961;1002956;137088;208523;35789;180982;85331;163906;191337;757005;386035;139174;190555;41241
61;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2010;1799164;1031600;142685;219126;37540;185180;87595;165421;194053;767564;388720;146923;189615;42306
62;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2011;1837962;1059961;148249;229869;39314;189265;89785;166830;196649;778001;391253;154764;188632;43352
63;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2012;1876253;1088116;153763;240745;41108;193240;91980;168141;199139;788137;393631;162519;187599;44388
64;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2013;1914011;1116043;159219;251755;42920;197089;94166;169369;201525;797968;395870;170178;186512;45408
65;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2014;1951146;1143696;164612;262889;44742;200812;96312;170506;203823;807450;397947;177708;185369;46426
66;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2015;1987740;1171158;169943;274135;46583;204420;98459;171578;206040;816582;399883;185096;184172;47431
67;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2016;2023701;1198369;175201;285483;48442;207923;100572;172565;208183;825332;401681;192333;182897;48421
68;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2017;2058986;1225297;180391;296929;50305;211284;102655;173487;210246;833689;403338;199388;181560;49403
69;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2018;2093659;1251981;185479;308477;52181;214549;104697;174340;212258;841678;404866;206295;180143;50374
70;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2019;2127723;1278439;190498;320103;54049;217700;106730;175146;214213;849284;406257;213025;178661;51341
71;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2020;2161202;1304642;195416;331812;55943;220761;108719;175880;216111;856560;407538;219609;177107;52306
72;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2021;2194064;1330572;200247;343581;57830;223720;110670;176561;217963;863492;408720;226034;175480;53258
73;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2022;2226320;1356172;205010;355337;59717;226589;112599;177176;219744;870148;409817;232359;173772;54200
74;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2023;2257978;1381463;209702;367083;61600;229360;114491;177744;221483;876515;410830;238563;172001;55121
75;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2024;2289097;1406460;214318;378811;63488;232062;116356;178253;223172;882637;411776;244668;170154;56039
76;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2025;2319607;1431134;218846;390512;65368;234696;118204;178702;224806;888473;412659;250650;168224;56940
77;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2026;2349581;1455490;223312;402167;67265;237245;120009;179096;226396;894091;413499;256536;166216;57840
78;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2027;2379032;1479560;227701;413788;69137;239751;121798;179443;227942;899472;414294;262324;164138;58716
79;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2028;2407931;1503304;232009;425347;71015;242199;123556;179733;229445;904627;415047;268010;161973;59597
80;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2029;2436342;1526743;236239;436850;72896;244588;125282;179974;230914;909599;415811;273595;159727;60466
81;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2030;2464244;1549895;240406;448293;74765;246940;126988;180160;232343;914349;416548;279084;157400;61317
82;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2031;2491655;1572709;244497;459658;76634;249236;128651;180301;233732;918946;417297;284489;154984;62176
83;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2032;2518643;1595259;248507;470954;78491;251504;130305;180393;235105;923384;418080;289796;152493;63015
84;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2033;2545136;1617492;252453;482176;80341;253734;131911;180445;236432;927644;418874;295025;149913;63832
85;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2034;2571215;1639403;256331;493298;82193;255917;133486;180448;237730;931812;419710;300176;147254;64672
86;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2035;2596823;1661002;260132;504349;84030;258066;135030;180408;238987;935821;420600;305226;144512;65483
87;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2036;2621969;1682263;263863;515299;85860;260180;136540;180318;240203;939706;421522;310206;141684;66294
88;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2037;2646701;1703202;267536;526158;87686;262242;138012;180192;241376;943499;422506;315103;138791;67099
89;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2038;2671010;1723820;271135;536919;89499;264275;139458;180017;242517;947190;423550;319928;135819;67893
90;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2039;2694914;1744077;274680;547578;91303;266257;140874;179804;243581;950837;424669;324679;132796;68693
91;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2040;2718386;1763974;278139;558138;93096;268175;142259;179559;244608;954412;425853;329372;129716;69471
92;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2041;2741450;1783532;281548;568592;94887;270054;143609;179269;245573;957918;427092;333984;126594;70248
93;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2042;2764126;1802715;284884;578942;96663;271872;144941;178941;246472;961411;428388;338543;123455;71025
94;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2043;2786387;1821551;288169;589190;98429;273628;146245;178584;247306;964836;429737;343019;120297;71783
95;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2044;2808236;1839988;291386;599326;100180;275317;147518;178192;248069;968248;431127;347449;117126;72546
96;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2045;2829670;1858042;294549;609348;101929;276927;148766;177762;248761;971628;432557;351815;113964;73292
97;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2046;2850703;1875715;297647;619271;103655;278474;149997;177301;249370;974988;434017;356116;110810;74045
98;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2047;2871358;1893037;300694;629084;105381;279951;151207;176819;249901;978321;435514;360351;107674;74782
99;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2048;2891601;1909954;303687;638792;107091;281342;152383;176309;250350;981647;437012;364542;104576;75517
100;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2049;2911424;1926505;306630;648383;108795;282662;153526;175773;250736;984919;438528;368652;101509;76230
101;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Mannen;2050;2930854;1942659;309514;657877;110475;283887;154661;175210;251035;988195;440048;372716;98484;76947
102;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Vrouwen;2000;1390842;681760;65970;105022;29584;122058;54130;157160;147836;709082;385888;85428;207075;30691
103;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Vrouwen;2001;1435794;716263;71730;113817;31304;127580;58758;160073;153001;719531;387979;93284;206421;31847
104;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Vrouwen;2002;1480034;749590;77274;123195;33059;132949;63294;162564;157255;730444;390196;101540;205709;32999
105;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Vrouwen;2003;1524275;782684;82740;132843;34838;138305;67619;164963;161376;741591;392537;109973;204965;34116
106;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Vrouwen;2004;1568084;815359;88168;142709;36630;143582;71632;167272;165366;752725;394938;118394;204174;35219
107;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Vrouwen;2005;1611559;847645;93582;152806;38460;148778;75316;169469;169234;763914;397418;126829;203385;36282
108;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Vrouwen;2006;1654507;879472;98997;163116;40315;153906;78642;171547;172949;775035;399922;135220;202551;37342
109;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Vrouwen;2007;1696932;910828;104405;173595;42204;158957;81613;173517;176537;786104;402450;143578;201696;38380
110;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Vrouwen;2008;1738724;941689;109788;184263;44099;163916;84256;175379;179988;797035;404956;151877;200794;39408
111;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Vrouwen;2009;1779919;972047;115150;195069;46018;168767;86622;177117;183304;807872;407433;160155;199856;40428
112;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Vrouwen;2010;1820578;1002052;120487;206054;47955;173494;88810;178767;186485;818526;409859;168371;198865;41431
113;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Vrouwen;2011;1860533;1031776;125794;217176;49929;178107;90917;180313;189540;828757;412222;176274;197839;42422
114;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Vrouwen;2012;1899896;1061258;131057;228430;51916;182585;93033;181764;192473;838638;414513;183962;196764;43399
115;Totaal over alle leeftijden;Totaal  1e en 2e generatie;Vrouwen;2013;1938566;1090453;136280;239791;53916;186926;95131;183139;195270;848113;416706;191406;195627;44374
