ID;Bestedingscategorieen;Marges;Perioden;GemiddeldBesteedBedrag_1;Bestedingsaandeel_2
0;000000 Alle bestedingen;Waarde;2015;33763.0;100.0
1;000000 Alle bestedingen;Waarde;2020;35211.0;100.0
2;000000 Alle bestedingen;Ondergrens 95%-interval;2015;33543.0;
3;000000 Alle bestedingen;Ondergrens 95%-interval;2020;34946.0;
4;000000 Alle bestedingen;Bovengrens 95%-interval;2015;33983.0;
5;000000 Alle bestedingen;Bovengrens 95%-interval;2020;35476.0;
6;010000 Voedingsmidd. en alc.vrije drank;Waarde;2015;3721.0;11.0
7;010000 Voedingsmidd. en alc.vrije drank;Waarde;2020;4458.0;12.7
8;010000 Voedingsmidd. en alc.vrije drank;Ondergrens 95%-interval;2015;3682.0;
9;010000 Voedingsmidd. en alc.vrije drank;Ondergrens 95%-interval;2020;4403.0;
10;010000 Voedingsmidd. en alc.vrije drank;Bovengrens 95%-interval;2015;3760.0;
11;010000 Voedingsmidd. en alc.vrije drank;Bovengrens 95%-interval;2020;4513.0;
12;011000 Voedingsmiddelen;Waarde;2015;3328.0;9.9
13;011000 Voedingsmiddelen;Waarde;2020;4038.0;11.5
14;011000 Voedingsmiddelen;Ondergrens 95%-interval;2015;3293.0;
15;011000 Voedingsmiddelen;Ondergrens 95%-interval;2020;3987.0;
16;011000 Voedingsmiddelen;Bovengrens 95%-interval;2015;3363.0;
17;011000 Voedingsmiddelen;Bovengrens 95%-interval;2020;4089.0;
18;011100 Brood en granen;Waarde;2015;616.0;1.8
19;011100 Brood en granen;Waarde;2020;684.0;1.9
20;011100 Brood en granen;Ondergrens 95%-interval;2015;606.0;
21;011100 Brood en granen;Ondergrens 95%-interval;2020;672.0;
22;011100 Brood en granen;Bovengrens 95%-interval;2015;625.0;
23;011100 Brood en granen;Bovengrens 95%-interval;2020;696.0;
24;011110 Rijst;Waarde;2015;17.0;0.0
25;011110 Rijst;Waarde;2020;15.0;0.0
26;011110 Rijst;Ondergrens 95%-interval;2015;16.0;
27;011110 Rijst;Ondergrens 95%-interval;2020;13.0;
28;011110 Rijst;Bovengrens 95%-interval;2015;18.0;
29;011110 Rijst;Bovengrens 95%-interval;2020;17.0;
30;011120 Bloem en andere granen;Waarde;2015;11.0;0.0
31;011120 Bloem en andere granen;Waarde;2020;16.0;0.0
32;011120 Bloem en andere granen;Ondergrens 95%-interval;2015;10.0;
33;011120 Bloem en andere granen;Ondergrens 95%-interval;2020;15.0;
34;011120 Bloem en andere granen;Bovengrens 95%-interval;2015;12.0;
35;011120 Bloem en andere granen;Bovengrens 95%-interval;2020;17.0;
36;011130 Brood;Waarde;2015;293.0;0.9
37;011130 Brood;Waarde;2020;311.0;0.9
38;011130 Brood;Ondergrens 95%-interval;2015;288.0;
39;011130 Brood;Ondergrens 95%-interval;2020;305.0;
40;011130 Brood;Bovengrens 95%-interval;2015;298.0;
41;011130 Brood;Bovengrens 95%-interval;2020;317.0;
42;011140 Overige bakkerijproducten;Waarde;2015;186.0;0.6
43;011140 Overige bakkerijproducten;Waarde;2020;199.0;0.6
44;011140 Overige bakkerijproducten;Ondergrens 95%-interval;2015;181.0;
45;011140 Overige bakkerijproducten;Ondergrens 95%-interval;2020;193.0;
46;011140 Overige bakkerijproducten;Bovengrens 95%-interval;2015;190.0;
47;011140 Overige bakkerijproducten;Bovengrens 95%-interval;2020;205.0;
48;011150 Pizza en quiche;Waarde;2015;19.0;0.1
49;011150 Pizza en quiche;Waarde;2020;34.0;0.1
50;011150 Pizza en quiche;Ondergrens 95%-interval;2015;18.0;
51;011150 Pizza en quiche;Ondergrens 95%-interval;2020;32.0;
52;011150 Pizza en quiche;Bovengrens 95%-interval;2015;21.0;
53;011150 Pizza en quiche;Bovengrens 95%-interval;2020;36.0;
54;011160 Pastaproducten en couscous;Waarde;2015;26.0;0.1
55;011160 Pastaproducten en couscous;Waarde;2020;32.0;0.1
56;011160 Pastaproducten en couscous;Ondergrens 95%-interval;2015;24.0;
57;011160 Pastaproducten en couscous;Ondergrens 95%-interval;2020;30.0;
58;011160 Pastaproducten en couscous;Bovengrens 95%-interval;2015;27.0;
59;011160 Pastaproducten en couscous;Bovengrens 95%-interval;2020;34.0;
60;011170 Ontbijtgranen;Waarde;2015;26.0;0.1
61;011170 Ontbijtgranen;Waarde;2020;36.0;0.1
62;011170 Ontbijtgranen;Ondergrens 95%-interval;2015;24.0;
63;011170 Ontbijtgranen;Ondergrens 95%-interval;2020;34.0;
64;011170 Ontbijtgranen;Bovengrens 95%-interval;2015;27.0;
65;011170 Ontbijtgranen;Bovengrens 95%-interval;2020;38.0;
66;011180 Overige graanproducten;Waarde;2015;38.0;0.1
67;011180 Overige graanproducten;Waarde;2020;41.0;0.1
68;011180 Overige graanproducten;Ondergrens 95%-interval;2015;36.0;
69;011180 Overige graanproducten;Ondergrens 95%-interval;2020;39.0;
70;011180 Overige graanproducten;Bovengrens 95%-interval;2015;40.0;
71;011180 Overige graanproducten;Bovengrens 95%-interval;2020;43.0;
72;011200 Vlees;Waarde;2015;634.0;1.9
73;011200 Vlees;Waarde;2020;729.0;2.1
74;011200 Vlees;Ondergrens 95%-interval;2015;623.0;
75;011200 Vlees;Ondergrens 95%-interval;2020;714.0;
76;011200 Vlees;Bovengrens 95%-interval;2015;646.0;
77;011200 Vlees;Bovengrens 95%-interval;2020;744.0;
78;011210 Rund- en kalfsvlees;Waarde;2015;128.0;0.4
79;011210 Rund- en kalfsvlees;Waarde;2020;139.0;0.4
80;011210 Rund- en kalfsvlees;Ondergrens 95%-interval;2015;123.0;
81;011210 Rund- en kalfsvlees;Ondergrens 95%-interval;2020;133.0;
82;011210 Rund- en kalfsvlees;Bovengrens 95%-interval;2015;132.0;
83;011210 Rund- en kalfsvlees;Bovengrens 95%-interval;2020;145.0;
84;011220 Varkensvlees;Waarde;2015;102.0;0.3
85;011220 Varkensvlees;Waarde;2020;106.0;0.3
86;011220 Varkensvlees;Ondergrens 95%-interval;2015;99.0;
87;011220 Varkensvlees;Ondergrens 95%-interval;2020;101.0;
88;011220 Varkensvlees;Bovengrens 95%-interval;2015;106.0;
89;011220 Varkensvlees;Bovengrens 95%-interval;2020;111.0;
90;011240 Pluimveevlees;Waarde;2015;114.0;0.3
91;011240 Pluimveevlees;Waarde;2020;154.0;0.4
92;011240 Pluimveevlees;Ondergrens 95%-interval;2015;110.0;
93;011240 Pluimveevlees;Ondergrens 95%-interval;2020;148.0;
94;011240 Pluimveevlees;Bovengrens 95%-interval;2015;118.0;
95;011240 Pluimveevlees;Bovengrens 95%-interval;2020;160.0;
96;011250 Overig vlees;Waarde;2015;20.0;0.1
97;011250 Overig vlees;Waarde;2020;21.0;0.1
98;011250 Overig vlees;Ondergrens 95%-interval;2015;18.0;
99;011250 Overig vlees;Ondergrens 95%-interval;2020;18.0;
100;011250 Overig vlees;Bovengrens 95%-interval;2015;21.0;
101;011250 Overig vlees;Bovengrens 95%-interval;2020;24.0;
102;011270 Gerookt, gedroogd of gez. vlees;Waarde;2015;169.0;0.5
103;011270 Gerookt, gedroogd of gez. vlees;Waarde;2020;149.0;0.4
104;011270 Gerookt, gedroogd of gez. vlees;Ondergrens 95%-interval;2015;166.0;
105;011270 Gerookt, gedroogd of gez. vlees;Ondergrens 95%-interval;2020;145.0;
106;011270 Gerookt, gedroogd of gez. vlees;Bovengrens 95%-interval;2015;173.0;
107;011270 Gerookt, gedroogd of gez. vlees;Bovengrens 95%-interval;2020;153.0;
108;011280 Overige vleesbereidingen;Waarde;2015;101.0;0.3
109;011280 Overige vleesbereidingen;Waarde;2020;160.0;0.5
110;011280 Overige vleesbereidingen;Ondergrens 95%-interval;2015;97.0;
111;011280 Overige vleesbereidingen;Ondergrens 95%-interval;2020;154.0;
112;011280 Overige vleesbereidingen;Bovengrens 95%-interval;2015;104.0;
113;011280 Overige vleesbereidingen;Bovengrens 95%-interval;2020;166.0;
114;011300 Vis en schaal- en schelpdieren;Waarde;2015;138.0;0.4
115;011300 Vis en schaal- en schelpdieren;Waarde;2020;181.0;0.5
116;011300 Vis en schaal- en schelpdieren;Ondergrens 95%-interval;2015;133.0;
117;011300 Vis en schaal- en schelpdieren;Ondergrens 95%-interval;2020;174.0;
118;011300 Vis en schaal- en schelpdieren;Bovengrens 95%-interval;2015;143.0;
119;011300 Vis en schaal- en schelpdieren;Bovengrens 95%-interval;2020;188.0;
120;011310 Verse of gekoelde vis;Waarde;2015;64.0;0.2
121;011310 Verse of gekoelde vis;Waarde;2020;99.0;0.3
122;011310 Verse of gekoelde vis;Ondergrens 95%-interval;2015;61.0;
123;011310 Verse of gekoelde vis;Ondergrens 95%-interval;2020;94.0;
124;011310 Verse of gekoelde vis;Bovengrens 95%-interval;2015;67.0;
125;011310 Verse of gekoelde vis;Bovengrens 95%-interval;2020;104.0;
126;011320 Diepvries vis;Waarde;2015;26.0;0.1
127;011320 Diepvries vis;Waarde;2020;1.0;0.0
128;011320 Diepvries vis;Ondergrens 95%-interval;2015;24.0;
129;011320 Diepvries vis;Ondergrens 95%-interval;2020;0.0;
130;011320 Diepvries vis;Bovengrens 95%-interval;2015;28.0;
131;011320 Diepvries vis;Bovengrens 95%-interval;2020;2.0;
132;011330 Verse schaal- en schelpdieren;Waarde;2015;15.0;0.0
133;011330 Verse schaal- en schelpdieren;Waarde;2020;19.0;0.1
134;011330 Verse schaal- en schelpdieren;Ondergrens 95%-interval;2015;14.0;
