ID;SectorBranchesSIC93;Periods;JobsPersonsEmployed_1;LabourVolumePersonsEmployed_2;EmployeesOnTheCompanyPayroll_3;LabourVolumeEmployeesOnThePayroll_4;TotalBusinessReturns_5;BusinessTurnoverNet_6;OtherBusinessReturns_7;TotalBusinessCosts_8;TotalPurchaseValueOfTurnover_9;CostsOfRawAndAuxiliaryMaterials_10;CostsOfCommodities_11;TotalOtherPurchaseValue_12;PaymentsToSubcontractors_13;PurchaseValueNotElsewhereClassified_14;TotalPersonnelCosts_15;GrossWagesAndSalaries_16;EmployerPaidSocialInsurancePremiums_17;PensionAndEarlyRetirementPremiums_18;OtherSocialInsuranceCosts_19;OtherPersonnelCosts_20;TotalOtherBusinessCosts_21;EnergyCosts_22;HousingCosts_23;EquipmentAndInventoryCosts_24;TransportCosts_25;SalesCosts_26;CommunicationCosts_27;ServicesProvidedByThirdParties_28;BusinessCostsNotElsewhereClassified_29;DepreciationFixedAssets_30;ProfitLoss_31;NetFinancialIncome_32;NetProvisions_33;NetExtraordinaryIncome_34;ProfitLossBeforeTax_35
0;45 Building and construction;2006;475.4;434.9;390.1;365.1;77631;75518;2113;72466;44290;22739;505;21046;20776;270;19560;13362;2190;1130;559;2319;7124;253;913;872;1577;464;264;670;2111;1492;5165;19;-3;107;5223
1;45 Building and construction;2007;489.8;446.2;398.1;372.6;85770;83378;2392;79236;49793;26099;449;23246;22887;359;20325;13823;2190;1198;538;2575;7688;252;960;981;1620;482;283;748;2363;1429;6534;67;-22;67;6646
2;45 Building and construction;2008;499.1;456.7;398.5;370.9;92804;91019;1784;86217;54495;28627;519;25349;25118;231;21720;14545;2296;1281;573;3025;8390;278;1051;1014;1831;508;284;799;2624;1612;6586;10;-91;240;6746
3;451 Site preparation;2006;16.7;14.6;12.1;11.1;2049;1998;50;1831;823;280;10;533;513;20;510;341;61;25;9;74;391;22;30;92;95;12;9;30;100;108;217;-14;-1;3;206
4;451 Site preparation;2007;17.7;15.7;13.0;12.1;2335;2276;59;2069;972;338;8;625;609;16;541;374;62;30;10;65;441;24;32;115;95;16;11;29;119;115;266;-14;0;6;257
5;451 Site preparation;2008;20.0;17.7;14.4;13.2;2900;2833;67;2648;1267;555;9;703;685;18;662;446;70;42;14;90;582;37;43;163;154;18;12;43;112;137;253;-24;3;12;244
6;452 Building of complete constructions;2006;245.7;226.9;205.7;193.5;50106;48724;1381;47249;31468;14401;124;16944;16757;186;11030;7546;1244;689;375;1176;3924;137;488;577;790;224;124;389;1195;827;2856;85;7;82;2967
7;452 Building of complete constructions;2007;245.8;227.1;204.9;193.7;54582;52680;1902;51089;34942;16345;138;18459;18183;276;11180;7656;1224;718;323;1259;4196;132;480;580;806;225;132;420;1422;771;3493;141;-72;90;3652
8;452 Building of complete constructions;2008;247.6;230.6;202.6;191.5;58864;57610;1255;55372;38091;17908;84;20099;19967;132;11807;7945;1265;772;337;1487;4580;142;531;599;863;228;130;448;1639;893;3493;109;-74;184;3711
9;4521 General building of complete con..;2006;150.0;139.9;130.5;123.3;35299;34742;558;33612;23715;10477;52;13186;13063;123;7163;4866;811;460;268;757;2355;54;329;282;434;151;77;256;771;380;1687;17;58;63;1762
10;4521 General building of complete con..;2007;153.5;142.4;135.1;127.3;38935;37949;986;36884;26769;11885;75;14810;14606;204;7373;5032;807;493;243;797;2404;55;327;230;446;155;81;275;835;338;2052;13;-67;76;2073
