ID;OutputAndImportPrices;ProductsAccordingToPRODCOMList;Periods;ProducerPriceIndexPPI_1;YearOnYearChangePPI_2;MonthOnMonthChangePPI_3
0;Total output prices;B Mining and quarrying;2005 January;68.1;20.9;8.5
1;Total output prices;B Mining and quarrying;2005 February;68.4;20.6;0.4
2;Total output prices;B Mining and quarrying;2005 March;68.9;22.1;0.7
3;Total output prices;B Mining and quarrying;2005 April;72.1;29.9;4.6
4;Total output prices;B Mining and quarrying;2005 May;71.8;30.6;-0.4
5;Total output prices;B Mining and quarrying;2005 June;73.5;32.6;2.4
6;Total output prices;B Mining and quarrying;2005 July;76.8;36.1;4.4
7;Total output prices;B Mining and quarrying;2005 August;79.1;40.9;3.0
8;Total output prices;B Mining and quarrying;2005 September;80.7;41.5;2.0
9;Total output prices;B Mining and quarrying;2005 October;86.8;41.3;7.6
10;Total output prices;B Mining and quarrying;2005 November;87.2;39.3;0.4
11;Total output prices;B Mining and quarrying;2005 December;92.3;47.0;5.9
12;Total output prices;B Mining and quarrying;2005;77.1;33.8;
13;Total output prices;B Mining and quarrying;2006 January;96.1;41.0;4.1
14;Total output prices;B Mining and quarrying;2006 February;96.2;40.6;0.1
15;Total output prices;B Mining and quarrying;2006 March;97.2;41.2;1.1
16;Total output prices;B Mining and quarrying;2006 April;100.3;39.2;3.2
17;Total output prices;B Mining and quarrying;2006 May;104.5;45.5;4.2
18;Total output prices;B Mining and quarrying;2006 June;104.2;41.8;-0.2
19;Total output prices;B Mining and quarrying;2006 July;103.5;34.8;-0.7
20;Total output prices;B Mining and quarrying;2006 August;103.5;30.9;0.0
21;Total output prices;B Mining and quarrying;2006 September;104.5;29.5;0.9
22;Total output prices;B Mining and quarrying;2006 October;103.9;19.7;-0.6
23;Total output prices;B Mining and quarrying;2006 November;102.9;18.0;-1.0
24;Total output prices;B Mining and quarrying;2006 December;103.2;11.8;0.3
25;Total output prices;B Mining and quarrying;2006;101.7;31.8;
26;Total output prices;B Mining and quarrying;2007 January;104.3;8.6;1.1
27;Total output prices;B Mining and quarrying;2007 February;102.5;6.6;-1.7
28;Total output prices;B Mining and quarrying;2007 March;103.0;5.9;0.5
29;Total output prices;B Mining and quarrying;2007 April;102.3;2.0;-0.7
30;Total output prices;B Mining and quarrying;2007 May;100.8;-3.5;-1.5
31;Total output prices;B Mining and quarrying;2007 June;99.0;-5.1;-1.8
32;Total output prices;B Mining and quarrying;2007 July;103.8;0.3;4.9
33;Total output prices;B Mining and quarrying;2007 August;102.9;-0.6;-0.9
34;Total output prices;B Mining and quarrying;2007 September;101.0;-3.3;-1.8
35;Total output prices;B Mining and quarrying;2007 October;102.8;-1.0;1.8
36;Total output prices;B Mining and quarrying;2007 November;103.0;0.1;0.1
37;Total output prices;B Mining and quarrying;2007 December;104.0;0.8;1.0
38;Total output prices;B Mining and quarrying;2007;102.5;0.8;
39;Total output prices;B Mining and quarrying;2008 January;108.8;4.3;4.6
40;Total output prices;B Mining and quarrying;2008 February;111.7;9.0;2.7
41;Total output prices;B Mining and quarrying;2008 March;114.4;11.1;2.4
42;Total output prices;B Mining and quarrying;2008 April;119.5;16.8;4.4
43;Total output prices;B Mining and quarrying;2008 May;127.4;26.3;6.6
44;Total output prices;B Mining and quarrying;2008 June;134.0;35.4;5.2
45;Total output prices;B Mining and quarrying;2008 July;146.2;40.8;9.0
46;Total output prices;B Mining and quarrying;2008 August;148.7;44.5;1.7
47;Total output prices;B Mining and quarrying;2008 September;144.4;42.9;-2.9
48;Total output prices;B Mining and quarrying;2008 October;147.7;43.6;2.3
49;Total output prices;B Mining and quarrying;2008 November;142.2;38.1;-3.7
50;Total output prices;B Mining and quarrying;2008 December;142.0;36.6;-0.1
51;Total output prices;B Mining and quarrying;2008;132.3;29.1;
52;Total output prices;B Mining and quarrying;2009 January;128.1;17.8;-9.8
53;Total output prices;B Mining and quarrying;2009 February;124.4;11.3;-2.9
54;Total output prices;B Mining and quarrying;2009 March;119.1;4.1;-4.2
55;Total output prices;B Mining and quarrying;2009 April;101.0;-15.5;-15.2
56;Total output prices;B Mining and quarrying;2009 May;95.8;-24.8;-5.2
57;Total output prices;B Mining and quarrying;2009 June;93.0;-30.7;-2.9
58;Total output prices;B Mining and quarrying;2009 July;86.1;-41.1;-7.4
59;Total output prices;B Mining and quarrying;2009 August;83.7;-43.7;-2.8
60;Total output prices;B Mining and quarrying;2009 September;83.9;-41.9;0.2
61;Total output prices;B Mining and quarrying;2009 October;88.0;-40.4;4.9
62;Total output prices;B Mining and quarrying;2009 November;91.0;-36.0;3.3
63;Total output prices;B Mining and quarrying;2009 December;90.5;-36.3;-0.5
64;Total output prices;B Mining and quarrying;2009;98.7;-25.4;
65;Total output prices;B Mining and quarrying;2010 January;88.4;-30.9;-2.3
66;Total output prices;B Mining and quarrying;2010 February;90.6;-27.2;2.4
67;Total output prices;B Mining and quarrying;2010 March;92.0;-22.8;1.6
68;Total output prices;B Mining and quarrying;2010 April;94.1;-6.9;2.2
69;Total output prices;B Mining and quarrying;2010 May;94.6;-1.2;0.6
70;Total output prices;B Mining and quarrying;2010 June;100.0;7.5;5.6
71;Total output prices;B Mining and quarrying;2010 July;108.2;25.7;8.3
72;Total output prices;B Mining and quarrying;2010 August;108.6;29.7;0.3
73;Total output prices;B Mining and quarrying;2010 September;106.0;26.3;-2.4
74;Total output prices;B Mining and quarrying;2010 October;105.3;19.6;-0.7
75;Total output prices;B Mining and quarrying;2010 November;107.7;18.3;2.3
76;Total output prices;B Mining and quarrying;2010 December;104.6;15.6;-2.8
77;Total output prices;B Mining and quarrying;2010;100.0;1.3;
78;Total output prices;B Mining and quarrying;2011 January;110.8;25.2;5.9
79;Total output prices;B Mining and quarrying;2011 February;111.1;22.7;0.3
80;Total output prices;B Mining and quarrying;2011 March;111.8;21.5;0.6
81;Total output prices;B Mining and quarrying;2011 April;118.8;26.3;6.3
82;Total output prices;B Mining and quarrying;2011 May;118.1;24.7;-0.6
83;Total output prices;B Mining and quarrying;2011 June;119.6;19.6;1.3
84;Total output prices;B Mining and quarrying;2011 July;120.7;11.6;1.0
85;Total output prices;B Mining and quarrying;2011 August;119.2;9.8;-1.3
86;Total output prices;B Mining and quarrying;2011 September;123.8;16.9;3.9
87;Total output prices;B Mining and quarrying;2011 October;131.9;25.3;6.5
88;Total output prices;B Mining and quarrying;2011 November;132.8;23.3;0.7
89;Total output prices;B Mining and quarrying;2011 December;132.5;26.6;-0.2
90;Total output prices;B Mining and quarrying;2011;120.9;20.9;
91;Total output prices;B Mining and quarrying;2012 January;127.8;15.3;-3.6
92;Total output prices;B Mining and quarrying;2012 February;128.1;15.3;0.3
93;Total output prices;B Mining and quarrying;2012 March;129.0;15.4;0.6
94;Total output prices;B Mining and quarrying;2012 April;133.0;11.9;3.1
95;Total output prices;B Mining and quarrying;2012 May;135.1;14.4;1.6
96;Total output prices;B Mining and quarrying;2012 June;131.4;9.9;-2.7
97;Total output prices;B Mining and quarrying;2012 July;130.5;8.1;-0.7
98;Total output prices;B Mining and quarrying;2012 August;132.8;11.5;1.8
99;Total output prices;B Mining and quarrying;2012 September;132.5;7.0;-0.2
100;Total output prices;B Mining and quarrying;2012 October;135.8;2.9;2.4
101;Total output prices;B Mining and quarrying;2012 November;141.2;6.3;4.0
102;Total output prices;B Mining and quarrying;2012 December;135.8;2.5;-3.8
103;Total output prices;B Mining and quarrying;2012;132.7;9.8;
104;Total output prices;B Mining and quarrying;2013 January;132.9;4.0;-2.1
105;Total output prices;B Mining and quarrying;2013 February;130.4;1.7;-1.9
106;Total output prices;B Mining and quarrying;2013 March;130.6;1.3;0.2
107;Total output prices;B Mining and quarrying;2013 April;129.8;-2.4;-0.6
108;Total output prices;B Mining and quarrying;2013 May;128.5;-4.9;-1.0
109;Total output prices;B Mining and quarrying;2013 June;128.0;-2.6;-0.4
110;Total output prices;B Mining and quarrying;2013 July;128.0;-1.9;0.0
111;Total output prices;B Mining and quarrying;2013 August;127.4;-4.1;-0.5
112;Total output prices;B Mining and quarrying;2013 September;126.2;-4.8;-1.0
113;Total output prices;B Mining and quarrying;2013 October;127.9;-5.8;1.3
114;Total output prices;B Mining and quarrying;2013 November;129.5;-8.3;1.3
115;Total output prices;B Mining and quarrying;2013 December;130.3;-4.1;0.6
116;Total output prices;B Mining and quarrying;2013;129.1;-2.7;
117;Total output prices;B Mining and quarrying;2014 January;130.2;-2.1;-0.1
118;Total output prices;B Mining and quarrying;2014 February;125.8;-3.5;-3.4
119;Total output prices;B Mining and quarrying;2014 March;120.5;-7.7;-4.2
120;Total output prices;B Mining and quarrying;2014 April;113.3;-12.8;-6.0
121;Total output prices;B Mining and quarrying;2014 May;107.7;-16.2;-4.9
122;Total output prices;B Mining and quarrying;2014 June;105.9;-17.3;-1.7
123;Total output prices;B Mining and quarrying;2014 July;101.1;-21.0;-4.5
124;Total output prices;B Mining and quarrying;2014 August;101.3;-20.5;0.2
125;Total output prices;B Mining and quarrying;2014 September;105.6;-16.3;4.3
126;Total output prices;B Mining and quarrying;2014 October;112.7;-11.9;6.7
