ID;Perioden;ArbeidsongeschiktheidTotaalUitgekeerd_1;WAOUitgekeerdeBedragen_2;WAZUitgekeerdeBedragen_3;WajongUitgekeerdeBedragen_4;IVAUitgekeerdeBedragen_5;WGAUitgekeerdeBedragen_6
0;1998 januari;706.7;606.3;19.8;80.7;;
1;1998 februari;703.3;602.2;19.6;81.5;;
2;1998 maart;716.9;615.5;20.6;80.9;;
3;1998 april;723.0;619.2;21.2;82.6;;
4;1998 mei;1278.6;1097.1;27.3;154.2;;
5;1998 juni;716.4;612.6;21.2;82.5;;
6;1998 juli;730.3;625.4;22.0;82.9;;
7;1998 augustus;720.9;616.3;21.5;83.1;;
8;1998 september;728.4;623.7;21.8;83.0;;
9;1998 oktober;729.4;624.6;21.9;82.9;;
10;1998 november;726.6;621.8;21.6;83.2;;
11;1998 december;746.9;640.0;22.2;84.6;;
12;1998;9227.4;7904.7;260.7;1062.0;;
13;1999 januari;751.7;633.4;34.2;84.1;;
14;1999 februari;753.4;633.4;34.2;85.8;;
15;1999 maart;769.3;648.9;35.6;84.7;;
16;1999 april;763.4;643.2;35.0;85.2;;
17;1999 mei;1425.9;1201.2;63.3;161.4;;
18;1999 juni;759.1;639.4;34.3;85.4;;
19;1999 juli;761.0;639.9;34.6;86.5;;
20;1999 augustus;767.7;646.4;34.7;86.5;;
21;1999 september;768.4;647.1;35.1;86.2;;
22;1999 oktober;765.3;644.9;34.7;85.7;;
23;1999 november;775.9;653.5;36.2;86.2;;
24;1999 december;757.6;639.9;36.6;81.1;;
25;1999;9818.7;8271.2;448.5;1098.8;;
26;2000 januari;769.7;648.1;35.3;86.2;;
27;2000 februari;790.4;664.8;35.8;89.9;;
28;2000 maart;794.0;671.8;36.0;86.2;;
29;2000 april;785.3;660.9;34.9;89.6;;
30;2000 mei;1488.9;1251.4;65.8;171.7;;
31;2000 juni;788.6;662.8;35.7;90.0;;
32;2000 juli;795.4;667.6;35.2;92.5;;
33;2000 augustus;805.1;676.9;36.4;91.8;;
34;2000 september;793.3;667.0;36.0;90.3;;
35;2000 oktober;799.7;673.3;35.8;90.6;;
36;2000 november;809.9;682.6;35.9;91.5;;
37;2000 december;811.8;683.0;36.3;92.5;;
38;2000;10232.1;8610.2;459.1;1162.8;;
39;2001 januari;823.3;694.5;35.8;93.0;;
40;2001 februari;831.1;698.0;37.3;95.8;;
41;2001 maart;839.3;706.5;36.9;96.0;;
42;2001 april;835.4;701.4;36.5;97.6;;
