ID;Pensioenfondsen;BronOpbrengsten;Perioden;GemiddeldBelegdBedrag_1;TotaleNettoOpbrengsten_2;DirecteNettoOpbrengsten_3;TotaalRendement_4;DirectRendement_5
144;Ondernemingspensioenfondsen;Alle beleggingen;2001;147015;-4558;4170;-3.1;2.8
145;Ondernemingspensioenfondsen;Alle beleggingen;2002;123674;-11391;3729;-9.2;3.0
146;Ondernemingspensioenfondsen;Alle beleggingen;2003;127179;12298;3671;9.7;2.9
147;Ondernemingspensioenfondsen;Alle beleggingen;2004;161202;13447;2629;8.3;1.6
148;Ondernemingspensioenfondsen;Alle beleggingen;2005;160317;23259;5029;14.5;3.1
149;Ondernemingspensioenfondsen;Alle beleggingen;2006*;98207;10811;3761;11.0;3.8
150;Ondernemingspensioenfondsen;Onroerende zaken;1997;5752;750;443;13.0;7.7
151;Ondernemingspensioenfondsen;Onroerende zaken;1998;5683;489;480;8.6;8.5
152;Ondernemingspensioenfondsen;Onroerende zaken;1999;5612;953;393;17.0;7.0
153;Ondernemingspensioenfondsen;Onroerende zaken;2000;6191;1356;581;21.9;9.4
154;Ondernemingspensioenfondsen;Onroerende zaken;2001;6945;1528;752;22.0;10.8
155;Ondernemingspensioenfondsen;Onroerende zaken;2002;4211;458;183;10.9;4.3
156;Ondernemingspensioenfondsen;Onroerende zaken;2003;3349;562;185;16.8;5.5
157;Ondernemingspensioenfondsen;Onroerende zaken;2004;3871;463;186;12.0;4.8
158;Ondernemingspensioenfondsen;Onroerende zaken;2005;2492;67;178;2.7;7.1
159;Ondernemingspensioenfondsen;Onroerende zaken;2006*;1906;416;130;21.8;6.8
160;Ondernemingspensioenfondsen;Hypothecaire leningen;1997;772;78;55;10.0;7.1
161;Ondernemingspensioenfondsen;Hypothecaire leningen;1998;867;32;63;3.6;7.3
162;Ondernemingspensioenfondsen;Hypothecaire leningen;1999;1002;70;71;7.0;7.1
163;Ondernemingspensioenfondsen;Hypothecaire leningen;2000;1358;85;97;6.3;7.1
164;Ondernemingspensioenfondsen;Hypothecaire leningen;2001;692;52;37;7.6;5.4
165;Ondernemingspensioenfondsen;Hypothecaire leningen;2002;1074;110;43;10.2;4.0
166;Ondernemingspensioenfondsen;Hypothecaire leningen;2003;1161;60;60;5.1;5.2
167;Ondernemingspensioenfondsen;Hypothecaire leningen;2004;1012;68;160;6.7;15.8
168;Ondernemingspensioenfondsen;Hypothecaire leningen;2005;972;76;56;7.8;5.8
169;Ondernemingspensioenfondsen;Hypothecaire leningen;2006*;835;13;70;1.6;8.3
170;Ondernemingspensioenfondsen;Aandelen;1997;36718;10186;719;27.7;2.0
171;Ondernemingspensioenfondsen;Aandelen;1998;43903;5772;923;13.1;2.1
172;Ondernemingspensioenfondsen;Aandelen;1999;52668;18105;1368;34.4;2.6
173;Ondernemingspensioenfondsen;Aandelen;2000;60091;-2765;1329;-4.6;2.2
174;Ondernemingspensioenfondsen;Aandelen;2001;75639;-10351;-222;-13.7;-0.3
175;Ondernemingspensioenfondsen;Aandelen;2002;57022;-17826;950;-31.3;1.7
176;Ondernemingspensioenfondsen;Aandelen;2003;48602;7496;636;15.4;1.3
177;Ondernemingspensioenfondsen;Aandelen;2004;64149;6298;-1654;9.8;-2.6
178;Ondernemingspensioenfondsen;Aandelen;2005;67100;16212;1666;24.2;2.5
179;Ondernemingspensioenfondsen;Aandelen;2006*;39014;8205;-502;21.0;-1.3
180;Ondernemingspensioenfondsen;Obligaties;1997;38638;2821;2311;7.3;6.0
181;Ondernemingspensioenfondsen;Obligaties;1998;48875;4025;2380;8.2;4.9
182;Ondernemingspensioenfondsen;Obligaties;1999;50229;-556;2312;-1.1;4.6
183;Ondernemingspensioenfondsen;Obligaties;2000;48970;3467;2711;7.1;5.5
184;Ondernemingspensioenfondsen;Obligaties;2001;56655;3572;3014;6.3;5.3
185;Ondernemingspensioenfondsen;Obligaties;2002;55177;4292;2313;7.8;4.2
186;Ondernemingspensioenfondsen;Obligaties;2003;59180;2782;1744;4.7;2.9
187;Ondernemingspensioenfondsen;Obligaties;2004;81841;5789;2461;7.1;3.0
188;Ondernemingspensioenfondsen;Obligaties;2005;77703;5827;2549;7.5;3.3
189;Ondernemingspensioenfondsen;Obligaties;2006*;48986;27;3018;0.1;6.2
190;Ondernemingspensioenfondsen;Leningen op schuldbekentenis;1997;10640;660;627;6.2;5.9
191;Ondernemingspensioenfondsen;Leningen op schuldbekentenis;1998;10097;908;672;9.0;6.7
192;Ondernemingspensioenfondsen;Leningen op schuldbekentenis;1999;8477;146;473;1.7;5.6
193;Ondernemingspensioenfondsen;Leningen op schuldbekentenis;2000;6172;378;418;6.1;6.8
194;Ondernemingspensioenfondsen;Leningen op schuldbekentenis;2001;6246;445;432;7.1;6.9
195;Ondernemingspensioenfondsen;Leningen op schuldbekentenis;2002;3756;235;125;6.3;3.3
196;Ondernemingspensioenfondsen;Leningen op schuldbekentenis;2003;2890;144;139;5.0;4.8
197;Ondernemingspensioenfondsen;Leningen op schuldbekentenis;2004;1993;124;-313;6.2;-15.7
198;Ondernemingspensioenfondsen;Leningen op schuldbekentenis;2005;1240;51;64;4.1;5.2
199;Ondernemingspensioenfondsen;Leningen op schuldbekentenis;2006*;651;18;63;2.8;9.7
200;Ondernemingspensioenfondsen;Niet-geconsolideerde deelnemingen;1997;1716;383;185;22.3;10.8
201;Ondernemingspensioenfondsen;Niet-geconsolideerde deelnemingen;1998;3369;247;136;7.3;4.0
202;Ondernemingspensioenfondsen;Niet-geconsolideerde deelnemingen;1999;3990;259;242;6.5;6.1
203;Ondernemingspensioenfondsen;Niet-geconsolideerde deelnemingen;2000;3700;272;197;7.4;5.3
204;Ondernemingspensioenfondsen;Niet-geconsolideerde deelnemingen;2001;838;196;158;23.4;18.8
205;Ondernemingspensioenfondsen;Niet-geconsolideerde deelnemingen;2002;10522;549;423;5.2;4.0
206;Ondernemingspensioenfondsen;Niet-geconsolideerde deelnemingen;2003;11997;1254;907;10.5;7.6
207;Ondernemingspensioenfondsen;Niet-geconsolideerde deelnemingen;2004;8335;705;1789;8.5;21.5
208;Ondernemingspensioenfondsen;Niet-geconsolideerde deelnemingen;2005;10810;1046;508;9.7;4.7
209;Ondernemingspensioenfondsen;Niet-geconsolideerde deelnemingen;2006*;6815;2132;982;31.3;14.4
210;Beroeps- en overige pensioenfondsen;Alle beleggingen;1997;10518;1762;505;16.8;4.8
211;Beroeps- en overige pensioenfondsen;Alle beleggingen;1998;12141;1751;543;14.4;4.5
212;Beroeps- en overige pensioenfondsen;Alle beleggingen;1999;16782;2340;754;13.9;4.5
213;Beroeps- en overige pensioenfondsen;Alle beleggingen;2000;14834;626;736;4.2;5.0
214;Beroeps- en overige pensioenfondsen;Alle beleggingen;2001;14808;-692;678;-4.7;4.6
215;Beroeps- en overige pensioenfondsen;Alle beleggingen;2002;17371;-1426;457;-8.2;2.6
216;Beroeps- en overige pensioenfondsen;Alle beleggingen;2003;15666;1427;712;9.1;4.5
217;Beroeps- en overige pensioenfondsen;Alle beleggingen;2004;17615;1414;218;8.0;1.2
218;Beroeps- en overige pensioenfondsen;Alle beleggingen;2005;18938;2231;794;11.8;4.2
219;Beroeps- en overige pensioenfondsen;Alle beleggingen;2006*;17768;1297;645;7.3;3.6
220;Beroeps- en overige pensioenfondsen;Onroerende zaken;1997;124;10;8;7.8;6.8
221;Beroeps- en overige pensioenfondsen;Onroerende zaken;1998;94;13;8;13.9;8.2
222;Beroeps- en overige pensioenfondsen;Onroerende zaken;1999;94;15;7;15.8;7.4
223;Beroeps- en overige pensioenfondsen;Onroerende zaken;2000;90;10;6;11.3;6.6
224;Beroeps- en overige pensioenfondsen;Onroerende zaken;2001;89;9;6;9.8;6.2
225;Beroeps- en overige pensioenfondsen;Onroerende zaken;2002;92;7;7;7.3;7.2
226;Beroeps- en overige pensioenfondsen;Onroerende zaken;2003;82;14;5;17.4;6.6
227;Beroeps- en overige pensioenfondsen;Onroerende zaken;2004;95;20;6;21.1;6.3
228;Beroeps- en overige pensioenfondsen;Onroerende zaken;2005;150;23;13;15.5;8.7
229;Beroeps- en overige pensioenfondsen;Onroerende zaken;2006*;596;145;97;24.3;16.2
230;Beroeps- en overige pensioenfondsen;Hypothecaire leningen;1997;4;0;0;6.7;6.7
231;Beroeps- en overige pensioenfondsen;Hypothecaire leningen;1998;4;0;0;6.5;6.5
232;Beroeps- en overige pensioenfondsen;Hypothecaire leningen;1999;4;0;0;6.5;6.5
233;Beroeps- en overige pensioenfondsen;Hypothecaire leningen;2000;4;0;0;0.0;0.0
234;Beroeps- en overige pensioenfondsen;Hypothecaire leningen;2001;4;0;0;8.3;0.0
235;Beroeps- en overige pensioenfondsen;Hypothecaire leningen;2002;5;0;0;5.7;3.4
236;Beroeps- en overige pensioenfondsen;Hypothecaire leningen;2003;5;0;0;6.1;0.7
237;Beroeps- en overige pensioenfondsen;Hypothecaire leningen;2004;0;0;0;0.0;0.0
238;Beroeps- en overige pensioenfondsen;Hypothecaire leningen;2005;5;0;0;5.2;5.1
239;Beroeps- en overige pensioenfondsen;Hypothecaire leningen;2006*;0;0;0;0.0;0.0
240;Beroeps- en overige pensioenfondsen;Aandelen;1997;3968;1218;73;30.7;1.8
241;Beroeps- en overige pensioenfondsen;Aandelen;1998;4901;973;88;19.8;1.8
242;Beroeps- en overige pensioenfondsen;Aandelen;1999;6459;2091;119;32.4;1.8
243;Beroeps- en overige pensioenfondsen;Aandelen;2000;6148;-177;105;-2.9;1.7
244;Beroeps- en overige pensioenfondsen;Aandelen;2001;6162;-1502;90;-24.4;1.5
245;Beroeps- en overige pensioenfondsen;Aandelen;2002;7204;-2384;111;-33.1;1.5
246;Beroeps- en overige pensioenfondsen;Aandelen;2003;5856;390;212;6.7;3.6
247;Beroeps- en overige pensioenfondsen;Aandelen;2004;7160;657;-150;9.2;-2.1
248;Beroeps- en overige pensioenfondsen;Aandelen;2005;8058;1639;305;20.3;3.8
249;Beroeps- en overige pensioenfondsen;Aandelen;2006*;6764;1086;181;16.0;2.7
250;Beroeps- en overige pensioenfondsen;Obligaties;1997;4549;345;283;7.6;6.2
251;Beroeps- en overige pensioenfondsen;Obligaties;1998;5430;596;325;11.0;6.0
252;Beroeps- en overige pensioenfondsen;Obligaties;1999;7756;158;466;2.0;6.0
253;Beroeps- en overige pensioenfondsen;Obligaties;2000;6978;672;512;9.6;7.3
254;Beroeps- en overige pensioenfondsen;Obligaties;2001;7362;618;484;8.4;6.6
255;Beroeps- en overige pensioenfondsen;Obligaties;2002;8702;843;293;9.7;3.4
256;Beroeps- en overige pensioenfondsen;Obligaties;2003;8832;966;428;10.9;4.9
257;Beroeps- en overige pensioenfondsen;Obligaties;2004;9444;650;335;6.9;3.5
258;Beroeps- en overige pensioenfondsen;Obligaties;2005;9552;525;426;5.5;4.5
259;Beroeps- en overige pensioenfondsen;Obligaties;2006*;9138;-89;296;-1.0;3.2
260;Beroeps- en overige pensioenfondsen;Leningen op schuldbekentenis;1997;1852;187;139;10.1;7.5
261;Beroeps- en overige pensioenfondsen;Leningen op schuldbekentenis;1998;1687;170;121;10.1;7.2
262;Beroeps- en overige pensioenfondsen;Leningen op schuldbekentenis;1999;2380;58;152;2.4;6.4
263;Beroeps- en overige pensioenfondsen;Leningen op schuldbekentenis;2000;1460;104;100;7.1;6.9
264;Beroeps- en overige pensioenfondsen;Leningen op schuldbekentenis;2001;953;83;70;8.7;7.4
265;Beroeps- en overige pensioenfondsen;Leningen op schuldbekentenis;2002;840;70;28;8.3;3.4
266;Beroeps- en overige pensioenfondsen;Leningen op schuldbekentenis;2003;640;33;40;5.1;6.3
267;Beroeps- en overige pensioenfondsen;Leningen op schuldbekentenis;2004;619;44;49;7.1;7.9
268;Beroeps- en overige pensioenfondsen;Leningen op schuldbekentenis;2005;492;13;27;2.6;5.6
269;Beroeps- en overige pensioenfondsen;Leningen op schuldbekentenis;2006*;371;5;19;1.2;5.1
270;Beroeps- en overige pensioenfondsen;Niet-geconsolideerde deelnemingen;1997;20;1;1;6.7;5.2
271;Beroeps- en overige pensioenfondsen;Niet-geconsolideerde deelnemingen;1998;24;0;1;-0.3;5.0
272;Beroeps- en overige pensioenfondsen;Niet-geconsolideerde deelnemingen;1999;89;18;9;20.5;10.6
273;Beroeps- en overige pensioenfondsen;Niet-geconsolideerde deelnemingen;2000;153;17;12;11.0;8.0
274;Beroeps- en overige pensioenfondsen;Niet-geconsolideerde deelnemingen;2001;237;100;29;42.4;12.1
275;Beroeps- en overige pensioenfondsen;Niet-geconsolideerde deelnemingen;2002;528;38;18;7.2;3.4
276;Beroeps- en overige pensioenfondsen;Niet-geconsolideerde deelnemingen;2003;251;24;26;9.6;10.3
277;Beroeps- en overige pensioenfondsen;Niet-geconsolideerde deelnemingen;2004;297;43;-22;14.5;-7.4
278;Beroeps- en overige pensioenfondsen;Niet-geconsolideerde deelnemingen;2005;681;31;23;4.6;3.4
279;Beroeps- en overige pensioenfondsen;Niet-geconsolideerde deelnemingen;2006*;899;150;52;16.7;5.8
