ID;BedrijfstakkenBranches;Perioden;Waarde_1;Prijs_2;Volume_3;Waarde_4;Prijs_5;Volume_6;Waarde_7;Volume_8;Waarde_9;Volume_10
0;9602 Kappers en schoonheidsverzorging;2005 1e kwartaal;86.1;86.2;99.8;;;;91.2;106.7;;
1;9602 Kappers en schoonheidsverzorging;2005 2e kwartaal;94.5;86.3;109.5;;;;91.6;106.3;0.5;-0.4
2;9602 Kappers en schoonheidsverzorging;2005 3e kwartaal;90.6;86.5;104.7;;;;91.5;105.3;-0.1;-0.9
3;9602 Kappers en schoonheidsverzorging;2005 4e kwartaal;95.3;86.8;109.7;;;;92.2;105.5;0.8;0.2
4;9602 Kappers en schoonheidsverzorging;2005;91.6;86.5;105.9;;;;91.6;106.0;;
5;9602 Kappers en schoonheidsverzorging;2006 1e kwartaal;86.8;88.8;97.7;0.8;3.0;-2.1;92.1;104.4;-0.1;-1.0
6;9602 Kappers en schoonheidsverzorging;2006 2e kwartaal;96.6;89.2;108.3;2.2;3.4;-1.1;93.8;105.2;1.8;0.8
7;9602 Kappers en schoonheidsverzorging;2006 3e kwartaal;94.2;89.3;105.5;4.0;3.2;0.8;94.9;106.1;1.2;0.9
8;9602 Kappers en schoonheidsverzorging;2006 4e kwartaal;99.4;89.7;110.8;4.3;3.3;1.0;96.2;106.7;1.4;0.6
9;9602 Kappers en schoonheidsverzorging;2006;94.3;89.3;105.6;2.9;3.2;-0.3;94.3;105.6;2.9;-0.3
10;9602 Kappers en schoonheidsverzorging;2007 1e kwartaal;92.5;91.7;100.8;6.6;3.3;3.2;97.7;107.5;1.5;0.7
11;9602 Kappers en schoonheidsverzorging;2007 2e kwartaal;101.6;92.3;110.0;5.1;3.5;1.6;98.6;107.0;0.9;-0.5
12;9602 Kappers en schoonheidsverzorging;2007 3e kwartaal;98.7;92.8;106.3;4.7;4.0;0.7;99.5;106.7;0.9;-0.3
13;9602 Kappers en schoonheidsverzorging;2007 4e kwartaal;103.4;93.3;110.7;4.0;4.0;-0.1;100.2;106.7;0.7;0.0
14;9602 Kappers en schoonheidsverzorging;2007;99.0;92.6;107.0;5.1;3.7;1.3;99.0;107.0;5.0;1.3
15;9602 Kappers en schoonheidsverzorging;2008 1e kwartaal;95.2;95.3;99.9;2.9;3.9;-0.9;100.4;106.2;0.2;-0.5
16;9602 Kappers en schoonheidsverzorging;2008 2e kwartaal;104.1;95.2;109.3;2.5;3.2;-0.6;101.2;106.4;0.8;0.2
17;9602 Kappers en schoonheidsverzorging;2008 3e kwartaal;101.3;95.4;106.2;2.7;2.7;0.0;102.0;106.5;0.8;0.1
18;9602 Kappers en schoonheidsverzorging;2008 4e kwartaal;104.4;95.8;109.0;1.0;2.6;-1.6;101.3;105.2;-0.7;-1.2
19;9602 Kappers en schoonheidsverzorging;2008;101.2;95.4;106.1;2.3;3.1;-0.8;101.3;106.1;2.3;-0.8
20;9602 Kappers en schoonheidsverzorging;2009 1e kwartaal;95.0;97.4;97.5;-0.2;2.2;-2.4;100.3;103.3;-1.0;-1.8
21;9602 Kappers en schoonheidsverzorging;2009 2e kwartaal;102.2;98.0;104.3;-1.8;2.9;-4.6;99.5;101.6;-0.7;-1.6
22;9602 Kappers en schoonheidsverzorging;2009 3e kwartaal;98.4;98.5;99.8;-2.9;3.3;-6.0;99.0;100.2;-0.5;-1.4
23;9602 Kappers en schoonheidsverzorging;2009 4e kwartaal;101.6;99.0;102.6;-2.7;3.4;-5.9;98.4;99.1;-0.7;-1.1
24;9602 Kappers en schoonheidsverzorging;2009;99.3;98.2;101.0;-1.9;3.0;-4.8;99.3;101.0;-1.9;-4.7
25;9602 Kappers en schoonheidsverzorging;2010 1e kwartaal;94.3;100.1;94.2;-0.7;2.8;-3.4;99.3;99.7;1.0;0.6
26;9602 Kappers en schoonheidsverzorging;2010 2e kwartaal;102.4;99.8;102.6;0.2;1.8;-1.6;99.9;100.3;0.5;0.6
27;9602 Kappers en schoonheidsverzorging;2010 3e kwartaal;100.1;99.9;100.2;1.7;1.4;0.3;100.9;100.8;1.0;0.5
28;9602 Kappers en schoonheidsverzorging;2010 4e kwartaal;103.2;100.2;103.0;1.6;1.2;0.4;99.9;99.3;-1.0;-1.5
29;9602 Kappers en schoonheidsverzorging;2010;100.0;100.0;100.0;0.7;1.8;-1.0;100.0;100.0;0.7;-1.0
30;9602 Kappers en schoonheidsverzorging;2011 1e kwartaal;95.1;101.7;93.6;0.8;1.5;-0.7;100.0;98.8;0.2;-0.5
31;9602 Kappers en schoonheidsverzorging;2011 2e kwartaal;102.1;102.3;99.8;-0.3;2.5;-2.7;99.6;97.7;-0.5;-1.1
32;9602 Kappers en schoonheidsverzorging;2011 3e kwartaal;98.1;102.5;95.7;-1.9;2.6;-4.4;99.4;96.7;-0.1;-1.0
33;9602 Kappers en schoonheidsverzorging;2011 4e kwartaal;102.1;103.0;99.1;-1.1;2.8;-3.8;98.3;95.0;-1.2;-1.8
34;9602 Kappers en schoonheidsverzorging;2011;99.4;102.4;97.1;-0.6;2.4;-2.9;99.3;97.1;-0.7;-3.0
35;9602 Kappers en schoonheidsverzorging;2012 1e kwartaal;93.4;104.4;89.4;-1.9;2.7;-4.4;98.1;94.4;-0.2;-0.6
36;9602 Kappers en schoonheidsverzorging;2012 2e kwartaal;99.7;104.6;95.4;-2.3;2.2;-4.4;97.5;93.6;-0.6;-0.8
37;9602 Kappers en schoonheidsverzorging;2012 3e kwartaal;95.7;104.9;91.2;-2.5;2.3;-4.7;97.2;92.7;-0.3;-1.0
38;9602 Kappers en schoonheidsverzorging;2012 4e kwartaal;102.4;104.4;98.0;0.2;1.4;-1.2;98.2;93.3;0.9;0.6
39;9602 Kappers en schoonheidsverzorging;2012;97.8;104.6;93.5;-1.6;2.1;-3.7;97.8;93.5;-1.6;-3.7
40;9602 Kappers en schoonheidsverzorging;2013 1e kwartaal;91.8;105.5;87.0;-1.6;1.1;-2.7;96.7;91.8;-1.5;-1.6
41;9602 Kappers en schoonheidsverzorging;2013 2e kwartaal;98.5;106.0;92.9;-1.3;1.4;-2.6;96.5;91.3;-0.2;-0.5
42;9602 Kappers en schoonheidsverzorging;2013 3e kwartaal;94.8;106.1;89.3;-1.0;1.2;-2.2;96.4;91.0;-0.1;-0.3
43;9602 Kappers en schoonheidsverzorging;2013 4e kwartaal;102.3;106.1;96.5;0.0;1.5;-1.5;97.9;91.5;1.5;0.5
44;9602 Kappers en schoonheidsverzorging;2013;96.9;105.9;91.4;-0.9;1.3;-2.2;96.9;91.4;-0.9;-2.2
45;9602 Kappers en schoonheidsverzorging;2014 1e kwartaal;93.2;107.4;86.7;1.5;1.8;-0.3;97.7;91.2;-0.2;-0.3
46;9602 Kappers en schoonheidsverzorging;2014 2e kwartaal;99.4;107.9;92.1;1.0;1.8;-0.8;97.6;90.7;0.0;-0.5
47;9602 Kappers en schoonheidsverzorging;2014 3e kwartaal;97.2;108.7;89.4;2.5;2.4;0.1;99.0;91.1;1.4;0.4
48;9602 Kappers en schoonheidsverzorging;2014 4e kwartaal;104.1;109.0;95.5;1.8;2.8;-1.0;99.5;90.8;0.5;-0.3
49;9602 Kappers en schoonheidsverzorging;2014;98.5;108.3;90.9;1.7;2.2;-0.5;98.5;91.0;1.6;-0.5
50;9602 Kappers en schoonheidsverzorging;2015 1e kwartaal;95.3;110.1;86.6;2.3;2.5;-0.2;100.3;91.4;0.7;0.6
51;9602 Kappers en schoonheidsverzorging;2015 2e kwartaal;103.7;110.0;94.2;4.3;1.9;2.3;101.8;92.6;1.6;1.3
52;9602 Kappers en schoonheidsverzorging;2015 3e kwartaal;100.9;110.8;91.1;3.9;1.9;2.0;103.0;93.0;1.2;0.5
53;9602 Kappers en schoonheidsverzorging;2015 4e kwartaal;110.2;110.9;99.4;5.8;1.7;4.1;105.0;94.3;1.9;1.3
54;9602 Kappers en schoonheidsverzorging;2015;102.5;110.4;92.9;4.1;2.0;2.1;102.5;92.8;4.1;2.1
55;9602 Kappers en schoonheidsverzorging;2016 1e kwartaal;100.4;112.3;89.4;5.3;2.0;3.2;105.6;94.3;0.6;0.0
56;9602 Kappers en schoonheidsverzorging;2016 2e kwartaal;109.6;112.7;97.2;5.7;2.5;3.2;107.4;95.3;1.6;1.1
57;9602 Kappers en schoonheidsverzorging;2016 3e kwartaal;106.9;113.2;94.4;5.9;2.2;3.6;108.9;96.4;1.4;1.1
58;9602 Kappers en schoonheidsverzorging;2016 4e kwartaal;115.7;112.7;102.7;5.0;1.6;3.3;110.4;97.6;1.4;1.2
59;9602 Kappers en schoonheidsverzorging;2016;108.2;112.7;95.9;5.5;2.1;3.3;108.1;95.9;5.4;3.3
60;9602 Kappers en schoonheidsverzorging;2017 1e kwartaal;106.3;113.6;93.6;5.9;1.1;4.8;111.8;98.7;1.2;1.2
61;9602 Kappers en schoonheidsverzorging;2017 2e kwartaal;115.1;113.6;101.4;5.0;0.7;4.2;113.2;99.5;1.3;0.8
62;9602 Kappers en schoonheidsverzorging;2017 3e kwartaal;113.8;115.3;98.7;6.5;1.8;4.6;115.1;100.4;1.7;0.9
63;9602 Kappers en schoonheidsverzorging;2017 4e kwartaal;120.9;114.9;105.2;4.5;2.0;2.4;115.5;100.2;0.3;-0.2
64;9602 Kappers en schoonheidsverzorging;2017;114.0;114.4;99.7;5.4;1.4;3.9;113.9;99.7;5.4;4.0
65;96021 Kappers;2005 1e kwartaal;84.6;88.3;95.9;;;;90.0;102.8;;
66;96021 Kappers;2005 2e kwartaal;92.7;88.3;105.0;;;;90.4;102.7;0.4;-0.1
67;96021 Kappers;2005 3e kwartaal;90.1;88.5;101.9;;;;90.3;101.7;-0.1;-1.0
68;96021 Kappers;2005 4e kwartaal;94.4;88.7;106.4;;;;91.1;102.0;0.9;0.3
69;96021 Kappers;2005;90.4;88.4;102.3;;;;90.4;102.3;;
70;96021 Kappers;2006 1e kwartaal;85.6;90.9;94.1;1.1;3.0;-1.8;90.9;100.8;-0.2;-1.2
71;96021 Kappers;2006 2e kwartaal;95.2;91.4;104.2;2.8;3.5;-0.7;93.0;102.0;2.3;1.2
72;96021 Kappers;2006 3e kwartaal;94.2;91.4;103.1;4.6;3.3;1.2;94.4;102.9;1.5;0.9
73;96021 Kappers;2006 4e kwartaal;98.8;91.8;107.6;4.7;3.5;1.1;95.5;103.2;1.2;0.3
74;96021 Kappers;2006;93.5;91.4;102.2;3.3;3.3;0.0;93.5;102.2;3.3;-0.1
