ID;SBI;Grootteklasse;TotalePersoneelskosten_1;LonenEnSalarissen_2;SocialeLasten_3;Pensioenlasten_4;KostenUitzendkrachten_5;OverigePersoneelskosten_6;OntvangenLoonsubsidiesED_7
0;521 t/m 525 Detailhandel in winkel;Alle bedrijven;7835;78.0;11.6;3.3;3.3;5.1;-1.3
1;521 t/m 525 Detailhandel in winkel;0 tot 10 werknemers;2023;80.5;10.7;3.3;2.0;5.0;-1.5
2;521 t/m 525 Detailhandel in winkel;10 en meer werknemers;5812;77.1;11.9;3.3;3.8;5.2;-1.3
3;5211 + 522 Food in winkel;Alle bedrijven;2659;77.4;12.3;2.6;4.3;4.7;-1.3
4;5211 + 522 Food in winkel;0 tot 10 werknemers;366;82.0;12.2;1.8;1.2;4.2;-1.4
5;5211 + 522 Food in winkel;10 en meer werknemers;2292;76.7;12.3;2.8;4.8;4.6;-1.2
6;5211   Food alg. ass. (Supermarkten);Alle bedrijven;2179;76.6;12.3;2.7;4.9;4.7;-1.2
7;5211   Food alg. ass. (Supermarkten);0 tot 10 werknemers;58;80.0;11.6;1.1;4.3;4.0;-1.0
8;5211   Food alg. ass. (Supermarkten);10 en meer werknemers;2121;76.6;12.3;2.7;4.9;4.7;-1.2
9;5212+523 t/m 525 Non-food in winkel;Alle bedrijven;5177;78.2;11.3;3.7;2.8;5.4;-1.4
10;5212+523 t/m 525 Non-food in winkel;0 tot 10 werknemers;1657;80.2;10.4;3.7;2.1;5.1;-1.5
11;5212+523 t/m 525 Non-food in winkel;10 en meer werknemers;3520;77.3;11.7;3.7;3.1;5.5;-1.3
12;5241 + 5242 Textielgoederen;Alle bedrijven;1075;78.4;10.9;3.9;1.7;6.8;-1.7
13;5241 + 5242 Textielgoederen;0 tot 10 werknemers;297;79.6;10.6;4.0;0.6;7.2;-2.0
14;5241 + 5242 Textielgoederen;10 en meer werknemers;778;77.9;11.1;3.9;2.2;6.5;-1.6
15;5242.1 t/m 5242.4 Bovenkleding;Alle bedrijven;968;78.1;10.7;4.0;1.8;6.8;-1.4
16;5242.1 t/m 5242.4 Bovenkleding;0 tot 10 werknemers;279;79.7;10.6;4.0;0.6;6.8;-1.7
17;5242.1 t/m 5242.4 Bovenkleding;10 en meer werknemers;689;77.5;10.8;4.0;2.3;6.6;-1.2
18;5243.1 Schoeisel;Alle bedrijven;205;81.7;12.2;3.2;1.1;4.7;-2.9
19;5243.1 Schoeisel;0 tot 10 werknemers;57;83.0;10.4;4.1;0.3;4.8;-2.6
20;5243.1 Schoeisel;10 en meer werknemers;148;81.2;13.0;2.9;1.4;4.5;-3.0
21;5244.1/2/3/4+5249.7 Artikelen voor wonen;Alle bedrijven;721;77.3;10.2;5.6;3.1;4.4;-0.6
22;5244.1/2/3/4+5249.7 Artikelen voor wonen;0 tot 10 werknemers;275;77.9;9.2;6.2;2.8;4.7;-0.8
23;5244.1/2/3/4+5249.7 Artikelen voor wonen;10 en meer werknemers;447;76.9;10.8;5.2;3.2;4.4;-0.5
24;5244.7 Huishoudelijke art. alg. ass.;Alle bedrijven;182;79.2;12.1;2.6;3.7;5.2;-2.8
25;5244.7 Huishoudelijke art. alg. ass.;0 tot 10 werknemers;27;80.8;11.4;2.8;3.4;4.6;-3.0
26;5244.7 Huishoudelijke art. alg. ass.;10 en meer werknemers;155;79.0;12.3;2.6;3.7;5.2;-2.8
27;5245.1/2/3/6 Wit-, bruingoed, CD's e.d.;Alle bedrijven;312;78.7;10.7;2.9;2.0;6.2;-0.5
28;5245.1/2/3/6 Wit-, bruingoed, CD's e.d.;0 tot 10 werknemers;86;80.1;10.4;2.4;0.7;7.0;-0.6
29;5245.1/2/3/6 Wit-, bruingoed, CD's e.d.;10 en meer werknemers;226;78.2;10.9;3.0;2.5;5.8;-0.4
30;5246 Doe-het-zelf artikelen;Alle bedrijven;557;77.3;11.1;2.9;4.3;5.2;-0.8
31;5246 Doe-het-zelf artikelen;0 tot 10 werknemers;197;78.8;11.3;3.0;3.8;3.7;-0.6
32;5246 Doe-het-zelf artikelen;10 en meer werknemers;360;76.5;11.0;2.8;4.6;6.0;-0.9
33;5232.1 Drogisterij artikelen;Alle bedrijven;233;80.6;10.2;2.9;2.6;5.3;-1.6
34;5232.1 Drogisterij artikelen;0 tot 10 werknemers;66;81.5;12.5;1.5;1.3;4.7;-1.5
35;5232.1 Drogisterij artikelen;10 en meer werknemers;167;80.3;9.3;3.5;3.0;5.5;-1.6
36;5248.2 Optische artikelen;Alle bedrijven;165;79.7;9.7;5.0;1.3;5.1;-0.8
37;5248.2 Optische artikelen;0 tot 10 werknemers;74;80.6;8.7;5.3;1.1;5.0;-0.7
38;5248.2 Optische artikelen;10 en meer werknemers;91;79.0;10.5;4.7;1.4;5.2;-0.8
39;5247.1 Boeken, tijdschriften en kranten;Alle bedrijven;98;80.0;11.1;2.9;2.3;4.8;-1.1
40;5247.1 Boeken, tijdschriften en kranten;0 tot 10 werknemers;20;84.6;12.0;1.2;1.7;2.0;-1.5
41;5247.1 Boeken, tijdschriften en kranten;10 en meer werknemers;78;78.8;10.9;3.4;2.4;5.5;-1.0
42;5248.3 Uurwerken en juweliersartikelen;Alle bedrijven;101;81.2;11.0;3.4;1.8;4.2;-1.6
43;5248.3 Uurwerken en juweliersartikelen;0 tot 10 werknemers;58;81.0;10.9;3.6;2.8;3.2;-1.5
44;5248.3 Uurwerken en juweliersartikelen;10 en meer werknemers;44;81.4;11.1;3.2;0.5;5.6;-1.8
45;5247.2/3 Boek en kantoorboekh;Alle bedrijven;64;79.8;10.4;4.3;2.9;4.7;-2.1
46;5247.2/3 Boek en kantoorboekh;0 tot 10 werknemers;42;79.7;10.4;4.2;2.8;5.2;-2.3
47;5247.2/3 Boek en kantoorboekh;10 en meer werknemers;22;80.0;10.5;4.4;3.2;3.6;-1.7
48;5248.1 Fotografische artikelen;Alle bedrijven;56;80.6;9.8;3.5;1.0;6.1;-1.0
