ID;Oppervlakte;Regio;Oppervlakte_1
0;Totale oppervlakte;Nederland;3418111
1;Totale oppervlakte;Groningen (provincie);236849
2;Totale oppervlakte;Friesland;333322
3;Totale oppervlakte;Drenthe;266630
4;Totale oppervlakte;Overijssel;341182
5;Totale oppervlakte;Gelderland;509130
6;Totale oppervlakte;Utrecht (provincie);138604
7;Totale oppervlakte;Noord-Holland;279729
8;Totale oppervlakte;Zuid-Holland;313739
9;Totale oppervlakte;Zeeland;269516
10;Totale oppervlakte;Noord-Brabant;508899
11;Totale oppervlakte;Limburg;220511
12;Totale oppervlakte;Gemeenten met meer dan 100000 inwoners;39571
13;Totale oppervlakte;Gemeenten met 50001 - 100000 inwoners;73804
14;Totale oppervlakte;Gemeenten met 20001 - 50000 inwoners;168965
15;Totale oppervlakte;Gemeenten met 10001 - 20000 inwoners;603606
16;Totale oppervlakte;Gemeenten met 5001 - 10000 inwoners;897222
17;Totale oppervlakte;Gemeenten met 2001 - 5000 inwoners;1084413
18;Totale oppervlakte;Gemeenten met 1001 - 2000 inwoners;364729
19;Totale oppervlakte;Gemeenten met 501 - 1000 inwoners;161629
20;Totale oppervlakte;Gemeenten met 500 of minder inwoners;24172
21;Totale oppervlakte;Aagtekerke;844
22;Totale oppervlakte;Aalsmeer;3332
23;Totale oppervlakte;Aalten;8244
24;Totale oppervlakte;Aardenburg;1667
25;Totale oppervlakte;Aarle-Rixtel;1455
26;Totale oppervlakte;Abbekerk;782
27;Totale oppervlakte;Abbenbroek;941
28;Totale oppervlakte;Abcoude-Baambrugge;1630
29;Totale oppervlakte;Abcoude-Proosdij;1540
30;Totale oppervlakte;Achtkarspelen;10338
31;Totale oppervlakte;Achttienhoven (U.);1082
32;Totale oppervlakte;Adorp;2209
33;Totale oppervlakte;Aduard;3033
34;Totale oppervlakte;Aengwirden;4072
35;Totale oppervlakte;Akersloot;2527
36;Totale oppervlakte;Alblas (Oud-);1359
37;Totale oppervlakte;Alblasserdam;956
38;Totale oppervlakte;Alem, Maren en Kessel;2659
39;Totale oppervlakte;Alkemade;2625
40;Totale oppervlakte;Alkmaar;1447
41;Totale oppervlakte;Almelo;3880
42;Totale oppervlakte;Almkerk;3122
43;Totale oppervlakte;Alphen aan den Rijn;6045
44;Totale oppervlakte;Alphen en Riel;5662
45;Totale oppervlakte;Ambij;624
46;Totale oppervlakte;Ameide;527
47;Totale oppervlakte;Ameland;5718
48;Totale oppervlakte;Amerongen;3200
49;Totale oppervlakte;Amersfoort;2350
50;Totale oppervlakte;Ammerstol;74
51;Totale oppervlakte;Ammerzoden;1326
52;Totale oppervlakte;Amstenrade;288
53;Totale oppervlakte;Amsterdam;16037
54;Totale oppervlakte;Andel;683
55;Totale oppervlakte;Andijk;1544
56;Totale oppervlakte;Angerlo;3419
57;Totale oppervlakte;Ankeveen;486
58;Totale oppervlakte;Anlo;9163
59;Totale oppervlakte;Anna Paulowna;5218
60;Totale oppervlakte;Annaland (St.);1978
61;Totale oppervlakte;Apeldoorn;33958
62;Totale oppervlakte;Appeltern;3311
63;Totale oppervlakte;Appingedam;2483
64;Totale oppervlakte;Arcen en Velden;4173
65;Totale oppervlakte;Arkel;817
66;Totale oppervlakte;Arnemuiden;1810
67;Totale oppervlakte;Arnhem;6769
68;Totale oppervlakte;Asperen;334
69;Totale oppervlakte;Assen;5517
70;Totale oppervlakte;Assendelft;3259
71;Totale oppervlakte;Asten;6959
72;Totale oppervlakte;Avenhorn;880
73;Totale oppervlakte;Avereest;7329
74;Totale oppervlakte;Axel;4339
75;Totale oppervlakte;Baarderadeel;7286
76;Totale oppervlakte;Baarland;1366
77;Totale oppervlakte;Baarle-Nassau;7578
78;Totale oppervlakte;Baarn;3325
79;Totale oppervlakte;Baexem;909
