ID;Sex;Age;Periods;TotalVictimsOfMurderAndManslaughter_1;VictimsMurderManslaughterRelative_2;HangingStrangulationOrSuffocation_3;BeatingOrKicking_4;Firearm_5;StabbingWeapon_6;OtherOrUnknownMethod_7;HouseOfTheVictimOrOthers_8;LocationForTradeAndServices_9;PublicRoad_10;OtherOrUnknownLocation_11
0;Total men and women;Total all ages;1996;240;15.5;22.0;13.0;86.0;88.0;31.0;97.0;15.0;40.0;88.0
1;Total men and women;Total all ages;1997;237;15.2;33.0;9.0;78.0;76.0;41.0;70.0;15.0;51.0;101.0
2;Total men and women;Total all ages;1998;208;13.2;23.0;9.0;74.0;73.0;29.0;66.0;9.0;47.0;86.0
3;Total men and women;Total all ages;1999;230;14.5;19.0;21.0;89.0;81.0;20.0;95.0;10.0;58.0;67.0
4;Total men and women;Total all ages;2000;223;14.0;24.0;6.0;81.0;75.0;37.0;101.0;21.0;40.0;61.0
5;Total men and women;Total all ages;2001;264;16.5;12.0;9.0;91.0;103.0;49.0;133.0;13.0;67.0;51.0
6;Total men and women;Total all ages;2002;224;13.9;14.0;18.0;80.0;77.0;35.0;115.0;13.0;63.0;33.0
7;Total men and women;Total all ages;2003;247;15.2;16.0;17.0;75.0;95.0;44.0;113.0;19.0;65.0;50.0
8;Total men and women;Total all ages;2004;223;13.7;23.0;18.0;67.0;87.0;28.0;105.0;15.0;70.0;33.0
9;Total men and women;Total all ages;2005;197;12.1;24.0;7.0;63.0;70.0;33.0;114.0;18.0;47.0;18.0
10;Total men and women;Total all ages;2006;159;9.7;12.0;8.0;43.0;66.0;30.0;83.0;12.0;30.0;34.0
11;Total men and women;Total all ages;2007;164;10.0;16.0;15.0;47.0;66.0;20.0;92.0;18.0;34.0;20.0
12;Total men and women;Total all ages;2008;176;10.7;12.0;16.0;52.0;75.0;21.0;94.0;8.0;50.0;24.0
13;Total men and women;Total all ages;2009;175;10.6;13.0;19.0;55.0;69.0;19.0;102.0;10.0;42.0;21.0
14;Total men and women;Total all ages;2010;158;9.5;12.0;18.0;41.0;75.0;12.0;98.0;10.0;36.0;14.0
15;Total men and women;Total all ages;2011;165;9.9;13.0;18.0;60.0;62.0;12.0;93.0;21.0;31.0;20.0
16;Total men and women;Total all ages;2012;157;9.4;15.0;21.0;54.0;53.0;14.0;87.0;11.0;34.0;25.0
17;Total men and women;Total all ages;2013;147;8.7;21.0;12.0;35.0;56.0;23.0;91.0;8.0;25.0;23.0
18;Total men and women;Total all ages;2014;144;8.5;17.0;14.0;47.0;57.0;9.0;71.0;11.0;44.0;18.0
19;Total men and women;Total all ages;2015;120;7.1;13.0;13.0;41.0;49.0;4.0;66.0;4.0;35.0;15.0
20;Total men and women;Total all ages;2016;108;6.5;9.0;13.0;31.0;51.0;4.0;58.0;10.0;31.0;9.0
21;Total men and women;Total all ages;2017;158;9.2;14.0;21.0;46.0;68.0;9.0;77.0;11.0;45.0;25.0
22;Total men and women;Total all ages;2018;119;6.9;18.0;10.0;40.0;49.0;2.0;80.0;11.0;22.0;6.0
23;Total men and women;Younger than 20 years;1996;29;7.7;4.0;1.0;3.0;11.0;10.0;18.0;1.0;3.0;7.0
24;Total men and women;Younger than 20 years;1997;36;9.5;11.0;2.0;5.0;6.0;12.0;13.0;1.0;4.0;18.0
25;Total men and women;Younger than 20 years;1998;26;6.8;3.0;0.0;6.0;9.0;8.0;10.0;0.0;3.0;13.0
26;Total men and women;Younger than 20 years;1999;26;6.7;8.0;1.0;6.0;6.0;5.0;11.0;0.0;4.0;11.0
27;Total men and women;Younger than 20 years;2000;27;6.9;4.0;1.0;4.0;8.0;10.0;12.0;1.0;6.0;8.0
28;Total men and women;Younger than 20 years;2001;25;6.4;2.0;0.0;5.0;8.0;10.0;13.0;2.0;4.0;6.0
