ID;Geslacht;Leeftijd;Nationaliteit;Perioden;TotaalAsielverzoeken_1;EersteAsielverzoeken_2
0;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2007 januari;950;700
1;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2007 februari;775;580
2;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2007 maart;805;575
3;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2007 1e kwartaal;2530;1855
4;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2007 april;680;540
5;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2007 mei;705;445
6;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2007 juni;755;495
7;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2007 2e kwartaal;2140;1480
8;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2007 juli;715;470
9;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2007 augustus;860;680
10;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2007 september;900;725
11;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2007 3e kwartaal;2475;1880
12;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2007 oktober;1010;850
13;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2007 november;925;790
14;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2007 december;650;585
15;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2007 4e kwartaal;2585;2225
16;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2007;9730;7435
17;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2008 januari;1060;910
18;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2008 februari;1050;860
19;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2008 maart;1025;885
20;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2008 1e kwartaal;3135;2655
21;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2008 april;1085;930
22;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2008 mei;1160;1010
23;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal nationaliteit;2008 juni;1310;1170
