ID;CompanySize;SectorBranchesSIC2008;Periods;EmployedPersons_1;YearsOfWork_2;ExpenditureRDOnInHouseActivities_3;EnterprisesWithInHouseRDActivities_4
0;Total;A-U All economic activities;2013;146165.0;95108.0;9299.0;19690.0
1;Total;A-U All economic activities;2014;144689.0;94612.0;9444.0;19875.0
2;Total;A-U All economic activities;2015;151385.0;97443.0;9515.0;19800.0
3;Total;A-U All economic activities;2016;157018.0;102614.0;10008.0;20160.0
4;Total;A-U All economic activities;2017;157844.0;107496.0;10667.0;19485.0
5;Total;A-U All economic activities;2018;164144.0;112807.0;10998.0;19030.0
6;Total;A-U All economic activities;2019;171143.0;115124.0;11846.0;19550.0
7;Total;A-U All economic activities;2020;172993.0;118355.0;12314.0;19720.0
8;Total;A-U All economic activities;2021;177810.0;123627.0;13048.0;19385.0
9;Total;A-U All economic activities;2022;191662.0;133950.0;14806.0;
10;Total;A Agriculture, forestry and fishing;2013;4770.0;2277.0;186.0;985.0
11;Total;A Agriculture, forestry and fishing;2014;4367.0;2158.0;200.0;785.0
12;Total;A Agriculture, forestry and fishing;2015;5260.0;2226.0;216.0;885.0
13;Total;A Agriculture, forestry and fishing;2016;5191.0;2580.0;249.0;820.0
14;Total;A Agriculture, forestry and fishing;2017;5587.0;2914.0;276.0;820.0
15;Total;A Agriculture, forestry and fishing;2018;5079.0;2643.0;271.0;740.0
16;Total;A Agriculture, forestry and fishing;2019;4639.0;2652.0;337.0;620.0
17;Total;A Agriculture, forestry and fishing;2020;4552.0;2862.0;335.0;610.0
18;Total;A Agriculture, forestry and fishing;2021;4738.0;3068.0;351.0;710.0
19;Total;A Agriculture, forestry and fishing;2022;4569.0;3020.0;325.0;
20;Total;B-E Industry (no construction), energy;2013;57587.0;40166.0;4746.0;4780.0
21;Total;B-E Industry (no construction), energy;2014;57223.0;39752.0;4846.0;4685.0
22;Total;B-E Industry (no construction), energy;2015;59225.0;40822.0;4807.0;4555.0
23;Total;B-E Industry (no construction), energy;2016;61810.0;43253.0;5073.0;4585.0
24;Total;B-E Industry (no construction), energy;2017;60658.0;45796.0;5482.0;4505.0
25;Total;B-E Industry (no construction), energy;2018;63339.0;48554.0;5695.0;4460.0
26;Total;B-E Industry (no construction), energy;2019;63840.0;48394.0;6004.0;4565.0
27;Total;B-E Industry (no construction), energy;2020;63276.0;48157.0;6278.0;4525.0
28;Total;B-E Industry (no construction), energy;2021;64568.0;50101.0;6611.0;4405.0
29;Total;B-E Industry (no construction), energy;2022;67706.0;53120.0;7630.0;
30;Total;B Mining and quarrying;2013;88.0;53.0;4.0;10.0
31;Total;B Mining and quarrying;2014;185.0;88.0;6.0;25.0
32;Total;B Mining and quarrying;2015;154.0;70.0;6.0;20.0
33;Total;B Mining and quarrying;2016;192.0;88.0;7.0;25.0
34;Total;B Mining and quarrying;2017;266.0;183.0;27.0;25.0
35;Total;B Mining and quarrying;2018;236.0;157.0;26.0;20.0
36;Total;B Mining and quarrying;2019;265.0;152.0;24.0;20.0
37;Total;B Mining and quarrying;2020;419.0;180.0;29.0;25.0
38;Total;B Mining and quarrying;2021;333.0;162.0;26.0;20.0
39;Total;B Mining and quarrying;2022;420.0;198.0;30.0;
40;Total;C Manufacturing;2013;56557.0;39604.0;4704.0;4660.0
41;Total;C Manufacturing;2014;55877.0;39019.0;4789.0;4495.0
42;Total;C Manufacturing;2015;57879.0;40116.0;4746.0;4380.0
43;Total;C Manufacturing;2016;60383.0;42593.0;5014.0;4415.0
44;Total;C Manufacturing;2017;59131.0;44991.0;5384.0;4325.0
45;Total;C Manufacturing;2018;61827.0;47749.0;5596.0;4280.0
46;Total;C Manufacturing;2019;62353.0;47619.0;5914.0;4385.0
47;Total;C Manufacturing;2020;61657.0;47352.0;6178.0;4350.0
48;Total;C Manufacturing;2021;62821.0;49225.0;6505.0;4225.0
49;Total;C Manufacturing;2022;65815.0;52094.0;7494.0;
50;Total;10-12 Manufacture of food and beverages;2013;5388.0;3442.0;412.0;420.0
51;Total;10-12 Manufacture of food and beverages;2014;4885.0;3150.0;402.0;395.0
52;Total;10-12 Manufacture of food and beverages;2015;5256.0;3211.0;351.0;450.0
53;Total;10-12 Manufacture of food and beverages;2016;5261.0;3402.0;373.0;460.0
54;Total;10-12 Manufacture of food and beverages;2017;4746.0;3357.0;369.0;420.0
55;Total;10-12 Manufacture of food and beverages;2018;4643.0;3338.0;379.0;430.0
56;Total;10-12 Manufacture of food and beverages;2019;4691.0;3574.0;407.0;460.0
57;Total;10-12 Manufacture of food and beverages;2020;4332.0;3174.0;328.0;455.0
58;Total;10-12 Manufacture of food and beverages;2021;4257.0;3263.0;357.0;420.0
59;Total;10-12 Manufacture of food and beverages;2022;4121.0;3268.0;376.0;
60;Total;10 Manufacture of food products;2013;;;;405.0
61;Total;10 Manufacture of food products;2014;;;;380.0
62;Total;10 Manufacture of food products;2015;;;;425.0
63;Total;10 Manufacture of food products;2016;5077.0;3296.0;361.0;440.0
64;Total;10 Manufacture of food products;2017;4569.0;3252.0;354.0;400.0
65;Total;10 Manufacture of food products;2018;4483.0;3228.0;367.0;415.0
66;Total;10 Manufacture of food products;2019;4549.0;3468.0;395.0;440.0
67;Total;10 Manufacture of food products;2020;4208.0;3080.0;317.0;435.0
68;Total;10 Manufacture of food products;2021;4125.0;3165.0;347.0;395.0
