ID;SectorenActiva;TegensectorenPassiva;BalansstandenEnTransacties;Perioden;SpaartegoedenEnDepositoS_1;KortlopendeSchuldbewijzen_2;LanglopendeSchuldbewijzen_3;KortlopendeLeningen_4;LanglopendeLeningen_5;Woninghypotheken_6;BeursgenoteerdeAandelen_7;AandelenInBeleggingsfondsen_8
0;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;1999 1e kwartaal;305699.0;;;130636.0;812019.0;;;
1;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;1999 2e kwartaal;312802.0;;;137260.0;822911.0;;;
2;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;1999 3e kwartaal;324837.0;;;139433.0;835328.0;;;
3;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;1999 4e kwartaal;324765.0;;;143600.0;850246.0;;;
4;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;1999;305699.0;;;130636.0;812019.0;;;
5;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2000 1e kwartaal;330571.0;;;144242.0;867025.0;;;
6;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2000 2e kwartaal;355267.0;;;153555.0;871827.0;;;
7;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2000 3e kwartaal;343934.0;;;159084.0;879504.0;;;
8;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2000 4e kwartaal;366481.0;;;165203.0;889118.0;;;
9;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2000;330571.0;;;144242.0;867025.0;;;
10;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2001 1e kwartaal;360561.0;;;166405.0;895961.0;;;
11;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2001 2e kwartaal;381160.0;;;158976.0;904353.0;;;
12;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2001 3e kwartaal;380950.0;;;158749.0;918493.0;;;
13;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2001 4e kwartaal;390149.0;;;163176.0;929022.0;;;
14;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2001;360561.0;;;166405.0;895961.0;;;
15;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2002 1e kwartaal;408553.0;;;161778.0;942077.0;;;
16;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2002 2e kwartaal;422365.0;;;167095.0;948336.0;;;
17;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2002 3e kwartaal;432252.0;;;163755.0;953402.0;;;
18;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2002 4e kwartaal;433747.0;;;175060.0;964662.0;;;
19;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2002;408553.0;;;161778.0;942077.0;;;
20;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2003 1e kwartaal;434681.0;;;166814.0;981708.0;;;
21;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2003 2e kwartaal;461997.0;;;163293.0;992537.0;;;
22;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2003 3e kwartaal;455263.0;;;160576.0;1015205.0;;;
23;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2003 4e kwartaal;473501.0;;;158205.0;1033959.0;;;
