ID;Sources;Periods;NMVOC_1;SO2_2;CO_3;NOx_4;NH3_5;PM10_6;PM25_7
0;Total stationary and mobile sources;1990;509.82;198.1;1188.7;629.0;344.49;80.16;57.12
1;Total stationary and mobile sources;1995;370.45;137.1;953.0;532.2;218.35;62.39;45.14
2;Total stationary and mobile sources;2000;267.69;79.0;772.0;454.2;173.43;49.81;34.77
3;Total stationary and mobile sources;2001;241.86;79.7;773.6;443.3;167.26;48.0;33.43
4;Total stationary and mobile sources;2002;227.45;72.0;758.3;428.3;159.97;46.58;31.62
5;Total stationary and mobile sources;2003;213.83;67.3;757.1;424.8;156.91;44.74;31.07
6;Total stationary and mobile sources;2004;202.26;69.8;763.1;413.5;156.51;43.75;30.05
7;Total stationary and mobile sources;2005;207.68;68.2;747.3;404.7;154.11;42.55;28.75
8;Total stationary and mobile sources;2006;202.75;68.5;757.7;397.2;157.09;41.66;28.24
9;Total stationary and mobile sources;2007;202.63;64.5;744.0;382.6;153.35;40.44;26.49
10;Total stationary and mobile sources;2008;197.38;53.5;741.6;372.5;140.67;38.95;25.06
11;Total stationary and mobile sources;2009;187.57;39.8;680.3;334.4;136.53;36.59;23.16
12;Total stationary and mobile sources;2010;198.03;35.9;709.0;327.4;134.08;36.49;23.02
13;Total stationary and mobile sources;2011;190.13;34.5;670.3;314.9;132.15;34.71;21.12
14;Total stationary and mobile sources;2012;181.98;34.6;641.2;295.6;126.37;33.56;19.87
15;Total stationary and mobile sources;2013;177.47;30.5;611.0;279.1;123.75;33.32;19.63
16;Total stationary and mobile sources;2014;167.24;30.3;566.8;252.0;127.27;31.86;18.04
17;Total stationary and mobile sources;2015;163.02;31.0;572.2;248.0;128.74;31.8;18.08
18;Total stationary and mobile sources;2016;154.23;28.8;555.5;233.1;129.97;31.36;17.61
19;Total stationary and mobile sources;2017;155.75;27.2;547.9;223.5;132.01;30.87;17.2
20;Total stationary and mobile sources;2018;152.46;25.2;534.7;218.8;129.87;30.58;16.95
21;Total stationary and mobile sources;2019;150.09;22.9;517.0;204.9;124.58;29.51;16.16
22;Total stationary and mobile sources;2020;182.51;19.7;449.5;181.9;123.35;27.65;14.91
23;Total stationary and mobile sources;2021;190.32;20.9;437.8;177.8;121.93;26.13;14.2
24;"Stationary sources; total";1990;297.07;170.7;369.5;230.0;343.56;52.55;31.64
25;"Stationary sources; total";1995;222.98;109.7;323.8;188.8;215.97;39.52;24.48
26;"Stationary sources; total";2000;174.04;63.1;267.4;143.1;169.09;30.48;17.77
27;"Stationary sources; total";2001;154.58;67.1;268.0;142.1;162.5;29.46;17.22
28;"Stationary sources; total";2002;147.67;60.6;252.9;138.6;154.9;29.2;16.58
29;"Stationary sources; total";2003;139.35;56.5;252.2;139.2;151.72;28.1;16.77
30;"Stationary sources; total";2004;132.49;59.1;273.8;131.6;151.34;27.71;16.33
31;"Stationary sources; total";2005;142.47;57.9;260.6;128.3;149.0;27.15;15.76
32;"Stationary sources; total";2006;139.29;58.3;267.3;121.3;152.0;27.07;16.05
33;"Stationary sources; total";2007;142.24;55.3;252.9;111.3;148.39;26.51;15.0
34;"Stationary sources; total";2008;138.48;47.8;264.0;110.4;136.12;26.35;14.86
35;"Stationary sources; total";2009;132.38;35.4;213.1;99.0;132.21;25.34;14.28
36;"Stationary sources; total";2010;145.98;32.9;251.9;101.6;129.99;26.08;14.97
37;"Stationary sources; total";2011;140.34;33.3;217.5;91.1;128.27;24.93;13.69
38;"Stationary sources; total";2012;136.53;33.6;216.7;88.6;122.87;24.64;13.28
39;"Stationary sources; total";2013;135.12;29.3;206.1;86.8;120.36;25.0;13.61
40;"Stationary sources; total";2014;128.68;28.8;183.7;77.3;124.09;24.02;12.5
41;"Stationary sources; total";2015;125.97;30.0;196.5;79.0;125.51;24.28;12.89
42;"Stationary sources; total";2016;118.11;27.9;191.8;74.0;126.72;24.14;12.81
43;"Stationary sources; total";2017;119.81;26.3;180.3;67.7;128.45;23.87;12.66
44;"Stationary sources; total";2018;117.55;24.4;181.0;65.9;126.33;23.76;12.62
45;"Stationary sources; total";2019;116.08;22.1;180.5;62.4;120.99;23.07;12.22
46;"Stationary sources; total";2020;152.76;19.0;164.3;56.8;120.29;21.83;11.32
47;"Stationary sources; total";2021;161.25;20.2;166.8;58.3;118.77;20.48;10.84
48;Energy sector ;1990;33.03;112.7;11.3;103.9;0.01;7.94;6.03
49;Energy sector ;1995;27.82;78.3;11.1;83.2;0.01;5.35;4.17
50;Energy sector ;2000;28.04;48.2;18.0;64.9;0.02;3.65;2.57
51;Energy sector ;2001;20.21;50.6;15.9;62.7;0.03;3.3;2.51
52;Energy sector ;2002;18.56;44.4;19.7;62.9;0.02;2.94;2.06
53;Energy sector ;2003;17.05;43.7;19.8;63.8;0.07;3.29;2.36
54;Energy sector ;2004;15.32;43.1;12.9;56.6;0.08;2.41;1.69
55;Energy sector ;2005;19.68;42.1;13.7;55.2;0.19;2.15;1.65
56;Energy sector ;2006;17.75;42.2;11.9;52.0;0.0;2.08;1.87
57;Energy sector ;2007;16.88;38.7;8.8;43.4;0.01;1.76;1.26
58;Energy sector ;2008;16.4;32.1;10.6;38.1;0.05;1.67;1.22
59;Energy sector ;2009;14.45;24.2;9.8;32.3;0.02;0.87;0.58
60;Energy sector ;2010;15.22;19.4;10.6;32.6;0.02;0.55;0.42
61;Energy sector ;2011;15.97;19.2;11.1;29.1;0.02;0.43;0.3
62;Energy sector ;2012;15.38;22.1;11.0;28.3;0.03;0.32;0.18
63;Energy sector ;2013;15.54;19.5;9.7;29.5;0.03;0.46;0.3
64;Energy sector ;2014;13.97;18.3;8.6;26.8;0.02;0.53;0.41
65;Energy sector ;2015;13.13;19.7;9.4;27.6;0.02;0.63;0.49
66;Energy sector ;2016;11.65;17.1;8.4;23.4;0.03;0.47;0.37
67;Energy sector ;2017;10.83;15.3;5.4;21.5;0.03;0.45;0.32
68;Energy sector ;2018;8.49;13.6;6.1;20.7;0.04;0.37;0.3
69;Energy sector ;2019;7.49;11.3;5.9;19.4;0.05;0.33;0.27
70;Energy sector ;2020;6.86;8.8;5.9;17.0;0.06;0.27;0.22
71;Energy sector ;2021;5.87;10.4;6.6;17.7;0.04;0.29;0.24
72;06 Extraction of crude petroleum and gas;1990;15.52;1.5;0.5;7.2;0.0;0.02;0.02
73;06 Extraction of crude petroleum and gas;1995;13.43;0.8;1.5;6.5;0.0;0.0;0.0
74;06 Extraction of crude petroleum and gas;2000;10.76;0.3;0.4;5.7;0.0;0.0;0.0
75;06 Extraction of crude petroleum and gas;2001;9.8;0.4;0.4;6.0;0.0;0.0;0.0
76;06 Extraction of crude petroleum and gas;2002;8.86;0.4;0.4;6.1;0.0;0.0;0.0
77;06 Extraction of crude petroleum and gas;2003;7.13;0.2;0.0;5.4;0.0;0.0;0.0
78;06 Extraction of crude petroleum and gas;2004;5.68;0.2;0.0;4.4;0.0;0.0;0.0
79;06 Extraction of crude petroleum and gas;2005;6.13;0.2;0.0;4.4;0.0;0.0;0.0
80;06 Extraction of crude petroleum and gas;2006;5.98;0.2;0.0;4.5;0.0;0.0;0.0
81;06 Extraction of crude petroleum and gas;2007;7.31;0.2;0.0;4.5;0.0;0.0;0.0
