ID;Regio;Periode;VerleendeBouwvergunningen_1;BegonnenWoningen_2;WoningenInUitvoering_3;TotaalGereedgekomen_4;WoningenMetMinderDan3Kamers_5;WoningenMet3Kamers_6;WoningenMet4Kamers_7;WoningenMetMeerDan4Kamers_8;Huurwoningen_9;Koopwoningen_10;Eengezinswoningen_11;Meergezinswoningen_12
0;Nederland;1994;107764;102929.0;84899.0;87369;4889;21496;49432;11552;28274;59095;65367;22002
1;Nederland;1994 januari;8391;9308.0;78361.0;2951;241;564;1781;365;821;2130;2349;602
2;Nederland;1994 februari;9772;6379.0;79267.0;5128;278;1497;2689;664;1740;3388;3723;1405
3;Nederland;1994 maart;7749;7043.0;81401.0;4835;254;965;3086;530;1604;3231;3486;1349
4;Nederland;1994 april;8200;8755.0;84530.0;5258;201;1570;2858;629;1313;3945;3663;1595
5;Nederland;1994 mei;7896;8795.0;85982.0;7091;491;1974;3660;966;2457;4634;5076;2015
6;Nederland;1994 juni;9051;7983.0;86242.0;7646;287;1870;4457;1032;2591;5055;5852;1794
7;Nederland;1994 juli;9094;7897.0;86947.0;6820;292;1873;3809;846;2095;4725;5164;1656
8;Nederland;1994 augustus;9428;6271.0;87109.0;6044;438;1451;3288;867;1913;4131;4488;1556
9;Nederland;1994 september;9563;10507.0;90175.0;6862;250;1575;4179;858;1943;4919;5354;1508
10;Nederland;1994 oktober;10478;10351.0;89941.0;10413;427;2461;6081;1444;3531;6882;7955;2458
11;Nederland;1994 november;8968;10651.0;89936.0;10374;790;2546;5882;1156;3717;6657;7442;2932
12;Nederland;1994 december;9174;8989.0;84899.0;13947;940;3150;7662;2195;4549;9398;10815;3132
13;Nederland;1994 1e kwartaal;25912;22730.0;81401.0;12914;773;3026;7556;1559;4165;8749;9558;3356
14;Nederland;1994 2e kwartaal;25147;25533.0;86242.0;19995;979;5414;10975;2627;6361;13634;14591;5404
15;Nederland;1994 3e kwartaal;28085;24675.0;90175.0;19726;980;4899;11276;2571;5951;13775;15006;4720
16;Nederland;1994 4e kwartaal;28620;29991.0;84899.0;34734;2157;8157;19625;4795;11797;22937;26212;8522
17;Nederland;1995;98405;95918.0;86801.0;93836;5173;23813;51826;13024;29090;64746;69517;24319
18;Nederland;1995 januari;7913;7077.0;87573.0;4270;134;1177;2226;733;1183;3087;3179;1091
19;Nederland;1995 februari;8004;8035.0;90908.0;4514;321;1311;2347;535;1281;3233;3344;1170
20;Nederland;1995 maart;7939;6710.0;91076.0;6603;486;1556;3710;851;1819;4784;5251;1352
21;Nederland;1995 april;6486;7552.0;92845.0;5835;157;1636;3161;881;1945;3890;4387;1448
22;Nederland;1995 mei;9559;10486.0;96349.0;6753;311;1558;3863;1021;1770;4983;5350;1403
23;Nederland;1995 juni;9199;7264.0;96102.0;7752;297;2281;4126;1048;2985;4767;5115;2637
24;Nederland;1995 juli;6806;6716.0;93751.0;8876;617;2348;4813;1098;2947;5929;6380;2496
25;Nederland;1995 augustus;7482;6026.0;94103.0;5662;403;1255;3135;869;1887;3775;4287;1375
