ID;Geslacht;UitstromersMboMetEnZonderDiploma;BedrijfstakkenSBI2008;Studierichting;Peilmoment;Perioden;UurloonWerknemersNaVerlatenMbo_1
0;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2007/'08;11.14
1;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2008/'09;11.44
2;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2009/'10;11.77
3;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2010/'11;11.91
4;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2011/'12;11.78
5;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2012/'13;11.81
6;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2013/'14;11.57
7;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2014/'15;11.56
8;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2015/'16;11.6
9;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2016/'17;11.87
10;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2017/'18;12.4
11;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2018/'19;12.82
12;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2019/'20;13.52
13;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2020/'21;13.97
14;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2021/'22;14.76
15;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2007/'08;12.35
16;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2008/'09;12.63
17;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2009/'10;12.77
18;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2010/'11;12.71
19;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2011/'12;12.69
20;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2012/'13;12.57
21;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2013/'14;12.83
22;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2014/'15;12.92
23;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2015/'16;12.93
24;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2016/'17;13.54
25;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2017/'18;13.92
26;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2018/'19;14.53
27;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2019/'20;15.03
28;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2020/'21;16.06
29;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2021/'22;
30;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;2 jaar na verlaten onderwijs;2007/'08;13.36
31;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;2 jaar na verlaten onderwijs;2008/'09;13.42
32;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;2 jaar na verlaten onderwijs;2009/'10;13.29
33;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;2 jaar na verlaten onderwijs;2010/'11;13.44
34;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;2 jaar na verlaten onderwijs;2011/'12;13.2
35;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;2 jaar na verlaten onderwijs;2012/'13;13.62
36;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;2 jaar na verlaten onderwijs;2013/'14;13.85
37;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;2 jaar na verlaten onderwijs;2014/'15;13.81
38;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;2 jaar na verlaten onderwijs;2015/'16;14.31
39;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;2 jaar na verlaten onderwijs;2016/'17;14.79
40;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;2 jaar na verlaten onderwijs;2017/'18;15.39
41;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;2 jaar na verlaten onderwijs;2018/'19;15.72
42;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;2 jaar na verlaten onderwijs;2019/'20;16.82
43;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;2 jaar na verlaten onderwijs;2020/'21;
44;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;2 jaar na verlaten onderwijs;2021/'22;
45;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;3 jaar na verlaten onderwijs;2007/'08;14.07
46;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;3 jaar na verlaten onderwijs;2008/'09;13.81
47;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;3 jaar na verlaten onderwijs;2009/'10;13.9
48;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;3 jaar na verlaten onderwijs;2010/'11;13.91
49;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;3 jaar na verlaten onderwijs;2011/'12;14.2
50;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;3 jaar na verlaten onderwijs;2012/'13;14.5
51;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;3 jaar na verlaten onderwijs;2013/'14;14.56
52;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;3 jaar na verlaten onderwijs;2014/'15;15.05
53;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;3 jaar na verlaten onderwijs;2015/'16;15.38
54;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;3 jaar na verlaten onderwijs;2016/'17;16.09
55;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;3 jaar na verlaten onderwijs;2017/'18;16.37
56;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;3 jaar na verlaten onderwijs;2018/'19;17.4
57;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;3 jaar na verlaten onderwijs;2019/'20;
58;Totaal;Bol-vt en bbl totaal;A-U Alle economische activiteiten;Totaal;3 jaar na verlaten onderwijs;2020/'21;
