ID;Sterklassen;RegioS;Perioden;Accommodaties_1;Kamers_2;Slaapplaatsen_3;Accommodaties_4;Kamers_5;Slaapplaatsen_6
0;Totaal;Nederland;2017 januari;3636;124049;270098;3205;118184;257094
1;Totaal;Nederland;2017 februari;3636;124049;270098;3333;120057;261102
2;Totaal;Nederland;2017 maart;3636;124049;270098;3442;121584;264512
3;Totaal;Nederland;2017 april;3636;124049;270098;3564;123333;268457
4;Totaal;Nederland;2017 mei;3636;124049;270098;3594;123518;268831
5;Totaal;Nederland;2017 juni;3636;124049;270098;3589;123517;268818
6;Totaal;Nederland;2017 juli;3636;124049;270098;3584;123470;268728
7;Totaal;Nederland;2017 augustus;3636;124049;270098;3576;123454;268699
8;Totaal;Nederland;2017 september;3636;124049;270098;3585;123419;268635
9;Totaal;Nederland;2017 oktober;3636;124049;270098;3529;122989;267675
10;Totaal;Nederland;2017 november;3636;124049;270098;3386;120599;262393
11;Totaal;Nederland;2017 december;3636;124049;270098;3332;120315;261658
12;Totaal;Nederland;2018 januari;3760;131903;286069;3311;123175;267033
13;Totaal;Nederland;2018 februari;3760;131903;286069;3467;125409;271901
14;Totaal;Nederland;2018 maart;3760;131903;286069;3566;127437;276271
15;Totaal;Nederland;2018 april;3760;131903;286069;3693;128955;280036
16;Totaal;Nederland;2018 mei;3760;131903;286069;3714;129379;281013
17;Totaal;Nederland;2018 juni;3760;131903;286069;3712;129376;280962
18;Totaal;Nederland;2018 juli;3760;131903;286069;3694;129584;281356
19;Totaal;Nederland;2018 augustus;3760;131903;286069;3684;130093;282328
20;Totaal;Nederland;2018 september;3760;131903;286069;3697;130294;282731
21;Totaal;Nederland;2018 oktober;3760;131903;286069;3647;129470;280945
22;Totaal;Nederland;2018 november;3760;131903;286069;3513;127800;277087
23;Totaal;Nederland;2018 december;3760;131903;286069;3438;126765;274553
24;Totaal;Nederland;2019 januari;3806;138546;303713;3361;131048;287238
25;Totaal;Nederland;2019 februari;3806;138546;303713;3504;132942;291376
26;Totaal;Nederland;2019 maart;3806;138546;303713;3614;134556;295045
27;Totaal;Nederland;2019 april;3806;138546;303713;3743;136699;299836
28;Totaal;Nederland;2019 mei;3806;138546;303713;3764;136991;300210
29;Totaal;Nederland;2019 juni;3806;138546;303713;3756;137180;300594
30;Totaal;Nederland;2019 juli;3806;138546;303713;3747;137249;300734
31;Totaal;Nederland;2019 augustus;3806;138546;303713;3743;137346;300977
32;Totaal;Nederland;2019 september;3806;138546;303713;3760;137493;301292
33;Totaal;Nederland;2019 oktober;3806;138546;303713;3702;136786;299815
34;Totaal;Nederland;2019 november;3806;138546;303713;3555;134785;294982
35;Totaal;Nederland;2019 december;3806;138546;303713;3489;133968;293147
36;Totaal;Nederland;2020 januari;3816;142322;312453;3368;136270;298910
37;Totaal;Nederland;2020 februari;3816;142322;312453;3503;137967;302652
38;Totaal;Nederland;2020 maart;3816;142322;312453;3540;139150;305297
39;Totaal;Nederland;2020 april;3816;142322;312453;2974;117953;258457
40;Totaal;Nederland;2020 mei;3816;142322;312453;3043;119053;260381
41;Totaal;Nederland;2020 juni;3816;142322;312453;3552;133470;291243
42;Totaal;Nederland;2020 juli;3816;142322;312453;3658;138549;303753
43;Totaal;Nederland;2020 augustus;3816;142322;312453;3682;139773;306822
44;Totaal;Nederland;2020 september;3816;142322;312453;3702;139429;305978
45;Totaal;Nederland;2020 oktober;3816;142322;312453;3649;138823;304606
46;Totaal;Nederland;2020 november;3816;142322;312453;3499;136624;299616
47;Totaal;Nederland;2020 december;3816;142322;312453;3448;136211;298809
48;Totaal;Nederland;2021 januari;4044;147398;322363;3565;140739;307616
49;Totaal;Nederland;2021 februari;4044;147398;322363;3698;142304;311106
50;Totaal;Nederland;2021 maart;4044;147398;322363;3808;143787;314180
51;Totaal;Nederland;2021 april;4044;147398;322363;3934;145251;317510
52;Totaal;Nederland;2021 mei;4044;147398;322363;3957;145683;318409
53;Totaal;Nederland;2021 juni;4044;147398;322363;3989;146239;319727
54;Totaal;Nederland;2021 juli;4044;147398;322363;3985;146256;319667
55;Totaal;Nederland;2021 augustus;4044;147398;322363;3976;145742;318622
56;Totaal;Nederland;2021 september;4044;147398;322363;3970;146017;319059
57;Totaal;Nederland;2021 oktober;4044;147398;322363;3921;145328;317747
58;Totaal;Nederland;2021 november;4044;147398;322363;3778;143297;312087
59;Totaal;Nederland;2021 december;4044;147398;322363;3705;142604;311344
60;Totaal;Nederland;2022 januari;4254;149289;327449;3827;143969;315927
61;Totaal;Nederland;2022 februari;4254;149289;327449;3917;145415;319117
62;Totaal;Nederland;2022 maart;4254;149289;327449;4046;146522;321591
63;Totaal;Nederland;2022 april;4254;149289;327449;4169;148122;324858
64;Totaal;Nederland;2022 mei;4254;149289;327449;4187;148189;325009
65;Totaal;Nederland;2022 juni;4254;149289;327449;4189;148181;324983
66;Totaal;Nederland;2022 juli;4254;149289;327449;4182;148100;324828
67;Totaal;Nederland;2022 augustus;4254;149289;327449;4182;148152;324917
68;Totaal;Nederland;2022 september;4254;149289;327449;4160;147607;323751
69;Totaal;Nederland;2022 oktober;4254;149289;327449;4118;147462;323446
70;Totaal;Nederland;2022 november;4254;149289;327449;4004;146581;321524
71;Totaal;Nederland;2022 december;4254;149289;327449;3935;145694;319600
72;Totaal;Nederland;2023 januari;3910;148131;321123;3516;143608;311018
73;Totaal;Nederland;2023 februari;3910;148131;321123;3585;144515;313058
74;Totaal;Nederland;2023 maart;3910;148131;321123;3719;145960;316188
75;Totaal;Nederland;2023 april;3910;148131;321123;3846;147055;318697
76;Totaal;Nederland;2023 mei;3910;148131;321123;3871;147340;319362
77;Totaal;Nederland;2023 juni;3910;148131;321123;3877;147535;319770
78;Totaal;Nederland;2023 juli;3910;148131;321123;3871;147299;319257
79;Totaal;Nederland;2023 augustus;3910;148131;321123;3858;147177;319022
80;Totaal;Nederland;2023 september;3910;148131;321123;3852;147347;319345
81;Totaal;Nederland;2023 oktober;3910;148131;321123;3800;146943;318414
82;Totaal;Nederland;2023 november;3910;148131;321123;3682;146027;316351
