ID;Persoonskenmerken;Perioden;VerkeerEnOfIndustrie_1;Vliegverkeer_2;Railverkeer_3;Wegverkeer_4;Industrie_5;Buren_6;VerkeerEnOfIndustrie_7;Verkeer_8;Industrie_9;Landbouw_10;OpenHaardenEnOfAllesbranders_11;DrankInStatiegeldverpakking_12;AfvalglasNaarDeGlasbak_13;GroenteFruitafvalScheiden_14;TuinafvalScheiden_15;ChemischAfvalScheiden_16;PapierafvalScheiden_17;EigenTasGebruikenVoorBoodschappen_18;GebruikBleekmiddelen_19;GebruikChemischeToiletVerfrisser_20;GebruikSpaarlampenInDeWoning_21;MinderLichtLatenBranden_22;WaterbesparendePogingen_23;HRCVKetel_24;VRCVKetel_25;DubbelGlas_26;LuchtBodemEnWaterVerontreinigd_27;EconomischeOntwikkeling_28;SchadeAanNatuur_29;SchoneIndustrie_30;Waterverontreiniging_31;MeerBelastingBetalen_32;Demonstratie_33;Propaganda_34;ActiesTegenZureRegen_35;Spouwmuren_36;Dak_37;Vloer_38;GebruikGroeneStroom_39;Gestegen_40;NietGestegen_41;StijgingOnbekend_42
0;1;1997;41.0;19.0;5.0;27.0;3.0;21.0;17.0;8.0;11.0;14.0;10.0;71.0;90.0;80.0;92.0;86.0;89.0;80.0;;;;;;;;;67.0;35.0;74.0;67.0;22.0;41.0;9.0;22.0;27.0;;;;;;;
1;1;1998;42.0;19.0;5.0;28.0;4.0;20.0;15.0;7.0;9.0;12.0;10.0;70.0;90.0;78.0;92.0;85.0;89.0;80.0;;;;;;;;;62.0;30.0;71.0;66.0;20.0;43.0;9.0;21.0;24.0;;;;;;;
2;1;1999;41.0;18.0;6.0;28.0;4.0;20.0;15.0;7.0;10.0;11.0;9.0;68.0;90.0;76.0;92.0;84.0;89.0;79.0;;;60.0;79.0;80.0;53.0;19.0;86.0;61.0;33.0;71.0;70.0;19.0;46.0;10.0;21.0;25.0;;;;;;;
3;1;2000;43.0;19.0;7.0;29.0;4.0;20.0;15.0;7.0;10.0;11.0;9.0;67.0;89.0;75.0;90.0;83.0;88.0;78.0;;;63.0;80.0;82.0;57.0;18.0;86.0;61.0;34.0;72.0;68.0;20.0;43.0;9.0;19.0;24.0;;;;;;;
4;1;2001;42.0;18.0;6.0;30.0;3.0;21.0;15.0;7.0;10.0;10.0;9.0;66.0;89.0;74.0;92.0;85.0;89.0;78.0;;;;;;;;89.0;61.0;34.0;74.0;70.0;19.0;45.0;11.0;20.0;26.0;;;;;;;
5;1;2002;43.0;19.0;7.0;32.0;4.0;20.0;13.0;7.0;9.0;10.0;8.0;62.0;88.0;73.0;91.0;85.0;88.0;79.0;;;63.0;79.0;79.0;61.0;18.0;90.0;62.0;36.0;74.0;64.0;22.0;44.0;10.0;19.0;23.0;;;;;;;
6;1;2003;44.0;18.0;6.0;33.0;4.0;;14.0;7.0;9.0;12.0;11.0;;87.0;72.0;91.0;83.0;89.0;;48.0;82.0;63.0;78.0;78.0;64.0;16.0;90.0;;;;;;;;;;65.0;69.0;47.0;33.0;36.0;44.0;20.0
7;1;2004;43.0;18.0;6.0;31.0;3.0;;14.0;6.0;9.0;11.0;11.0;;86.0;70.0;91.0;83.0;89.0;;49.0;82.0;65.0;78.0;77.0;66.0;17.0;91.0;;;;;;;;;;68.0;70.0;49.0;38.0;38.0;42.0;20.0
8;1;2005;44.0;17.0;6.0;32.0;4.0;20.0;13.0;7.0;8.0;11.0;11.0;59.0;85.0;68.0;90.0;81.0;90.0;;;;;;;;;;;;;;;;;;;;;;;;;
9;1;2006;44.0;18.0;7.0;33.0;3.0;20.0;13.0;6.0;8.0;10.0;12.0;56.0;87.0;67.0;93.0;88.0;91.0;;;;;;;;;;;;;;;;;;;;;;;;;
