ID;AfzetEnVerbruik;SBI93;Perioden;Prijsindexcijfer_1;MaandOpMaandOntwikkeling_2;JaarOpJaarOntwikkeling_3;Wegingscoefficient_4
0;Totale afzet;C Delfstoffenwinning;1995 januari;98.4;0.0;0.0;100000
1;Totale afzet;C Delfstoffenwinning;1995 februari;99.3;0.96;0.0;100000
2;Totale afzet;C Delfstoffenwinning;1995 maart;98.4;-0.94;0.0;100000
3;Totale afzet;C Delfstoffenwinning;1995 april;101.4;3.04;0.0;100000
4;Totale afzet;C Delfstoffenwinning;1995 mei;100.2;-1.18;0.0;100000
5;Totale afzet;C Delfstoffenwinning;1995 juni;99.9;-0.31;0.0;100000
6;Totale afzet;C Delfstoffenwinning;1995 juli;104.6;4.67;0.0;100000
7;Totale afzet;C Delfstoffenwinning;1995 augustus;102.2;-2.22;0.0;100000
8;Totale afzet;C Delfstoffenwinning;1995 september;99.6;-2.53;0.0;100000
9;Totale afzet;C Delfstoffenwinning;1995 oktober;93.9;-5.79;0.0;100000
10;Totale afzet;C Delfstoffenwinning;1995 november;94.1;0.23;0.0;100000
11;Totale afzet;C Delfstoffenwinning;1995 december;93.9;-0.24;0.0;100000
12;Totale afzet;C Delfstoffenwinning;1995;98.8;;0.0;100000
13;Totale afzet;C Delfstoffenwinning;1996 januari;96.0;2.23;-2.47;100000
14;Totale afzet;C Delfstoffenwinning;1996 februari;96.1;0.1;-3.3;100000
15;Totale afzet;C Delfstoffenwinning;1996 maart;97.6;1.64;-0.79;100000
16;Totale afzet;C Delfstoffenwinning;1996 april;102.8;5.25;1.34;100000
17;Totale afzet;C Delfstoffenwinning;1996 mei;102.9;0.12;2.68;100000
18;Totale afzet;C Delfstoffenwinning;1996 juni;104.0;1.11;4.13;100000
19;Totale afzet;C Delfstoffenwinning;1996 juli;107.9;3.74;3.21;100000
20;Totale afzet;C Delfstoffenwinning;1996 augustus;110.1;2.03;7.7;100000
21;Totale afzet;C Delfstoffenwinning;1996 september;110.5;0.39;10.92;100000
22;Totale afzet;C Delfstoffenwinning;1996 oktober;109.4;-1.05;16.5;100000
23;Totale afzet;C Delfstoffenwinning;1996 november;109.7;0.31;16.59;100000
24;Totale afzet;C Delfstoffenwinning;1996 december;111.0;1.2;18.28;100000
25;Totale afzet;C Delfstoffenwinning;1996;104.8;;6.07;100000
26;Totale afzet;C Delfstoffenwinning;1997 januari;115.4;3.93;20.25;100000
27;Totale afzet;C Delfstoffenwinning;1997 februari;115.8;0.31;20.5;100000
28;Totale afzet;C Delfstoffenwinning;1997 maart;115.3;-0.35;18.14;100000
29;Totale afzet;C Delfstoffenwinning;1997 april;117.2;1.61;14.05;100000
30;Totale afzet;C Delfstoffenwinning;1997 mei;117.9;0.61;14.61;100000
31;Totale afzet;C Delfstoffenwinning;1997 juni;117.0;-0.76;12.49;100000
32;Totale afzet;C Delfstoffenwinning;1997 juli;114.3;-2.29;5.95;100000
33;Totale afzet;C Delfstoffenwinning;1997 augustus;113.9;-0.37;3.45;100000
34;Totale afzet;C Delfstoffenwinning;1997 september;112.9;-0.88;2.15;100000
35;Totale afzet;C Delfstoffenwinning;1997 oktober;112.8;-0.07;3.17;100000
36;Totale afzet;C Delfstoffenwinning;1997 november;112.3;-0.45;2.38;100000
37;Totale afzet;C Delfstoffenwinning;1997 december;111.4;-0.82;0.34;100000
38;Totale afzet;C Delfstoffenwinning;1997;114.7;;9.41;100000
39;Totale afzet;C Delfstoffenwinning;1998 januari;113.4;1.76;-1.76;100000
40;Totale afzet;C Delfstoffenwinning;1998 februari;112.9;-0.41;-2.47;100000
41;Totale afzet;C Delfstoffenwinning;1998 maart;112.4;-0.46;-2.57;100000
42;Totale afzet;C Delfstoffenwinning;1998 april;109.1;-2.93;-6.92;100000
43;Totale afzet;C Delfstoffenwinning;1998 mei;109.0;-0.09;-7.57;100000
44;Totale afzet;C Delfstoffenwinning;1998 juni;106.5;-2.26;-8.96;100000
45;Totale afzet;C Delfstoffenwinning;1998 juli;100.7;-5.42;-11.89;100000
46;Totale afzet;C Delfstoffenwinning;1998 augustus;99.2;-1.56;-12.94;100000
47;Totale afzet;C Delfstoffenwinning;1998 september;97.6;-1.61;-13.58;100000
48;Totale afzet;C Delfstoffenwinning;1998 oktober;93.5;-4.22;-17.17;100000
49;Totale afzet;C Delfstoffenwinning;1998 november;92.1;-1.49;-18.04;100000
50;Totale afzet;C Delfstoffenwinning;1998 december;90.7;-1.51;-18.61;100000
51;Totale afzet;C Delfstoffenwinning;1998;103.1;;-10.13;100000
52;Totale afzet;C Delfstoffenwinning;1999 januari;87.5;-3.52;-22.84;100000
53;Totale afzet;C Delfstoffenwinning;1999 februari;87.7;0.28;-22.3;100000
54;Totale afzet;C Delfstoffenwinning;1999 maart;87.5;-0.24;-22.13;100000
55;Totale afzet;C Delfstoffenwinning;1999 april;88.3;0.89;-19.07;100000
56;Totale afzet;C Delfstoffenwinning;1999 mei;88.6;0.37;-18.7;100000
57;Totale afzet;C Delfstoffenwinning;1999 juni;89.3;0.84;-16.12;100000
58;Totale afzet;C Delfstoffenwinning;1999 juli;94.4;5.69;-6.27;100000
59;Totale afzet;C Delfstoffenwinning;1999 augustus;96.2;1.92;-2.96;100000
60;Totale afzet;C Delfstoffenwinning;1999 september;98.8;2.64;1.24;100000
61;Totale afzet;C Delfstoffenwinning;1999 oktober;109.7;11.01;17.34;100000
62;Totale afzet;C Delfstoffenwinning;1999 november;113.5;3.46;23.24;100000
63;Totale afzet;C Delfstoffenwinning;1999 december;117.0;3.14;29.06;100000
64;Totale afzet;C Delfstoffenwinning;1999;96.5;;-6.34;100000
65;Totale afzet;C Delfstoffenwinning;2000 januari;129.3;10.5;47.81;100000
66;Totale afzet;C Delfstoffenwinning;2000 februari;134.2;3.78;52.97;100000
67;Totale afzet;C Delfstoffenwinning;2000 maart;137.2;2.24;56.77;100000
68;Totale afzet;C Delfstoffenwinning;2000 april;143.9;4.91;63.02;100000
69;Totale afzet;C Delfstoffenwinning;2000 mei;149.4;3.79;68.58;100000
70;Totale afzet;C Delfstoffenwinning;2000 juni;153.7;2.9;72.03;100000
71;Totale afzet;C Delfstoffenwinning;2000 juli;161.9;5.33;71.44;100000
72;Totale afzet;C Delfstoffenwinning;2000 augustus;166.5;2.85;73.01;100000
73;Totale afzet;C Delfstoffenwinning;2000 september;171.7;3.13;73.84;100000
74;Totale afzet;C Delfstoffenwinning;2000 oktober;176.1;2.54;60.57;100000
75;Totale afzet;C Delfstoffenwinning;2000 november;179.9;2.18;58.58;100000
76;Totale afzet;C Delfstoffenwinning;2000 december;176.4;-1.96;50.74;100000
77;Totale afzet;C Delfstoffenwinning;2000;156.7;;62.29;100000
78;Totale afzet;C Delfstoffenwinning;2001 januari;184.4;4.52;42.59;100000
79;Totale afzet;C Delfstoffenwinning;2001 februari;191.3;3.74;42.54;100000
80;Totale afzet;C Delfstoffenwinning;2001 maart;185.8;-2.87;35.42;100000
81;Totale afzet;C Delfstoffenwinning;2001 april;181.1;-2.52;25.84;100000
82;Totale afzet;C Delfstoffenwinning;2001 mei;184.9;2.11;23.8;100000
83;Totale afzet;C Delfstoffenwinning;2001 juni;182.7;-1.19;18.88;100000
84;Totale afzet;C Delfstoffenwinning;2001 juli;171.6;-6.1;5.98;100000
85;Totale afzet;C Delfstoffenwinning;2001 augustus;168.4;-1.82;1.17;100000
86;Totale afzet;C Delfstoffenwinning;2001 september;164.1;-2.56;-4.41;100000
87;Totale afzet;C Delfstoffenwinning;2001 oktober;160.8;-2.03;-8.67;100000
88;Totale afzet;C Delfstoffenwinning;2001 november;159.3;-0.91;-11.43;100000
89;Totale afzet;C Delfstoffenwinning;2001 december;157.5;-1.15;-10.69;100000
90;Totale afzet;C Delfstoffenwinning;2001;174.3;;11.27;100000
91;Totale afzet;C Delfstoffenwinning;2002 januari;150.2;-4.65;-18.53;100000
92;Totale afzet;C Delfstoffenwinning;2002 februari;150.7;0.36;-21.19;100000
93;Totale afzet;C Delfstoffenwinning;2002 maart;152.3;1.07;-17.99;100000
94;Totale afzet;C Delfstoffenwinning;2002 april;155.5;2.1;-14.11;100000
95;Totale afzet;C Delfstoffenwinning;2002 mei;153.8;-1.12;-16.82;100000
96;Totale afzet;C Delfstoffenwinning;2002 juni;151.5;-1.48;-17.07;100000
97;Totale afzet;C Delfstoffenwinning;2002 juli;155.7;2.77;-9.23;100000
98;Totale afzet;C Delfstoffenwinning;2002 augustus;158.5;1.77;-5.91;100000
99;Totale afzet;C Delfstoffenwinning;2002 september;157.9;-0.39;-3.82;100000
100;Totale afzet;C Delfstoffenwinning;2002 oktober;164.1;3.95;2.05;100000
101;Totale afzet;C Delfstoffenwinning;2002 november;165.4;0.76;3.77;100000
102;Totale afzet;C Delfstoffenwinning;2002 december;167.4;1.24;6.28;100000
103;Totale afzet;C Delfstoffenwinning;2002;156.9;;-9.98;100000
104;Totale afzet;C Delfstoffenwinning;2003 januari;177.3;5.94;18.07;100000
105;Totale afzet;C Delfstoffenwinning;2003 februari;178.6;0.68;18.45;100000
106;Totale afzet;C Delfstoffenwinning;2003 maart;179.0;0.28;17.52;100000
