ID;Geslacht;Leeftijd;Postcode;Perioden;Bevolking_1
0;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;1998;15654192.0
1;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;1999;15760225.0
2;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2000;15863950.0
3;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2001;15987075.0
4;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2002;16105285.0
5;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2003;16192572.0
6;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2004;16258032.0
7;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2005;16305526.0
8;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2006;16334210.0
9;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2007;16357992.0
10;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2008;16405399.0
11;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2009;16485787.0
12;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2010;16574989.0
13;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2011;16655799.0
14;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2012;16730348.0
15;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2013;16779575.0
16;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2014;16829289.0
17;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2015;16900726.0
18;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2016;16979120.0
19;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2017;17081507.0
20;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2018;17181084.0
21;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2019;17282163.0
22;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2020;17407585.0
23;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2021;17475415.0
24;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2022;17590672.0
25;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2023;17811291.0
26;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2024;17942942.0
27;Totaal mannen en vrouwen;Totaal leeftijd;Niet in te delen;1998;9160.0
28;Totaal mannen en vrouwen;Totaal leeftijd;Niet in te delen;1999;9925.0
29;Totaal mannen en vrouwen;Totaal leeftijd;Niet in te delen;2000;7470.0
30;Totaal mannen en vrouwen;Totaal leeftijd;Niet in te delen;2001;8060.0
31;Totaal mannen en vrouwen;Totaal leeftijd;Niet in te delen;2002;6330.0
32;Totaal mannen en vrouwen;Totaal leeftijd;Niet in te delen;2003;5590.0
33;Totaal mannen en vrouwen;Totaal leeftijd;Niet in te delen;2004;5590.0
34;Totaal mannen en vrouwen;Totaal leeftijd;Niet in te delen;2005;6300.0
35;Totaal mannen en vrouwen;Totaal leeftijd;Niet in te delen;2006;5845.0
36;Totaal mannen en vrouwen;Totaal leeftijd;Niet in te delen;2007;4955.0
37;Totaal mannen en vrouwen;Totaal leeftijd;Niet in te delen;2008;4615.0
38;Totaal mannen en vrouwen;Totaal leeftijd;Niet in te delen;2009;4225.0
39;Totaal mannen en vrouwen;Totaal leeftijd;Niet in te delen;2010;4235.0
40;Totaal mannen en vrouwen;Totaal leeftijd;Niet in te delen;2011;3915.0
41;Totaal mannen en vrouwen;Totaal leeftijd;Niet in te delen;2012;2790.0
42;Totaal mannen en vrouwen;Totaal leeftijd;Niet in te delen;2013;2435.0
43;Totaal mannen en vrouwen;Totaal leeftijd;Niet in te delen;2014;2395.0
44;Totaal mannen en vrouwen;Totaal leeftijd;Niet in te delen;2015;1695.0
45;Totaal mannen en vrouwen;Totaal leeftijd;Niet in te delen;2016;1565.0
46;Totaal mannen en vrouwen;Totaal leeftijd;Niet in te delen;2017;1170.0
47;Totaal mannen en vrouwen;Totaal leeftijd;Niet in te delen;2018;1120.0
48;Totaal mannen en vrouwen;Totaal leeftijd;Niet in te delen;2019;1835.0
49;Totaal mannen en vrouwen;Totaal leeftijd;Niet in te delen;2020;2035.0
50;Totaal mannen en vrouwen;Totaal leeftijd;Niet in te delen;2021;2545.0
51;Totaal mannen en vrouwen;Totaal leeftijd;Niet in te delen;2022;2850.0
52;Totaal mannen en vrouwen;Totaal leeftijd;Niet in te delen;2023;1665.0
53;Totaal mannen en vrouwen;Totaal leeftijd;Niet in te delen;2024;565.0
54;Totaal mannen en vrouwen;Totaal leeftijd;1011;1998;7935.0
55;Totaal mannen en vrouwen;Totaal leeftijd;1011;1999;8460.0
56;Totaal mannen en vrouwen;Totaal leeftijd;1011;2000;8695.0
57;Totaal mannen en vrouwen;Totaal leeftijd;1011;2001;8655.0
58;Totaal mannen en vrouwen;Totaal leeftijd;1011;2002;8660.0
59;Totaal mannen en vrouwen;Totaal leeftijd;1011;2003;8620.0
60;Totaal mannen en vrouwen;Totaal leeftijd;1011;2004;8760.0
61;Totaal mannen en vrouwen;Totaal leeftijd;1011;2005;8895.0
62;Totaal mannen en vrouwen;Totaal leeftijd;1011;2006;8815.0
63;Totaal mannen en vrouwen;Totaal leeftijd;1011;2007;8545.0
64;Totaal mannen en vrouwen;Totaal leeftijd;1011;2008;8660.0
65;Totaal mannen en vrouwen;Totaal leeftijd;1011;2009;8775.0
66;Totaal mannen en vrouwen;Totaal leeftijd;1011;2010;8810.0
67;Totaal mannen en vrouwen;Totaal leeftijd;1011;2011;9000.0
68;Totaal mannen en vrouwen;Totaal leeftijd;1011;2012;9025.0
69;Totaal mannen en vrouwen;Totaal leeftijd;1011;2013;9320.0
70;Totaal mannen en vrouwen;Totaal leeftijd;1011;2014;9410.0
71;Totaal mannen en vrouwen;Totaal leeftijd;1011;2015;9540.0
72;Totaal mannen en vrouwen;Totaal leeftijd;1011;2016;9605.0
73;Totaal mannen en vrouwen;Totaal leeftijd;1011;2017;9645.0
74;Totaal mannen en vrouwen;Totaal leeftijd;1011;2018;9765.0
75;Totaal mannen en vrouwen;Totaal leeftijd;1011;2019;9670.0
76;Totaal mannen en vrouwen;Totaal leeftijd;1011;2020;9705.0
77;Totaal mannen en vrouwen;Totaal leeftijd;1011;2021;9630.0
78;Totaal mannen en vrouwen;Totaal leeftijd;1011;2022;9760.0
79;Totaal mannen en vrouwen;Totaal leeftijd;1011;2023;9910.0
80;Totaal mannen en vrouwen;Totaal leeftijd;1011;2024;10015.0
81;Totaal mannen en vrouwen;Totaal leeftijd;1012;1998;7680.0
82;Totaal mannen en vrouwen;Totaal leeftijd;1012;1999;7740.0
83;Totaal mannen en vrouwen;Totaal leeftijd;1012;2000;7730.0
84;Totaal mannen en vrouwen;Totaal leeftijd;1012;2001;7760.0
85;Totaal mannen en vrouwen;Totaal leeftijd;1012;2002;7610.0
86;Totaal mannen en vrouwen;Totaal leeftijd;1012;2003;7410.0
87;Totaal mannen en vrouwen;Totaal leeftijd;1012;2004;7015.0
88;Totaal mannen en vrouwen;Totaal leeftijd;1012;2005;7050.0
89;Totaal mannen en vrouwen;Totaal leeftijd;1012;2006;7200.0
90;Totaal mannen en vrouwen;Totaal leeftijd;1012;2007;7235.0
91;Totaal mannen en vrouwen;Totaal leeftijd;1012;2008;7470.0
92;Totaal mannen en vrouwen;Totaal leeftijd;1012;2009;7500.0
93;Totaal mannen en vrouwen;Totaal leeftijd;1012;2010;8065.0
94;Totaal mannen en vrouwen;Totaal leeftijd;1012;2011;8025.0
95;Totaal mannen en vrouwen;Totaal leeftijd;1012;2012;8065.0
96;Totaal mannen en vrouwen;Totaal leeftijd;1012;2013;8090.0
97;Totaal mannen en vrouwen;Totaal leeftijd;1012;2014;8285.0
98;Totaal mannen en vrouwen;Totaal leeftijd;1012;2015;8440.0
99;Totaal mannen en vrouwen;Totaal leeftijd;1012;2016;8245.0
100;Totaal mannen en vrouwen;Totaal leeftijd;1012;2017;8235.0
101;Totaal mannen en vrouwen;Totaal leeftijd;1012;2018;8235.0
102;Totaal mannen en vrouwen;Totaal leeftijd;1012;2019;8420.0
103;Totaal mannen en vrouwen;Totaal leeftijd;1012;2020;8600.0
104;Totaal mannen en vrouwen;Totaal leeftijd;1012;2021;8540.0
105;Totaal mannen en vrouwen;Totaal leeftijd;1012;2022;8800.0
106;Totaal mannen en vrouwen;Totaal leeftijd;1012;2023;8900.0
107;Totaal mannen en vrouwen;Totaal leeftijd;1012;2024;9115.0
108;Totaal mannen en vrouwen;Totaal leeftijd;1013;1998;18630.0
109;Totaal mannen en vrouwen;Totaal leeftijd;1013;1999;18660.0
110;Totaal mannen en vrouwen;Totaal leeftijd;1013;2000;18605.0
111;Totaal mannen en vrouwen;Totaal leeftijd;1013;2001;18745.0
112;Totaal mannen en vrouwen;Totaal leeftijd;1013;2002;18650.0
113;Totaal mannen en vrouwen;Totaal leeftijd;1013;2003;18570.0
114;Totaal mannen en vrouwen;Totaal leeftijd;1013;2004;18560.0
115;Totaal mannen en vrouwen;Totaal leeftijd;1013;2005;18755.0
116;Totaal mannen en vrouwen;Totaal leeftijd;1013;2006;19195.0
117;Totaal mannen en vrouwen;Totaal leeftijd;1013;2007;18900.0
118;Totaal mannen en vrouwen;Totaal leeftijd;1013;2008;19040.0
119;Totaal mannen en vrouwen;Totaal leeftijd;1013;2009;19720.0
120;Totaal mannen en vrouwen;Totaal leeftijd;1013;2010;20450.0
121;Totaal mannen en vrouwen;Totaal leeftijd;1013;2011;21180.0
122;Totaal mannen en vrouwen;Totaal leeftijd;1013;2012;21555.0
123;Totaal mannen en vrouwen;Totaal leeftijd;1013;2013;21570.0
124;Totaal mannen en vrouwen;Totaal leeftijd;1013;2014;21560.0
125;Totaal mannen en vrouwen;Totaal leeftijd;1013;2015;21635.0
126;Totaal mannen en vrouwen;Totaal leeftijd;1013;2016;21180.0
127;Totaal mannen en vrouwen;Totaal leeftijd;1013;2017;21080.0
128;Totaal mannen en vrouwen;Totaal leeftijd;1013;2018;21135.0
129;Totaal mannen en vrouwen;Totaal leeftijd;1013;2019;21335.0
130;Totaal mannen en vrouwen;Totaal leeftijd;1013;2020;21395.0
131;Totaal mannen en vrouwen;Totaal leeftijd;1013;2021;21255.0
132;Totaal mannen en vrouwen;Totaal leeftijd;1013;2022;21940.0
133;Totaal mannen en vrouwen;Totaal leeftijd;1013;2023;22350.0
134;Totaal mannen en vrouwen;Totaal leeftijd;1013;2024;23020.0
135;Totaal mannen en vrouwen;Totaal leeftijd;1014;1998;135.0
136;Totaal mannen en vrouwen;Totaal leeftijd;1014;1999;130.0
