ID;AantalVoertuigenInHuishouden;Huishoudkenmerken;Perioden;HuishoudensInBezitVanAuto_1;HuishoudensInBezitVanAuto_2;HuishoudensInBezitVanMotor_3;HuishoudensInBezitVanMotor_4
0;Minimaal één voertuig;Particuliere huishoudens;2010;5274300;71.6;471100;6.4
1;Minimaal één voertuig;Particuliere huishoudens;2011;5335100;71.4;477300;6.4
2;Minimaal één voertuig;Particuliere huishoudens;2012;5381300;71.5;482100;6.4
3;Minimaal één voertuig;Particuliere huishoudens;2013;5415200;71.4;484400;6.4
4;Minimaal één voertuig;Particuliere huishoudens;2014;5432700;71.5;483900;6.4
5;Minimaal één voertuig;Particuliere huishoudens;2015;5471400;71.3;481900;6.3
6;Minimaal één voertuig;Type: Eenpersoonshuishouden;2010;1179300;44.0;81300;3.0
7;Minimaal één voertuig;Type: Eenpersoonshuishouden;2011;1224000;44.3;84100;3.0
8;Minimaal één voertuig;Type: Eenpersoonshuishouden;2012;1231400;44.6;84300;3.1
9;Minimaal één voertuig;Type: Eenpersoonshuishouden;2013;1253400;44.7;85900;3.1
10;Minimaal één voertuig;Type: Eenpersoonshuishouden;2014;1266900;45.2;87100;3.1
11;Minimaal één voertuig;Type: Eenpersoonshuishouden;2015;1294400;45.1;88200;3.1
12;Minimaal één voertuig;Type: Meerpersoonshuishouden;2010;4095000;87.3;389800;8.3
13;Minimaal één voertuig;Type: Meerpersoonshuishouden;2011;4111000;87.3;393200;8.3
14;Minimaal één voertuig;Type: Meerpersoonshuishouden;2012;4149800;87.3;397800;8.4
15;Minimaal één voertuig;Type: Meerpersoonshuishouden;2013;4161700;87.3;398400;8.4
16;Minimaal één voertuig;Type: Meerpersoonshuishouden;2014;4165700;87.0;396800;8.3
17;Minimaal één voertuig;Type: Meerpersoonshuishouden;2015;4176900;87.1;393700;8.2
18;Minimaal één voertuig;Type: Eenoudergezin;2010;291200;63.1;17300;3.7
19;Minimaal één voertuig;Type: Eenoudergezin;2011;314500;63.6;19400;3.9
20;Minimaal één voertuig;Type: Eenoudergezin;2012;323900;64.1;20100;4.0
21;Minimaal één voertuig;Type: Eenoudergezin;2013;331600;64.2;20700;4.0
22;Minimaal één voertuig;Type: Eenoudergezin;2014;339200;63.9;21400;4.0
23;Minimaal één voertuig;Type: Eenoudergezin;2015;346100;64.2;21500;4.0
24;Minimaal één voertuig;Type: Paar, totaal;2010;3750400;90.4;368100;8.9
25;Minimaal één voertuig;Type: Paar, totaal;2011;3762500;90.4;371000;8.9
26;Minimaal één voertuig;Type: Paar, totaal;2012;3791700;90.5;374800;8.9
27;Minimaal één voertuig;Type: Paar, totaal;2013;3796400;90.5;374800;8.9
28;Minimaal één voertuig;Type: Paar, totaal;2014;3794000;90.3;372400;8.9
29;Minimaal één voertuig;Type: Paar, totaal;2015;3797000;90.3;368900;8.8
30;Minimaal één voertuig;Type: Paar, met kind(eren);2010;1874200;93.8;220600;11.0
31;Minimaal één voertuig;Type: Paar, met kind(eren);2011;1916200;93.8;226400;11.1
32;Minimaal één voertuig;Type: Paar, met kind(eren);2012;1920200;93.9;226300;11.1
33;Minimaal één voertuig;Type: Paar, met kind(eren);2013;1914100;93.9;223800;11.0
34;Minimaal één voertuig;Type: Paar, met kind(eren);2014;1901400;93.6;218900;10.8
35;Minimaal één voertuig;Type: Paar, met kind(eren);2015;1894300;93.6;214100;10.6
36;Minimaal één voertuig;Type: Paar, zonder kind;2010;1876200;87.3;147400;6.9
37;Minimaal één voertuig;Type: Paar, zonder kind;2011;1846300;87.2;144500;6.8
38;Minimaal één voertuig;Type: Paar, zonder kind;2012;1871500;87.2;148500;6.9
39;Minimaal één voertuig;Type: Paar, zonder kind;2013;1882300;87.3;151000;7.0
40;Minimaal één voertuig;Type: Paar, zonder kind;2014;1892600;87.2;153500;7.1
41;Minimaal één voertuig;Type: Paar, zonder kind;2015;1902700;87.3;154800;7.1
42;Minimaal één voertuig;Type: Meerpersoonshuishouden, overig;2010;53400;66.0;4500;5.6
43;Minimaal één voertuig;Type: Meerpersoonshuishouden, overig;2011;34100;61.6;2800;5.1
44;Minimaal één voertuig;Type: Meerpersoonshuishouden, overig;2012;34200;61.7;2900;5.3
45;Minimaal één voertuig;Type: Meerpersoonshuishouden, overig;2013;33700;61.8;2900;5.4
46;Minimaal één voertuig;Type: Meerpersoonshuishouden, overig;2014;32500;60.4;3000;5.6
47;Minimaal één voertuig;Type: Meerpersoonshuishouden, overig;2015;33900;62.0;3300;6.0
48;Minimaal één voertuig;Huishoudensgrootte: 1 persoon;2010;1179300;44.0;81300;3.0
49;Minimaal één voertuig;Huishoudensgrootte: 1 persoon;2011;1224000;44.3;84100;3.0
50;Minimaal één voertuig;Huishoudensgrootte: 1 persoon;2012;1231500;44.4;84300;3.0
51;Minimaal één voertuig;Huishoudensgrootte: 1 persoon;2013;1253600;44.5;85900;3.1
52;Minimaal één voertuig;Huishoudensgrootte: 1 persoon;2014;1267000;45.0;87200;3.1
53;Minimaal één voertuig;Huishoudensgrootte: 1 persoon;2015;1294500;44.9;88200;3.1
