ID;TypeNietFinancieleActiva;Sectoren;Perioden;Beginbalans_1;Herwaardering_2;Kapitaalvorming_3;OverigeVolumemutaties_4;StatistischVerschil_5;Eindbalans_6;VolumeIndex2021100_7
0;Niet-financiële activa;Totaal alle sectoren;1995;;;;;;1366070;
1;Niet-financiële activa;Totaal alle sectoren;1996;1366070.0;92346.0;22819.0;1225.0;-1.0;1482459;76.4
2;Niet-financiële activa;Totaal alle sectoren;1997;1482459.0;97410.0;26761.0;2774.0;-2.0;1609402;77.8
3;Niet-financiële activa;Totaal alle sectoren;1998;1609402.0;83059.0;30322.0;5192.0;0.0;1727975;79.5
4;Niet-financiële activa;Totaal alle sectoren;1999;1727975.0;143413.0;33749.0;6031.0;0.0;1911168;81.2
5;Niet-financiële activa;Totaal alle sectoren;2000;1911168.0;253431.0;33133.0;4312.0;-1.0;2202043;82.6
6;Niet-financiële activa;Totaal alle sectoren;2001;2202043.0;212380.0;34143.0;3900.0;0.0;2452466;83.9
7;Niet-financiële activa;Totaal alle sectoren;2002;2452466.0;84260.0;25581.0;4694.0;0.0;2567001;84.9
8;Niet-financiële activa;Totaal alle sectoren;2003;2567001.0;63697.0;22312.0;5160.0;-1.0;2658169;85.8
9;Niet-financiële activa;Totaal alle sectoren;2004;2658169.0;62546.0;22065.0;4053.0;0.0;2746833;86.6
10;Niet-financiële activa;Totaal alle sectoren;2005;2746833.0;109595.0;24795.0;169.0;0.0;2881392;87.3
11;Niet-financiële activa;Totaal alle sectoren;2006;2881392.0;147550.0;31072.0;-906.0;1.0;3059109;88.2
12;Niet-financiële activa;Totaal alle sectoren;2007;3059109.0;113782.0;48261.0;4028.0;-2.0;3225178;89.7
13;Niet-financiële activa;Totaal alle sectoren;2008;3225178.0;147651.0;40133.0;3717.0;0.0;3416679;90.8
14;Niet-financiële activa;Totaal alle sectoren;2009;3416679.0;-101201.0;23446.0;12833.0;-1.0;3351756;91.8
15;Niet-financiële activa;Totaal alle sectoren;2010;3351756.0;-22211.0;19190.0;-3312.0;-1.0;3345422;92.3
16;Niet-financiële activa;Totaal alle sectoren;2011;3345422.0;-6569.0;21737.0;-2281.0;0.0;3358309;92.8
17;Niet-financiële activa;Totaal alle sectoren;2012;3358309.0;-70483.0;12378.0;-7544.0;0.0;3292660;92.9
18;Niet-financiële activa;Totaal alle sectoren;2013;3292660.0;-105820.0;9118.0;-4592.0;0.0;3191366;93.1
19;Niet-financiële activa;Totaal alle sectoren;2014;3191366.0;6849.0;5753.0;-8715.0;1.0;3195254;93.0
20;Niet-financiële activa;Totaal alle sectoren;2015;3195254.0;38743.0;39537.0;3429.0;-1.0;3276962;94.2
21;Niet-financiële activa;Totaal alle sectoren;2016;3276962.0;28762.0;24726.0;754.0;2.0;3331206;94.9
22;Niet-financiële activa;Totaal alle sectoren;2017;3331206.0;174814.0;31276.0;-26026.0;0.0;3511270;95.1
23;Niet-financiële activa;Totaal alle sectoren;2018;3511270.0;218644.0;35457.0;6201.0;-1.0;3771571;96.1
24;Niet-financiële activa;Totaal alle sectoren;2019;3771571.0;169501.0;48911.0;7827.0;0.0;3997810;97.5
25;Niet-financiële activa;Totaal alle sectoren;2020;3997810.0;199618.0;36508.0;12096.0;0.0;4246032;98.7
26;Niet-financiële activa;Totaal alle sectoren;2021;4246032.0;452708.0;53000.0;10926.0;1.0;4762667;100.0
27;Niet-financiële activa;Totaal alle sectoren;2022;4762667.0;620220.0;69467.0;-24954.0;-4.0;5427396;100.8
28;Niet-financiële activa;Totaal alle sectoren;2023;5427396.0;-60560.0;45786.0;5564.0;0.0;5418186;101.8
29;Niet-financiële activa;Niet-financiële vennootschappen;1995;;;;;;533063;
30;Niet-financiële activa;Niet-financiële vennootschappen;1996;533063.0;21453.0;8897.0;264.0;-7.0;563670;73.8
31;Niet-financiële activa;Niet-financiële vennootschappen;1997;563670.0;26029.0;10914.0;526.0;-6.0;601133;75.2
32;Niet-financiële activa;Niet-financiële vennootschappen;1998;601133.0;24469.0;12637.0;1126.0;-1.0;639364;76.9
33;Niet-financiële activa;Niet-financiële vennootschappen;1999;639364.0;42557.0;13964.0;1219.0;-4.0;697100;78.6
34;Niet-financiële activa;Niet-financiële vennootschappen;2000;697100.0;57084.0;11718.0;1303.0;0.0;767205;80.0
35;Niet-financiële activa;Niet-financiële vennootschappen;2001;767205.0;40440.0;11492.0;1676.0;-3.0;820810;81.3
36;Niet-financiële activa;Niet-financiële vennootschappen;2002;820810.0;30099.0;3995.0;1759.0;-2.0;856661;81.8
37;Niet-financiële activa;Niet-financiële vennootschappen;2003;856661.0;14070.0;2084.0;2269.0;-5.0;875079;82.2
38;Niet-financiële activa;Niet-financiële vennootschappen;2004;875079.0;17263.0;2508.0;3304.0;-2.0;898152;82.8
39;Niet-financiële activa;Niet-financiële vennootschappen;2005;898152.0;23195.0;3400.0;1488.0;0.0;926235;83.2
40;Niet-financiële activa;Niet-financiële vennootschappen;2006;926235.0;24797.0;5940.0;1850.0;-2.0;958820;83.9
41;Niet-financiële activa;Niet-financiële vennootschappen;2007;958820.0;37265.0;20567.0;2222.0;-1.0;1018873;85.8
42;Niet-financiële activa;Niet-financiële vennootschappen;2008;1018873.0;24023.0;10790.0;2455.0;0.0;1056141;86.9
43;Niet-financiële activa;Niet-financiële vennootschappen;2009;1056141.0;-6972.0;2222.0;2415.0;3.0;1053809;87.3
44;Niet-financiële activa;Niet-financiële vennootschappen;2010;1053809.0;3858.0;5784.0;2107.0;4.0;1065562;87.9
45;Niet-financiële activa;Niet-financiële vennootschappen;2011;1065562.0;-3918.0;8226.0;3788.0;1.0;1073659;88.9
46;Niet-financiële activa;Niet-financiële vennootschappen;2012;1073659.0;-18060.0;5601.0;2317.0;1.0;1063518;89.6
47;Niet-financiële activa;Niet-financiële vennootschappen;2013;1063518.0;-17659.0;7171.0;2666.0;1.0;1055697;90.4
48;Niet-financiële activa;Niet-financiële vennootschappen;2014;1055697.0;5830.0;1769.0;2451.0;-3.0;1065744;90.8
49;Niet-financiële activa;Niet-financiële vennootschappen;2015;1065744.0;15040.0;28528.0;142.0;3.0;1109457;93.2
50;Niet-financiële activa;Niet-financiële vennootschappen;2016;1109457.0;21633.0;10605.0;996.0;-3.0;1142688;94.2
51;Niet-financiële activa;Niet-financiële vennootschappen;2017;1142688.0;37845.0;10946.0;965.0;4.0;1192448;95.1
52;Niet-financiële activa;Niet-financiële vennootschappen;2018;1192448.0;48049.0;11942.0;1560.0;5.0;1254004;96.1
53;Niet-financiële activa;Niet-financiële vennootschappen;2019;1254004.0;42460.0;19836.0;2044.0;5.0;1318349;97.8
54;Niet-financiële activa;Niet-financiële vennootschappen;2020;1318349.0;45782.0;5598.0;2322.0;-2.0;1372049;98.3
55;Niet-financiële activa;Niet-financiële vennootschappen;2021;1372049.0;97432.0;22609.0;2214.0;-4.0;1494300;100.0
