ID;RegioS;Eigendom;Perioden;GemiddeldeWOZWaardeVanWoningen_1
0;Nederland;Totaal;2019;250.0
1;Nederland;Totaal;2020;271.0
2;Nederland;Totaal;2021;290.0
3;Nederland;Totaal;2022;317.0
4;Nederland;Totaal;2023;368.0
5;Nederland;Totaal;2024;379.0
6;Nederland;Koopwoningen;2019;299.0
7;Nederland;Koopwoningen;2020;323.0
8;Nederland;Koopwoningen;2021;345.0
9;Nederland;Koopwoningen;2022;378.0
10;Nederland;Koopwoningen;2023;438.0
11;Nederland;Koopwoningen;2024;453.0
12;Nederland;Huurwoning in bezit woningcorporatie;2019;164.0
13;Nederland;Huurwoning in bezit woningcorporatie;2020;179.0
14;Nederland;Huurwoning in bezit woningcorporatie;2021;192.0
15;Nederland;Huurwoning in bezit woningcorporatie;2022;211.0
16;Nederland;Huurwoning in bezit woningcorporatie;2023;249.0
17;Nederland;Huurwoning in bezit woningcorporatie;2024;256.0
18;Nederland;Eigendom overige verhuurders;2019;229.0
19;Nederland;Eigendom overige verhuurders;2020;248.0
20;Nederland;Eigendom overige verhuurders;2021;261.0
21;Nederland;Eigendom overige verhuurders;2022;279.0
22;Nederland;Eigendom overige verhuurders;2023;322.0
23;Nederland;Eigendom overige verhuurders;2024;325.0
24;Noord-Nederland (LD);Totaal;2019;189.0
25;Noord-Nederland (LD);Totaal;2020;201.0
26;Noord-Nederland (LD);Totaal;2021;216.0
27;Noord-Nederland (LD);Totaal;2022;240.0
28;Noord-Nederland (LD);Totaal;2023;279.0
29;Noord-Nederland (LD);Totaal;2024;291.0
30;Noord-Nederland (LD);Koopwoningen;2019;228.0
31;Noord-Nederland (LD);Koopwoningen;2020;242.0
32;Noord-Nederland (LD);Koopwoningen;2021;261.0
33;Noord-Nederland (LD);Koopwoningen;2022;289.0
34;Noord-Nederland (LD);Koopwoningen;2023;335.0
35;Noord-Nederland (LD);Koopwoningen;2024;350.0
36;Noord-Nederland (LD);Huurwoning in bezit woningcorporatie;2019;116.0
37;Noord-Nederland (LD);Huurwoning in bezit woningcorporatie;2020;124.0
38;Noord-Nederland (LD);Huurwoning in bezit woningcorporatie;2021;134.0
39;Noord-Nederland (LD);Huurwoning in bezit woningcorporatie;2022;149.0
40;Noord-Nederland (LD);Huurwoning in bezit woningcorporatie;2023;176.0
41;Noord-Nederland (LD);Huurwoning in bezit woningcorporatie;2024;184.0
42;Noord-Nederland (LD);Eigendom overige verhuurders;2019;157.0
43;Noord-Nederland (LD);Eigendom overige verhuurders;2020;166.0
44;Noord-Nederland (LD);Eigendom overige verhuurders;2021;176.0
45;Noord-Nederland (LD);Eigendom overige verhuurders;2022;193.0
46;Noord-Nederland (LD);Eigendom overige verhuurders;2023;221.0
47;Noord-Nederland (LD);Eigendom overige verhuurders;2024;226.0
48;Oost-Nederland (LD);Totaal;2019;235.0
49;Oost-Nederland (LD);Totaal;2020;252.0
50;Oost-Nederland (LD);Totaal;2021;269.0
51;Oost-Nederland (LD);Totaal;2022;299.0
52;Oost-Nederland (LD);Totaal;2023;350.0
53;Oost-Nederland (LD);Totaal;2024;366.0
54;Oost-Nederland (LD);Koopwoningen;2019;279.0
55;Oost-Nederland (LD);Koopwoningen;2020;299.0
56;Oost-Nederland (LD);Koopwoningen;2021;320.0
57;Oost-Nederland (LD);Koopwoningen;2022;355.0
58;Oost-Nederland (LD);Koopwoningen;2023;416.0
59;Oost-Nederland (LD);Koopwoningen;2024;435.0
60;Oost-Nederland (LD);Huurwoning in bezit woningcorporatie;2019;149.0
61;Oost-Nederland (LD);Huurwoning in bezit woningcorporatie;2020;160.0
62;Oost-Nederland (LD);Huurwoning in bezit woningcorporatie;2021;172.0
63;Oost-Nederland (LD);Huurwoning in bezit woningcorporatie;2022;191.0
64;Oost-Nederland (LD);Huurwoning in bezit woningcorporatie;2023;228.0
65;Oost-Nederland (LD);Huurwoning in bezit woningcorporatie;2024;239.0
66;Oost-Nederland (LD);Eigendom overige verhuurders;2019;200.0
67;Oost-Nederland (LD);Eigendom overige verhuurders;2020;211.0
68;Oost-Nederland (LD);Eigendom overige verhuurders;2021;223.0
69;Oost-Nederland (LD);Eigendom overige verhuurders;2022;243.0
70;Oost-Nederland (LD);Eigendom overige verhuurders;2023;281.0
71;Oost-Nederland (LD);Eigendom overige verhuurders;2024;291.0
72;West-Nederland (LD);Totaal;2019;273.0
73;West-Nederland (LD);Totaal;2020;300.0
74;West-Nederland (LD);Totaal;2021;320.0
75;West-Nederland (LD);Totaal;2022;348.0
76;West-Nederland (LD);Totaal;2023;405.0
77;West-Nederland (LD);Totaal;2024;413.0
78;West-Nederland (LD);Koopwoningen;2019;331.0
79;West-Nederland (LD);Koopwoningen;2020;361.0
80;West-Nederland (LD);Koopwoningen;2021;386.0
81;West-Nederland (LD);Koopwoningen;2022;421.0
82;West-Nederland (LD);Koopwoningen;2023;488.0
83;West-Nederland (LD);Koopwoningen;2024;500.0
84;West-Nederland (LD);Huurwoning in bezit woningcorporatie;2019;182.0
85;West-Nederland (LD);Huurwoning in bezit woningcorporatie;2020;203.0
86;West-Nederland (LD);Huurwoning in bezit woningcorporatie;2021;218.0
87;West-Nederland (LD);Huurwoning in bezit woningcorporatie;2022;238.0
88;West-Nederland (LD);Huurwoning in bezit woningcorporatie;2023;280.0
89;West-Nederland (LD);Huurwoning in bezit woningcorporatie;2024;285.0
90;West-Nederland (LD);Eigendom overige verhuurders;2019;258.0
91;West-Nederland (LD);Eigendom overige verhuurders;2020;283.0
92;West-Nederland (LD);Eigendom overige verhuurders;2021;297.0
93;West-Nederland (LD);Eigendom overige verhuurders;2022;315.0
94;West-Nederland (LD);Eigendom overige verhuurders;2023;365.0
95;West-Nederland (LD);Eigendom overige verhuurders;2024;365.0
96;Zuid-Nederland (LD);Totaal;2019;242.0
97;Zuid-Nederland (LD);Totaal;2020;259.0
98;Zuid-Nederland (LD);Totaal;2021;275.0
99;Zuid-Nederland (LD);Totaal;2022;299.0
100;Zuid-Nederland (LD);Totaal;2023;344.0
101;Zuid-Nederland (LD);Totaal;2024;355.0
102;Zuid-Nederland (LD);Koopwoningen;2019;288.0
103;Zuid-Nederland (LD);Koopwoningen;2020;308.0
104;Zuid-Nederland (LD);Koopwoningen;2021;328.0
105;Zuid-Nederland (LD);Koopwoningen;2022;356.0
106;Zuid-Nederland (LD);Koopwoningen;2023;410.0
107;Zuid-Nederland (LD);Koopwoningen;2024;424.0
108;Zuid-Nederland (LD);Huurwoning in bezit woningcorporatie;2019;152.0
109;Zuid-Nederland (LD);Huurwoning in bezit woningcorporatie;2020;163.0
110;Zuid-Nederland (LD);Huurwoning in bezit woningcorporatie;2021;174.0
111;Zuid-Nederland (LD);Huurwoning in bezit woningcorporatie;2022;191.0
112;Zuid-Nederland (LD);Huurwoning in bezit woningcorporatie;2023;222.0
113;Zuid-Nederland (LD);Huurwoning in bezit woningcorporatie;2024;229.0
114;Zuid-Nederland (LD);Eigendom overige verhuurders;2019;204.0
115;Zuid-Nederland (LD);Eigendom overige verhuurders;2020;217.0
116;Zuid-Nederland (LD);Eigendom overige verhuurders;2021;227.0
117;Zuid-Nederland (LD);Eigendom overige verhuurders;2022;244.0
118;Zuid-Nederland (LD);Eigendom overige verhuurders;2023;278.0
119;Zuid-Nederland (LD);Eigendom overige verhuurders;2024;282.0
120;Groningen (PV);Totaal;2019;177.0
121;Groningen (PV);Totaal;2020;190.0
122;Groningen (PV);Totaal;2021;205.0
123;Groningen (PV);Totaal;2022;228.0
124;Groningen (PV);Totaal;2023;268.0
125;Groningen (PV);Totaal;2024;279.0
126;Groningen (PV);Koopwoningen;2019;215.0
127;Groningen (PV);Koopwoningen;2020;230.0
128;Groningen (PV);Koopwoningen;2021;249.0
129;Groningen (PV);Koopwoningen;2022;277.0
130;Groningen (PV);Koopwoningen;2023;324.0
131;Groningen (PV);Koopwoningen;2024;339.0
132;Groningen (PV);Huurwoning in bezit woningcorporatie;2019;117.0
133;Groningen (PV);Huurwoning in bezit woningcorporatie;2020;126.0
134;Groningen (PV);Huurwoning in bezit woningcorporatie;2021;137.0
135;Groningen (PV);Huurwoning in bezit woningcorporatie;2022;153.0
136;Groningen (PV);Huurwoning in bezit woningcorporatie;2023;183.0
137;Groningen (PV);Huurwoning in bezit woningcorporatie;2024;191.0
138;Groningen (PV);Eigendom overige verhuurders;2019;155.0
139;Groningen (PV);Eigendom overige verhuurders;2020;166.0
140;Groningen (PV);Eigendom overige verhuurders;2021;178.0
141;Groningen (PV);Eigendom overige verhuurders;2022;197.0
142;Groningen (PV);Eigendom overige verhuurders;2023;228.0
143;Groningen (PV);Eigendom overige verhuurders;2024;231.0
144;Fryslân (PV);Totaal;2019;190.0
145;Fryslân (PV);Totaal;2020;202.0
146;Fryslân (PV);Totaal;2021;217.0
147;Fryslân (PV);Totaal;2022;241.0
148;Fryslân (PV);Totaal;2023;277.0
149;Fryslân (PV);Totaal;2024;290.0
150;Fryslân (PV);Koopwoningen;2019;228.0
151;Fryslân (PV);Koopwoningen;2020;243.0
152;Fryslân (PV);Koopwoningen;2021;262.0
153;Fryslân (PV);Koopwoningen;2022;290.0
154;Fryslân (PV);Koopwoningen;2023;334.0
155;Fryslân (PV);Koopwoningen;2024;349.0
156;Fryslân (PV);Huurwoning in bezit woningcorporatie;2019;113.0
157;Fryslân (PV);Huurwoning in bezit woningcorporatie;2020;121.0
158;Fryslân (PV);Huurwoning in bezit woningcorporatie;2021;132.0
159;Fryslân (PV);Huurwoning in bezit woningcorporatie;2022;146.0
160;Fryslân (PV);Huurwoning in bezit woningcorporatie;2023;172.0
161;Fryslân (PV);Huurwoning in bezit woningcorporatie;2024;181.0
162;Fryslân (PV);Eigendom overige verhuurders;2019;156.0
163;Fryslân (PV);Eigendom overige verhuurders;2020;162.0
164;Fryslân (PV);Eigendom overige verhuurders;2021;170.0
165;Fryslân (PV);Eigendom overige verhuurders;2022;187.0
166;Fryslân (PV);Eigendom overige verhuurders;2023;209.0
167;Fryslân (PV);Eigendom overige verhuurders;2024;217.0
168;Drenthe (PV);Totaal;2019;203.0
169;Drenthe (PV);Totaal;2020;215.0
170;Drenthe (PV);Totaal;2021;230.0
171;Drenthe (PV);Totaal;2022;255.0
172;Drenthe (PV);Totaal;2023;294.0
173;Drenthe (PV);Totaal;2024;307.0
174;Drenthe (PV);Koopwoningen;2019;240.0
175;Drenthe (PV);Koopwoningen;2020;255.0
176;Drenthe (PV);Koopwoningen;2021;272.0
177;Drenthe (PV);Koopwoningen;2022;302.0
178;Drenthe (PV);Koopwoningen;2023;348.0
179;Drenthe (PV);Koopwoningen;2024;363.0
180;Drenthe (PV);Huurwoning in bezit woningcorporatie;2019;117.0
181;Drenthe (PV);Huurwoning in bezit woningcorporatie;2020;124.0
182;Drenthe (PV);Huurwoning in bezit woningcorporatie;2021;133.0
183;Drenthe (PV);Huurwoning in bezit woningcorporatie;2022;147.0
184;Drenthe (PV);Huurwoning in bezit woningcorporatie;2023;172.0
185;Drenthe (PV);Huurwoning in bezit woningcorporatie;2024;180.0
186;Drenthe (PV);Eigendom overige verhuurders;2019;165.0
187;Drenthe (PV);Eigendom overige verhuurders;2020;172.0
188;Drenthe (PV);Eigendom overige verhuurders;2021;181.0
189;Drenthe (PV);Eigendom overige verhuurders;2022;196.0
190;Drenthe (PV);Eigendom overige verhuurders;2023;222.0
191;Drenthe (PV);Eigendom overige verhuurders;2024;231.0
192;Overijssel (PV);Totaal;2019;221.0
193;Overijssel (PV);Totaal;2020;235.0
194;Overijssel (PV);Totaal;2021;251.0
195;Overijssel (PV);Totaal;2022;280.0
196;Overijssel (PV);Totaal;2023;325.0
197;Overijssel (PV);Totaal;2024;343.0
198;Overijssel (PV);Koopwoningen;2019;265.0
199;Overijssel (PV);Koopwoningen;2020;283.0
200;Overijssel (PV);Koopwoningen;2021;302.0
201;Overijssel (PV);Koopwoningen;2022;336.0
202;Overijssel (PV);Koopwoningen;2023;390.0
203;Overijssel (PV);Koopwoningen;2024;412.0
204;Overijssel (PV);Huurwoning in bezit woningcorporatie;2019;138.0
205;Overijssel (PV);Huurwoning in bezit woningcorporatie;2020;147.0
206;Overijssel (PV);Huurwoning in bezit woningcorporatie;2021;159.0
207;Overijssel (PV);Huurwoning in bezit woningcorporatie;2022;176.0
208;Overijssel (PV);Huurwoning in bezit woningcorporatie;2023;209.0
