ID;Geslacht;Leeftijd;Geboortegeneratie;HeeftOoitSamengewoond_1;HeeftOoitOngehuwdSamengewoond_2;IsOoitGehuwd_3;HeeftOoitKinderenGekregen_4;IsOoitUitElkaarGegaan_5
0;Mannen;Tot leeftijd 25 jaar;1950 tot 1960;57.0;24.0;41.0;16.0;4.0
1;Mannen;Tot leeftijd 25 jaar;1960 tot 1970;47.0;33.0;22.0;8.0;4.0
2;Mannen;Tot leeftijd 25 jaar;1970 tot 1980;41.0;36.0;8.0;5.0;8.0
3;Mannen;Tot leeftijd 30 jaar;1950 tot 1960;79.0;36.0;65.0;46.0;10.0
4;Mannen;Tot leeftijd 30 jaar;1960 tot 1970;77.0;56.0;47.0;30.0;14.0
5;Mannen;Tot leeftijd 30 jaar;1970 tot 1980;74.0;65.0;30.0;26.0;20.0
6;Mannen;Tot leeftijd 35 jaar;1950 tot 1960;86.0;41.0;74.0;66.0;15.0
7;Mannen;Tot leeftijd 35 jaar;1960 tot 1970;87.0;63.0;65.0;60.0;22.0
8;Mannen;Tot leeftijd 35 jaar;1970 tot 1980;;;;;
9;Mannen;Tot leeftijd 40 jaar;1950 tot 1960;88.0;43.0;79.0;74.0;20.0
10;Mannen;Tot leeftijd 40 jaar;1960 tot 1970;90.0;66.0;70.0;72.0;27.0
11;Mannen;Tot leeftijd 40 jaar;1970 tot 1980;;;;;
12;Mannen;Tot leeftijd 45 jaar;1950 tot 1960;91.0;45.0;82.0;77.0;23.0
13;Mannen;Tot leeftijd 45 jaar;1960 tot 1970;;;;;
14;Mannen;Tot leeftijd 45 jaar;1970 tot 1980;;;;;
15;Vrouwen;Tot leeftijd 25 jaar;1950 tot 1960;78.0;27.0;64.0;33.0;6.0
16;Vrouwen;Tot leeftijd 25 jaar;1960 tot 1970;69.0;47.0;38.0;17.0;10.0
17;Vrouwen;Tot leeftijd 25 jaar;1970 tot 1980;64.0;52.0;21.0;14.0;13.0
18;Vrouwen;Tot leeftijd 30 jaar;1950 tot 1960;89.0;34.0;78.0;64.0;13.0
19;Vrouwen;Tot leeftijd 30 jaar;1960 tot 1970;89.0;62.0;63.0;49.0;19.0
20;Vrouwen;Tot leeftijd 30 jaar;1970 tot 1980;84.0;69.0;45.0;44.0;25.0
21;Vrouwen;Tot leeftijd 35 jaar;1950 tot 1960;92.0;35.0;85.0;78.0;18.0
22;Vrouwen;Tot leeftijd 35 jaar;1960 tot 1970;93.0;65.0;73.0;74.0;27.0
23;Vrouwen;Tot leeftijd 35 jaar;1970 tot 1980;;;;;
24;Vrouwen;Tot leeftijd 40 jaar;1950 tot 1960;94.0;36.0;87.0;83.0;21.0
25;Vrouwen;Tot leeftijd 40 jaar;1960 tot 1970;95.0;67.0;77.0;81.0;32.0
26;Vrouwen;Tot leeftijd 40 jaar;1970 tot 1980;;;;;
27;Vrouwen;Tot leeftijd 45 jaar;1950 tot 1960;95.0;37.0;89.0;83.0;26.0
28;Vrouwen;Tot leeftijd 45 jaar;1960 tot 1970;;;;;
29;Vrouwen;Tot leeftijd 45 jaar;1970 tot 1980;;;;;
