ID;Geslacht;Leeftijd;Operaties;Perioden;AantalOperaties_1;AantalOperatiesPer10000Inwoners_2;AantalOperaties_3;AantalOperatiesPer10000Inwoners_4;AantalOperaties_5;AantalOperatiesPer10000Inwoners_6
0;Totaal mannen en vrouwen;Totaal alle leeftijden;1;1995;1046704.0;677.2;678796.0;439.2;367908.0;238.0
1;Totaal mannen en vrouwen;Totaal alle leeftijden;1;1996;1055668.0;679.8;666644.0;429.3;389024.0;250.5
2;Totaal mannen en vrouwen;Totaal alle leeftijden;1;1997;1051846.0;673.8;650633.0;416.8;401213.0;257.0
3;Totaal mannen en vrouwen;Totaal alle leeftijden;1;1998;1058420.0;673.7;630616.0;401.4;427804.0;272.3
4;Totaal mannen en vrouwen;Totaal alle leeftijden;1;1999;1057930.0;669.0;616087.0;389.6;441843.0;279.4
5;Totaal mannen en vrouwen;Totaal alle leeftijden;1;2000;1052667.0;660.9;599593.0;376.4;453074.0;284.5
6;Totaal mannen en vrouwen;Totaal alle leeftijden;1;2001;1079840.0;673.1;596746.0;371.9;483094.0;301.1
7;Totaal mannen en vrouwen;Totaal alle leeftijden;1;2002;1134578.0;702.6;610310.0;377.9;524268.0;324.7
8;Totaal mannen en vrouwen;Totaal alle leeftijden;1;2003;1186348.0;731.2;624244.0;384.8;562104.0;346.5
9;Totaal mannen en vrouwen;Totaal alle leeftijden;1;2004;1249612.0;767.7;646518.0;397.2;603094.0;370.5
10;Totaal mannen en vrouwen;Totaal alle leeftijden;1;2005;1256751.0;770.2;639992.0;392.2;616759.0;378.0
11;Totaal mannen en vrouwen;Totaal alle leeftijden;1;2006;1284888.0;786.1;647738.0;396.3;637150.0;389.8
12;Totaal mannen en vrouwen;Totaal alle leeftijden;1;2007;1312330.0;801.2;649218.0;396.3;663112.0;404.8
13;Totaal mannen en vrouwen;Totaal alle leeftijden;1;2008;1357433.0;825.3;658516.0;400.4;698917.0;424.9
14;Totaal mannen en vrouwen;Totaal alle leeftijden;1;2009;1379770.0;834.7;669166.0;404.8;710604.0;429.9
15;Totaal mannen en vrouwen;Totaal alle leeftijden;1;2010;1414558.0;851.4;681650.0;410.3;732908.0;441.1
16;Totaal mannen en vrouwen;Totaal alle leeftijden;2;1995;10639.0;6.9;10639.0;6.9;;
17;Totaal mannen en vrouwen;Totaal alle leeftijden;2;1996;11157.0;7.2;11157.0;7.2;;
18;Totaal mannen en vrouwen;Totaal alle leeftijden;2;1997;11144.0;7.1;11144.0;7.1;;
19;Totaal mannen en vrouwen;Totaal alle leeftijden;2;1998;11304.0;7.2;11304.0;7.2;;
20;Totaal mannen en vrouwen;Totaal alle leeftijden;2;1999;11556.0;7.3;11556.0;7.3;;
21;Totaal mannen en vrouwen;Totaal alle leeftijden;2;2000;11612.0;7.3;11612.0;7.3;;
22;Totaal mannen en vrouwen;Totaal alle leeftijden;2;2001;11587.0;7.2;11587.0;7.2;;
23;Totaal mannen en vrouwen;Totaal alle leeftijden;2;2002;11890.0;7.4;11890.0;7.4;;
24;Totaal mannen en vrouwen;Totaal alle leeftijden;2;2003;12542.0;7.7;12542.0;7.7;;
25;Totaal mannen en vrouwen;Totaal alle leeftijden;2;2004;12984.0;8.0;12984.0;8.0;;
26;Totaal mannen en vrouwen;Totaal alle leeftijden;2;2005;13024.0;8.0;13024.0;8.0;;
27;Totaal mannen en vrouwen;Totaal alle leeftijden;2;2006;13448.0;8.2;13448.0;8.2;;
28;Totaal mannen en vrouwen;Totaal alle leeftijden;2;2007;13791.0;8.4;13791.0;8.4;;
29;Totaal mannen en vrouwen;Totaal alle leeftijden;2;2008;13782.0;8.4;13782.0;8.4;;
30;Totaal mannen en vrouwen;Totaal alle leeftijden;2;2009;13454.0;8.1;13454.0;8.1;;
31;Totaal mannen en vrouwen;Totaal alle leeftijden;2;2010;14012.0;8.4;14012.0;8.4;;
32;Totaal mannen en vrouwen;Totaal alle leeftijden;3;1995;40.0;0.0;40.0;0.0;;
33;Totaal mannen en vrouwen;Totaal alle leeftijden;3;1996;37.0;0.0;37.0;0.0;;
34;Totaal mannen en vrouwen;Totaal alle leeftijden;3;1997;32.0;0.0;32.0;0.0;;
35;Totaal mannen en vrouwen;Totaal alle leeftijden;3;1998;49.0;0.0;49.0;0.0;;
36;Totaal mannen en vrouwen;Totaal alle leeftijden;3;1999;63.0;0.0;63.0;0.0;;
37;Totaal mannen en vrouwen;Totaal alle leeftijden;3;2000;79.0;0.0;79.0;0.0;;
38;Totaal mannen en vrouwen;Totaal alle leeftijden;3;2001;76.0;0.0;76.0;0.0;;
39;Totaal mannen en vrouwen;Totaal alle leeftijden;3;2002;99.0;0.1;99.0;0.1;;
40;Totaal mannen en vrouwen;Totaal alle leeftijden;3;2003;202.0;0.1;202.0;0.1;;
41;Totaal mannen en vrouwen;Totaal alle leeftijden;3;2004;334.0;0.2;334.0;0.2;;
42;Totaal mannen en vrouwen;Totaal alle leeftijden;3;2005;800.0;0.5;800.0;0.5;;
43;Totaal mannen en vrouwen;Totaal alle leeftijden;3;2006;1117.0;0.7;1117.0;0.7;;
44;Totaal mannen en vrouwen;Totaal alle leeftijden;3;2007;1317.0;0.8;1317.0;0.8;;
45;Totaal mannen en vrouwen;Totaal alle leeftijden;3;2008;1398.0;0.8;1398.0;0.8;;
46;Totaal mannen en vrouwen;Totaal alle leeftijden;3;2009;1875.0;1.1;1875.0;1.1;;
47;Totaal mannen en vrouwen;Totaal alle leeftijden;3;2010;2466.0;1.5;2466.0;1.5;;
48;Totaal mannen en vrouwen;Totaal alle leeftijden;4;1995;10599.0;6.9;10599.0;6.9;;
49;Totaal mannen en vrouwen;Totaal alle leeftijden;4;1996;11120.0;7.2;11120.0;7.2;;
50;Totaal mannen en vrouwen;Totaal alle leeftijden;4;1997;11112.0;7.1;11112.0;7.1;;
51;Totaal mannen en vrouwen;Totaal alle leeftijden;4;1998;11255.0;7.2;11255.0;7.2;;
52;Totaal mannen en vrouwen;Totaal alle leeftijden;4;1999;11493.0;7.3;11493.0;7.3;;
53;Totaal mannen en vrouwen;Totaal alle leeftijden;4;2000;11533.0;7.2;11533.0;7.2;;
54;Totaal mannen en vrouwen;Totaal alle leeftijden;4;2001;11511.0;7.2;11511.0;7.2;;
55;Totaal mannen en vrouwen;Totaal alle leeftijden;4;2002;11791.0;7.3;11791.0;7.3;;
56;Totaal mannen en vrouwen;Totaal alle leeftijden;4;2003;12340.0;7.6;12340.0;7.6;;
57;Totaal mannen en vrouwen;Totaal alle leeftijden;4;2004;12650.0;7.8;12650.0;7.8;;
58;Totaal mannen en vrouwen;Totaal alle leeftijden;4;2005;12224.0;7.5;12224.0;7.5;;
59;Totaal mannen en vrouwen;Totaal alle leeftijden;4;2006;12331.0;7.5;12331.0;7.5;;
60;Totaal mannen en vrouwen;Totaal alle leeftijden;4;2007;12474.0;7.6;12474.0;7.6;;
61;Totaal mannen en vrouwen;Totaal alle leeftijden;4;2008;12384.0;7.5;12384.0;7.5;;
62;Totaal mannen en vrouwen;Totaal alle leeftijden;4;2009;11579.0;7.0;11579.0;7.0;;
63;Totaal mannen en vrouwen;Totaal alle leeftijden;4;2010;11546.0;6.9;11546.0;6.9;;
64;Totaal mannen en vrouwen;Totaal alle leeftijden;5;1995;14604.0;9.4;14583.0;9.4;21.0;0.0
65;Totaal mannen en vrouwen;Totaal alle leeftijden;5;1996;14702.0;9.5;14685.0;9.5;17.0;0.0
66;Totaal mannen en vrouwen;Totaal alle leeftijden;5;1997;14909.0;9.5;14892.0;9.5;17.0;0.0
67;Totaal mannen en vrouwen;Totaal alle leeftijden;5;1998;14767.0;9.4;14755.0;9.4;12.0;0.0
68;Totaal mannen en vrouwen;Totaal alle leeftijden;5;1999;14917.0;9.4;14909.0;9.4;;
69;Totaal mannen en vrouwen;Totaal alle leeftijden;5;2000;14990.0;9.4;14977.0;9.4;13.0;0.0
70;Totaal mannen en vrouwen;Totaal alle leeftijden;5;2001;14957.0;9.3;14949.0;9.3;;
71;Totaal mannen en vrouwen;Totaal alle leeftijden;5;2002;14908.0;9.2;14897.0;9.2;11.0;0.0
72;Totaal mannen en vrouwen;Totaal alle leeftijden;5;2003;14972.0;9.2;14959.0;9.2;13.0;0.0
73;Totaal mannen en vrouwen;Totaal alle leeftijden;5;2004;14903.0;9.2;14890.0;9.1;13.0;0.0
74;Totaal mannen en vrouwen;Totaal alle leeftijden;5;2005;15080.0;9.2;15066.0;9.2;14.0;0.0
75;Totaal mannen en vrouwen;Totaal alle leeftijden;5;2006;15267.0;9.3;15245.0;9.3;22.0;0.0
76;Totaal mannen en vrouwen;Totaal alle leeftijden;5;2007;15062.0;9.2;15041.0;9.2;21.0;0.0
77;Totaal mannen en vrouwen;Totaal alle leeftijden;5;2008;15454.0;9.4;15426.0;9.4;28.0;0.0
78;Totaal mannen en vrouwen;Totaal alle leeftijden;5;2009;16330.0;9.9;16297.0;9.9;33.0;0.0
79;Totaal mannen en vrouwen;Totaal alle leeftijden;5;2010;15692.0;9.4;15659.0;9.4;33.0;0.0
80;Totaal mannen en vrouwen;Totaal alle leeftijden;6;1995;779.0;0.5;758.0;0.5;21.0;0.0
81;Totaal mannen en vrouwen;Totaal alle leeftijden;6;1996;762.0;0.5;745.0;0.5;17.0;0.0
82;Totaal mannen en vrouwen;Totaal alle leeftijden;6;1997;724.0;0.5;707.0;0.5;17.0;0.0
83;Totaal mannen en vrouwen;Totaal alle leeftijden;6;1998;812.0;0.5;800.0;0.5;12.0;0.0
84;Totaal mannen en vrouwen;Totaal alle leeftijden;6;1999;982.0;0.6;974.0;0.6;;
85;Totaal mannen en vrouwen;Totaal alle leeftijden;6;2000;1052.0;0.7;1039.0;0.7;13.0;0.0
86;Totaal mannen en vrouwen;Totaal alle leeftijden;6;2001;1315.0;0.8;1307.0;0.8;;
87;Totaal mannen en vrouwen;Totaal alle leeftijden;6;2002;1641.0;1.0;1630.0;1.0;11.0;0.0
88;Totaal mannen en vrouwen;Totaal alle leeftijden;6;2003;2083.0;1.3;2070.0;1.3;13.0;0.0
89;Totaal mannen en vrouwen;Totaal alle leeftijden;6;2004;2563.0;1.6;2550.0;1.6;13.0;0.0
90;Totaal mannen en vrouwen;Totaal alle leeftijden;6;2005;3293.0;2.0;3279.0;2.0;14.0;0.0
91;Totaal mannen en vrouwen;Totaal alle leeftijden;6;2006;4326.0;2.6;4304.0;2.6;22.0;0.0
92;Totaal mannen en vrouwen;Totaal alle leeftijden;6;2007;5036.0;3.1;5015.0;3.1;21.0;0.0
93;Totaal mannen en vrouwen;Totaal alle leeftijden;6;2008;5994.0;3.6;5972.0;3.6;22.0;0.0
94;Totaal mannen en vrouwen;Totaal alle leeftijden;6;2009;7223.0;4.4;7194.0;4.4;29.0;0.0
95;Totaal mannen en vrouwen;Totaal alle leeftijden;6;2010;7618.0;4.6;7588.0;4.6;30.0;0.0
96;Totaal mannen en vrouwen;Totaal alle leeftijden;7;1995;13825.0;8.9;13825.0;8.9;;
97;Totaal mannen en vrouwen;Totaal alle leeftijden;7;1996;13940.0;9.0;13940.0;9.0;;
98;Totaal mannen en vrouwen;Totaal alle leeftijden;7;1997;14185.0;9.1;14185.0;9.1;;
99;Totaal mannen en vrouwen;Totaal alle leeftijden;7;1998;13955.0;8.9;13955.0;8.9;;
100;Totaal mannen en vrouwen;Totaal alle leeftijden;7;1999;13935.0;8.8;13935.0;8.8;;
101;Totaal mannen en vrouwen;Totaal alle leeftijden;7;2000;13938.0;8.8;13938.0;8.8;;
102;Totaal mannen en vrouwen;Totaal alle leeftijden;7;2001;13642.0;8.5;13642.0;8.5;;
103;Totaal mannen en vrouwen;Totaal alle leeftijden;7;2002;13267.0;8.2;13267.0;8.2;;
104;Totaal mannen en vrouwen;Totaal alle leeftijden;7;2003;12889.0;7.9;12889.0;7.9;;
105;Totaal mannen en vrouwen;Totaal alle leeftijden;7;2004;12340.0;7.6;12340.0;7.6;;
106;Totaal mannen en vrouwen;Totaal alle leeftijden;7;2005;11787.0;7.2;11787.0;7.2;;
107;Totaal mannen en vrouwen;Totaal alle leeftijden;7;2006;10941.0;6.7;10941.0;6.7;;
108;Totaal mannen en vrouwen;Totaal alle leeftijden;7;2007;10026.0;6.1;10026.0;6.1;;
109;Totaal mannen en vrouwen;Totaal alle leeftijden;7;2008;9460.0;5.8;9454.0;5.7;;
110;Totaal mannen en vrouwen;Totaal alle leeftijden;7;2009;9107.0;5.5;9103.0;5.5;;
111;Totaal mannen en vrouwen;Totaal alle leeftijden;7;2010;8074.0;4.9;8074.0;4.9;;
112;Totaal mannen en vrouwen;Totaal alle leeftijden;8;1995;16862.0;10.9;16859.0;10.9;;
113;Totaal mannen en vrouwen;Totaal alle leeftijden;8;1996;16970.0;10.9;16932.0;10.9;38.0;0.0
114;Totaal mannen en vrouwen;Totaal alle leeftijden;8;1997;17052.0;10.9;16996.0;10.9;56.0;0.0
115;Totaal mannen en vrouwen;Totaal alle leeftijden;8;1998;17126.0;10.9;17027.0;10.8;99.0;0.1
116;Totaal mannen en vrouwen;Totaal alle leeftijden;8;1999;17281.0;10.9;17123.0;10.8;158.0;0.1
117;Totaal mannen en vrouwen;Totaal alle leeftijden;8;2000;17771.0;11.2;17548.0;11.0;223.0;0.1
118;Totaal mannen en vrouwen;Totaal alle leeftijden;8;2001;17890.0;11.2;17572.0;11.0;318.0;0.2
119;Totaal mannen en vrouwen;Totaal alle leeftijden;8;2002;19474.0;12.1;19171.0;11.9;303.0;0.2
120;Totaal mannen en vrouwen;Totaal alle leeftijden;8;2003;20785.0;12.8;20382.0;12.6;403.0;0.2
121;Totaal mannen en vrouwen;Totaal alle leeftijden;8;2004;21935.0;13.5;21439.0;13.2;496.0;0.3
