ID;RegioS;Inkomensverdeling;AantalHuishoudensAbsoluut_1;AantalHuishoudensIn_2
0;Nederland;Totaal particulier huishouden;6753.4;100.0
1;Nederland;"1e 10%-groep; minder dan 12 600 euro";675.3;10.0
2;Nederland;"2e 10%-groep; 12 600 tot 15 900 euro";675.3;10.0
3;Nederland;"3e 10%-groep; 15 900 tot 19 000 euro";675.3;10.0
4;Nederland;"4e 10%-groep; 19 000 tot 22 400 euro";675.3;10.0
5;Nederland;"5e 10%-groep; 22 400 tot 26 300 euro";675.3;10.0
6;Nederland;"6e 10%-groep; 26 300 tot 30 400 euro";675.3;10.0
7;Nederland;"7e 10%-groep; 30 400 tot 35 000 euro";675.3;10.0
8;Nederland;"8e 10%-groep; 35 000 tot 41 000 euro";675.3;10.0
9;Nederland;"9e 10%-groep; 41 000 tot 51 000 euro";675.3;10.0
10;Nederland;"10e 10%-groep; meer dan 51 000  euro";675.3;10.0
11;Nederland;"1e 10%-groep; minder dan 12 600 euro";675.3;10.0
12;Nederland;"2e-4e 10%-groep; 12 600 tot 22 400 euro";2026.0;30.0
13;Nederland;"5e-8e 10%-groep; 22 400 tot 41 000 euro";2701.3;40.0
14;Nederland;"9e-10e 10%-groep; meer dan 41 000 euro";1350.7;20.0
15;Noord-Nederland (LD);Totaal particulier huishouden;701.1;100.0
16;Noord-Nederland (LD);"1e 10%-groep; minder dan 12 600 euro";79.1;11.0
17;Noord-Nederland (LD);"2e 10%-groep; 12 600 tot 15 900 euro";79.4;11.0
18;Noord-Nederland (LD);"3e 10%-groep; 15 900 tot 19 000 euro";76.9;11.0
19;Noord-Nederland (LD);"4e 10%-groep; 19 000 tot 22 400 euro";74.4;11.0
20;Noord-Nederland (LD);"5e 10%-groep; 22 400 tot 26 300 euro";75.4;11.0
21;Noord-Nederland (LD);"6e 10%-groep; 26 300 tot 30 400 euro";75.5;11.0
22;Noord-Nederland (LD);"7e 10%-groep; 30 400 tot 35 000 euro";70.9;10.0
23;Noord-Nederland (LD);"8e 10%-groep; 35 000 tot 41 000 euro";64.5;9.0
24;Noord-Nederland (LD);"9e 10%-groep; 41 000 tot 51 000 euro";58.1;8.0
25;Noord-Nederland (LD);"10e 10%-groep; meer dan 51 000  euro";47.1;7.0
26;Noord-Nederland (LD);"1e 10%-groep; minder dan 12 600 euro";79.1;11.0
27;Noord-Nederland (LD);"2e-4e 10%-groep; 12 600 tot 22 400 euro";230.6;33.0
28;Noord-Nederland (LD);"5e-8e 10%-groep; 22 400 tot 41 000 euro";286.3;41.0
29;Noord-Nederland (LD);"9e-10e 10%-groep; meer dan 41 000 euro";105.1;15.0
30;Oost-Nederland (LD);Totaal particulier huishouden;1362.7;100.0
31;Oost-Nederland (LD);"1e 10%-groep; minder dan 12 600 euro";123.7;9.0
32;Oost-Nederland (LD);"2e 10%-groep; 12 600 tot 15 900 euro";133.0;10.0
33;Oost-Nederland (LD);"3e 10%-groep; 15 900 tot 19 000 euro";131.7;10.0
34;Oost-Nederland (LD);"4e 10%-groep; 19 000 tot 22 400 euro";134.5;10.0
35;Oost-Nederland (LD);"5e 10%-groep; 22 400 tot 26 300 euro";140.1;10.0
36;Oost-Nederland (LD);"6e 10%-groep; 26 300 tot 30 400 euro";147.0;11.0
37;Oost-Nederland (LD);"7e 10%-groep; 30 400 tot 35 000 euro";146.2;11.0
38;Oost-Nederland (LD);"8e 10%-groep; 35 000 tot 41 000 euro";141.0;10.0
39;Oost-Nederland (LD);"9e 10%-groep; 41 000 tot 51 000 euro";137.9;10.0
40;Oost-Nederland (LD);"10e 10%-groep; meer dan 51 000  euro";127.7;9.0
41;Oost-Nederland (LD);"1e 10%-groep; minder dan 12 600 euro";123.7;9.0
42;Oost-Nederland (LD);"2e-4e 10%-groep; 12 600 tot 22 400 euro";399.1;29.0
43;Oost-Nederland (LD);"5e-8e 10%-groep; 22 400 tot 41 000 euro";574.2;42.0
44;Oost-Nederland (LD);"9e-10e 10%-groep; meer dan 41 000 euro";265.6;19.0
45;West-Nederland (LD);Totaal particulier huishouden;3238.8;100.0
46;West-Nederland (LD);"1e 10%-groep; minder dan 12 600 euro";342.3;11.0
47;West-Nederland (LD);"2e 10%-groep; 12 600 tot 15 900 euro";321.1;10.0
48;West-Nederland (LD);"3e 10%-groep; 15 900 tot 19 000 euro";324.3;10.0
49;West-Nederland (LD);"4e 10%-groep; 19 000 tot 22 400 euro";322.2;10.0
50;West-Nederland (LD);"5e 10%-groep; 22 400 tot 26 300 euro";313.2;10.0
51;West-Nederland (LD);"6e 10%-groep; 26 300 tot 30 400 euro";303.4;9.0
52;West-Nederland (LD);"7e 10%-groep; 30 400 tot 35 000 euro";305.4;9.0
53;West-Nederland (LD);"8e 10%-groep; 35 000 tot 41 000 euro";317.5;10.0
54;West-Nederland (LD);"9e 10%-groep; 41 000 tot 51 000 euro";329.1;10.0
55;West-Nederland (LD);"10e 10%-groep; meer dan 51 000  euro";360.3;11.0
56;West-Nederland (LD);"1e 10%-groep; minder dan 12 600 euro";342.3;11.0
57;West-Nederland (LD);"2e-4e 10%-groep; 12 600 tot 22 400 euro";967.5;30.0
58;West-Nederland (LD);"5e-8e 10%-groep; 22 400 tot 41 000 euro";1239.5;38.0
59;West-Nederland (LD);"9e-10e 10%-groep; meer dan 41 000 euro";689.4;21.0
60;Zuid-Nederland (LD);Totaal particulier huishouden;1450.7;100.0
61;Zuid-Nederland (LD);"1e 10%-groep; minder dan 12 600 euro";130.2;9.0
62;Zuid-Nederland (LD);"2e 10%-groep; 12 600 tot 15 900 euro";141.9;10.0
63;Zuid-Nederland (LD);"3e 10%-groep; 15 900 tot 19 000 euro";142.5;10.0
64;Zuid-Nederland (LD);"4e 10%-groep; 19 000 tot 22 400 euro";144.3;10.0
65;Zuid-Nederland (LD);"5e 10%-groep; 22 400 tot 26 300 euro";146.6;10.0
66;Zuid-Nederland (LD);"6e 10%-groep; 26 300 tot 30 400 euro";149.5;10.0
67;Zuid-Nederland (LD);"7e 10%-groep; 30 400 tot 35 000 euro";152.8;11.0
68;Zuid-Nederland (LD);"8e 10%-groep; 35 000 tot 41 000 euro";152.3;11.0
69;Zuid-Nederland (LD);"9e 10%-groep; 41 000 tot 51 000 euro";150.3;10.0
70;Zuid-Nederland (LD);"10e 10%-groep; meer dan 51 000  euro";140.3;10.0
71;Zuid-Nederland (LD);"1e 10%-groep; minder dan 12 600 euro";130.2;9.0
72;Zuid-Nederland (LD);"2e-4e 10%-groep; 12 600 tot 22 400 euro";428.7;30.0
73;Zuid-Nederland (LD);"5e-8e 10%-groep; 22 400 tot 41 000 euro";601.3;41.0
74;Zuid-Nederland (LD);"9e-10e 10%-groep; meer dan 41 000 euro";290.5;20.0
75;Groningen (PV);Totaal particulier huishouden;239.8;100.0
76;Groningen (PV);"1e 10%-groep; minder dan 12 600 euro";30.6;13.0
77;Groningen (PV);"2e 10%-groep; 12 600 tot 15 900 euro";29.2;12.0
78;Groningen (PV);"3e 10%-groep; 15 900 tot 19 000 euro";28.3;12.0
79;Groningen (PV);"4e 10%-groep; 19 000 tot 22 400 euro";26.5;11.0
80;Groningen (PV);"5e 10%-groep; 22 400 tot 26 300 euro";25.3;11.0
81;Groningen (PV);"6e 10%-groep; 26 300 tot 30 400 euro";24.5;10.0
82;Groningen (PV);"7e 10%-groep; 30 400 tot 35 000 euro";22.3;9.0
83;Groningen (PV);"8e 10%-groep; 35 000 tot 41 000 euro";20.3;8.0
84;Groningen (PV);"9e 10%-groep; 41 000 tot 51 000 euro";18.4;8.0
85;Groningen (PV);"10e 10%-groep; meer dan 51 000  euro";14.4;6.0
86;Groningen (PV);"1e 10%-groep; minder dan 12 600 euro";30.6;13.0
87;Groningen (PV);"2e-4e 10%-groep; 12 600 tot 22 400 euro";84.0;35.0
88;Groningen (PV);"5e-8e 10%-groep; 22 400 tot 41 000 euro";92.4;39.0
89;Groningen (PV);"9e-10e 10%-groep; meer dan 41 000 euro";32.8;14.0
90;Friesland (PV);Totaal particulier huishouden;263.0;100.0
91;Friesland (PV);"1e 10%-groep; minder dan 12 600 euro";30.0;11.0
92;Friesland (PV);"2e 10%-groep; 12 600 tot 15 900 euro";29.0;11.0
93;Friesland (PV);"3e 10%-groep; 15 900 tot 19 000 euro";28.2;11.0
94;Friesland (PV);"4e 10%-groep; 19 000 tot 22 400 euro";27.7;11.0
95;Friesland (PV);"5e 10%-groep; 22 400 tot 26 300 euro";28.8;11.0
96;Friesland (PV);"6e 10%-groep; 26 300 tot 30 400 euro";28.9;11.0
97;Friesland (PV);"7e 10%-groep; 30 400 tot 35 000 euro";27.2;10.0
98;Friesland (PV);"8e 10%-groep; 35 000 tot 41 000 euro";24.3;9.0
99;Friesland (PV);"9e 10%-groep; 41 000 tot 51 000 euro";21.5;8.0
100;Friesland (PV);"10e 10%-groep; meer dan 51 000  euro";17.3;7.0
101;Friesland (PV);"1e 10%-groep; minder dan 12 600 euro";30.0;11.0
102;Friesland (PV);"2e-4e 10%-groep; 12 600 tot 22 400 euro";84.9;32.0
103;Friesland (PV);"5e-8e 10%-groep; 22 400 tot 41 000 euro";109.3;42.0
104;Friesland (PV);"9e-10e 10%-groep; meer dan 41 000 euro";38.9;15.0
105;Drenthe (PV);Totaal particulier huishouden;198.3;100.0
106;Drenthe (PV);"1e 10%-groep; minder dan 12 600 euro";18.5;9.0
107;Drenthe (PV);"2e 10%-groep; 12 600 tot 15 900 euro";21.1;11.0
108;Drenthe (PV);"3e 10%-groep; 15 900 tot 19 000 euro";20.4;10.0
109;Drenthe (PV);"4e 10%-groep; 19 000 tot 22 400 euro";20.2;10.0
