ID;Geslacht;Leeftijd;Onderwijssoorten;RegioS;Perioden;AantalLeerlingen_1
0;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Nederland;2000/'01;1546548.0
1;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Nederland;2001/'02;1552490.0
2;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Nederland;2002/'03;1549968.0
3;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Nederland;2003/'04;1547729.0
4;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Nederland;2004/'05;1549139.0
5;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Nederland;2005/'06;1549459.0
6;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Nederland;2006/'07;1548969.0
7;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Nederland;2007/'08;1552548.0
8;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Nederland;2008/'09;1553332.0
9;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Nederland;2009/'10;1548419.0
10;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Nederland;2010/'11;1534929.0
11;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Nederland;2011/'12;1517497.0
12;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Nederland;2012/'13;1498008.0
13;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Nederland;2013/'14;1476722.0
14;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Nederland;2014/'15;1457550.0
15;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Nederland;2015/'16;1443126.0
16;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Nederland;2016/'17;1427299.0
17;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Nederland;2017/'18;1414022.0
18;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Nederland;2018/'19;1405487.0
19;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Nederland;2019/'20;1396452.0
20;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Nederland;2020/'21;1386112.0
21;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Nederland;2021/'22;1370879.0
22;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Nederland;2022/'23;1369465.0
23;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Nederland;2023/'24;1359280.0
24;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Nederland;2024/'25;1353490.0
25;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Noord-Nederland (LD);2000/'01;158246.0
26;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Noord-Nederland (LD);2001/'02;159327.0
27;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Noord-Nederland (LD);2002/'03;159218.0
28;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Noord-Nederland (LD);2003/'04;159280.0
29;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Noord-Nederland (LD);2004/'05;159608.0
30;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Noord-Nederland (LD);2005/'06;160040.0
31;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Noord-Nederland (LD);2006/'07;160544.0
32;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Noord-Nederland (LD);2007/'08;161395.0
33;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Noord-Nederland (LD);2008/'09;160949.0
34;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Noord-Nederland (LD);2009/'10;159903.0
35;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Noord-Nederland (LD);2010/'11;157874.0
36;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Noord-Nederland (LD);2011/'12;154766.0
37;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Noord-Nederland (LD);2012/'13;151635.0
38;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Noord-Nederland (LD);2013/'14;148615.0
39;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Noord-Nederland (LD);2014/'15;145594.0
40;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Noord-Nederland (LD);2015/'16;143056.0
41;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Noord-Nederland (LD);2016/'17;140017.0
42;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Noord-Nederland (LD);2017/'18;137627.0
43;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Noord-Nederland (LD);2018/'19;135826.0
44;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Noord-Nederland (LD);2019/'20;133474.0
45;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Noord-Nederland (LD);2020/'21;131396.0
46;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Noord-Nederland (LD);2021/'22;129260.0
47;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Noord-Nederland (LD);2022/'23;128349.0
48;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Noord-Nederland (LD);2023/'24;126580.0
49;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Noord-Nederland (LD);2024/'25;125100.0
50;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Oost-Nederland (LD);2000/'01;342168.0
51;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Oost-Nederland (LD);2001/'02;344617.0
52;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Oost-Nederland (LD);2002/'03;345331.0
53;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Oost-Nederland (LD);2003/'04;345183.0
54;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Oost-Nederland (LD);2004/'05;347915.0
55;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Oost-Nederland (LD);2005/'06;349370.0
56;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Oost-Nederland (LD);2006/'07;350552.0
57;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Oost-Nederland (LD);2007/'08;352551.0
58;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Oost-Nederland (LD);2008/'09;353677.0
59;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Oost-Nederland (LD);2009/'10;352592.0
60;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Oost-Nederland (LD);2010/'11;349044.0
61;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Oost-Nederland (LD);2011/'12;344468.0
62;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Oost-Nederland (LD);2012/'13;338906.0
63;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Oost-Nederland (LD);2013/'14;332516.0
64;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Oost-Nederland (LD);2014/'15;326497.0
65;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Oost-Nederland (LD);2015/'16;320782.0
66;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Oost-Nederland (LD);2016/'17;316095.0
67;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Oost-Nederland (LD);2017/'18;312224.0
68;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Oost-Nederland (LD);2018/'19;308452.0
69;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Oost-Nederland (LD);2019/'20;305592.0
70;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Oost-Nederland (LD);2020/'21;303261.0
71;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Oost-Nederland (LD);2021/'22;299730.0
72;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Oost-Nederland (LD);2022/'23;299510.0
73;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Oost-Nederland (LD);2023/'24;296920.0
74;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Oost-Nederland (LD);2024/'25;295730.0
75;Totaal mannen en vrouwen;Totaal;Basisonderwijs;West-Nederland (LD);2000/'01;710913.0
76;Totaal mannen en vrouwen;Totaal;Basisonderwijs;West-Nederland (LD);2001/'02;713360.0
77;Totaal mannen en vrouwen;Totaal;Basisonderwijs;West-Nederland (LD);2002/'03;712532.0
78;Totaal mannen en vrouwen;Totaal;Basisonderwijs;West-Nederland (LD);2003/'04;712322.0
79;Totaal mannen en vrouwen;Totaal;Basisonderwijs;West-Nederland (LD);2004/'05;712913.0
80;Totaal mannen en vrouwen;Totaal;Basisonderwijs;West-Nederland (LD);2005/'06;713526.0
81;Totaal mannen en vrouwen;Totaal;Basisonderwijs;West-Nederland (LD);2006/'07;713874.0
82;Totaal mannen en vrouwen;Totaal;Basisonderwijs;West-Nederland (LD);2007/'08;716603.0
83;Totaal mannen en vrouwen;Totaal;Basisonderwijs;West-Nederland (LD);2008/'09;719695.0
84;Totaal mannen en vrouwen;Totaal;Basisonderwijs;West-Nederland (LD);2009/'10;720775.0
85;Totaal mannen en vrouwen;Totaal;Basisonderwijs;West-Nederland (LD);2010/'11;718068.0
86;Totaal mannen en vrouwen;Totaal;Basisonderwijs;West-Nederland (LD);2011/'12;714084.0
87;Totaal mannen en vrouwen;Totaal;Basisonderwijs;West-Nederland (LD);2012/'13;709251.0
88;Totaal mannen en vrouwen;Totaal;Basisonderwijs;West-Nederland (LD);2013/'14;703426.0
89;Totaal mannen en vrouwen;Totaal;Basisonderwijs;West-Nederland (LD);2014/'15;698633.0
90;Totaal mannen en vrouwen;Totaal;Basisonderwijs;West-Nederland (LD);2015/'16;696039.0
91;Totaal mannen en vrouwen;Totaal;Basisonderwijs;West-Nederland (LD);2016/'17;692394.0
92;Totaal mannen en vrouwen;Totaal;Basisonderwijs;West-Nederland (LD);2017/'18;688978.0
93;Totaal mannen en vrouwen;Totaal;Basisonderwijs;West-Nederland (LD);2018/'19;688069.0
94;Totaal mannen en vrouwen;Totaal;Basisonderwijs;West-Nederland (LD);2019/'20;686002.0
95;Totaal mannen en vrouwen;Totaal;Basisonderwijs;West-Nederland (LD);2020/'21;682587.0
96;Totaal mannen en vrouwen;Totaal;Basisonderwijs;West-Nederland (LD);2021/'22;675611.0
97;Totaal mannen en vrouwen;Totaal;Basisonderwijs;West-Nederland (LD);2022/'23;674889.0
98;Totaal mannen en vrouwen;Totaal;Basisonderwijs;West-Nederland (LD);2023/'24;670370.0
99;Totaal mannen en vrouwen;Totaal;Basisonderwijs;West-Nederland (LD);2024/'25;667520.0
100;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Zuid-Nederland (LD);2000/'01;335221.0
101;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Zuid-Nederland (LD);2001/'02;335186.0
102;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Zuid-Nederland (LD);2002/'03;332887.0
103;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Zuid-Nederland (LD);2003/'04;330944.0
104;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Zuid-Nederland (LD);2004/'05;328703.0
105;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Zuid-Nederland (LD);2005/'06;326523.0
106;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Zuid-Nederland (LD);2006/'07;323999.0
107;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Zuid-Nederland (LD);2007/'08;321999.0
108;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Zuid-Nederland (LD);2008/'09;319011.0
109;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Zuid-Nederland (LD);2009/'10;315149.0
110;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Zuid-Nederland (LD);2010/'11;309943.0
111;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Zuid-Nederland (LD);2011/'12;304179.0
112;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Zuid-Nederland (LD);2012/'13;298216.0
113;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Zuid-Nederland (LD);2013/'14;292165.0
114;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Zuid-Nederland (LD);2014/'15;286826.0
115;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Zuid-Nederland (LD);2015/'16;283249.0
116;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Zuid-Nederland (LD);2016/'17;278793.0
117;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Zuid-Nederland (LD);2017/'18;275193.0
118;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Zuid-Nederland (LD);2018/'19;273140.0
119;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Zuid-Nederland (LD);2019/'20;271384.0
120;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Zuid-Nederland (LD);2020/'21;268868.0
121;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Zuid-Nederland (LD);2021/'22;266278.0
122;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Zuid-Nederland (LD);2022/'23;266717.0
123;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Zuid-Nederland (LD);2023/'24;265410.0
124;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Zuid-Nederland (LD);2024/'25;265140.0
125;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Groningen (PV);2000/'01;49913.0
126;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Groningen (PV);2001/'02;50438.0
127;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Groningen (PV);2002/'03;50280.0
128;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Groningen (PV);2003/'04;49966.0
129;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Groningen (PV);2004/'05;49901.0
130;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Groningen (PV);2005/'06;50002.0
131;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Groningen (PV);2006/'07;49881.0
132;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Groningen (PV);2007/'08;49863.0
133;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Groningen (PV);2008/'09;49683.0
134;Totaal mannen en vrouwen;Totaal;Basisonderwijs;Groningen (PV);2009/'10;49030.0
