ID;Perioden;RundveeTotaal_1;JongveeVoorDeMelkveehouderijTotaal_2;JongveeMelkvee1JaarVrouwelijk_3;JongveeMelkvee1JaarMannelijk_4;JongveeMelkvee12JaarVrouwelijk_5;JongveeMelkvee12JaarMannelijk_6;JongveeMelkvee2JaarVrouwelijk_7;VleeskalverenTotaal_8;VleeskalverenVoorRoseVlees1Jaar_9;VleeskalverenVoorWitvlees1Jaar_10;JongveeVoorDeVleesproductieTotaal_11;JongveeVleesproductie1JaarVrl_12;JongveeVleesproductie1JaarMnl_13;JongveeVleesproductie12JaarVrl_14;JongveeVleesproductie12JaarMnl_15;JongveeVleesproductie2JrVrl_16;MelkEnKalfkoeien2Jr_17;OverigeKoeienTotaal_18;VleesEnWeidekoeien2Jaar_19;Zoogkoeien2Jaar_20;Stieren2JaarTotaal_21;StierenVoorDeFokkerij2Jaar_22;StierenVoorVleesproductie2Jaar_23
0;2008 1 december;3996;1173;541;34;500;15;84;912;276;636;215;43;55;43;54;20;1542;134;45.0;88.0;20;9.0;11.0
1;2009 1 april;3968;1237;577;33;528;14;85;894;269;625;207;41;53;45;48;20;1489;123;40.0;83.0;17;8.0;9.0
2;2009 1 december;3998;1238;572;33;532;14;87;886;267;619;207;41;52;46;48;20;1521;126;41.0;85.0;20;10.0;10.0
3;2010 1 april;3975;1238;545;29;564;14;87;928;294;634;197;39;49;43;46;20;1479;115;37.0;78.0;17;8.0;9.0
4;2010 1 december;3960;1193;541;29;521;13;89;921;292;629;190;39;48;40;43;20;1518;118;38.0;80.0;20;9.0;11.0
5;2011 1 april;3885;1202;537;31;532;12;90;907;304;603;187;39;46;40;42;20;1470;105;32.0;73.0;17;8.0;9.0
6;2011 1 december;3912;1179;545;31;499;12;92;919;308;611;188;39;47;38;43;21;1504;108;33.0;75.0;16;7.0;9.0
7;2012 1 april;3879;1188;542;33;522;11;80;908;330;578;185;38;48;40;41;18;1484;99;29.0;70.0;16;7.0;9.0
8;2012 1 december;3985;1196;560;34;507;12;83;940;341;599;190;39;49;39;44;19;1541;103;30.0;73.0;15;6.0;9.0
9;2013 1 april;4000;1243;573;40;531;13;86;925;337;588;180;34;44;38;42;22;1553;84;;;14;;
10;2013 1 december;4090;1261;586;41;532;14;88;946;345;601;184;35;44;38;44;23;1597;86;;;17;;
11;2014 1 april;4068;1306;602;46;545;14;99;921;355;567;171;32;41;33;42;22;1572;82;;;16;;
12;2014 1 december;4169;1343;614;47;567;14;101;939;361;578;174;33;43;34;42;23;1610;84;;;17;;
13;2015 1 april;4134;1337;599;41;582;13;102;909;358;551;172;33;43;35;42;20;1622;80;;;13;;
14;2015 1 december;4315;1365;629;43;572;12;108;955;376;579;175;34;45;35;40;21;1717;85;;;17;;
15;2016 1 april;4251;1317;621;43;554;12;86;958;363;595;153;32;41;30;35;15;1745;68;;;11;;
16;2016 1 december;4294;1318;611;42;564;13;89;941;357;584;154;31;40;31;37;16;1794;70;;;16;;
17;2017 1 april;4096;1200;511;46;530;9;103;953;356;597;175;31;61;25;36;21;1694;59;;;16;;
18;2017 1 december;4030;1168;509;46;501;10;102;948;354;594;176;31;61;24;40;21;1665;58;;;15;;
19;2018 1 april;3897;1032;438;45;447;8;93;995;366;629;170;31;51;27;37;24;1622;63;;;15;;
20;2018 1 december;3690;951;407;47;399;10;88;988;355;633;144;22;46;21;35;20;1552;42;;;13;;
21;2019 1 april;3750;924;410;43;388;8;74;1005;373;632;166;31;47;27;36;25;1578;63;;;14;;
22;2019 1 december;3721;954;434;52;373;9;86;978;364;614;143;23;41;22;37;21;1590;43;;;13;;
23;2020 1 april;3766;935;439;41;373;8;74;1000;371;628;166;32;46;28;36;24;1593;58;;;14;;
24;2020 1 december;3691;985;455;54;394;10;72;939;325;614;144;24;39;26;35;21;1569;43;;;11;;
