ID;Perioden;TotaalMilieuInvesteringen_1;TotaalCompartimentWater_2;TotaalCompartimentLucht_3;MestinjectieApparatuur_4;EmissiearmeStallen_5;MilieuvriendelijkeKassen_6;Energiebesparing_7;OverigCompartimentLucht_8;TotaalCompartimentBodem_9;MilieuvriendelijkeKassen_10;Mestopslag_11;OverigCompartimentBodem_12;TotaalCompartimentAfval_13;TotaalCompartimentGeluid_14;TotaalCompartimentAlgemeen_15;TotaalMilieukostenExclusiefAdminis_16;AdministratieveLasten_17;TotaalCompartimentWater_18;TotaalCompartimentLucht_19;EmissiearmUitrijden_20;EmissiearmeStallen_21;Energiebesparing_22;MilieuvriendelijkeKassen_23;Champignoncompostproducenten_24;OverigCompartimentLucht_25;TotaalCompartimentBodem_26;Mestopslag_27;Mestafvoer_28;MilieuvriendelijkeKassen_29;Bedrijfsbeeindiging_30;MestoverschotHeffing_31;OverigCompartimentBodem_32;TotaalCompartimentAfval_33;TotaalCompartimentGeluid_34;TotaalCompartimentAlgemeen_35;BiologischeLandbouw_36;ReconstructieGlastuinbouw_37;Brandstofheffing_38;OverigCompartimentAlgemeen_39;TotaalSubsidie_40;TotaalCompartimentWater_41;TotaalCompartimentLucht_42;TotaalCompartimentBodem_43;Bedrijfsbeeindiging_44;OverigCompartimentBodem_45;TotaalCompartimentAfval_46;TotaalCompartimentGeluid_47;TotaalCompartimentAlgemeen_48;BiologischeLandbouw_49;ReconstructieGlastuinbouw_50;OverigCompartimentAlgemeen_51;NettoMilieulastenExclusiefAdminis_52;NettoMilieulastenInclusiefAdminis_53
0;1990;64;1;13;13.0;0;0;;0;34;0;26;9;15;0;0;139;;2;6;4;0;;0;;2;97;37;42;0;0;17;2;10;3;20;8;0;10;2;14;0;0;14;0;14;0;0;0;0;0;0;164;
1;1991;102;4;23;18.0;1;3;;0;71;3;57;11;3;0;0;177;;7;11;9;0;;0;;2;110;44;46;0;0;17;3;13;3;31;10;0;20;1;16;0;0;16;0;16;0;0;0;0;0;0;215;
2;1992;167;8;37;32.0;2;3;;0;121;3;96;22;0;1;0;272;;10;31;22;1;;1;;8;142;55;56;1;0;24;6;16;3;71;11;0;57;2;17;0;0;17;0;17;0;0;0;0;0;0;358;
3;1993;121;8;27;23.0;2;1;;1;85;1;67;17;0;1;0;259;;11;37;27;1;;1;;8;178;67;74;1;0;26;9;16;3;13;11;0;0;2;39;3;5;31;0;31;0;0;0;0;0;0;269;
4;1994;80;6;19;16.0;2;1;;0;54;1;39;15;0;1;0;284;;11;45;35;1;;1;;8;193;75;79;1;0;27;11;17;3;14;12;0;0;2;32;2;3;27;0;27;0;0;0;0;0;0;301;
5;1995;83;17;19;14.0;3;2;;1;45;2;26;17;0;1;0;260;;12;33;29;2;;1;;1;195;79;76;1;0;25;14;17;3;0;0;0;0;0;20;2;1;17;0;17;0;0;0;0;0;0;284;
6;1996;62;15;18;4.0;12;2;;1;28;2;14;12;0;1;0;248;;15;32;27;3;;1;;1;181;80;72;1;0;10;17;17;2;0;0;0;0;0;21;2;2;17;0;17;0;0;0;0;0;0;256;
7;1997;75;14;28;4.0;22;2;;0;33;2;21;10;0;1;0;268;;20;39;30;7;;2;;1;190;80;74;2;0;17;18;17;1;1;1;0;0;0;19;1;3;14;0;14;0;0;1;1;0;0;285;
8;1998;45;10;11;5.0;2;2;;2;22;2;11;10;0;1;0;303;158.0;20;60;33;9;;2;15.0;1;196;79;91;2;2;0;20;18;1;9;1;8;0;0;31;1;5;16;2;14;0;1;9;1;8;0;292;450.0
9;1999;116;24;58;5.0;1;3;31.0;19;32;3;20;9;0;2;0;406;150.0;27;66;33;10;3.0;2;16.0;2;282;79;142;2;37;0;22;19;1;12;2;10;0;0;69;1;7;49;35;13;1;1;12;2;10;0;359;509.0
